,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454210308,-43,-37,-39,-52,-46,-42,-46,-47,-55,-53,-48,-53,-55,-61,-49,-59,-62,-65,-68,-63,-80,-71,-73,-72,-78,-200,-71,-44,-75,-55,-81,-66,-76,-67,-74,-63,-73,-200,-73,-54,-67,-84,-76,-54,-77,-82,-78,-80,-76,-63,-77,-78,-84,-83,-60,-74,-200,-80,-86,-66,-74,-76,-72,-62,-78,-74,-81,-200,-71,-75,-84,-76,-82,-74,-200,-88,-200,-69,-86,-79,-200,-90,-91,-84,-200,-90,-200,-91,-75,-200,-200,-200,-200,-75,-200,-76,-77,-79,-87,-84,-87,-90,-87,-90,-91,-91,-68,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454210321,-43,-37,-39,-52,-46,-42,-46,-47,-55,-53,-48,-53,-55,-61,-49,-59,-62,-65,-68,-63,-80,-71,-73,-72,-78,-200,-71,-44,-75,-55,-81,-66,-76,-67,-74,-63,-73,-200,-73,-54,-67,-84,-76,-54,-77,-82,-78,-80,-76,-63,-77,-78,-84,-83,-60,-74,-200,-80,-86,-66,-74,-76,-72,-62,-78,-74,-81,-200,-71,-75,-84,-76,-82,-74,-200,-88,-200,-69,-86,-79,-200,-90,-91,-84,-200,-90,-200,-91,-75,-200,-200,-200,-200,-75,-200,-76,-77,-79,-87,-84,-87,-90,-87,-90,-91,-91,-68,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454213336,-48,-36,-38,-53,-48,-44,-45,-51,-59,-54,-49,-56,-64,-62,-49,-59,-61,-67,-68,-71,-76,-74,-73,-74,-78,-200,-73,-46,-73,-56,-81,-68,-74,-66,-73,-63,-74,-200,-73,-55,-74,-83,-79,-55,-77,-82,-75,-200,-76,-64,-76,-78,-84,-84,-61,-72,-200,-84,-87,-66,-73,-76,-75,-61,-78,-76,-79,-200,-71,-76,-84,-200,-82,-74,-200,-87,-90,-67,-86,-75,-200,-90,-91,-84,-200,-91,-200,-91,-69,-200,-200,-200,-200,-74,-200,-76,-77,-79,-86,-84,-90,-200,-87,-90,-91,-91,-69,-92,-85,-88,-90,-200,-200,-200,-200,-200,-200
1526454213341,-48,-36,-38,-53,-48,-44,-45,-51,-59,-54,-49,-56,-64,-62,-49,-59,-61,-67,-68,-71,-76,-74,-73,-74,-78,-200,-73,-46,-73,-56,-81,-68,-74,-66,-73,-63,-74,-200,-73,-55,-74,-83,-79,-55,-77,-82,-75,-200,-76,-64,-76,-78,-84,-84,-61,-72,-200,-84,-87,-66,-73,-76,-75,-61,-78,-76,-79,-200,-71,-76,-84,-200,-82,-74,-200,-87,-90,-67,-86,-75,-200,-90,-91,-84,-200,-91,-200,-91,-69,-200,-200,-200,-200,-74,-200,-76,-77,-79,-86,-84,-90,-200,-87,-90,-91,-91,-69,-92,-85,-88,-90,-200,-200,-200,-200,-200,-200
1526454216382,-42,-43,-48,-55,-53,-45,-45,-48,-55,-53,-48,-53,-67,-71,-50,-58,-60,-64,-68,-71,-80,-74,-73,-73,-78,-200,-70,-46,-80,-57,-81,-70,-74,-66,-73,-64,-78,-200,-73,-52,-67,-81,-79,-58,-77,-82,-77,-200,-76,-70,-76,-77,-200,-82,-64,-78,-200,-91,-87,-66,-73,-83,-75,-62,-78,-75,-79,-200,-77,-75,-84,-200,-82,-74,-200,-87,-90,-71,-83,-70,-200,-200,-200,-85,-200,-91,-200,-91,-69,-200,-200,-200,-200,-75,-200,-76,-77,-78,-86,-84,-90,-200,-87,-200,-200,-200,-69,-92,-85,-88,-90,-91,-200,-200,-200,-200,-200
1526454216392,-42,-43,-48,-55,-53,-45,-45,-48,-55,-53,-48,-53,-67,-71,-50,-58,-60,-64,-68,-71,-80,-74,-73,-73,-78,-200,-70,-46,-80,-57,-81,-70,-74,-66,-73,-64,-78,-200,-73,-52,-67,-81,-79,-58,-77,-82,-77,-200,-76,-70,-76,-77,-200,-82,-64,-78,-200,-91,-87,-66,-73,-83,-75,-62,-78,-75,-79,-200,-77,-75,-84,-200,-82,-74,-200,-87,-90,-71,-83,-70,-200,-200,-200,-85,-200,-91,-200,-91,-69,-200,-200,-200,-200,-75,-200,-76,-77,-78,-86,-84,-90,-200,-87,-200,-200,-200,-69,-92,-85,-88,-90,-91,-200,-200,-200,-200,-200
1526454219415,-46,-35,-39,-58,-48,-45,-45,-51,-55,-52,-48,-55,-60,-71,-48,-58,-66,-70,-68,-65,-79,-74,-75,-73,-76,-200,-70,-46,-74,-60,-81,-73,-72,-71,-74,-64,-78,-200,-72,-55,-66,-81,-78,-58,-200,-82,-77,-200,-73,-70,-77,-77,-85,-84,-60,-77,-200,-81,-87,-67,-75,-80,-75,-62,-78,-75,-80,-200,-73,-75,-87,-200,-82,-74,-200,-87,-90,-67,-83,-77,-200,-200,-200,-83,-200,-91,-200,-200,-69,-200,-200,-200,-200,-75,-200,-76,-77,-78,-86,-200,-88,-200,-86,-200,-200,-200,-69,-92,-85,-88,-90,-91,-200,-200,-200,-200,-200
1526454219417,-46,-35,-39,-58,-48,-45,-45,-51,-55,-52,-48,-55,-60,-71,-48,-58,-66,-70,-68,-65,-79,-74,-75,-73,-76,-200,-70,-46,-74,-60,-81,-73,-72,-71,-74,-64,-78,-200,-72,-55,-66,-81,-78,-58,-200,-82,-77,-200,-73,-70,-77,-77,-85,-84,-60,-77,-200,-81,-87,-67,-75,-80,-75,-62,-78,-75,-80,-200,-73,-75,-87,-200,-82,-74,-200,-87,-90,-67,-83,-77,-200,-200,-200,-83,-200,-91,-200,-200,-69,-200,-200,-200,-200,-75,-200,-76,-77,-78,-86,-200,-88,-200,-86,-200,-200,-200,-69,-92,-85,-88,-90,-91,-200,-200,-200,-200,-200
1526454222459,-45,-16,-40,-64,-47,-45,-46,-56,-59,-47,-49,-63,-63,-63,-49,-67,-64,-65,-69,-65,-79,-74,-75,-75,-78,-200,-68,-46,-74,-55,-81,-68,-72,-71,-74,-64,-78,-200,-73,-55,-69,-84,-77,-54,-86,-200,-77,-200,-82,-70,-78,-78,-85,-85,-58,-79,-200,-80,-87,-74,-72,-80,-75,-62,-78,-75,-78,-200,-72,-72,-85,-76,-82,-74,-200,-200,-200,-68,-83,-75,-200,-200,-200,-83,-200,-90,-200,-200,-76,-87,-200,-200,-200,-76,-200,-76,-76,-79,-86,-200,-88,-200,-85,-200,-200,-200,-68,-92,-200,-88,-90,-91,-86,-200,-200,-200,-200
1526454222465,-45,-16,-40,-64,-47,-45,-46,-56,-59,-47,-49,-63,-63,-63,-49,-67,-64,-65,-69,-65,-79,-74,-75,-75,-78,-200,-68,-46,-74,-55,-81,-68,-72,-71,-74,-64,-78,-200,-73,-55,-69,-84,-77,-54,-86,-200,-77,-200,-82,-70,-78,-78,-85,-85,-58,-79,-200,-80,-87,-74,-72,-80,-75,-62,-78,-75,-78,-200,-72,-72,-85,-76,-82,-74,-200,-200,-200,-68,-83,-75,-200,-200,-200,-83,-200,-90,-200,-200,-76,-87,-200,-200,-200,-76,-200,-76,-76,-79,-86,-200,-88,-200,-85,-200,-200,-200,-68,-92,-200,-88,-90,-91,-86,-200,-200,-200,-200
1526454225489,-45,-14,-39,-60,-47,-45,-46,-51,-57,-51,-48,-55,-61,-63,-51,-59,-69,-77,-71,-73,-76,-200,-75,-72,-78,-200,-71,-46,-72,-65,-84,-67,-73,-63,-74,-62,-200,-73,-77,-48,-65,-82,-83,-60,-81,-84,-81,-200,-74,-55,-83,-78,-86,-92,-62,-79,-200,-85,-200,-67,-75,-80,-200,-63,-78,-77,-81,-200,-76,-74,-85,-76,-83,-83,-200,-87,-200,-68,-83,-79,-200,-200,-200,-85,-200,-90,-200,-200,-76,-90,-200,-92,-200,-77,-73,-76,-77,-77,-85,-200,-88,-200,-96,-200,-200,-200,-70,-200,-200,-200,-200,-200,-86,-85,-86,-89,-200
1526454225491,-45,-14,-39,-60,-47,-45,-46,-51,-57,-51,-48,-55,-61,-63,-51,-59,-69,-77,-71,-73,-76,-200,-75,-72,-78,-200,-71,-46,-72,-65,-84,-67,-73,-63,-74,-62,-200,-73,-77,-48,-65,-82,-83,-60,-81,-84,-81,-200,-74,-55,-83,-78,-86,-92,-62,-79,-200,-85,-200,-67,-75,-80,-200,-63,-78,-77,-81,-200,-76,-74,-85,-76,-83,-83,-200,-87,-200,-68,-83,-79,-200,-200,-200,-85,-200,-90,-200,-200,-76,-90,-200,-92,-200,-77,-73,-76,-77,-77,-85,-200,-88,-200,-96,-200,-200,-200,-70,-200,-200,-200,-200,-200,-86,-85,-86,-89,-200
1526454225491,-43,-35,-39,-58,-47,-45,-46,-49,-57,-51,-48,-56,-62,-62,-49,-59,-69,-77,-75,-65,-72,-200,-74,-71,-78,-200,-72,-46,-72,-59,-84,-68,-72,-65,-73,-63,-77,-71,-78,-56,-65,-82,-82,-57,-81,-80,-71,-200,-76,-63,-76,-77,-87,-92,-59,-78,-200,-83,-84,-67,-74,-79,-72,-62,-78,-72,-80,-200,-74,-61,-83,-76,-82,-82,-200,-87,-200,-67,-86,-79,-200,-200,-200,-84,-200,-90,-200,-200,-76,-90,-200,-92,-200,-74,-73,-77,-77,-79,-87,-86,-88,-200,-87,-200,-200,-200,-70,-200,-200,-200,-200,-200,-86,-85,-86,-89,-200
1526454228531,-47,-16,-46,-56,-49,-45,-45,-46,-57,-52,-47,-55,-60,-60,-50,-60,-69,-68,-70,-65,-77,-73,-74,-73,-77,-200,-73,-46,-72,-60,-84,-70,-71,-67,-74,-63,-77,-71,-78,-56,-68,-82,-80,-59,-81,-80,-75,-200,-76,-63,-75,-77,-87,-92,-64,-79,-200,-83,-84,-67,-85,-79,-73,-62,-78,-78,-79,-200,-79,-75,-83,-200,-81,-83,-200,-87,-200,-67,-86,-79,-200,-200,-91,-85,-200,-200,-200,-200,-200,-90,-200,-92,-200,-76,-73,-76,-76,-79,-85,-86,-88,-200,-87,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-85,-86,-89,-200
1526454231572,-47,-16,-46,-56,-49,-45,-45,-46,-57,-52,-47,-55,-60,-60,-50,-60,-69,-68,-70,-65,-77,-73,-74,-73,-77,-200,-73,-46,-72,-60,-84,-70,-71,-67,-74,-63,-77,-71,-78,-56,-68,-82,-80,-59,-81,-80,-75,-200,-76,-63,-75,-77,-87,-92,-64,-79,-200,-83,-84,-67,-85,-79,-73,-62,-78,-78,-79,-200,-79,-75,-83,-200,-81,-83,-200,-87,-200,-67,-86,-79,-200,-200,-91,-85,-200,-200,-200,-200,-200,-90,-200,-92,-200,-76,-73,-76,-76,-79,-85,-86,-88,-200,-87,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-85,-86,-89,-200
1526454231573,-47,-36,-39,-58,-48,-46,-44,-50,-56,-52,-47,-54,-61,-62,-49,-60,-66,-70,-70,-65,-76,-73,-74,-74,-77,-200,-73,-46,-72,-59,-84,-70,-72,-67,-74,-64,-76,-72,-75,-54,-66,-82,-80,-59,-200,-81,-81,-200,-76,-61,-75,-77,-87,-92,-59,-78,-200,-82,-84,-72,-85,-79,-76,-62,-79,-77,-78,-200,-79,-75,-84,-200,-81,-74,-200,-87,-200,-68,-83,-75,-200,-90,-91,-86,-200,-200,-200,-200,-200,-200,-200,-92,-200,-74,-73,-76,-77,-79,-85,-86,-88,-200,-87,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-86,-89,-200
1526454234592,-47,-21,-48,-52,-53,-46,-45,-53,-57,-55,-47,-63,-60,-61,-50,-68,-65,-70,-71,-65,-74,-73,-74,-71,-69,-200,-78,-46,-72,-60,-200,-68,-72,-68,-74,-63,-84,-72,-77,-54,-66,-82,-80,-58,-200,-84,-73,-200,-76,-61,-76,-77,-88,-86,-63,-78,-200,-82,-84,-67,-84,-79,-82,-62,-79,-76,-79,-200,-76,-74,-86,-200,-82,-74,-200,-87,-200,-68,-83,-84,-200,-90,-91,-85,-86,-200,-200,-200,-77,-200,-200,-200,-200,-75,-200,-77,-77,-79,-86,-86,-90,-200,-87,-200,-200,-200,-69,-200,-200,-200,-200,-89,-200,-200,-200,-200,-89
