,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526453959368,-30,-31,-28,-44,-38,-37,-47,-45,-50,-52,-37,-54,-62,-68,-53,-61,-55,-71,-53,-63,-59,-70,-71,-73,-66,-65,-72,-73,-75,-70,-69,-73,-73,-76,-80,-69,-73,-82,-72,-67,-63,-81,-73,-200,-80,-72,-65,-73,-61,-71,-68,-82,-76,-81,-80,-87,-79,-76,-200,-200,-74,-69,-80,-77,-84,-65,-200,-200,-67,-79,-86,-80,-200,-200,-89,-200,-200,-87,-200,-200,-200,-200,-200,-200,-82,-91,-81,-200,-200,-90,-200,-200,-83,-89,-200,-200,-74,-70,-80,-82,-200,-75,-88,-200,-200,-200,-67,-200,-72,-90,-91,-76,-62,-200,-200,-200,-200,-200,-200
1526453962422,-31,-32,-26,-42,-40,-39,-46,-48,-46,-53,-36,-54,-56,-62,-56,-63,-57,-68,-52,-64,-59,-42,-73,-73,-63,-66,-72,-69,-73,-72,-61,-72,-79,-76,-80,-69,-73,-63,-76,-66,-69,-82,-72,-200,-78,-75,-71,-72,-62,-71,-73,-82,-76,-81,-79,-91,-78,-77,-200,-200,-78,-73,-83,-77,-84,-72,-76,-200,-67,-84,-82,-81,-200,-200,-89,-200,-85,-87,-200,-200,-200,-200,-200,-200,-82,-91,-80,-200,-200,-90,-200,-200,-83,-89,-200,-91,-65,-70,-80,-82,-200,-75,-88,-200,-200,-200,-67,-200,-72,-90,-91,-77,-62,-88,-200,-200,-200,-200,-200
1526453965472,-39,-15,-26,-42,-17,-41,-45,-57,-46,-53,-39,-57,-58,-62,-63,-74,-56,-68,-52,-63,-68,-66,-72,-70,-63,-71,-72,-73,-73,-78,-67,-70,-78,-76,-200,-68,-74,-78,-74,-66,-77,-81,-72,-200,-78,-70,-78,-86,-63,-70,-72,-82,-76,-79,-79,-88,-78,-77,-200,-200,-92,-80,-83,-77,-84,-80,-76,-200,-67,-85,-80,-81,-200,-200,-89,-200,-85,-86,-200,-200,-200,-200,-200,-200,-90,-90,-80,-200,-200,-200,-85,-200,-200,-89,-89,-91,-84,-70,-71,-82,-200,-200,-88,-200,-200,-200,-77,-200,-200,-200,-200,-77,-62,-88,-93,-200,-200,-200,-200
1526453968527,-32,-34,-27,-42,-38,-39,-44,-46,-46,-53,-38,-49,-57,-65,-52,-48,-53,-75,-53,-63,-59,-66,-74,-68,-69,-65,-72,-73,-75,-77,-71,-80,-77,-76,-79,-68,-76,-77,-73,-67,-77,-83,-70,-200,-78,-72,-61,-86,-59,-67,-72,-81,-77,-79,-79,-87,-77,-76,-200,-200,-79,-72,-83,-80,-84,-72,-76,-200,-70,-85,-82,-81,-200,-200,-89,-200,-85,-78,-200,-200,-200,-200,-200,-200,-90,-90,-80,-200,-200,-91,-85,-200,-87,-89,-91,-91,-84,-76,-80,-81,-200,-200,-80,-200,-200,-89,-77,-200,-200,-200,-200,-77,-62,-88,-93,-200,-200,-200,-200
1526453971564,-28,-18,-27,-43,-38,-38,-44,-44,-45,-53,-39,-54,-60,-59,-55,-55,-55,-73,-52,-63,-61,-68,-84,-72,-69,-65,-72,-71,-76,-73,-66,-80,-77,-76,-79,-69,-76,-69,-73,-65,-74,-84,-72,-200,-78,-66,-62,-74,-63,-71,-70,-81,-81,-79,-79,-87,-77,-77,-200,-200,-83,-79,-86,-80,-85,-72,-76,-200,-70,-85,-82,-81,-200,-92,-89,-200,-85,-89,-200,-200,-200,-200,-200,-200,-81,-90,-80,-200,-200,-91,-85,-200,-87,-200,-92,-91,-77,-75,-80,-82,-200,-200,-80,-70,-200,-89,-77,-200,-200,-91,-200,-77,-200,-88,-93,-200,-200,-200,-200
1526453974615,-29,-32,-27,-43,-40,-39,-44,-46,-45,-53,-37,-55,-59,-57,-55,-65,-54,-73,-54,-65,-59,-68,-80,-69,-68,-65,-68,-80,-76,-77,-67,-78,-77,-75,-79,-69,-76,-69,-71,-67,-66,-80,-72,-200,-78,-71,-70,-74,-59,-71,-68,-81,-76,-79,-79,-86,-89,-78,-90,-200,-83,-72,-81,-79,-85,-76,-76,-84,-70,-84,-82,-80,-200,-92,-88,-200,-200,-86,-200,-200,-200,-200,-200,-200,-81,-90,-200,-200,-200,-91,-85,-200,-87,-200,-92,-200,-77,-75,-84,-82,-200,-77,-86,-68,-200,-89,-68,-200,-200,-91,-93,-200,-200,-200,-93,-200,-200,-200,-200
1526453977637,-31,-33,-27,-41,-37,-38,-41,-45,-46,-53,-37,-53,-58,-64,-54,-65,-55,-73,-55,-65,-59,-68,-74,-67,-68,-64,-68,-73,-83,-67,-64,-75,-81,-68,-79,-70,-76,-67,-75,-67,-75,-80,-70,-200,-78,-69,-70,-59,-60,-71,-72,-80,-76,-79,-79,-86,-76,-78,-90,-200,-82,-73,-81,-79,-84,-72,-200,-84,-68,-85,-80,-80,-83,-92,-89,-200,-200,-86,-200,-200,-200,-200,-200,-200,-91,-91,-200,-200,-200,-91,-200,-200,-87,-200,-92,-200,-76,-72,-84,-82,-200,-77,-86,-68,-200,-89,-68,-200,-200,-91,-93,-200,-66,-200,-200,-88,-200,-200,-200
1526453980677,-17,-39,-27,-42,-41,-45,-59,-45,-57,-42,-66,-55,-62,-64,-61,-65,-55,-72,-62,-72,-59,-69,-75,-69,-68,-64,-69,-73,-73,-72,-68,-78,-81,-68,-200,-68,-76,-76,-76,-66,-75,-81,-72,-200,-81,-73,-63,-74,-63,-72,-69,-80,-75,-84,-80,-88,-75,-78,-90,-200,-82,-72,-81,-79,-82,-67,-72,-84,-68,-85,-80,-80,-83,-92,-88,-200,-87,-86,-200,-200,-200,-200,-200,-200,-91,-90,-200,-200,-200,-91,-200,-200,-200,-87,-92,-200,-76,-75,-73,-82,-200,-77,-86,-79,-200,-200,-68,-200,-200,-91,-93,-200,-66,-200,-200,-88,-200,-200,-200
1526453983720,-31,-32,-6,-42,-38,-38,-41,-43,-46,-53,-37,-54,-57,-53,-53,-61,-57,-72,-53,-72,-54,-69,-77,-70,-66,-71,-61,-73,-76,-76,-68,-79,-80,-69,-82,-70,-79,-74,-78,-67,-67,-81,-75,-200,-82,-71,-58,-74,-64,-71,-72,-80,-75,-84,-80,-88,-80,-77,-90,-200,-82,-73,-81,-79,-82,-71,-72,-84,-67,-100,-84,-80,-83,-200,-89,-200,-87,-86,-200,-200,-200,-200,-200,-200,-91,-90,-200,-200,-200,-200,-200,-200,-200,-87,-91,-200,-76,-75,-73,-80,-200,-77,-86,-79,-200,-200,-67,-200,-83,-200,-93,-200,-66,-200,-200,-88,-200,-200,-200
1526453986762,-31,-31,-25,-42,-40,-35,-49,-45,-46,-52,-38,-56,-57,-63,-53,-62,-56,-75,-52,-62,-59,-67,-77,-70,-69,-70,-65,-73,-76,-76,-70,-79,-80,-75,-82,-69,-79,-75,-75,-62,-74,-81,-75,-200,-82,-72,-63,-75,-62,-71,-73,-80,-76,-74,-80,-86,-82,-77,-200,-200,-78,-74,-200,-200,-83,-71,-74,-200,-67,-85,-83,-80,-83,-91,-89,-200,-85,-87,-200,-200,-200,-200,-200,-200,-91,-90,-200,-200,-200,-89,-200,-200,-200,-87,-91,-200,-75,-70,-73,-80,-200,-200,-200,-71,-200,-200,-68,-200,-83,-200,-200,-200,-66,-200,-91,-88,-89,-90,-200
1526453989800,-32,-32,-14,-42,-42,-39,-53,-45,-45,-54,-37,-54,-58,-63,-54,-59,-57,-71,-53,-63,-62,-68,-76,-69,-63,-68,-66,-73,-77,-76,-67,-76,-81,-75,-82,-69,-74,-69,-79,-62,-78,-81,-76,-200,-80,-73,-70,-75,-62,-79,-73,-200,-82,-74,-78,-87,-82,-77,-200,-200,-78,-71,-200,-200,-83,-73,-74,-200,-67,-85,-85,-80,-200,-91,-88,-200,-85,-91,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-92,-200,-200,-200,-87,-91,-200,-77,-70,-79,-86,-200,-77,-200,-71,-200,-200,-68,-200,-83,-200,-200,-200,-200,-200,-91,-200,-89,-90,-71
1526453992836,-29,-30,-26,-41,-42,-39,-49,-44,-46,-52,-38,-55,-59,-63,-55,-63,-56,-75,-53,-63,-59,-69,-75,-69,-70,-69,-71,-72,-75,-76,-68,-79,-79,-68,-82,-70,-74,-75,-77,-66,-68,-80,-74,-200,-80,-55,-63,-75,-62,-71,-73,-81,-76,-78,-79,-87,-80,-78,-200,-200,-78,-70,-79,-200,-82,-68,-74,-200,-67,-87,-81,-80,-200,-90,-88,-200,-85,-91,-200,-200,-200,-200,-200,-200,-91,-90,-200,-200,-200,-92,-200,-200,-200,-200,-91,-200,-77,-72,-79,-82,-200,-77,-200,-71,-200,-200,-68,-200,-83,-200,-200,-200,-200,-200,-91,-200,-89,-90,-71
