,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro,whu2011309,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,WHU-2018,WHU-2018,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526454913209,-34,-37,-32,-54,-55,-50,-41,-50,-47,-59,-47,-65,-56,-61,-57,-62,-65,-66,-64,-64,-64,-67,-56,-63,-66,-64,-78,-83,-79,-67,-76,-71,-68,-63,-81,-200,-70,-83,-79,-68,-200,-74,-71,-68,-75,-73,-75,-88,-68,-69,-73,-84,-71,-200,-71,-89,-82,-84,-77,-200,-80,-75,-89,-77,-91,-76,-200,-81,-82,-79,-86,-75,-82,-67,-85,-80,-200,-200,-84,-91,-200,-89,-82,-200,-89,-88,-90,-91,-200,-200,-200,-200,-85,-200,-200,-200,-200,-89,-80,-85,-90,-200,-200,-92,-200,-89,-91,-200,-85,-91,-83,-86,-90,-200,-200,-200,-200,-200,-200
1526454916261,-34,-35,-33,-52,-54,-50,-46,-50,-47,-58,-43,-65,-57,-63,-54,-55,-65,-67,-64,-67,-59,-66,-70,-62,-67,-59,-78,-80,-78,-69,-68,-71,-67,-61,-74,-200,-74,-83,-78,-71,-200,-72,-71,-69,-67,-72,-71,-88,-68,-75,-73,-84,-71,-200,-71,-89,-82,-84,-72,-200,-80,-76,-89,-77,-91,-76,-200,-81,-81,-79,-89,-75,-82,-67,-86,-81,-90,-200,-86,-91,-200,-89,-82,-200,-89,-90,-90,-91,-83,-91,-200,-200,-85,-200,-200,-200,-200,-89,-80,-85,-90,-200,-200,-92,-200,-90,-91,-74,-85,-200,-83,-87,-90,-200,-200,-200,-200,-200,-200
1526454919280,-36,-35,-33,-54,-54,-53,-41,-50,-47,-59,-46,-62,-57,-60,-54,-63,-67,-66,-60,-63,-54,-65,-71,-65,-67,-64,-75,-80,-78,-69,-75,-71,-65,-61,-69,-80,-74,-200,-79,-66,-200,-72,-71,-68,-74,-72,-72,-85,-68,-71,-72,-83,-71,-200,-71,-88,-83,-84,-71,-200,-80,-71,-89,-77,-91,-79,-200,-80,-84,-81,-89,-78,-81,-65,-84,-80,-90,-200,-83,-89,-86,-89,-200,-200,-89,-91,-94,-200,-89,-91,-200,-200,-200,-200,-92,-200,-200,-86,-83,-200,-89,-200,-88,-200,-200,-90,-200,-74,-85,-200,-88,-84,-91,-80,-200,-200,-200,-200,-200
1526454922320,-34,-37,-34,-55,-53,-54,-42,-51,-47,-55,-46,-64,-59,-63,-56,-62,-65,-67,-63,-68,-59,-91,-72,-64,-58,-63,-75,-80,-78,-68,-75,-72,-64,-60,-81,-83,-74,-200,-79,-69,-200,-73,-71,-71,-72,-72,-72,-85,-69,-71,-72,-81,-71,-81,-71,-83,-83,-84,-72,-74,-200,-82,-88,-77,-91,-77,-79,-82,-84,-81,-89,-72,-82,-66,-84,-81,-90,-200,-77,-89,-86,-89,-200,-200,-88,-88,-94,-200,-89,-91,-200,-200,-200,-200,-92,-200,-200,-88,-83,-200,-89,-200,-88,-200,-200,-90,-200,-74,-200,-200,-88,-88,-90,-80,-91,-200,-200,-200,-200
1526454925361,-31,-35,-16,-54,-56,-64,-43,-52,-47,-60,-55,-71,-58,-61,-65,-63,-65,-74,-69,-71,-64,-75,-73,-62,-71,-62,-77,-79,-200,-69,-75,-73,-64,-63,-81,-83,-200,-200,-79,-67,-200,-73,-70,-68,-75,-73,-72,-89,-68,-74,-72,-81,-71,-81,-71,-83,-84,-200,-74,-76,-78,-77,-88,-78,-91,-78,-79,-80,-82,-82,-89,-72,-82,-73,-84,-81,-200,-200,-77,-89,-86,-200,-200,-200,-87,-88,-90,-200,-89,-92,-200,-200,-200,-200,-92,-200,-200,-89,-83,-200,-89,-200,-88,-200,-200,-88,-200,-200,-200,-200,-88,-88,-90,-80,-91,-89,-200,-200,-200
1526454928404,-34,-35,-35,-52,-55,-53,-45,-51,-48,-59,-45,-62,-58,-61,-51,-62,-63,-67,-64,-65,-65,-66,-70,-64,-66,-60,-78,-81,-80,-69,-73,-73,-64,-62,-76,-81,-200,-200,-79,-68,-200,-74,-70,-69,-70,-73,-71,-89,-69,-67,-73,-81,-71,-81,-71,-90,-84,-84,-76,-76,-74,-77,-88,-77,-200,-78,-79,-80,-82,-82,-200,-72,-83,-65,-85,-82,-200,-200,-85,-200,-90,-200,-200,-200,-89,-88,-91,-200,-89,-92,-200,-200,-200,-200,-200,-200,-200,-89,-83,-200,-88,-200,-89,-200,-200,-89,-200,-200,-200,-200,-88,-88,-90,-80,-91,-92,-200,-200,-200
1526454931447,-31,-35,-35,-52,-55,-57,-42,-52,-47,-57,-46,-63,-59,-60,-57,-61,-65,-66,-65,-60,-64,-66,-70,-66,-72,-61,-77,-79,-80,-69,-74,-71,-64,-61,-82,-81,-200,-200,-78,-70,-200,-74,-72,-69,-70,-73,-73,-88,-69,-66,-73,-81,-70,-81,-70,-91,-84,-84,-67,-76,-74,-76,-88,-77,-200,-76,-79,-80,-82,-82,-87,-75,-85,-67,-85,-80,-200,-89,-85,-200,-86,-200,-85,-200,-89,-90,-91,-89,-200,-92,-85,-200,-200,-200,-200,-200,-200,-89,-80,-200,-88,-200,-89,-200,-200,-90,-200,-200,-200,-200,-88,-86,-90,-200,-91,-92,-90,-200,-200
1526454934497,-34,-36,-34,-54,-55,-52,-40,-48,-45,-58,-45,-65,-61,-63,-55,-61,-64,-65,-65,-62,-63,-69,-67,-63,-68,-69,-77,-81,-80,-68,-77,-73,-64,-61,-80,-81,-200,-82,-78,-70,-200,-75,-69,-69,-67,-72,-73,-88,-68,-74,-72,-200,-71,-200,-70,-91,-84,-84,-66,-74,-74,-77,-200,-76,-200,-76,-200,-80,-83,-82,-87,-75,-84,-66,-83,-80,-200,-89,-78,-91,-88,-91,-85,-200,-88,-90,-90,-91,-200,-92,-85,-200,-86,-200,-200,-200,-200,-88,-83,-200,-90,-200,-89,-200,-200,-91,-200,-200,-200,-200,-89,-86,-200,-200,-200,-92,-90,-81,-200
1526454937535,-34,-35,-34,-56,-55,-55,-41,-50,-47,-61,-45,-70,-58,-63,-56,-60,-67,-60,-66,-63,-61,-69,-67,-67,-66,-69,-84,-81,-80,-76,-76,-69,-68,-53,-74,-81,-200,-81,-78,-75,-200,-73,-70,-69,-66,-72,-72,-86,-68,-72,-76,-84,-70,-200,-71,-83,-200,-87,-71,-74,-74,-79,-91,-50,-200,-76,-82,-81,-81,-200,-87,-76,-84,-70,-88,-80,-200,-89,-84,-91,-88,-91,-83,-200,-88,-90,-90,-91,-91,-91,-85,-200,-86,-200,-200,-200,-200,-89,-83,-200,-90,-87,-89,-200,-200,-89,-200,-200,-200,-200,-89,-86,-200,-200,-200,-94,-90,-81,-200
1526454940577,-22,-42,-34,-53,-56,-55,-49,-51,-47,-58,-56,-68,-60,-60,-62,-61,-67,-66,-70,-72,-59,-69,-70,-72,-68,-70,-84,-81,-80,-76,-78,-69,-68,-68,-73,-81,-200,-81,-77,-75,-200,-73,-72,-69,-71,-76,-72,-89,-68,-79,-74,-84,-71,-200,-70,-82,-84,-87,-76,-74,-79,-80,-91,-77,-92,-76,-82,-81,-81,-200,-86,-74,-86,-68,-84,-80,-200,-89,-78,-91,-86,-91,-83,-200,-90,-90,-94,-91,-91,-91,-85,-200,-86,-200,-200,-200,-200,-90,-83,-200,-88,-87,-200,-200,-200,-90,-200,-200,-200,-200,-89,-86,-200,-200,-200,-94,-90,-81,-79
1526454943621,-32,-35,-34,-55,-55,-53,-41,-51,-46,-57,-46,-59,-61,-63,-53,-62,-67,-66,-70,-64,-60,-65,-70,-64,-63,-63,-79,-79,-80,-70,-76,-71,-66,-61,-80,-80,-72,-81,-77,-73,-200,-73,-74,-69,-72,-76,-73,-85,-68,-66,-74,-84,-71,-200,-71,-88,-84,-87,-72,-74,-79,-79,-91,-77,-92,-76,-83,-81,-81,-200,-88,-74,-84,-71,-82,-79,-88,-200,-84,-91,-88,-91,-83,-200,-88,-91,-94,-91,-91,-91,-200,-200,-86,-200,-200,-90,-200,-90,-81,-200,-88,-87,-200,-200,-200,-89,-200,-200,-200,-200,-91,-200,-200,-200,-200,-94,-200,-81,-79
1526454946656,-35,-36,-34,-55,-55,-49,-41,-48,-46,-59,-45,-65,-60,-59,-55,-61,-65,-71,-70,-63,-65,-67,-55,-62,-67,-63,-79,-79,-80,-70,-76,-68,-66,-62,-82,-80,-72,-78,-79,-72,-200,-75,-73,-70,-72,-75,-73,-85,-68,-67,-73,-84,-71,-200,-71,-88,-84,-89,-73,-200,-78,-78,-91,-77,-92,-76,-83,-83,-85,-200,-88,-69,-84,-71,-87,-79,-89,-200,-83,-200,-88,-200,-83,-200,-87,-91,-91,-91,-91,-90,-200,-200,-88,-200,-200,-90,-200,-87,-81,-71,-87,-87,-200,-200,-73,-93,-200,-200,-86,-200,-91,-200,-200,-200,-91,-94,-90,-80,-79
