,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526454152813,-37,-35,-33,-48,-69,-48,-50,-49,-54,-49,-45,-60,-63,-70,-78,-60,-57,-49,-54,-200,-76,-75,-58,-68,-71,-62,-58,-200,-69,-77,-74,-71,-64,-66,-82,-76,-69,-79,-73,-67,-75,-72,-74,-68,-72,-69,-77,-83,-92,-62,-86,-64,-82,-74,-80,-78,-200,-85,-84,-84,-85,-72,-200,-60,-77,-79,-80,-200,-78,-70,-84,-200,-83,-89,-81,-88,-70,-200,-91,-200,-200,-200,-200,-87,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-82,-80,-79,-82,-92,-94,-89,-82,-91,-200,-200,-200,-93,-89,-200,-79,-87,-89,-90,-88,-200,-200,-200
1526454155854,-46,-33,-15,-47,-69,-57,-59,-48,-54,-51,-42,-63,-69,-71,-78,-62,-57,-50,-53,-200,-76,-74,-59,-67,-71,-62,-62,-200,-69,-73,-74,-80,-64,-66,-82,-76,-69,-78,-73,-67,-75,-71,-75,-68,-69,-66,-77,-83,-92,-83,-86,-64,-82,-70,-79,-78,-200,-84,-84,-84,-85,-72,-200,-66,-77,-79,-80,-200,-77,-70,-84,-200,-83,-89,-81,-88,-70,-200,-86,-200,-200,-200,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-82,-80,-79,-80,-92,-94,-89,-82,-91,-200,-200,-200,-93,-89,-200,-79,-87,-89,-90,-88,-200,-200,-200
1526454158896,-38,-34,-37,-48,-80,-51,-50,-49,-55,-51,-43,-61,-62,-70,-70,-60,-56,-49,-53,-200,-76,-75,-59,-67,-72,-62,-59,-79,-69,-76,-73,-80,-66,-66,-83,-76,-67,-75,-73,-68,-75,-72,-76,-67,-69,-68,-77,-82,-84,-83,-86,-64,-200,-76,-79,-78,-200,-84,-84,-84,-84,-72,-200,-60,-77,-79,-84,-200,-78,-73,-82,-200,-83,-89,-200,-88,-74,-200,-86,-200,-200,-200,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-85,-77,-79,-80,-90,-200,-200,-84,-91,-68,-200,-200,-90,-89,-200,-200,-200,-92,-90,-88,-83,-86,-200
1526454161933,-37,-33,-33,-47,-75,-52,-57,-48,-58,-50,-43,-60,-62,-70,-70,-60,-57,-53,-53,-200,-69,-73,-59,-68,-71,-62,-65,-79,-69,-76,-73,-80,-68,-63,-83,-76,-67,-80,-73,-68,-75,-72,-73,-66,-68,-68,-76,-82,-84,-76,-84,-64,-200,-76,-79,-78,-200,-82,-84,-86,-84,-72,-200,-59,-79,-79,-84,-200,-78,-71,-82,-200,-83,-200,-200,-88,-75,-200,-86,-200,-200,-200,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-85,-77,-79,-80,-90,-200,-200,-84,-91,-68,-89,-200,-90,-89,-200,-200,-200,-92,-200,-88,-83,-86,-200
1526454164978,-37,-14,-31,-47,-76,-52,-52,-49,-57,-50,-51,-64,-61,-71,-62,-58,-57,-48,-53,-200,-72,-73,-59,-72,-71,-67,-65,-78,-66,-76,-75,-80,-69,-63,-81,-200,-67,-80,-76,-70,-75,-73,-77,-65,-68,-67,-76,-82,-87,-74,-84,-200,-200,-76,-80,-200,-200,-82,-200,-84,-84,-71,-200,-59,-80,-80,-84,-200,-78,-71,-82,-200,-83,-200,-200,-88,-75,-200,-89,-200,-200,-200,-87,-87,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-90,-200,-80,-77,-200,-80,-90,-200,-200,-84,-200,-68,-89,-200,-89,-200,-200,-200,-200,-92,-200,-200,-83,-86,-200
1526454168017,-38,-39,-34,-49,-65,-52,-52,-45,-55,-49,-48,-64,-62,-75,-69,-58,-60,-52,-49,-200,-66,-50,-60,-70,-71,-67,-62,-71,-67,-75,-74,-200,-65,-60,-81,-200,-69,-80,-75,-70,-75,-72,-74,-77,-71,-73,-75,-82,-83,-74,-84,-83,-200,-75,-81,-200,-200,-82,-200,-84,-84,-71,-86,-52,-80,-80,-84,-200,-82,-71,-82,-200,-83,-200,-200,-87,-91,-200,-89,-200,-200,-200,-87,-87,-200,-200,-200,-87,-200,-200,-200,-200,-85,-200,-90,-200,-80,-77,-200,-200,-90,-200,-200,-84,-90,-68,-89,-200,-84,-200,-90,-200,-200,-92,-91,-200,-83,-86,-200
1526454171060,-38,-33,-35,-48,-69,-53,-57,-48,-53,-51,-50,-59,-62,-70,-69,-62,-60,-52,-53,-200,-66,-74,-57,-70,-71,-66,-63,-80,-69,-75,-73,-71,-69,-62,-81,-73,-65,-76,-72,-70,-76,-72,-79,-67,-68,-67,-75,-87,-86,-74,-84,-83,-200,-75,-78,-200,-200,-82,-200,-84,-200,-62,-86,-54,-80,-80,-84,-200,-77,-71,-82,-200,-83,-200,-200,-87,-73,-200,-85,-88,-200,-200,-87,-85,-200,-200,-200,-87,-200,-200,-200,-200,-85,-200,-88,-200,-80,-75,-200,-200,-200,-200,-200,-200,-90,-200,-89,-200,-89,-200,-92,-200,-86,-200,-91,-200,-200,-200,-200
1526454174096,-37,-34,-33,-48,-75,-49,-47,-48,-55,-50,-51,-61,-62,-70,-69,-59,-60,-51,-55,-200,-70,-74,-60,-66,-68,-67,-62,-80,-66,-76,-73,-71,-69,-66,-81,-77,-68,-78,-72,-65,-83,-73,-74,-67,-74,-68,-75,-87,-86,-73,-86,-83,-200,-75,-78,-200,-200,-84,-200,-86,-86,-69,-86,-60,-80,-80,-80,-200,-77,-74,-82,-200,-200,-88,-83,-87,-73,-200,-87,-88,-200,-200,-200,-84,-200,-88,-200,-87,-200,-200,-90,-200,-89,-200,-88,-200,-80,-75,-200,-83,-200,-200,-200,-82,-90,-200,-89,-200,-89,-200,-92,-200,-86,-200,-91,-200,-200,-200,-200
1526454177141,-22,-33,-33,-48,-74,-54,-64,-49,-54,-49,-52,-59,-61,-71,-64,-61,-56,-61,-53,-200,-75,-74,-58,-65,-68,-67,-60,-80,-66,-75,-72,-71,-69,-66,-82,-78,-68,-78,-72,-69,-74,-73,-75,-67,-70,-70,-75,-87,-85,-73,-86,-79,-200,-75,-79,-200,-200,-84,-200,-86,-84,-68,-86,-60,-84,-200,-80,-200,-78,-72,-84,-200,-77,-88,-83,-87,-70,-200,-86,-88,-200,-200,-200,-90,-200,-88,-200,-87,-200,-200,-90,-200,-89,-200,-88,-91,-86,-75,-200,-83,-200,-200,-200,-82,-90,-200,-89,-200,-89,-200,-91,-200,-85,-200,-91,-200,-200,-200,-200
1526454180153,-37,-33,-36,-48,-74,-51,-51,-48,-55,-50,-49,-62,-59,-69,-69,-59,-64,-52,-48,-200,-69,-46,-59,-65,-68,-67,-61,-73,-65,-77,-73,-71,-69,-62,-83,-78,-71,-78,-72,-70,-82,-68,-74,-67,-69,-67,-76,-87,-84,-75,-84,-79,-200,-73,-78,-200,-200,-84,-200,-86,-84,-68,-200,-60,-83,-200,-79,-200,-80,-72,-84,-200,-77,-88,-83,-200,-73,-200,-83,-88,-200,-200,-84,-85,-200,-87,-200,-200,-89,-200,-90,-90,-87,-200,-88,-91,-82,-75,-200,-83,-200,-200,-200,-86,-200,-200,-200,-200,-89,-200,-91,-200,-85,-200,-91,-200,-200,-80,-200
1526454183171,-36,-33,-33,-48,-70,-54,-47,-49,-53,-49,-52,-62,-59,-69,-67,-63,-62,-53,-55,-71,-59,-74,-58,-63,-69,-66,-67,-72,-67,-77,-68,-71,-70,-66,-84,-84,-69,-81,-73,-69,-75,-72,-74,-68,-73,-66,-75,-82,-85,-75,-85,-87,-200,-75,-78,-200,-200,-85,-88,-89,-83,-71,-85,-59,-83,-81,-83,-200,-79,-74,-89,-200,-82,-88,-83,-88,-74,-200,-85,-200,-200,-200,-85,-85,-200,-85,-200,-200,-89,-200,-89,-90,-87,-200,-200,-91,-81,-78,-200,-200,-89,-200,-88,-86,-200,-200,-200,-200,-200,-200,-89,-81,-86,-200,-200,-200,-200,-81,-88
1526454186225,-37,-34,-38,-48,-67,-55,-49,-49,-55,-50,-52,-60,-55,-68,-69,-61,-57,-53,-54,-71,-59,-74,-58,-68,-73,-66,-67,-72,-65,-75,-74,-71,-69,-66,-81,-80,-69,-80,-72,-69,-71,-72,-76,-67,-69,-65,-76,-82,-84,-75,-85,-81,-200,-75,-79,-200,-200,-86,-88,-89,-83,-68,-85,-60,-83,-69,-83,-200,-80,-74,-89,-200,-82,-88,-83,-88,-74,-200,-85,-200,-200,-200,-85,-88,-200,-87,-200,-200,-89,-200,-90,-92,-87,-200,-89,-200,-81,-78,-81,-200,-89,-200,-88,-86,-200,-200,-200,-200,-200,-200,-90,-81,-86,-200,-200,-200,-200,-81,-88
