,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526453902849,-49,-45,-46,-48,-58,-64,-45,-74,-53,-59,-54,-76,-65,-64,-68,-69,-78,-72,-63,-73,-69,-75,-80,-66,-72,-74,-79,-75,-67,-200,-72,-81,-75,-77,-77,-79,-80,-74,-83,-77,-200,-82,-75,-200,-86,-85,-87,-200,-79,-89,-200,-80,-87,-200,-200,-90,-88,-200,-200,-200,-57,-70,-200,-90,-200,-200,-84,-200,-85,-200,-89,-92,-92,-75,-200,-200,-200
1526453905868,-47,-41,-42,-53,-54,-64,-47,-74,-58,-68,-53,-76,-56,-53,-60,-72,-78,-73,-200,-73,-69,-70,-76,-66,-69,-76,-79,-74,-68,-200,-70,-83,-73,-73,-77,-79,-81,-79,-85,-77,-84,-80,-77,-200,-82,-85,-87,-200,-79,-90,-200,-80,-87,-200,-200,-90,-200,-200,-200,-89,-57,-71,-200,-90,-200,-200,-81,-200,-83,-200,-89,-92,-92,-66,-200,-200,-200
1526453908880,-48,-39,-43,-43,-60,-44,-45,-74,-58,-66,-59,-61,-58,-53,-67,-75,-69,-65,-71,-76,-69,-70,-76,-57,-71,-76,-79,-74,-63,-84,-74,-83,-73,-75,-77,-74,-81,-76,-85,-78,-84,-80,-75,-200,-82,-200,-87,-200,-82,-90,-200,-90,-80,-200,-200,-200,-90,-200,-200,-89,-57,-66,-200,-90,-200,-200,-78,-200,-83,-200,-90,-88,-200,-66,-85,-200,-200
1526453911892,-49,-40,-43,-48,-56,-44,-47,-72,-56,-68,-59,-61,-54,-54,-67,-72,-69,-65,-71,-72,-69,-71,-77,-58,-65,-74,-85,-74,-66,-84,-71,-81,-72,-75,-83,-76,-77,-76,-85,-78,-84,-80,-77,-200,-82,-200,-83,-200,-82,-90,-200,-90,-80,-200,-200,-200,-90,-200,-200,-89,-57,-70,-200,-89,-200,-200,-78,-200,-83,-200,-90,-88,-200,-66,-85,-200,-200
1526453914928,-49,-45,-45,-49,-58,-54,-46,-72,-56,-58,-63,-59,-62,-58,-65,-72,-76,-68,-75,-71,-69,-71,-76,-65,-69,-72,-85,-72,-66,-84,-70,-82,-72,-77,-77,-78,-80,-74,-83,-83,-200,-80,-70,-91,-89,-200,-82,-200,-83,-200,-89,-77,-84,-200,-200,-200,-92,-91,-200,-200,-54,-79,-200,-89,-86,-200,-78,-200,-200,-200,-90,-90,-200,-200,-85,-81,-200
1526453917955,-53,-45,-43,-59,-57,-61,-53,-72,-57,-60,-55,-59,-60,-57,-62,-69,-72,-65,-76,-73,-65,-74,-76,-64,-72,-75,-85,-72,-75,-84,-68,-81,-72,-77,-78,-79,-81,-73,-83,-78,-200,-80,-74,-91,-80,-86,-84,-200,-83,-200,-89,-83,-87,-200,-200,-200,-92,-91,-200,-200,-55,-67,-200,-89,-86,-200,-86,-200,-84,-200,-90,-90,-200,-200,-85,-81,-200
1526453920969,-54,-45,-48,-48,-54,-61,-47,-68,-54,-57,-54,-63,-65,-57,-66,-65,-72,-65,-65,-73,-68,-74,-80,-69,-72,-76,-88,-72,-69,-200,-70,-81,-72,-72,-80,-77,-81,-71,-83,-78,-200,-80,-70,-90,-85,-86,-86,-200,-78,-200,-89,-83,-88,-200,-200,-200,-92,-200,-200,-200,-52,-76,-200,-90,-200,-200,-86,-200,-84,-200,-200,-90,-200,-200,-200,-200,-200
1526453924009,-47,-47,-44,-48,-53,-61,-42,-71,-57,-57,-55,-58,-66,-59,-69,-65,-75,-68,-68,-73,-77,-79,-80,-62,-77,-73,-88,-72,-67,-200,-73,-81,-200,-72,-80,-73,-84,-72,-79,-78,-200,-82,-70,-87,-86,-86,-86,-200,-79,-200,-89,-77,-88,-200,-200,-200,-200,-91,-200,-200,-45,-72,-200,-90,-200,-200,-86,-200,-84,-200,-200,-90,-200,-200,-87,-200,-200
1526453927042,-56,-44,-43,-42,-53,-61,-54,-62,-59,-60,-59,-58,-59,-59,-66,-70,-74,-63,-68,-73,-77,-72,-80,-62,-71,-75,-83,-76,-71,-89,-70,-81,-200,-75,-81,-78,-84,-76,-79,-78,-200,-83,-69,-87,-87,-86,-86,-200,-85,-200,-200,-77,-90,-200,-200,-200,-200,-91,-200,-200,-54,-74,-200,-90,-200,-200,-86,-200,-84,-200,-200,-200,-200,-200,-87,-200,-200
1526453930075,-55,-44,-45,-57,-58,-66,-45,-67,-64,-65,-56,-68,-65,-59,-66,-70,-74,-67,-68,-73,-77,-73,-77,-62,-71,-73,-78,-76,-68,-85,-70,-200,-77,-77,-79,-73,-84,-76,-79,-84,-200,-83,-71,-87,-87,-200,-87,-200,-83,-200,-200,-77,-89,-200,-200,-200,-200,-91,-200,-200,-65,-69,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-87,-200,-89
1526453933110,-59,-45,-46,-47,-61,-64,-47,-67,-64,-63,-55,-63,-66,-59,-69,-70,-79,-66,-65,-73,-77,-72,-80,-62,-71,-75,-78,-76,-68,-85,-71,-200,-76,-77,-78,-73,-84,-76,-83,-84,-200,-85,-70,-87,-85,-82,-87,-200,-83,-200,-90,-80,-89,-200,-200,-200,-200,-86,-200,-200,-56,-70,-200,-89,-200,-200,-200,-200,-200,-200,-200,-90,-200,-65,-87,-200,-89
1526453936125,-54,-44,-45,-49,-57,-62,-45,-70,-53,-61,-54,-63,-62,-57,-67,-66,-74,-65,-66,-71,-200,-75,-80,-72,-79,-73,-86,-75,-68,-85,-70,-81,-76,-79,-78,-76,-81,-78,-83,-82,-200,-81,-61,-200,-86,-82,-80,-200,-83,-200,-90,-80,-89,-200,-200,-200,-200,-91,-200,-200,-53,-73,-91,-89,-200,-200,-80,-200,-200,-200,-200,-92,-90,-75,-89,-200,-89
