,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A68,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,whu2011314
1526454692740,-49,-81,-49,-36,-57,-66,-59,-57,-66,-53,-62,-57,-64,-64,-58,-59,-62,-68,-68,-71,-62,-74,-73,-70,-60,-74,-73,-71,-71,-66,-79,-74,-73,-71,-200,-77,-82,-63,-62,-84,-83,-87,-77,-200,-80,-83,-81,-82,-85,-86,-200,-200,-200,-82,-85,-91,-88,-200,-200,-200,-200,-90,-88,-77,-87,-88,-84,-90,-90,-91,-86,-81,-88,-200,-200,-200,-200
1526454695780,-49,-81,-48,-36,-54,-65,-53,-55,-66,-53,-62,-60,-65,-70,-58,-58,-62,-69,-68,-71,-62,-74,-71,-70,-60,-66,-68,-74,-71,-68,-80,-78,-79,-72,-71,-77,-82,-67,-62,-83,-83,-87,-78,-78,-80,-83,-81,-200,-82,-86,-200,-200,-200,-84,-85,-200,-88,-200,-200,-200,-200,-90,-88,-77,-87,-88,-86,-90,-200,-91,-86,-81,-88,-200,-200,-200,-200
1526454698817,-48,-81,-50,-35,-55,-71,-55,-55,-66,-53,-63,-60,-59,-61,-58,-58,-70,-69,-68,-72,-63,-67,-70,-70,-62,-73,-70,-69,-71,-72,-79,-76,-79,-72,-74,-76,-82,-63,-66,-90,-83,-87,-81,-78,-83,-83,-200,-74,-84,-88,-200,-84,-200,-84,-85,-200,-84,-200,-200,-200,-200,-200,-88,-79,-200,-88,-86,-90,-200,-200,-86,-81,-88,-200,-200,-200,-200
1526454701852,-48,-84,-49,-37,-54,-68,-51,-56,-66,-56,-63,-59,-60,-61,-60,-60,-70,-70,-68,-75,-59,-67,-69,-71,-63,-71,-70,-66,-73,-72,-51,-81,-79,-78,-74,-77,-82,-63,-67,-90,-200,-87,-81,-78,-81,-83,-200,-77,-86,-86,-200,-84,-200,-84,-88,-200,-83,-200,-200,-200,-200,-200,-88,-79,-90,-88,-86,-90,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526454704863,-48,-84,-53,-36,-56,-68,-50,-55,-64,-55,-64,-64,-60,-61,-56,-60,-63,-68,-200,-74,-60,-69,-70,-71,-59,-69,-70,-68,-75,-66,-74,-81,-82,-77,-73,-77,-200,-63,-66,-87,-200,-88,-80,-78,-78,-86,-200,-79,-86,-86,-200,-81,-200,-84,-88,-200,-83,-200,-200,-200,-200,-90,-88,-81,-90,-88,-88,-90,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454707902,-51,-84,-48,-34,-58,-72,-55,-58,-64,-58,-63,-61,-59,-66,-55,-60,-63,-68,-67,-74,-58,-67,-70,-71,-63,-74,-68,-69,-70,-70,-80,-81,-73,-75,-73,-74,-200,-58,-64,-87,-82,-87,-80,-200,-83,-86,-81,-81,-86,-88,-88,-81,-87,-200,-88,-200,-82,-200,-200,-200,-200,-90,-88,-78,-86,-200,-82,-200,-200,-200,-200,-200,-200,-91,-83,-91,-200
1526454710940,-50,-79,-48,-33,-58,-64,-52,-54,-64,-51,-63,-58,-63,-62,-57,-59,-63,-67,-67,-74,-56,-66,-76,-70,-60,-73,-68,-70,-70,-70,-77,-74,-73,-76,-73,-74,-200,-58,-62,-87,-84,-87,-77,-78,-83,-86,-81,-79,-86,-88,-88,-84,-87,-200,-88,-200,-82,-200,-200,-200,-200,-90,-88,-78,-86,-90,-87,-89,-200,-200,-200,-200,-200,-90,-83,-91,-200
1526454713974,-51,-79,-49,-34,-58,-63,-52,-57,-64,-51,-62,-54,-59,-65,-55,-61,-69,-67,-69,-71,-56,-66,-69,-70,-62,-73,-70,-71,-70,-70,-79,-76,-73,-76,-73,-74,-200,-58,-65,-84,-78,-87,-74,-78,-80,-86,-80,-79,-85,-88,-88,-79,-87,-84,-86,-200,-88,-200,-200,-200,-200,-90,-200,-78,-86,-87,-87,-89,-200,-200,-200,-200,-200,-90,-83,-91,-200
1526454716983,-48,-78,-51,-35,-58,-67,-53,-56,-64,-51,-62,-58,-62,-64,-56,-61,-64,-67,-65,-73,-56,-66,-69,-67,-63,-71,-67,-73,-69,-70,-77,-76,-73,-76,-200,-76,-200,-58,-63,-84,-78,-87,-76,-78,-80,-200,-80,-79,-85,-88,-88,-79,-87,-84,-86,-200,-83,-200,-200,-200,-200,-200,-91,-78,-90,-87,-85,-89,-200,-200,-200,-200,-200,-90,-83,-91,-200
1526454720018,-49,-78,-48,-37,-56,-64,-52,-54,-61,-53,-62,-59,-58,-64,-56,-57,-64,-69,-65,-73,-60,-66,-69,-67,-59,-66,-69,-71,-72,-70,-77,-83,-83,-76,-200,-77,-200,-200,-60,-84,-78,-200,-76,-78,-80,-200,-80,-79,-85,-88,-200,-79,-200,-84,-86,-200,-84,-200,-200,-200,-91,-200,-91,-78,-90,-89,-86,-87,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526454723054,-48,-78,-51,-34,-56,-66,-52,-54,-61,-55,-63,-62,-59,-61,-55,-58,-65,-69,-66,-67,-59,-66,-70,-67,-59,-72,-70,-69,-72,-70,-77,-82,-83,-73,-71,-77,-75,-62,-64,-84,-78,-200,-76,-79,-77,-200,-80,-79,-85,-92,-200,-79,-200,-84,-87,-200,-81,-200,-200,-200,-91,-200,-88,-79,-91,-89,-86,-87,-200,-200,-200,-200,-200,-90,-200,-200,-89
1526454726090,-49,-79,-50,-34,-58,-66,-53,-54,-61,-54,-63,-56,-62,-59,-57,-57,-63,-69,-66,-70,-59,-66,-69,-68,-61,-66,-70,-67,-73,-70,-76,-82,-75,-74,-71,-77,-75,-62,-65,-200,-78,-200,-76,-81,-77,-200,-200,-79,-85,-92,-200,-200,-200,-200,-85,-90,-81,-200,-200,-200,-91,-200,-88,-77,-91,-89,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-89
