,DLINK_D02A60,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz
1526453976290,-46,-38,-53,-43,-53,-78,-68,-67,-60,-66,-65,-56,-66,-60,-60,-62,-56,-70,-64,-79,-70,-82,-74,-73,-85,-70,-82,-76,-75,-70,-72,-64,-69,-200,-73,-75,-81,-76,-89,-73,-79,-69,-85,-88,-78,-81,-84,-200,-200,-200,-88,-87,-200,-82,-91,-200,-200,-91,-200,-200,-81,-74,-200,-200,-200,-83,-89,-91,-89,-85,-89,-200
1526453979299,-46,-38,-53,-43,-53,-78,-68,-67,-60,-66,-65,-56,-66,-60,-60,-62,-56,-70,-64,-79,-70,-82,-74,-73,-85,-70,-82,-76,-75,-70,-72,-64,-69,-200,-73,-75,-81,-76,-89,-73,-79,-69,-85,-88,-78,-81,-84,-200,-200,-200,-88,-87,-200,-82,-91,-200,-200,-91,-200,-200,-81,-74,-200,-200,-200,-83,-89,-91,-89,-85,-89,-200
1526453982333,-46,-38,-53,-43,-53,-78,-68,-67,-60,-66,-65,-56,-66,-60,-60,-62,-56,-70,-64,-79,-70,-82,-74,-73,-85,-70,-82,-76,-75,-70,-72,-64,-69,-200,-73,-75,-81,-76,-89,-73,-79,-69,-85,-88,-78,-81,-84,-200,-200,-200,-88,-87,-200,-82,-91,-200,-200,-91,-200,-200,-81,-74,-200,-200,-200,-83,-89,-91,-89,-85,-89,-200
1526453985349,-46,-38,-53,-43,-53,-78,-68,-67,-60,-66,-65,-56,-66,-60,-60,-62,-56,-70,-64,-79,-70,-82,-74,-73,-85,-70,-82,-76,-75,-70,-72,-64,-69,-200,-73,-75,-81,-76,-89,-73,-79,-69,-85,-88,-78,-81,-84,-200,-200,-200,-88,-87,-200,-82,-91,-200,-200,-91,-200,-200,-81,-74,-200,-200,-200,-83,-89,-91,-89,-85,-89,-200
1526453988358,-43,-37,-60,-46,-49,-65,-68,-64,-65,-61,-63,-59,-65,-55,-54,-64,-59,-69,-67,-77,-67,-74,-65,-70,-80,-66,-82,-76,-75,-69,-72,-67,-69,-78,-77,-75,-75,-75,-86,-66,-75,-70,-80,-88,-88,-79,-84,-85,-200,-200,-88,-87,-200,-200,-91,-200,-200,-91,-200,-200,-81,-71,-200,-200,-200,-83,-89,-200,-89,-88,-89,-200
1526453991373,-45,-39,-53,-47,-49,-64,-70,-66,-65,-65,-63,-54,-64,-65,-58,-67,-54,-72,-73,-76,-69,-76,-63,-71,-79,-66,-200,-200,-76,-70,-200,-67,-200,-78,-77,-73,-75,-73,-86,-66,-75,-68,-80,-89,-84,-82,-83,-84,-84,-200,-88,-200,-200,-86,-200,-200,-200,-200,-90,-200,-79,-75,-200,-200,-200,-200,-89,-200,-200,-88,-200,-200
1526453994399,-47,-42,-54,-49,-50,-64,-70,-65,-62,-62,-61,-56,-65,-65,-58,-65,-57,-71,-75,-75,-69,-75,-65,-70,-79,-66,-81,-82,-75,-70,-200,-67,-200,-78,-77,-76,-74,-76,-88,-65,-75,-66,-80,-85,-84,-77,-83,-84,-84,-200,-88,-200,-200,-82,-200,-200,-200,-200,-90,-200,-79,-71,-85,-200,-75,-81,-89,-89,-200,-88,-200,-200
1526453997436,-45,-38,-56,-44,-49,-62,-75,-68,-67,-62,-63,-54,-64,-55,-60,-66,-60,-68,-66,-76,-71,-77,-64,-67,-79,-68,-81,-82,-76,-69,-70,-68,-72,-78,-75,-75,-78,-76,-90,-67,-76,-72,-83,-87,-84,-77,-83,-84,-88,-200,-88,-200,-200,-81,-89,-200,-200,-200,-90,-200,-78,-68,-85,-200,-75,-81,-89,-89,-200,-88,-200,-200
1526454000445,-44,-39,-71,-44,-54,-62,-67,-66,-60,-62,-62,-57,-66,-58,-63,-61,-55,-69,-65,-78,-69,-75,-64,-69,-79,-74,-81,-82,-77,-67,-70,-68,-69,-78,-75,-79,-78,-78,-88,-69,-76,-75,-83,-90,-84,-77,-83,-84,-88,-84,-200,-200,-200,-81,-89,-200,-200,-200,-90,-200,-78,-68,-85,-200,-75,-81,-89,-89,-200,-88,-200,-200
1526454003475,-51,-38,-52,-45,-52,-74,-63,-66,-60,-200,-61,-55,-82,-57,-52,-61,-56,-65,-67,-84,-72,-74,-64,-71,-79,-70,-76,-82,-77,-65,-70,-79,-70,-78,-78,-79,-78,-78,-88,-70,-74,-64,-81,-90,-200,-80,-90,-200,-84,-84,-87,-200,-200,-81,-87,-200,-200,-200,-200,-200,-78,-72,-200,-200,-71,-92,-89,-89,-200,-88,-200,-200
1526454006490,-51,-39,-53,-46,-59,-74,-64,-70,-60,-59,-59,-55,-73,-59,-51,-62,-56,-65,-65,-78,-72,-73,-60,-69,-82,-68,-83,-82,-80,-64,-70,-80,-68,-200,-78,-74,-75,-79,-85,-70,-77,-65,-81,-86,-200,-80,-90,-200,-84,-84,-87,-200,-200,-85,-87,-200,-200,-200,-200,-200,-74,-70,-200,-200,-71,-92,-200,-200,-200,-88,-200,-200
1526454009503,-55,-40,-56,-46,-57,-74,-65,-69,-60,-62,-61,-54,-73,-58,-50,-62,-58,-68,-63,-78,-71,-75,-61,-67,-82,-69,-83,-200,-79,-63,-70,-80,-70,-200,-78,-72,-75,-80,-86,-68,-77,-66,-84,-86,-200,-78,-90,-86,-85,-87,-87,-89,-200,-88,-87,-200,-200,-200,-200,-200,-82,-73,-200,-200,-71,-92,-200,-200,-200,-88,-200,-85
