,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,whu2011314,DLINK_D02A28,DLINK_D02A98,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454764500,-40,-48,-55,-64,-53,-55,-57,-49,-71,-52,-63,-68,-56,-65,-63,-75,-63,-62,-70,-61,-60,-74,-74,-74,-76,-67,-200,-75,-72,-64,-76,-74,-69,-73,-200,-76,-75,-69,-87,-79,-73,-78,-76,-82,-81,-87,-77,-84,-91,-81,-84,-81,-200,-91,-86,-89,-200,-200,-200,-86,-86,-200,-200,-200,-200,-73,-200,-79,-86,-90,-200,-90,-90,-66,-94,-200,-200
1526454767524,-40,-45,-58,-66,-51,-58,-53,-49,-71,-52,-59,-66,-54,-63,-61,-70,-63,-65,-69,-55,-62,-74,-75,-74,-71,-70,-200,-77,-72,-64,-78,-73,-69,-74,-200,-79,-75,-69,-87,-79,-70,-72,-75,-82,-81,-88,-77,-84,-91,-81,-84,-81,-200,-91,-86,-89,-200,-200,-200,-86,-86,-200,-200,-200,-200,-73,-89,-86,-86,-90,-200,-90,-90,-66,-94,-86,-200
1526454770553,-40,-47,-58,-66,-60,-58,-54,-53,-71,-52,-63,-67,-57,-61,-59,-71,-60,-58,-67,-55,-60,-79,-69,-70,-75,-70,-200,-77,-72,-64,-74,-76,-78,-66,-200,-75,-78,-75,-87,-79,-70,-79,-75,-200,-81,-88,-79,-200,-91,-81,-83,-81,-200,-91,-86,-90,-200,-200,-200,-200,-88,-200,-200,-200,-200,-86,-89,-86,-86,-200,-200,-88,-200,-66,-94,-86,-200
1526454773594,-42,-47,-57,-66,-53,-55,-54,-49,-71,-54,-64,-62,-56,-61,-64,-71,-60,-57,-72,-55,-61,-79,-69,-70,-76,-79,-74,-77,-72,-64,-74,-74,-71,-71,-74,-76,-78,-72,-87,-79,-70,-79,-76,-84,-200,-88,-81,-200,-91,-79,-84,-83,-88,-91,-86,-90,-200,-88,-200,-200,-79,-200,-200,-200,-200,-86,-89,-86,-86,-200,-200,-88,-200,-66,-94,-85,-90
1526454776624,-41,-46,-72,-64,-59,-55,-56,-49,-200,-51,-63,-62,-54,-61,-62,-70,-60,-58,-66,-58,-62,-78,-68,-70,-74,-67,-74,-77,-71,-63,-72,-78,-73,-68,-74,-77,-79,-77,-200,-200,-73,-78,-77,-84,-200,-200,-83,-200,-200,-77,-83,-80,-88,-200,-84,-90,-200,-88,-200,-83,-79,-200,-200,-200,-200,-86,-88,-76,-200,-200,-200,-88,-200,-200,-200,-85,-90
1526454779651,-43,-48,-57,-64,-55,-55,-55,-49,-73,-53,-62,-62,-56,-68,-63,-75,-59,-59,-68,-58,-61,-78,-67,-72,-78,-77,-72,-82,-71,-63,-71,-75,-72,-73,-74,-77,-79,-75,-200,-200,-72,-78,-79,-84,-200,-200,-83,-83,-200,-84,-83,-82,-88,-200,-84,-200,-200,-88,-200,-83,-79,-200,-200,-200,-200,-200,-88,-76,-200,-200,-200,-88,-200,-200,-90,-85,-90
1526454782664,-38,-46,-57,-64,-57,-59,-54,-49,-73,-51,-58,-64,-55,-62,-62,-75,-60,-59,-64,-58,-59,-69,-67,-72,-76,-77,-74,-82,-71,-61,-78,-75,-68,-75,-68,-78,-73,-75,-200,-200,-72,-78,-78,-200,-84,-88,-83,-83,-200,-84,-85,-82,-200,-200,-84,-200,-200,-200,-200,-83,-92,-200,-200,-200,-200,-200,-88,-76,-200,-200,-200,-88,-200,-200,-90,-200,-200
1526454785686,-38,-47,-58,-64,-59,-52,-60,-48,-73,-49,-60,-61,-55,-62,-67,-75,-60,-63,-67,-58,-67,-72,-71,-71,-76,-77,-73,-82,-79,-62,-77,-76,-76,-70,-68,-78,-76,-75,-84,-82,-77,-78,-76,-200,-80,-88,-200,-83,-200,-84,-85,-86,-200,-200,-84,-89,-200,-200,-200,-83,-92,-200,-200,-200,-84,-200,-200,-74,-200,-91,-200,-200,-200,-200,-90,-200,-200
1526454788709,-40,-47,-55,-64,-55,-51,-62,-54,-73,-69,-62,-65,-56,-64,-62,-67,-62,-60,-69,-58,-58,-77,-66,-70,-68,-77,-73,-82,-79,-63,-73,-75,-73,-73,-68,-78,-73,-71,-84,-82,-77,-200,-76,-200,-79,-88,-80,-83,-200,-79,-84,-79,-200,-200,-84,-89,-200,-200,-200,-82,-92,-200,-200,-200,-84,-200,-200,-74,-200,-91,-90,-89,-200,-200,-90,-200,-200
1526454791746,-43,-50,-53,-64,-56,-51,-66,-54,-73,-54,-63,-63,-59,-64,-65,-67,-62,-59,-65,-200,-64,-77,-70,-70,-69,-200,-75,-79,-69,-66,-74,-73,-71,-70,-78,-77,-73,-74,-84,-83,-71,-200,-79,-200,-79,-88,-82,-85,-200,-79,-84,-84,-200,-200,-87,-89,-90,-200,-200,-82,-88,-200,-200,-200,-84,-88,-200,-74,-200,-91,-90,-89,-200,-72,-200,-200,-200
1526454794786,-40,-51,-56,-64,-54,-57,-56,-51,-73,-54,-63,-66,-58,-67,-65,-67,-62,-67,-67,-65,-61,-77,-69,-71,-72,-70,-78,-78,-69,-66,-75,-75,-76,-73,-78,-75,-78,-74,-84,-83,-71,-79,-79,-200,-79,-90,-82,-85,-200,-79,-84,-84,-200,-200,-87,-89,-90,-200,-200,-82,-88,-200,-200,-200,-84,-88,-87,-76,-200,-91,-90,-90,-200,-72,-200,-200,-200
1526454797824,-43,-46,-56,-64,-52,-57,-58,-49,-73,-53,-61,-64,-59,-64,-67,-67,-62,-57,-67,-65,-62,-77,-69,-73,-72,-70,-77,-79,-69,-66,-75,-75,-67,-76,-78,-74,-76,-74,-200,-80,-71,-81,-76,-200,-81,-90,-82,-85,-200,-78,-82,-84,-200,-200,-87,-200,-89,-200,-200,-82,-90,-200,-200,-84,-200,-88,-87,-76,-200,-91,-90,-90,-200,-71,-92,-84,-200
