,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454267824,-45,-37,-30,-45,-47,-50,-55,-68,-57,-61,-73,-52,-52,-51,-61,-71,-73,-200,-68,-81,-70,-80,-200,-200,-88,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-84,-91,-92,-98,-200,-200,-200,-200
1526454270864,-45,-37,-30,-45,-47,-50,-55,-68,-57,-61,-73,-52,-52,-51,-61,-71,-73,-200,-68,-81,-70,-80,-200,-200,-88,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-84,-91,-92,-98,-200,-200,-200,-200
1526454273903,-45,-37,-30,-45,-47,-50,-55,-68,-57,-61,-73,-52,-52,-51,-61,-71,-73,-200,-68,-81,-70,-80,-200,-200,-88,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-84,-91,-92,-98,-200,-200,-200,-200
1526454276943,-45,-37,-31,-45,-47,-48,-56,-200,-56,-59,-75,-51,-53,-53,-61,-67,-77,-86,-67,-81,-67,-81,-200,-200,-200,-87,-200,-200,-200,-81,-200,-69,-200,-87,-200,-85,-200,-200,-200,-77,-200,-200,-200
1526454279977,-44,-37,-31,-46,-47,-48,-57,-61,-57,-59,-75,-51,-52,-52,-65,-67,-77,-84,-63,-79,-67,-81,-200,-200,-200,-87,-200,-200,-200,-81,-200,-69,-200,-87,-200,-85,-200,-200,-200,-71,-200,-200,-200
1526454283008,-44,-37,-31,-46,-47,-48,-57,-61,-57,-59,-75,-51,-52,-52,-65,-67,-77,-84,-63,-79,-67,-81,-200,-200,-200,-87,-200,-200,-200,-81,-200,-69,-200,-87,-200,-85,-200,-200,-200,-71,-200,-200,-200
1526454286041,-44,-37,-31,-46,-47,-48,-57,-61,-57,-59,-75,-51,-52,-52,-65,-67,-77,-84,-63,-79,-67,-81,-200,-200,-200,-87,-200,-200,-200,-81,-200,-69,-200,-87,-200,-85,-200,-200,-200,-71,-200,-200,-200
1526454289073,-44,-36,-31,-46,-46,-56,-52,-65,-56,-60,-200,-50,-51,-52,-65,-72,-200,-84,-65,-80,-71,-200,-88,-82,-200,-87,-200,-200,-200,-200,-200,-68,-200,-85,-200,-82,-200,-200,-200,-71,-86,-90,-200
1526454292113,-44,-36,-31,-45,-50,-47,-54,-65,-54,-59,-200,-50,-52,-52,-62,-72,-200,-84,-66,-80,-71,-200,-88,-81,-200,-87,-200,-200,-200,-200,-200,-72,-200,-85,-200,-82,-200,-200,-200,-71,-86,-90,-200
1526454295146,-44,-36,-31,-45,-50,-47,-54,-65,-54,-59,-200,-50,-52,-52,-62,-72,-200,-84,-66,-80,-71,-200,-88,-81,-200,-87,-200,-200,-200,-200,-200,-72,-200,-85,-200,-82,-200,-200,-200,-71,-86,-90,-200
1526454298179,-44,-36,-31,-45,-50,-47,-54,-65,-54,-59,-200,-50,-52,-52,-62,-72,-200,-84,-66,-80,-71,-200,-88,-81,-200,-87,-200,-200,-200,-200,-200,-72,-200,-85,-200,-82,-200,-200,-200,-71,-86,-90,-200
1526454301222,-44,-36,-31,-45,-47,-53,-54,-67,-56,-59,-200,-50,-52,-51,-64,-68,-200,-84,-64,-80,-71,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-68,-87,-200,-200,-85,-200,-200,-200,-200,-200,-200,-87
