,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526453551803,-39,-47,-45,-40,-57,-62,-56,-65,-58,-63,-67,-67,-58,-64,-67,-66,-71,-78,-77,-82,-80,-200,-200,-200,-83,-200,-200,-200,-87,-86,-200,-200,-200,-91,-81,-86
1526453552149,-39,-47,-45,-40,-57,-62,-56,-65,-58,-63,-67,-67,-58,-64,-67,-66,-71,-78,-77,-82,-80,-200,-200,-200,-83,-200,-200,-200,-87,-86,-200,-200,-200,-91,-81,-86
1526453554829,-39,-47,-45,-40,-57,-62,-56,-65,-58,-63,-67,-67,-58,-64,-67,-66,-71,-78,-77,-82,-80,-200,-200,-200,-83,-200,-200,-200,-87,-86,-200,-200,-200,-91,-81,-86
1526453555184,-39,-47,-45,-40,-57,-62,-56,-65,-58,-63,-67,-67,-58,-64,-67,-66,-71,-78,-77,-82,-80,-200,-200,-200,-83,-200,-200,-200,-87,-86,-200,-200,-200,-91,-81,-86
1526453557863,-39,-47,-45,-40,-57,-62,-56,-65,-58,-63,-67,-67,-58,-64,-67,-66,-71,-78,-77,-82,-80,-200,-200,-200,-83,-200,-200,-200,-87,-86,-200,-200,-200,-91,-81,-86
1526453558217,-39,-47,-45,-40,-57,-62,-56,-65,-58,-63,-67,-67,-58,-64,-67,-66,-71,-78,-77,-82,-80,-200,-200,-200,-83,-200,-200,-200,-87,-86,-200,-200,-200,-91,-81,-86
1526453560905,-44,-49,-41,-39,-57,-58,-71,-57,-57,-64,-65,-64,-55,-67,-63,-200,-76,-74,-70,-82,-83,-200,-200,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-87,-81,-200
1526453561250,-44,-49,-41,-39,-57,-58,-71,-57,-57,-64,-65,-64,-55,-67,-63,-200,-76,-74,-70,-82,-83,-200,-200,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-87,-81,-200
1526453563936,-44,-50,-41,-40,-57,-58,-71,-57,-56,-63,-65,-63,-61,-67,-63,-200,-76,-74,-70,-75,-83,-200,-200,-200,-200,-200,-200,-200,-87,-83,-200,-200,-200,-87,-85,-200
1526453564281,-44,-50,-41,-40,-57,-58,-71,-57,-56,-63,-65,-63,-61,-67,-63,-200,-76,-74,-70,-75,-83,-200,-200,-200,-200,-200,-200,-200,-87,-83,-200,-200,-200,-87,-85,-200
1526453566965,-44,-50,-41,-40,-57,-58,-71,-57,-56,-63,-65,-63,-61,-67,-63,-200,-76,-74,-70,-75,-83,-200,-200,-200,-200,-200,-200,-200,-87,-83,-200,-200,-200,-87,-85,-200
1526453567311,-44,-50,-41,-40,-57,-58,-71,-57,-56,-63,-65,-63,-61,-67,-63,-200,-76,-74,-70,-75,-83,-200,-200,-200,-200,-200,-200,-200,-87,-83,-200,-200,-200,-87,-85,-200
1526453570007,-44,-50,-41,-40,-57,-58,-71,-57,-56,-63,-65,-63,-61,-67,-63,-200,-76,-74,-70,-75,-83,-200,-200,-200,-200,-200,-200,-200,-87,-83,-200,-200,-200,-87,-85,-200
1526453570345,-44,-50,-41,-40,-57,-58,-71,-57,-56,-63,-65,-63,-61,-67,-63,-200,-76,-74,-70,-75,-83,-200,-200,-200,-200,-200,-200,-200,-87,-83,-200,-200,-200,-87,-85,-200
1526453573044,-44,-50,-42,-39,-59,-57,-69,-53,-56,-61,-66,-63,-60,-65,-63,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-84,-200,-200,-200,-200,-84,-200
1526453573367,-44,-50,-42,-39,-59,-57,-69,-53,-56,-61,-66,-63,-60,-65,-63,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-84,-200,-200,-200,-200,-84,-200
1526453576076,-44,-50,-42,-40,-59,-58,-69,-55,-56,-63,-67,-64,-61,-68,-64,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200
1526453576398,-44,-50,-42,-40,-59,-58,-69,-55,-56,-63,-67,-64,-61,-68,-64,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200
1526453579105,-44,-50,-42,-40,-59,-58,-69,-55,-56,-63,-67,-64,-61,-68,-64,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200
1526453579429,-44,-50,-42,-40,-59,-58,-69,-55,-56,-63,-67,-64,-61,-68,-64,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200
1526453582135,-44,-50,-42,-40,-59,-58,-69,-55,-56,-63,-67,-64,-61,-68,-64,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200
1526453582459,-44,-50,-42,-40,-59,-58,-69,-55,-56,-63,-67,-64,-61,-68,-64,-75,-74,-74,-69,-75,-82,-200,-200,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-84,-200
1526453585175,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453585476,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453588208,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453588505,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453591242,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453591537,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453594267,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453594568,-43,-51,-43,-41,-59,-58,-70,-55,-54,-63,-66,-65,-62,-68,-67,-75,-75,-74,-200,-82,-82,-92,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200
1526453597306,-35,-51,-40,-49,-51,-63,-64,-59,-66,-58,-60,-70,-61,-62,-61,-82,-73,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-85,-200,-200
1526453597600,-35,-51,-40,-49,-51,-63,-64,-59,-66,-58,-60,-70,-61,-62,-61,-82,-73,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-85,-200,-200
1526453600333,-35,-49,-40,-44,-53,-57,-64,-59,-54,-58,-60,-70,-61,-61,-58,-82,-75,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-85,-200,-200
1526453600627,-35,-49,-40,-44,-53,-57,-64,-59,-54,-58,-60,-70,-61,-61,-58,-82,-75,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-85,-200,-200
