,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526453492613,-41,-45,-51,-53,-57,-65,-69,-53,-60,-58,-60,-58,-62,-71,-58,-60,-79,-74,-67,-84,-84,-79,-82,-86,-82,-78,-78,-91,-93,-77,-86,-90,-88,-86,-91,-200,-200,-200,-200,-200,-200
1526453495649,-41,-45,-51,-53,-57,-65,-69,-53,-60,-58,-60,-58,-62,-71,-58,-60,-79,-74,-67,-84,-84,-79,-82,-86,-82,-78,-78,-91,-93,-77,-86,-90,-88,-86,-91,-200,-200,-200,-200,-200,-200
1526453498684,-41,-45,-51,-53,-57,-65,-69,-53,-60,-58,-60,-58,-62,-71,-58,-60,-79,-74,-67,-84,-84,-79,-82,-86,-82,-78,-78,-91,-93,-77,-86,-90,-88,-86,-91,-200,-200,-200,-200,-200,-200
1526453501711,-42,-43,-49,-55,-57,-65,-70,-53,-58,-54,-58,-58,-61,-78,-200,-64,-75,-77,-70,-81,-87,-79,-86,-86,-82,-78,-79,-200,-200,-200,-200,-200,-200,-86,-91,-91,-92,-200,-200,-200,-200
1526453504746,-43,-44,-49,-54,-68,-63,-68,-55,-59,-54,-58,-56,-60,-78,-61,-66,-75,-76,-70,-82,-87,-86,-83,-90,-82,-78,-79,-200,-200,-200,-200,-200,-200,-86,-91,-91,-92,-89,-200,-200,-200
1526453507792,-43,-44,-49,-54,-68,-63,-68,-55,-59,-54,-58,-56,-60,-78,-61,-66,-75,-76,-70,-82,-87,-86,-83,-90,-82,-78,-79,-200,-200,-200,-200,-200,-200,-86,-91,-91,-92,-89,-200,-200,-200
1526453510834,-43,-44,-49,-54,-68,-63,-68,-55,-59,-54,-58,-56,-60,-78,-61,-66,-75,-76,-70,-82,-87,-86,-83,-90,-82,-78,-79,-200,-200,-200,-200,-200,-200,-86,-91,-91,-92,-89,-200,-200,-200
1526453513874,-40,-43,-48,-54,-59,-60,-68,-51,-61,-56,-59,-59,-61,-78,-61,-55,-77,-78,-69,-81,-87,-78,-83,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-89,-200
1526453516916,-45,-43,-47,-52,-59,-61,-68,-58,-61,-55,-55,-60,-61,-78,-60,-55,-77,-80,-69,-81,-78,-78,-83,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-89,-200
1526453519950,-45,-43,-47,-52,-59,-61,-68,-58,-61,-55,-55,-60,-61,-78,-60,-55,-77,-80,-69,-81,-78,-78,-83,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-89,-200
1526453522984,-45,-43,-47,-52,-59,-61,-68,-58,-61,-55,-55,-60,-61,-78,-60,-55,-77,-80,-69,-81,-78,-78,-83,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-89,-200
1526453526028,-40,-47,-45,-48,-52,-60,-70,-60,-58,-56,-51,-77,-61,-75,-57,-200,-74,-80,-69,-79,-76,-200,-200,-88,-84,-79,-78,-200,-200,-77,-86,-200,-200,-200,-87,-200,-200,-200,-200,-200,-81
