,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018
1526454831200,-53,-41,-42,-63,-47,-53,-48,-61,-75,-76,-68,-62,-72,-56,-200,-64,-71,-71,-200,-80,-86,-84,-73,-80,-81,-73,-75,-84,-200,-89,-74,-85,-89,-82,-83,-86,-87,-90,-91,-81,-90,-200,-200
1526454834243,-53,-41,-42,-63,-47,-53,-48,-61,-75,-76,-68,-62,-72,-56,-200,-64,-71,-71,-200,-80,-86,-84,-73,-80,-81,-73,-75,-84,-200,-89,-74,-85,-89,-82,-83,-86,-87,-90,-91,-81,-90,-200,-200
1526454837284,-53,-41,-42,-63,-47,-53,-48,-61,-75,-76,-68,-62,-72,-56,-200,-64,-71,-71,-200,-80,-86,-84,-73,-80,-81,-73,-75,-84,-200,-89,-74,-85,-89,-82,-83,-86,-87,-90,-91,-81,-90,-200,-200
1526454840324,-53,-41,-40,-63,-48,-54,-50,-64,-70,-200,-66,-63,-75,-57,-200,-66,-78,-74,-200,-200,-200,-82,-72,-200,-78,-200,-76,-200,-200,-89,-200,-200,-200,-81,-200,-200,-200,-200,-200,-81,-90,-88,-200
1526454843349,-53,-41,-40,-63,-48,-54,-50,-64,-66,-200,-72,-63,-72,-56,-200,-66,-78,-68,-200,-200,-200,-82,-72,-200,-78,-200,-76,-200,-200,-89,-200,-200,-200,-81,-200,-200,-200,-200,-200,-81,-90,-88,-200
1526454846385,-53,-41,-40,-63,-48,-54,-50,-64,-66,-200,-72,-63,-72,-56,-200,-66,-78,-68,-200,-200,-200,-82,-72,-200,-78,-200,-76,-200,-200,-89,-200,-200,-200,-81,-200,-200,-200,-200,-200,-81,-90,-88,-200
1526454849417,-53,-41,-40,-63,-48,-54,-50,-64,-66,-200,-72,-63,-72,-56,-200,-66,-78,-68,-200,-200,-200,-82,-72,-200,-78,-200,-76,-200,-200,-89,-200,-200,-200,-81,-200,-200,-200,-200,-200,-81,-90,-88,-200
1526454852448,-40,-38,-40,-63,-51,-55,-51,-67,-62,-200,-71,-64,-77,-55,-85,-65,-73,-66,-200,-81,-200,-81,-73,-200,-79,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454855479,-44,-38,-40,-79,-51,-55,-51,-67,-62,-200,-71,-65,-73,-55,-85,-65,-73,-66,-200,-81,-200,-81,-73,-200,-79,-200,-80,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526454858509,-44,-38,-40,-79,-51,-55,-51,-67,-62,-200,-71,-65,-73,-55,-85,-65,-73,-66,-200,-81,-200,-81,-73,-200,-79,-200,-80,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526454861538,-44,-38,-40,-79,-51,-55,-51,-67,-62,-200,-71,-65,-73,-55,-85,-65,-73,-66,-200,-81,-200,-81,-73,-200,-79,-200,-80,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526454864583,-41,-38,-43,-63,-50,-55,-49,-69,-68,-200,-69,-64,-74,-55,-200,-64,-73,-74,-84,-81,-200,-200,-73,-83,-83,-73,-200,-200,-200,-200,-200,-200,-85,-82,-200,-87,-200,-89,-200,-200,-200,-200,-84
