,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457101939,-35,-47,-56,-70,-63,-54,-61,-70,-65,-68,-74,-77,-71,-75,-78,-78,-93,-74,-200,-73,-77,-68,-79,-72,-79,-72,-76,-83,-91,-78,-79,-77,-77,-89,-81,-79,-200,-73,-200,-79,-81,-200,-87,-88,-82,-84,-91,-86,-200,-87,-200,-87,-88,-85,-88,-200,-88,-200,-89,-89,-84,-86,-91,-89,-91,-89,-200,-88,-200,-200,-89,-200,-200,-93,-200,-87,-91,-92,-91,-200,-87,-92,-77,-200,-80,-90,-200,-200,-200
1526457104983,-37,-48,-48,-55,-57,-54,-62,-60,-64,-66,-71,-200,-73,-68,-78,-78,-89,-75,-200,-73,-77,-71,-77,-80,-82,-69,-76,-81,-83,-78,-80,-77,-78,-91,-82,-79,-200,-81,-200,-79,-78,-200,-81,-88,-79,-84,-200,-86,-200,-87,-200,-87,-86,-85,-90,-200,-88,-200,-89,-90,-84,-84,-86,-83,-91,-88,-200,-88,-200,-200,-87,-200,-90,-93,-200,-200,-92,-200,-91,-200,-87,-89,-77,-85,-82,-90,-200,-200,-200
1526457108026,-35,-47,-45,-54,-56,-54,-61,-61,-65,-66,-66,-200,-72,-67,-78,-78,-89,-74,-200,-73,-78,-69,-73,-73,-82,-66,-76,-77,-83,-79,-80,-77,-80,-91,-81,-80,-200,-79,-200,-78,-81,-200,-81,-88,-81,-83,-200,-85,-200,-87,-85,-87,-81,-88,-90,-200,-88,-200,-89,-90,-84,-83,-86,-83,-91,-92,-200,-89,-200,-200,-87,-200,-90,-88,-200,-200,-92,-200,-91,-200,-200,-90,-77,-86,-82,-90,-200,-200,-200
1526457111068,-34,-46,-46,-53,-55,-54,-62,-62,-65,-66,-68,-200,-72,-65,-200,-78,-88,-75,-200,-72,-78,-69,-74,-73,-78,-65,-75,-77,-83,-78,-80,-77,-79,-91,-80,-80,-200,-75,-200,-79,-81,-200,-81,-87,-81,-83,-200,-84,-200,-87,-85,-88,-80,-88,-87,-200,-90,-200,-88,-90,-86,-83,-85,-83,-91,-88,-90,-90,-200,-200,-87,-200,-90,-88,-200,-200,-92,-200,-91,-200,-87,-92,-76,-86,-82,-200,-200,-200,-200
1526457114102,-37,-47,-46,-53,-63,-54,-62,-59,-63,-66,-69,-200,-71,-64,-200,-78,-88,-77,-200,-73,-69,-68,-72,-70,-78,-68,-76,-77,-200,-78,-200,-77,-78,-91,-80,-80,-200,-73,-200,-78,-81,-200,-79,-89,-79,-79,-200,-84,-200,-87,-85,-88,-85,-88,-90,-200,-90,-200,-88,-90,-83,-83,-89,-200,-91,-88,-90,-90,-200,-200,-87,-200,-90,-91,-200,-200,-92,-92,-90,-200,-86,-92,-76,-87,-200,-200,-200,-200,-200
1526457117134,-36,-48,-46,-52,-63,-53,-63,-62,-63,-67,-69,-200,-71,-65,-200,-78,-88,-76,-200,-74,-76,-69,-72,-73,-79,-73,-75,-77,-82,-79,-200,-77,-78,-91,-81,-81,-200,-80,-200,-79,-81,-80,-78,-89,-81,-83,-200,-86,-200,-86,-85,-86,-84,-85,-89,-200,-90,-200,-87,-200,-84,-82,-89,-200,-91,-88,-90,-90,-200,-200,-87,-200,-200,-92,-200,-200,-90,-92,-89,-200,-86,-90,-76,-87,-200,-200,-200,-200,-200
1526457120145,-36,-47,-48,-56,-56,-54,-63,-64,-59,-65,-70,-200,-79,-66,-200,-78,-89,-75,-200,-74,-77,-70,-74,-73,-79,-73,-57,-69,-90,-79,-200,-77,-80,-200,-81,-80,-200,-77,-200,-79,-80,-80,-78,-88,-81,-83,-200,-84,-200,-88,-200,-88,-80,-85,-89,-200,-90,-200,-88,-91,-84,-82,-89,-200,-91,-88,-90,-90,-200,-200,-90,-200,-200,-92,-200,-200,-90,-92,-89,-200,-90,-90,-76,-87,-200,-200,-200,-200,-200
1526457123181,-34,-47,-46,-52,-55,-39,-61,-63,-63,-66,-70,-83,-72,-66,-200,-77,-89,-75,-200,-74,-77,-68,-75,-75,-80,-73,-75,-80,-90,-81,-200,-75,-79,-200,-80,-80,-200,-81,-200,-78,-80,-80,-79,-88,-82,-83,-200,-85,-200,-86,-200,-90,-83,-88,-90,-200,-200,-91,-87,-91,-82,-83,-84,-88,-91,-92,-91,-88,-200,-200,-85,-200,-200,-90,-91,-91,-90,-91,-91,-200,-90,-90,-200,-87,-200,-200,-200,-200,-200
1526457126215,-36,-49,-46,-55,-57,-53,-63,-60,-64,-67,-69,-83,-72,-67,-200,-78,-86,-75,-200,-73,-77,-69,-77,-74,-80,-69,-76,-80,-90,-79,-200,-78,-80,-200,-81,-80,-200,-78,-200,-78,-80,-80,-80,-90,-82,-82,-200,-85,-200,-87,-200,-88,-86,-88,-90,-200,-90,-91,-87,-91,-84,-84,-89,-88,-91,-89,-89,-88,-200,-200,-86,-200,-200,-90,-91,-91,-92,-91,-91,-200,-90,-92,-75,-200,-200,-200,-90,-200,-200
1526457129253,-16,-49,-46,-56,-54,-52,-61,-59,-62,-67,-68,-83,-73,-67,-200,-78,-86,-75,-200,-72,-77,-67,-69,-74,-79,-69,-75,-80,-90,-75,-79,-78,-78,-200,-81,-80,-200,-79,-200,-79,-81,-200,-81,-90,-82,-84,-200,-85,-89,-87,-200,-88,-86,-83,-90,-200,-89,-91,-87,-91,-83,-84,-85,-88,-91,-91,-89,-88,-200,-200,-87,-200,-200,-91,-91,-91,-92,-91,-93,-200,-90,-90,-75,-200,-200,-200,-90,-91,-200
1526457132286,-36,-49,-46,-54,-62,-53,-61,-58,-65,-67,-68,-83,-71,-65,-80,-77,-86,-73,-200,-73,-76,-69,-77,-73,-76,-69,-76,-80,-84,-74,-79,-77,-79,-200,-80,-81,-200,-80,-200,-79,-85,-200,-79,-90,-82,-84,-200,-85,-89,-87,-200,-89,-82,-87,-88,-91,-89,-91,-89,-200,-83,-85,-85,-88,-90,-89,-89,-87,-200,-85,-87,-200,-200,-89,-90,-91,-90,-90,-92,-200,-200,-91,-75,-200,-200,-200,-90,-91,-89
1526457135325,-36,-46,-46,-55,-62,-53,-62,-60,-63,-67,-70,-200,-72,-66,-80,-78,-87,-76,-200,-71,-77,-69,-74,-74,-76,-69,-76,-82,-84,-77,-79,-77,-80,-200,-80,-81,-200,-73,-200,-79,-85,-200,-80,-90,-81,-83,-200,-86,-89,-86,-200,-88,-82,-85,-90,-91,-91,-200,-88,-200,-85,-85,-83,-88,-90,-88,-89,-87,-200,-85,-85,-200,-200,-89,-90,-200,-90,-90,-92,-200,-88,-91,-75,-87,-200,-200,-90,-91,-89
