,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526456701930,-43,-43,-60,-49,-62,-50,-65,-62,-59,-63,-62,-52,-68,-72,-71,-200,-80,-65,-73,-79,-79,-69,-73,-78,-76,-79,-73,-81,-75,-65,-85,-85,-61,-88,-76,-79,-89,-77,-80,-86,-82,-86,-85,-81,-200,-77,-200,-200,-200,-200,-89,-74,-88,-81,-200,-87,-80,-86,-88,-200,-88,-88,-84,-77,-200,-91,-79,-200,-84,-90,-89,-200,-92,-200,-91,-200,-200,-200,-200,-95,-85,-200,-78,-76,-84,-86,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526456704970,-45,-46,-60,-49,-58,-50,-64,-63,-64,-66,-79,-61,-70,-73,-72,-200,-82,-69,-73,-79,-64,-70,-73,-200,-76,-82,-73,-81,-75,-65,-85,-88,-61,-89,-76,-76,-91,-84,-80,-91,-84,-86,-85,-81,-200,-77,-200,-200,-89,-200,-89,-81,-87,-81,-88,-86,-80,-86,-88,-200,-87,-90,-84,-77,-200,-91,-80,-90,-84,-90,-89,-200,-91,-89,-86,-200,-200,-200,-200,-200,-85,-200,-78,-75,-84,-86,-200,-200,-200,-200,-92,-88,-200,-94,-200,-200,-200,-200,-200,-200
1526456708010,-45,-43,-62,-48,-58,-50,-62,-62,-62,-61,-69,-54,-68,-73,-61,-200,-82,-67,-73,-79,-64,-67,-72,-200,-76,-82,-73,-81,-74,-64,-86,-86,-74,-89,-200,-78,-91,-77,-78,-82,-84,-86,-86,-81,-200,-83,-200,-200,-89,-200,-88,-81,-87,-81,-90,-85,-85,-86,-200,-200,-87,-90,-84,-78,-200,-91,-79,-90,-84,-95,-88,-200,-91,-89,-86,-200,-200,-200,-88,-200,-85,-200,-80,-76,-84,-86,-200,-200,-200,-89,-92,-92,-200,-91,-93,-93,-200,-200,-200,-200
1526456711054,-44,-43,-62,-50,-63,-50,-62,-63,-64,-60,-70,-59,-69,-72,-69,-200,-87,-65,-73,-85,-78,-72,-73,-200,-76,-82,-68,-81,-74,-64,-86,-86,-74,-89,-200,-78,-91,-76,-78,-82,-82,-86,-86,-81,-200,-83,-200,-200,-89,-200,-90,-81,-86,-81,-90,-85,-88,-86,-88,-82,-88,-90,-85,-78,-85,-91,-79,-90,-86,-95,-88,-200,-91,-89,-87,-87,-92,-200,-88,-200,-85,-200,-78,-77,-84,-88,-200,-200,-200,-89,-92,-92,-200,-91,-93,-93,-200,-200,-200,-200
1526456714099,-45,-44,-63,-49,-60,-51,-68,-62,-58,-61,-70,-52,-67,-73,-69,-200,-80,-71,-73,-85,-83,-71,-72,-81,-200,-82,-69,-200,-73,-65,-86,-78,-72,-89,-200,-78,-91,-77,-78,-82,-83,-200,-86,-80,-200,-86,-200,-200,-89,-88,-90,-81,-85,-200,-88,-90,-85,-200,-88,-82,-88,-90,-83,-80,-85,-86,-80,-90,-87,-95,-90,-200,-92,-89,-87,-91,-92,-200,-88,-200,-200,-200,-78,-77,-85,-88,-200,-200,-200,-89,-92,-92,-200,-91,-91,-93,-200,-200,-200,-200
1526456717112,-43,-45,-59,-49,-57,-50,-68,-62,-62,-58,-68,-53,-69,-72,-69,-200,-77,-71,-73,-80,-78,-66,-73,-81,-200,-200,-72,-200,-73,-63,-87,-85,-71,-200,-77,-78,-89,-77,-78,-200,-83,-84,-85,-79,-200,-78,-200,-200,-200,-88,-90,-81,-87,-88,-88,-84,-74,-82,-89,-82,-88,-200,-83,-80,-85,-86,-80,-200,-84,-200,-89,-200,-92,-200,-87,-91,-94,-200,-200,-200,-82,-200,-78,-76,-86,-89,-200,-200,-200,-200,-200,-91,-90,-89,-91,-200,-90,-91,-200,-200
1526456720146,-44,-44,-62,-58,-61,-51,-65,-62,-62,-64,-80,-53,-68,-73,-78,-200,-77,-66,-73,-81,-78,-76,-73,-81,-200,-200,-72,-200,-76,-75,-87,-85,-71,-200,-77,-76,-89,-77,-80,-85,-83,-84,-90,-80,-200,-76,-200,-200,-200,-89,-200,-81,-87,-88,-88,-86,-83,-82,-89,-89,-88,-200,-93,-77,-200,-86,-80,-200,-92,-200,-89,-200,-90,-200,-200,-91,-94,-200,-200,-200,-81,-200,-200,-76,-84,-89,-90,-200,-200,-200,-200,-91,-90,-88,-91,-200,-90,-91,-200,-200
1526456723188,-43,-46,-62,-49,-59,-49,-68,-62,-62,-63,-69,-53,-68,-73,-60,-200,-77,-67,-73,-78,-79,-67,-73,-200,-200,-200,-68,-200,-76,-65,-87,-85,-71,-200,-77,-76,-91,-76,-77,-86,-83,-84,-90,-80,-200,-77,-200,-200,-200,-88,-200,-200,-87,-88,-89,-86,-83,-82,-89,-89,-88,-200,-84,-77,-200,-86,-80,-200,-84,-200,-87,-200,-92,-200,-200,-200,-94,-200,-200,-200,-83,-200,-78,-76,-84,-89,-88,-200,-200,-200,-200,-92,-90,-89,-200,-200,-91,-91,-200,-200
1526456726233,-44,-44,-60,-49,-63,-50,-64,-62,-58,-59,-72,-53,-70,-72,-69,-200,-200,-78,-73,-78,-79,-71,-72,-200,-200,-200,-72,-200,-72,-65,-84,-200,-77,-200,-75,-78,-91,-77,-78,-85,-84,-84,-90,-79,-200,-76,-200,-200,-200,-88,-200,-200,-87,-83,-90,-87,-85,-82,-200,-89,-88,-200,-84,-77,-200,-85,-80,-200,-84,-200,-87,-200,-92,-200,-200,-200,-94,-200,-200,-200,-82,-200,-78,-77,-84,-89,-90,-200,-200,-86,-200,-90,-90,-89,-200,-200,-91,-200,-91,-200
1526456729270,-45,-51,-63,-49,-57,-50,-63,-62,-63,-63,-69,-53,-68,-72,-70,-200,-200,-79,-73,-79,-79,-69,-70,-200,-200,-200,-67,-200,-76,-64,-86,-200,-76,-200,-75,-85,-91,-77,-80,-85,-82,-200,-90,-80,-200,-76,-200,-200,-200,-88,-90,-86,-200,-81,-90,-87,-82,-82,-200,-88,-88,-87,-86,-77,-200,-85,-80,-200,-90,-200,-87,-200,-92,-200,-200,-200,-200,-200,-200,-200,-82,-200,-77,-77,-84,-200,-88,-200,-200,-86,-200,-90,-89,-89,-200,-200,-91,-200,-91,-79
1526456732285,-46,-42,-59,-50,-62,-44,-62,-61,-63,-61,-67,-54,-69,-72,-71,-200,-81,-68,-73,-79,-79,-68,-70,-200,-200,-200,-64,-200,-78,-67,-85,-200,-73,-200,-75,-85,-91,-77,-74,-85,-82,-86,-89,-81,-200,-76,-200,-200,-86,-88,-90,-82,-200,-81,-89,-87,-79,-83,-200,-88,-88,-89,-84,-78,-200,-85,-80,-200,-90,-200,-87,-200,-90,-200,-200,-200,-200,-200,-200,-200,-80,-200,-80,-76,-89,-200,-88,-200,-200,-86,-200,-91,-89,-88,-200,-200,-91,-200,-91,-80
1526456735326,-52,-45,-75,-52,-60,-50,-60,-61,-65,-62,-71,-61,-78,-72,-68,-200,-81,-72,-73,-79,-81,-68,-70,-200,-200,-200,-67,-200,-78,-65,-85,-200,-71,-200,-75,-77,-200,-78,-86,-85,-83,-86,-89,-81,-200,-82,-200,-200,-86,-200,-90,-82,-200,-82,-89,-90,-79,-83,-200,-88,-86,-89,-84,-78,-200,-83,-80,-92,-90,-89,-200,-200,-91,-200,-200,-200,-90,-200,-86,-200,-80,-200,-78,-75,-89,-200,-88,-200,-200,-90,-200,-91,-89,-86,-200,-200,-200,-200,-91,-80
