,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449956139,-29,-45,-51,-56,-54,-60,-61,-55,-54,-76,-200,-59,-77,-68,-70,-73,-75,-200,-77,-80,-74,-79,-200,-200,-76,-200,-77,-88,-200,-200,-83,-200,-200,-78,-200,-200,-200,-85,-200,-200,-90,-200,-200,-77,-200,-200,-78,-81,-84,-85,-88,-80,-84,-86,-200,-200,-200,-200
1526449959179,-28,-59,-49,-48,-54,-54,-61,-55,-54,-75,-75,-59,-77,-68,-75,-79,-73,-200,-76,-82,-74,-75,-70,-200,-78,-200,-80,-88,-77,-84,-83,-200,-80,-81,-200,-200,-85,-200,-200,-200,-200,-200,-200,-63,-200,-90,-68,-84,-84,-200,-200,-87,-82,-86,-89,-200,-200,-200
1526449962231,-27,-42,-48,-48,-54,-57,-58,-57,-54,-76,-75,-59,-74,-64,-69,-79,-73,-81,-76,-82,-71,-77,-70,-200,-78,-200,-76,-85,-81,-84,-84,-74,-80,-81,-87,-200,-85,-200,-200,-89,-200,-200,-200,-63,-200,-90,-68,-84,-83,-200,-200,-83,-82,-85,-88,-200,-200,-200
1526449965267,-27,-42,-48,-48,-54,-57,-58,-57,-54,-76,-75,-59,-74,-64,-69,-79,-73,-81,-76,-82,-71,-77,-70,-200,-78,-200,-76,-85,-81,-84,-84,-74,-80,-81,-87,-200,-85,-200,-200,-89,-200,-200,-200,-63,-200,-90,-68,-84,-83,-200,-200,-83,-82,-85,-88,-200,-200,-200
1526449968315,-27,-42,-48,-48,-54,-57,-58,-57,-54,-76,-75,-59,-74,-64,-69,-79,-73,-81,-76,-82,-71,-77,-70,-200,-78,-200,-76,-85,-81,-84,-84,-74,-80,-81,-87,-200,-85,-200,-200,-89,-200,-200,-200,-63,-200,-90,-68,-84,-83,-200,-200,-83,-82,-85,-88,-200,-200,-200
1526449971358,-27,-42,-48,-48,-54,-57,-58,-57,-54,-76,-200,-59,-74,-64,-69,-200,-200,-81,-200,-82,-71,-77,-200,-200,-200,-200,-76,-85,-81,-200,-84,-74,-200,-200,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-68,-84,-83,-200,-200,-83,-200,-85,-88,-200,-200,-200
1526449974397,-26,-40,-45,-46,-51,-56,-59,-52,-53,-76,-77,-66,-74,-64,-67,-200,-200,-81,-74,-82,-72,-76,-69,-200,-200,-200,-80,-85,-81,-82,-84,-74,-200,-200,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-69,-84,-83,-200,-200,-83,-200,-83,-88,-200,-200,-200
1526449977436,-26,-40,-45,-46,-51,-56,-59,-52,-53,-76,-77,-66,-74,-64,-67,-200,-200,-81,-74,-82,-72,-76,-69,-200,-200,-200,-80,-85,-81,-82,-84,-74,-200,-200,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-69,-84,-83,-200,-200,-83,-200,-83,-88,-200,-200,-200
1526449980476,-26,-40,-45,-46,-51,-56,-59,-52,-53,-76,-77,-66,-74,-64,-67,-200,-200,-81,-74,-82,-72,-76,-69,-200,-200,-200,-80,-85,-81,-82,-84,-74,-200,-200,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-69,-84,-83,-200,-200,-83,-200,-83,-88,-200,-200,-200
1526449983511,-25,-39,-43,-46,-52,-53,-57,-56,-53,-75,-73,-61,-72,-68,-69,-200,-72,-74,-76,-200,-70,-78,-69,-86,-76,-78,-74,-87,-77,-84,-200,-75,-84,-85,-200,-87,-200,-200,-200,-200,-200,-200,-200,-63,-200,-90,-70,-200,-83,-200,-200,-78,-200,-83,-88,-81,-87,-91
1526449986546,-25,-46,-43,-54,-51,-55,-57,-57,-54,-75,-73,-61,-72,-68,-69,-200,-72,-74,-76,-79,-70,-78,-69,-85,-79,-78,-74,-87,-77,-84,-200,-75,-84,-85,-200,-81,-200,-200,-200,-200,-200,-200,-200,-63,-200,-90,-70,-200,-83,-200,-200,-78,-200,-83,-88,-81,-87,-91
1526449989597,-25,-46,-43,-54,-51,-55,-57,-57,-54,-75,-73,-61,-72,-68,-69,-200,-72,-74,-76,-79,-70,-78,-69,-85,-79,-78,-74,-87,-77,-84,-200,-75,-84,-85,-200,-81,-200,-200,-200,-200,-200,-200,-200,-63,-200,-90,-70,-200,-83,-200,-200,-78,-200,-83,-88,-81,-87,-91
