,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526449780997,-32,-48,-45,-59,-59,-59,-78,-53,-200,-68,-69,-74,-61,-71,-73,-71,-77,-72,-77,-67,-89,-74,-81,-77,-70,-76,-84,-88,-80,-73,-77,-200,-84,-200,-80,-200,-200,-200,-200,-86,-200,-83,-73,-76,-79,-75,-84,-200,-200,-83,-86,-90,-91,-86,-91,-91,-200,-200,-200
1526449784039,-32,-48,-45,-59,-59,-59,-78,-53,-200,-68,-69,-74,-61,-71,-73,-71,-77,-72,-77,-67,-89,-74,-81,-77,-70,-76,-84,-88,-80,-73,-77,-200,-84,-200,-80,-200,-200,-200,-200,-86,-200,-83,-73,-76,-79,-75,-84,-200,-200,-83,-86,-90,-91,-86,-91,-91,-200,-200,-200
1526449787083,-32,-48,-45,-59,-59,-59,-78,-53,-200,-68,-69,-74,-61,-71,-73,-71,-77,-72,-77,-67,-89,-74,-81,-77,-70,-76,-84,-88,-80,-73,-77,-200,-84,-200,-80,-200,-200,-200,-200,-86,-200,-83,-73,-76,-79,-75,-84,-200,-200,-83,-86,-90,-91,-86,-91,-91,-200,-200,-200
1526449790123,-33,-50,-47,-57,-55,-63,-58,-55,-80,-69,-67,-77,-60,-70,-77,-74,-74,-69,-81,-69,-200,-74,-81,-200,-69,-79,-83,-86,-83,-73,-83,-200,-83,-200,-81,-200,-200,-200,-200,-200,-81,-80,-73,-75,-200,-78,-200,-200,-200,-200,-86,-200,-200,-200,-200,-91,-87,-200,-200
1526449793165,-33,-49,-46,-57,-55,-59,-56,-54,-80,-69,-66,-76,-60,-70,-76,-78,-74,-72,-76,-66,-200,-74,-81,-76,-69,-79,-83,-86,-82,-75,-83,-74,-83,-200,-81,-200,-200,-200,-200,-200,-81,-80,-73,-75,-200,-78,-200,-200,-200,-200,-86,-200,-200,-83,-200,-91,-87,-87,-200
1526449796202,-33,-49,-46,-57,-55,-59,-56,-54,-80,-69,-66,-76,-60,-70,-76,-78,-74,-72,-76,-66,-200,-74,-81,-76,-69,-79,-83,-86,-82,-75,-83,-74,-83,-200,-81,-200,-200,-200,-200,-200,-81,-80,-73,-75,-200,-78,-200,-200,-200,-200,-86,-200,-200,-83,-200,-91,-87,-87,-200
1526449799251,-33,-49,-46,-57,-55,-59,-56,-54,-80,-69,-66,-76,-60,-70,-76,-78,-74,-72,-76,-66,-200,-74,-81,-76,-69,-79,-83,-86,-82,-75,-83,-74,-83,-200,-81,-200,-200,-200,-200,-200,-81,-80,-73,-75,-200,-78,-200,-200,-200,-200,-86,-200,-200,-83,-200,-91,-87,-87,-200
1526449802297,-32,-49,-46,-60,-55,-59,-58,-53,-83,-67,-66,-75,-61,-69,-76,-74,-75,-71,-80,-72,-200,-76,-200,-74,-71,-200,-200,-200,-77,-75,-83,-75,-86,-200,-76,-200,-200,-200,-200,-86,-81,-200,-70,-75,-200,-74,-200,-200,-200,-80,-86,-200,-200,-84,-200,-200,-200,-87,-200
1526449805342,-29,-49,-47,-56,-54,-58,-55,-53,-81,-67,-69,-75,-61,-69,-76,-72,-76,-70,-78,-72,-200,-76,-200,-74,-70,-200,-85,-200,-85,-76,-83,-77,-86,-200,-76,-200,-200,-200,-200,-83,-81,-80,-70,-73,-200,-78,-84,-200,-200,-80,-86,-200,-200,-84,-200,-200,-200,-87,-200
1526449808390,-29,-49,-47,-56,-54,-58,-55,-53,-81,-67,-69,-75,-61,-69,-76,-72,-76,-70,-78,-72,-200,-76,-200,-74,-70,-200,-85,-200,-85,-76,-83,-77,-86,-200,-76,-200,-200,-200,-200,-83,-81,-80,-70,-73,-200,-78,-84,-200,-200,-80,-86,-200,-200,-84,-200,-200,-200,-87,-200
1526449811436,-29,-49,-47,-56,-54,-58,-55,-53,-81,-67,-69,-75,-61,-69,-76,-72,-76,-70,-78,-72,-200,-76,-200,-74,-70,-200,-85,-200,-85,-76,-83,-77,-86,-200,-76,-200,-200,-200,-200,-83,-81,-80,-70,-73,-200,-78,-84,-200,-200,-80,-86,-200,-200,-84,-200,-200,-200,-87,-200
1526449814482,-29,-48,-47,-61,-56,-60,-56,-55,-81,-71,-68,-73,-61,-73,-75,-73,-76,-72,-78,-67,-200,-200,-83,-200,-68,-200,-78,-200,-85,-75,-81,-73,-84,-200,-82,-200,-200,-200,-200,-83,-200,-80,-71,-77,-81,-78,-85,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-89,-92
