,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D013A8,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449613999,-36,-39,-50,-57,-51,-48,-60,-61,-65,-67,-61,-71,-73,-70,-78,-73,-68,-67,-72,-77,-79,-200,-200,-82,-84,-76,-200,-200,-79,-200,-200,-88,-200,-72,-80,-78,-79,-79,-200,-78,-81,-83,-83,-88,-200,-88,-88,-84,-84,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526449617052,-36,-39,-50,-57,-51,-48,-60,-61,-65,-67,-61,-71,-73,-70,-78,-73,-68,-67,-72,-77,-79,-200,-200,-82,-84,-76,-200,-200,-79,-200,-200,-88,-200,-72,-80,-78,-79,-79,-200,-78,-81,-83,-83,-88,-200,-88,-88,-84,-84,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526449620073,-36,-39,-50,-57,-51,-48,-60,-61,-65,-67,-61,-71,-73,-70,-78,-73,-68,-67,-72,-77,-79,-200,-200,-82,-84,-76,-200,-200,-79,-200,-200,-88,-200,-72,-80,-78,-79,-79,-200,-78,-81,-83,-83,-88,-200,-88,-88,-84,-84,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526449623109,-37,-35,-53,-58,-56,-51,-65,-61,-65,-69,-58,-70,-76,-72,-83,-73,-69,-66,-70,-80,-74,-79,-200,-80,-82,-74,-81,-83,-80,-200,-200,-200,-200,-70,-83,-80,-80,-81,-200,-79,-80,-82,-83,-88,-200,-82,-200,-84,-83,-200,-85,-72,-83,-88,-90,-200,-200,-200,-200
1526449626158,-36,-34,-53,-53,-55,-54,-66,-59,-65,-67,-59,-70,-72,-75,-86,-70,-69,-66,-71,-80,-74,-79,-200,-80,-81,-75,-80,-83,-81,-200,-200,-85,-200,-70,-80,-80,-81,-81,-200,-80,-80,-82,-83,-88,-200,-83,-87,-85,-83,-200,-85,-71,-85,-88,-90,-88,-200,-200,-200
1526449629201,-36,-34,-53,-53,-55,-54,-66,-59,-65,-67,-59,-70,-72,-75,-86,-70,-69,-66,-71,-80,-74,-79,-200,-80,-81,-75,-80,-83,-81,-200,-200,-85,-200,-70,-80,-80,-81,-81,-200,-80,-80,-82,-83,-88,-200,-83,-87,-85,-83,-200,-85,-71,-85,-88,-90,-88,-200,-200,-200
1526449632256,-36,-34,-53,-53,-55,-54,-66,-59,-65,-67,-59,-70,-72,-75,-86,-70,-69,-66,-71,-80,-74,-79,-200,-80,-81,-75,-80,-83,-81,-200,-200,-85,-200,-70,-80,-80,-81,-81,-200,-80,-80,-82,-83,-88,-200,-83,-87,-85,-83,-200,-85,-71,-85,-88,-90,-88,-200,-200,-200
1526449635295,-34,-36,-53,-54,-50,-59,-65,-62,-65,-67,-62,-66,-75,-76,-200,-70,-200,-200,-64,-76,-73,-200,-85,-200,-82,-76,-200,-200,-200,-84,-200,-87,-200,-69,-77,-78,-81,-200,-200,-200,-77,-200,-200,-88,-200,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-92,-200
1526449638336,-34,-36,-53,-52,-50,-50,-70,-62,-63,-68,-61,-72,-73,-76,-200,-71,-72,-67,-75,-78,-77,-200,-79,-79,-79,-76,-200,-82,-200,-84,-200,-87,-200,-69,-78,-78,-81,-200,-200,-79,-77,-86,-200,-88,-200,-84,-87,-86,-200,-200,-200,-70,-200,-200,-200,-200,-90,-92,-88
1526449641381,-34,-36,-53,-52,-50,-50,-70,-62,-63,-68,-61,-72,-73,-76,-200,-71,-72,-67,-75,-78,-77,-200,-79,-79,-79,-76,-200,-82,-200,-84,-200,-87,-200,-69,-78,-78,-81,-200,-200,-79,-77,-86,-200,-88,-200,-84,-87,-86,-200,-200,-200,-70,-200,-200,-200,-200,-90,-92,-88
1526449644429,-34,-36,-53,-52,-50,-50,-70,-62,-63,-68,-61,-72,-73,-76,-200,-71,-72,-67,-75,-78,-77,-200,-79,-79,-79,-76,-200,-82,-200,-84,-200,-87,-200,-69,-78,-78,-81,-200,-200,-79,-77,-86,-200,-88,-200,-84,-87,-86,-200,-200,-200,-70,-200,-200,-200,-200,-90,-92,-88
1526449647463,-36,-34,-52,-52,-50,-50,-64,-63,-63,-62,-62,-71,-69,-73,-81,-66,-72,-67,-72,-79,-78,-200,-79,-79,-79,-200,-79,-83,-79,-200,-200,-87,-200,-71,-78,-78,-78,-81,-200,-79,-200,-86,-84,-88,-200,-86,-200,-85,-82,-91,-200,-70,-200,-200,-200,-200,-200,-200,-88
