,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450298311,-47,-60,-63,-46,-65,-52,-54,-67,-68,-76,-80,-69,-75,-200,-200,-59,-72,-78,-79,-200,-84,-85,-88,-200,-200,-200,-80,-77,-74,-200,-81,-200,-200,-85,-200,-90,-76,-200,-200,-200,-200,-91,-200,-200,-86,-200,-200,-200,-88,-200,-200,-200,-79,-84,-85,-200,-86,-88,-92,-84
1526450301349,-47,-60,-63,-46,-65,-52,-54,-67,-68,-76,-80,-69,-75,-200,-200,-59,-72,-78,-79,-200,-84,-85,-88,-200,-200,-200,-80,-77,-74,-200,-81,-200,-200,-85,-200,-90,-76,-200,-200,-200,-200,-91,-200,-200,-86,-200,-200,-200,-88,-200,-200,-200,-79,-84,-85,-200,-86,-88,-92,-84
1526450304381,-47,-60,-63,-46,-65,-52,-54,-67,-68,-76,-80,-69,-75,-200,-200,-59,-72,-78,-79,-200,-84,-85,-88,-200,-200,-200,-80,-77,-74,-200,-81,-200,-200,-85,-200,-90,-76,-200,-200,-200,-200,-91,-200,-200,-86,-200,-200,-200,-88,-200,-200,-200,-79,-84,-85,-200,-86,-88,-92,-84
1526450307422,-46,-58,-55,-47,-58,-50,-62,-66,-74,-76,-76,-73,-80,-75,-71,-67,-70,-200,-83,-200,-200,-82,-200,-200,-86,-79,-78,-73,-77,-200,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526450310460,-47,-58,-55,-49,-60,-51,-61,-63,-70,-82,-76,-73,-80,-75,-72,-67,-70,-200,-83,-200,-89,-79,-91,-200,-86,-79,-78,-72,-77,-77,-74,-88,-200,-200,-200,-200,-200,-86,-89,-200,-86,-200,-200,-86,-200,-200,-200,-200,-200,-200,-84,-86,-83,-200,-82,-200,-85,-200,-200,-200
1526450313490,-47,-58,-55,-49,-60,-51,-61,-63,-70,-82,-76,-73,-80,-75,-72,-67,-70,-200,-83,-200,-89,-79,-91,-200,-86,-79,-78,-72,-77,-77,-74,-88,-200,-200,-200,-200,-200,-86,-89,-200,-86,-200,-200,-86,-200,-200,-200,-200,-200,-200,-84,-86,-83,-200,-82,-200,-85,-200,-200,-200
1526450316523,-47,-58,-55,-49,-60,-51,-61,-63,-70,-82,-76,-73,-80,-75,-72,-67,-70,-200,-83,-200,-89,-79,-91,-200,-86,-79,-78,-72,-77,-77,-74,-88,-200,-200,-200,-200,-200,-86,-89,-200,-86,-200,-200,-86,-200,-200,-200,-200,-200,-200,-84,-86,-83,-200,-82,-200,-85,-200,-200,-200
1526450319566,-41,-56,-57,-46,-58,-51,-61,-63,-72,-77,-74,-77,-80,-76,-72,-67,-71,-88,-83,-85,-89,-78,-89,-85,-200,-81,-200,-72,-82,-77,-75,-200,-200,-200,-200,-90,-200,-86,-89,-89,-86,-200,-200,-86,-88,-200,-200,-200,-84,-200,-200,-86,-200,-200,-80,-200,-85,-200,-200,-200
1526450322601,-41,-56,-57,-47,-64,-53,-61,-63,-71,-76,-74,-77,-80,-76,-74,-67,-71,-88,-83,-85,-89,-78,-89,-85,-200,-81,-81,-72,-82,-77,-80,-200,-200,-200,-200,-90,-200,-86,-89,-89,-86,-200,-200,-86,-88,-200,-200,-200,-84,-200,-200,-86,-200,-200,-80,-200,-85,-200,-200,-200
1526450325656,-41,-56,-57,-47,-64,-53,-61,-63,-71,-76,-74,-77,-80,-76,-74,-67,-71,-88,-83,-85,-89,-78,-89,-85,-200,-81,-81,-72,-82,-77,-80,-200,-200,-200,-200,-90,-200,-86,-89,-89,-86,-200,-200,-86,-88,-200,-200,-200,-84,-200,-200,-86,-200,-200,-80,-200,-85,-200,-200,-200
1526450328682,-41,-56,-57,-47,-64,-53,-61,-63,-71,-76,-74,-77,-80,-76,-74,-67,-71,-88,-83,-85,-89,-78,-89,-85,-200,-81,-81,-72,-82,-77,-80,-200,-200,-200,-200,-90,-200,-86,-89,-89,-86,-200,-200,-86,-88,-200,-200,-200,-84,-200,-200,-86,-200,-200,-80,-200,-85,-200,-200,-200
1526450331719,-40,-55,-56,-47,-58,-52,-57,-63,-72,-76,-73,-68,-200,-74,-74,-69,-70,-200,-80,-200,-200,-80,-200,-200,-200,-81,-81,-200,-81,-200,-75,-200,-200,-88,-91,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-86,-200,-79,-88,-200,-200,-200,-200
