,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464747095,-37,-57,-67,-57,-53,-53,-62,-66,-74,-55,-70,-81,-84,-70,-84,-73,-68,-84,-77,-72,-200,-75,-74,-66,-200,-71,-79,-84,-83,-200,-90,-78,-91,-90,-87,-78,-88,-200,-82,-87,-82,-200,-83,-87,-93,-81,-90,-81,-200,-78,-200,-86,-86,-200,-89,-200,-91,-200,-83,-200,-92,-200,-89,-90,-200,-88,-89,-77,-200,-200,-91,-93,-79,-200,-89,-84,-200,-91,-92,-200,-90,-87,-90,-200,-200,-200,-200,-200,-200,-200
1526464750142,-37,-56,-63,-59,-53,-53,-63,-66,-74,-58,-70,-81,-84,-70,-84,-72,-70,-85,-77,-74,-200,-77,-72,-66,-200,-70,-80,-84,-82,-200,-90,-78,-91,-85,-87,-81,-88,-200,-82,-87,-82,-200,-87,-87,-93,-81,-89,-82,-89,-78,-200,-87,-85,-200,-91,-200,-90,-200,-83,-200,-89,-200,-89,-92,-200,-88,-88,-78,-88,-90,-92,-93,-79,-200,-90,-87,-200,-91,-92,-200,-86,-200,-90,-92,-200,-200,-200,-200,-200,-200
1526464753185,-41,-53,-60,-58,-53,-52,-61,-67,-75,-56,-70,-81,-82,-69,-84,-75,-69,-85,-78,-64,-200,-76,-74,-66,-200,-70,-85,-82,-86,-200,-89,-79,-87,-85,-84,-79,-89,-200,-88,-91,-82,-200,-87,-87,-93,-85,-89,-82,-89,-200,-200,-85,-86,-200,-92,-200,-93,-200,-82,-200,-89,-88,-88,-92,-200,-88,-88,-76,-88,-90,-89,-93,-79,-85,-88,-85,-200,-91,-96,-200,-86,-200,-90,-92,-81,-92,-200,-200,-200,-200
1526464756227,-37,-50,-59,-58,-56,-50,-62,-72,-80,-60,-80,-79,-81,-71,-74,-74,-74,-85,-78,-72,-200,-77,-78,-62,-200,-82,-85,-82,-83,-200,-89,-82,-85,-85,-83,-82,-86,-200,-87,-90,-88,-200,-83,-82,-93,-85,-89,-82,-89,-200,-200,-88,-87,-200,-92,-200,-93,-200,-82,-200,-89,-88,-88,-91,-200,-88,-88,-77,-88,-90,-89,-93,-79,-85,-88,-88,-200,-91,-90,-200,-86,-200,-90,-92,-87,-92,-200,-200,-200,-200
1526464759270,-37,-50,-64,-59,-52,-51,-65,-69,-84,-54,-68,-70,-85,-66,-72,-72,-74,-85,-78,-64,-200,-78,-71,-65,-200,-70,-85,-80,-83,-200,-88,-76,-82,-89,-83,-80,-87,-200,-83,-88,-81,-200,-83,-83,-200,-83,-75,-82,-89,-79,-200,-85,-88,-200,-92,-200,-93,-200,-82,-87,-89,-88,-91,-91,-200,-88,-68,-73,-88,-90,-89,-91,-200,-85,-90,-88,-200,-200,-91,-200,-85,-200,-200,-92,-87,-92,-90,-90,-92,-200
1526464762292,-35,-58,-55,-62,-58,-51,-62,-70,-75,-61,-74,-74,-85,-73,-82,-65,-76,-200,-78,-79,-200,-76,-71,-68,-200,-72,-85,-90,-84,-200,-80,-85,-82,-85,-84,-81,-88,-200,-90,-88,-81,-90,-83,-82,-200,-83,-75,-85,-200,-79,-200,-84,-93,-200,-90,-200,-89,-200,-85,-87,-90,-88,-91,-91,-200,-92,-68,-80,-200,-91,-89,-91,-200,-85,-90,-88,-200,-200,-91,-200,-83,-200,-200,-200,-87,-92,-90,-90,-92,-89
1526464765330,-35,-47,-57,-63,-61,-54,-63,-73,-77,-57,-85,-74,-81,-69,-79,-73,-77,-200,-85,-72,-200,-81,-82,-66,-200,-70,-78,-86,-83,-90,-89,-78,-84,-87,-89,-83,-88,-200,-90,-86,-82,-90,-87,-84,-90,-90,-75,-78,-200,-88,-200,-85,-84,-89,-89,-200,-88,-200,-80,-87,-90,-200,-91,-93,-200,-89,-89,-76,-88,-93,-200,-88,-72,-200,-90,-200,-200,-92,-91,-200,-82,-200,-200,-90,-200,-200,-90,-90,-93,-89
1526464768370,-40,-53,-62,-58,-53,-47,-63,-68,-75,-55,-69,-73,-82,-68,-84,-72,-69,-85,-78,-75,-200,-73,-77,-70,-200,-66,-78,-86,-83,-90,-85,-85,-87,-84,-89,-81,-88,-200,-90,-91,-82,-90,-81,-84,-90,-90,-200,-85,-200,-83,-200,-86,-85,-89,-89,-200,-88,-200,-83,-200,-90,-200,-200,-93,-200,-89,-85,-76,-88,-93,-200,-92,-72,-200,-88,-92,-200,-91,-90,-200,-86,-200,-200,-90,-88,-200,-200,-200,-93,-89
1526464771416,-37,-53,-57,-57,-54,-50,-57,-67,-75,-56,-68,-74,-82,-69,-84,-73,-69,-83,-78,-66,-200,-75,-77,-69,-200,-72,-81,-86,-82,-87,-87,-76,-89,-84,-83,-81,-200,-200,-88,-91,-80,-200,-82,-84,-90,-83,-91,-82,-200,-83,-200,-84,-82,-89,-91,-200,-88,-200,-83,-200,-90,-200,-200,-93,-200,-89,-85,-75,-84,-93,-90,-92,-72,-200,-87,-92,-200,-91,-90,-200,-89,-200,-200,-91,-88,-200,-200,-200,-93,-89
1526464774454,-42,-49,-57,-61,-53,-53,-63,-66,-74,-55,-68,-72,-82,-71,-84,-71,-70,-83,-76,-74,-200,-75,-77,-68,-200,-71,-77,-80,-84,-87,-87,-76,-88,-84,-83,-79,-89,-200,-82,-91,-87,-200,-83,-83,-200,-83,-91,-82,-200,-87,-200,-87,-82,-89,-91,-200,-88,-200,-84,-200,-200,-90,-200,-200,-200,-89,-88,-75,-87,-93,-90,-92,-76,-200,-88,-87,-200,-91,-91,-200,-89,-200,-200,-91,-88,-200,-200,-200,-200,-91
1526464777496,-37,-48,-59,-56,-55,-45,-62,-67,-76,-62,-74,-77,-82,-70,-84,-74,-70,-83,-79,-64,-200,-73,-76,-64,-200,-71,-81,-80,-84,-87,-90,-77,-83,-87,-83,-81,-87,-200,-82,-86,-87,-200,-83,-82,-88,-85,-90,-82,-200,-87,-200,-86,-82,-89,-87,-200,-88,-200,-84,-87,-92,-90,-90,-200,-89,-89,-88,-78,-79,-200,-90,-92,-76,-200,-88,-87,-200,-91,-91,-200,-89,-200,-200,-91,-89,-200,-200,-200,-200,-91
1526464780539,-37,-53,-72,-61,-60,-49,-62,-72,-75,-57,-75,-72,-82,-70,-85,-82,-69,-85,-76,-65,-200,-75,-75,-74,-200,-71,-80,-79,-82,-87,-90,-83,-88,-87,-83,-75,-87,-200,-84,-85,-87,-200,-81,-84,-88,-85,-90,-81,-200,-81,-200,-85,-84,-88,-87,-200,-90,-200,-93,-87,-96,-90,-90,-200,-89,-89,-88,-69,-79,-200,-90,-91,-74,-200,-88,-87,-200,-91,-91,-200,-82,-200,-200,-91,-89,-200,-200,-200,-200,-91
