,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464827839,-41,-200,-61,-66,-64,-70,-64,-64,-90,-200,-88,-71,-75,-200,-200,-78,-75,-78,-200,-200,-76,-200,-200,-200,-200,-200,-78,-200,-200,-200,-84,-80,-200,-86,-91,-200,-200,-91,-200,-90,-83,-200,-200,-85,-200,-200,-85,-92,-200,-200,-89,-85,-200,-200,-200,-200,-200,-90,-200,-200,-89,-88,-91,-89,-200,-200,-200,-200,-87,-92,-90,-200,-92,-200,-200,-90,-92,-200,-91,-94,-91,-200,-200
1526464830868,-41,-86,-62,-63,-74,-78,-62,-68,-90,-200,-88,-72,-71,-200,-91,-79,-78,-77,-200,-200,-77,-200,-200,-200,-200,-200,-84,-200,-200,-200,-84,-75,-200,-85,-92,-200,-200,-79,-200,-86,-86,-200,-200,-85,-200,-200,-86,-87,-200,-200,-76,-87,-200,-200,-200,-200,-200,-88,-200,-200,-93,-88,-91,-87,-200,-200,-200,-200,-87,-93,-90,-200,-92,-200,-200,-91,-92,-92,-91,-200,-91,-200,-200
1526464833897,-42,-86,-62,-65,-63,-68,-62,-71,-89,-200,-89,-72,-75,-200,-91,-81,-78,-75,-200,-200,-78,-200,-200,-200,-200,-200,-85,-200,-200,-200,-85,-75,-200,-85,-92,-200,-200,-79,-200,-83,-87,-200,-200,-200,-200,-200,-85,-89,-200,-200,-86,-85,-200,-200,-200,-200,-200,-88,-200,-200,-91,-91,-200,-88,-200,-200,-200,-200,-89,-93,-200,-200,-92,-200,-200,-91,-200,-92,-91,-200,-91,-200,-200
1526464836924,-43,-88,-62,-64,-65,-70,-64,-70,-91,-200,-81,-71,-72,-200,-91,-85,-78,-75,-200,-200,-79,-200,-200,-200,-200,-200,-85,-200,-200,-200,-84,-77,-200,-92,-93,-200,-200,-88,-200,-83,-87,-200,-200,-92,-200,-200,-84,-88,-200,-200,-89,-85,-200,-200,-200,-200,-200,-88,-200,-200,-92,-91,-200,-91,-200,-200,-200,-200,-89,-93,-200,-200,-92,-200,-200,-89,-200,-89,-91,-200,-200,-200,-200
1526464839958,-43,-88,-62,-66,-63,-70,-64,-72,-90,-200,-81,-72,-74,-200,-91,-86,-79,-75,-200,-200,-80,-200,-200,-200,-200,-200,-85,-200,-200,-200,-83,-75,-200,-90,-91,-200,-200,-88,-200,-83,-87,-200,-200,-92,-200,-200,-86,-88,-200,-200,-87,-86,-200,-200,-200,-200,-200,-88,-200,-200,-92,-86,-90,-98,-200,-200,-200,-200,-89,-93,-200,-200,-92,-200,-200,-89,-200,-89,-200,-200,-200,-200,-200
1526464842985,-42,-88,-61,-64,-65,-70,-63,-70,-90,-200,-90,-72,-74,-200,-91,-85,-76,-76,-200,-200,-77,-200,-200,-200,-200,-200,-85,-200,-200,-200,-83,-75,-200,-87,-91,-200,-200,-88,-200,-90,-84,-200,-200,-92,-200,-200,-86,-90,-200,-200,-86,-85,-200,-200,-200,-200,-200,-85,-200,-200,-91,-88,-89,-98,-200,-200,-200,-200,-88,-200,-200,-200,-92,-200,-200,-89,-200,-91,-200,-89,-200,-200,-200
1526464846018,-43,-88,-62,-64,-59,-68,-63,-67,-90,-200,-90,-71,-71,-200,-92,-84,-78,-74,-200,-90,-78,-200,-200,-200,-200,-200,-86,-200,-200,-200,-84,-76,-200,-85,-91,-200,-200,-88,-200,-90,-83,-200,-200,-90,-200,-200,-86,-90,-200,-200,-89,-85,-200,-200,-200,-200,-200,-85,-200,-200,-91,-87,-89,-91,-200,-200,-200,-200,-88,-200,-200,-200,-92,-200,-200,-89,-200,-94,-90,-87,-200,-200,-200
1526464849048,-42,-200,-61,-62,-66,-68,-64,-66,-90,-200,-89,-72,-72,-200,-92,-79,-78,-75,-200,-90,-78,-200,-200,-200,-200,-200,-84,-200,-200,-200,-84,-77,-200,-85,-91,-200,-200,-200,-200,-91,-85,-200,-200,-90,-200,-200,-86,-90,-200,-200,-85,-85,-200,-200,-200,-200,-200,-85,-200,-200,-91,-89,-89,-88,-200,-200,-200,-200,-88,-200,-200,-200,-89,-200,-200,-90,-200,-94,-91,-87,-200,-200,-200
1526464852079,-41,-85,-61,-64,-66,-70,-64,-71,-90,-200,-90,-72,-72,-200,-91,-84,-78,-78,-200,-90,-78,-200,-200,-200,-200,-200,-83,-200,-200,-200,-84,-75,-200,-91,-91,-200,-200,-90,-200,-85,-86,-200,-200,-90,-200,-200,-200,-88,-200,-200,-88,-85,-200,-200,-200,-200,-200,-86,-200,-200,-95,-89,-89,-89,-200,-200,-200,-200,-88,-200,-200,-200,-92,-200,-200,-89,-92,-94,-91,-91,-200,-200,-200
1526464855111,-41,-89,-62,-64,-66,-70,-64,-69,-91,-200,-90,-71,-74,-200,-91,-84,-79,-76,-200,-91,-77,-200,-200,-200,-90,-200,-83,-200,-200,-200,-86,-75,-200,-86,-91,-200,-200,-91,-200,-89,-84,-200,-200,-90,-200,-200,-88,-89,-200,-200,-87,-87,-200,-200,-200,-200,-200,-87,-200,-200,-95,-89,-87,-89,-200,-200,-200,-200,-86,-200,-200,-200,-92,-200,-200,-89,-92,-94,-91,-89,-200,-92,-200
1526464858140,-42,-89,-61,-64,-62,-69,-63,-75,-91,-200,-89,-72,-74,-200,-89,-79,-77,-76,-200,-91,-77,-200,-200,-200,-90,-200,-83,-200,-200,-200,-83,-80,-200,-90,-200,-200,-200,-90,-200,-88,-85,-200,-200,-90,-200,-200,-88,-89,-200,-200,-88,-85,-200,-200,-200,-200,-200,-89,-200,-200,-95,-89,-87,-89,-200,-200,-200,-200,-86,-200,-200,-200,-89,-200,-200,-89,-92,-91,-91,-89,-200,-92,-200
1526464861175,-47,-89,-62,-63,-66,-70,-64,-68,-93,-200,-90,-72,-74,-200,-89,-81,-75,-77,-200,-91,-76,-200,-200,-200,-90,-200,-83,-200,-200,-200,-84,-81,-200,-91,-200,-200,-200,-90,-200,-88,-84,-200,-200,-90,-200,-200,-88,-89,-200,-200,-89,-84,-200,-200,-200,-200,-200,-87,-200,-200,-91,-87,-91,-91,-200,-200,-200,-200,-91,-200,-200,-200,-89,-200,-200,-89,-92,-91,-91,-89,-200,-92,-91
