,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526462637794,-200,-200,-200,-90,-73,-200,-84,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462637916,-72,-200,-77,-81,-71,-86,-83,-85,-91,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-84,-200,-86,-94,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462642395,-72,-90,-200,-200,-71,-85,-84,-85,-92,-200,-200,-75,-200,-85,-200,-200,-200,-92,-200,-200,-200,-87,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462642502,-71,-200,-77,-82,-71,-85,-82,-85,-94,-200,-200,-74,-200,-200,-200,-200,-200,-92,-200,-200,-85,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462642622,-72,-200,-77,-81,-71,-200,-83,-85,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462642745,-73,-200,-77,-200,-70,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462642881,-71,-200,-77,-200,-71,-85,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462647310,-67,-200,-71,-200,-200,-200,-200,-200,-200,-89,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462647405,-66,-200,-200,-200,-71,-200,-200,-76,-200,-200,-200,-200,-83,-200,-200,-200,-94,-200,-200,-200,-88,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526462647540,-66,-200,-71,-80,-70,-200,-200,-200,-200,-86,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462647608,-67,-200,-71,-200,-71,-200,-200,-200,-86,-200,-89,-200,-83,-88,-200,-200,-200,-200,-200,-91,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462647737,-200,-200,-71,-200,-200,-200,-200,-200,-200,-86,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526462647837,-200,-200,-71,-80,-74,-82,-200,-83,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526462652286,-200,-200,-70,-200,-74,-200,-200,-83,-93,-92,-200,-200,-72,-200,-200,-200,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462652384,-70,-200,-200,-91,-74,-91,-84,-83,-200,-92,-200,-89,-72,-200,-200,-200,-95,-200,-89,-86,-92,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526462652578,-71,-200,-70,-90,-74,-200,-84,-83,-92,-94,-200,-89,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-102,-200,-200,-200,-200,-200
1526462652702,-70,-200,-200,-200,-200,-90,-84,-83,-200,-200,-200,-200,-72,-200,-200,-200,-97,-200,-89,-200,-200,-85,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462652796,-70,-200,-200,-200,-74,-200,-200,-83,-200,-93,-200,-200,-72,-200,-200,-200,-200,-200,-200,-86,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462657283,-72,-200,-76,-82,-71,-85,-82,-200,-200,-200,-200,-74,-81,-86,-200,-200,-200,-92,-200,-200,-200,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462657416,-200,-200,-76,-200,-71,-85,-84,-200,-93,-200,-200,-75,-81,-200,-200,-200,-200,-200,-200,-200,-87,-200,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462657521,-72,-200,-77,-200,-200,-86,-82,-200,-200,-200,-200,-75,-80,-87,-200,-200,-200,-91,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526462657614,-72,-200,-77,-82,-71,-85,-83,-200,-200,-200,-200,-75,-81,-200,-200,-200,-200,-93,-200,-200,-85,-85,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526462657721,-73,-200,-79,-200,-71,-86,-83,-84,-200,-200,-200,-74,-80,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462657835,-72,-200,-75,-200,-200,-200,-200,-85,-200,-200,-200,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462657947,-200,-200,-71,-80,-200,-84,-200,-84,-89,-97,-200,-200,-200,-87,-200,-200,-200,-91,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-99,-200,-200,-200
1526462662346,-66,-200,-71,-85,-72,-83,-200,-76,-200,-87,-200,-74,-200,-88,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462662526,-66,-200,-69,-200,-71,-82,-200,-75,-200,-87,-90,-74,-200,-88,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200
1526462662629,-200,-88,-72,-79,-200,-200,-200,-200,-200,-200,-200,-74,-81,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462662731,-200,-200,-71,-200,-200,-83,-200,-200,-88,-200,-200,-200,-81,-200,-200,-200,-200,-93,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462662839,-200,-97,-71,-200,-74,-200,-200,-200,-200,-92,-200,-88,-200,-200,-200,-200,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-100,-200,-200,-200,-200,-200
1526462667375,-69,-96,-70,-90,-200,-91,-200,-200,-92,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-85,-91,-85,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526462667485,-69,-200,-69,-90,-74,-91,-83,-200,-92,-95,-200,-87,-200,-200,-200,-200,-200,-200,-200,-86,-200,-85,-200,-200,-200,-200,-200,-100,-200,-200,-200,-200,-200
1526462667593,-70,-200,-69,-200,-74,-92,-200,-200,-200,-93,-200,-88,-72,-200,-200,-200,-98,-200,-200,-85,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462667710,-70,-200,-200,-200,-74,-200,-200,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462667812,-70,-200,-200,-90,-200,-200,-200,-200,-92,-93,-200,-89,-73,-200,-200,-200,-200,-200,-89,-200,-92,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200
1526462667923,-72,-92,-76,-81,-74,-85,-200,-86,-92,-91,-200,-88,-78,-86,-200,-200,-200,-200,-200,-85,-87,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462672394,-71,-200,-200,-81,-70,-84,-82,-85,-200,-200,-200,-200,-78,-85,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462672501,-72,-200,-76,-82,-71,-85,-82,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-90,-200,-200,-200,-86,-91,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462672693,-73,-200,-200,-81,-69,-85,-200,-84,-92,-200,-200,-200,-79,-86,-200,-200,-200,-200,-200,-200,-200,-85,-93,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462672807,-72,-90,-76,-81,-200,-85,-200,-84,-200,-200,-200,-75,-78,-200,-200,-200,-200,-89,-200,-200,-87,-87,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462672910,-71,-200,-76,-82,-71,-200,-200,-85,-200,-200,-90,-200,-79,-85,-200,-200,-200,-91,-200,-89,-86,-200,-200,-87,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526462677385,-66,-200,-72,-200,-200,-200,-200,-200,-200,-200,-89,-75,-80,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462677486,-66,-200,-200,-200,-200,-83,-200,-76,-200,-200,-200,-73,-80,-200,-96,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200
1526462677615,-66,-200,-72,-200,-200,-83,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462677767,-65,-200,-72,-200,-71,-83,-200,-200,-90,-200,-200,-75,-200,-85,-200,-200,-95,-93,-200,-88,-200,-200,-200,-200,-98,-94,-200,-200,-200,-200,-200,-97,-200
1526462677854,-200,-200,-71,-91,-71,-200,-84,-200,-89,-94,-200,-75,-200,-200,-200,-200,-200,-200,-101,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-98,-94
1526462682321,-200,-200,-200,-200,-72,-94,-200,-84,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-88,-86,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462682425,-72,-200,-71,-93,-73,-92,-84,-84,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-88,-84,-200,-84,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462682528,-72,-200,-73,-93,-200,-200,-200,-84,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-94,-85,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526462682659,-72,-95,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-96,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526462682761,-72,-200,-72,-200,-74,-200,-200,-86,-200,-200,-200,-88,-72,-200,-200,-200,-200,-200,-88,-85,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462682877,-71,-200,-71,-93,-200,-94,-84,-200,-200,-94,-200,-200,-71,-96,-200,-200,-200,-200,-200,-85,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462682962,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462687305,-72,-200,-200,-81,-70,-85,-82,-85,-200,-200,-200,-75,-200,-86,-200,-200,-200,-200,-200,-200,-86,-84,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462687535,-200,-89,-200,-81,-71,-84,-200,-86,-200,-200,-200,-74,-200,-200,-200,-91,-200,-92,-200,-200,-88,-84,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462687640,-73,-200,-89,-81,-70,-200,-82,-200,-200,-200,-200,-75,-200,-200,-200,-94,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462687752,-200,-89,-89,-200,-200,-200,-83,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-93,-200,-200,-200,-84,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462687873,-73,-200,-88,-200,-71,-85,-82,-85,-200,-95,-95,-200,-200,-200,-200,-200,-200,-90,-200,-200,-86,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462692279,-66,-89,-72,-200,-73,-83,-200,-75,-200,-200,-88,-75,-78,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462692485,-200,-88,-72,-200,-71,-83,-200,-76,-200,-88,-200,-200,-78,-200,-200,-200,-200,-92,-200,-87,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462692613,-66,-200,-200,-80,-72,-82,-200,-200,-200,-200,-200,-75,-80,-200,-200,-200,-200,-92,-200,-85,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200
1526462692701,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462692804,-66,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-78,-86,-200,-200,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526462692905,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
