,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1
1526462717700,-200,-93,-71,-200,-200,-72,-200,-71,-88,-200,-77,-90,-200,-88,-87,-74,-89,-200,-90,-200,-200,-200,-200,-200
1526462717802,-200,-200,-71,-200,-200,-71,-200,-72,-87,-200,-77,-91,-200,-200,-87,-74,-200,-92,-91,-92,-200,-200,-200,-200
1526462717918,-200,-92,-74,-200,-200,-71,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526462722312,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-84,-76,-200,-200,-200,-200,-96,-200,-200,-200
1526462722483,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526462722561,-200,-200,-74,-200,-200,-68,-200,-74,-200,-200,-73,-200,-200,-200,-84,-76,-200,-200,-200,-200,-96,-200,-200,-200
1526462722719,-200,-200,-75,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-84,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526462722830,-200,-200,-73,-200,-200,-68,-89,-200,-200,-94,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462727282,-200,-200,-84,-96,-200,-73,-200,-200,-88,-200,-89,-96,-200,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526462727376,-200,-200,-85,-94,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-91,-91,-200,-200,-200,-200,-200,-97,-200,-200
1526462727477,-200,-200,-84,-96,-200,-200,-94,-200,-200,-91,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462727582,-93,-200,-84,-96,-200,-72,-93,-200,-200,-91,-89,-200,-101,-91,-200,-90,-200,-200,-200,-200,-200,-97,-200,-200
1526462727692,-91,-200,-84,-94,-200,-200,-94,-200,-90,-200,-89,-200,-200,-91,-200,-91,-200,-200,-200,-96,-96,-200,-200,-200
1526462727799,-92,-200,-84,-95,-200,-71,-93,-75,-200,-91,-89,-200,-200,-91,-90,-200,-200,-200,-200,-200,-99,-200,-200,-200
1526462727918,-200,-200,-84,-200,-200,-200,-92,-200,-200,-200,-88,-92,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462732289,-200,-92,-73,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-88,-88,-75,-89,-200,-91,-200,-200,-200,-200,-200
1526462732405,-86,-200,-74,-200,-200,-200,-200,-73,-200,-200,-77,-200,-200,-200,-200,-75,-90,-91,-200,-200,-200,-200,-94,-200
1526462732520,-200,-92,-200,-200,-200,-200,-200,-72,-200,-200,-77,-200,-200,-200,-200,-74,-89,-92,-90,-91,-200,-200,-200,-200
1526462732641,-87,-92,-75,-200,-200,-72,-200,-200,-89,-200,-77,-92,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526462732782,-87,-200,-200,-200,-200,-73,-200,-72,-200,-200,-77,-90,-200,-200,-200,-74,-89,-91,-92,-93,-200,-200,-93,-200
1526462732848,-86,-91,-200,-200,-200,-200,-95,-200,-200,-200,-77,-89,-200,-89,-200,-74,-89,-92,-91,-200,-200,-200,-200,-200
1526462737296,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-75,-89,-200,-200,-200,-76,-200,-200,-91,-92,-200,-200,-93,-200
1526462737407,-200,-200,-200,-200,-200,-68,-200,-74,-200,-200,-74,-88,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462737529,-200,-200,-200,-200,-200,-68,-200,-74,-200,-200,-74,-89,-200,-200,-84,-200,-93,-92,-200,-200,-200,-200,-200,-200
1526462737686,-200,-200,-76,-200,-200,-68,-200,-74,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526462742280,-90,-200,-82,-95,-200,-72,-200,-77,-88,-90,-89,-200,-200,-91,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526462742387,-92,-200,-83,-95,-200,-72,-92,-77,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200
1526462742529,-91,-200,-200,-96,-200,-72,-200,-77,-88,-200,-200,-200,-200,-91,-90,-92,-200,-200,-200,-200,-99,-200,-200,-200
1526462742628,-200,-200,-200,-200,-200,-200,-200,-77,-88,-200,-88,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462742735,-200,-200,-83,-93,-200,-72,-92,-77,-88,-200,-200,-96,-200,-91,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526462742851,-91,-200,-82,-200,-200,-200,-94,-76,-88,-200,-88,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200
1526462742951,-200,-200,-73,-200,-200,-71,-200,-72,-200,-200,-77,-200,-200,-92,-87,-74,-89,-92,-200,-92,-200,-200,-200,-200
1526462747375,-200,-200,-74,-200,-200,-71,-200,-72,-200,-200,-77,-200,-200,-89,-200,-200,-88,-91,-200,-200,-200,-200,-200,-200
1526462747468,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-89,-88,-74,-89,-91,-92,-91,-200,-200,-200,-200
1526462747604,-86,-200,-72,-200,-200,-71,-200,-200,-200,-200,-200,-91,-200,-200,-89,-200,-89,-200,-92,-200,-200,-200,-200,-200
1526462747712,-87,-200,-200,-200,-200,-70,-200,-72,-88,-200,-200,-200,-200,-90,-200,-200,-89,-200,-91,-91,-200,-200,-200,-200
1526462747822,-200,-92,-72,-200,-200,-71,-200,-72,-87,-200,-200,-200,-200,-200,-200,-200,-200,-93,-91,-200,-200,-200,-200,-200
1526462752287,-93,-93,-200,-200,-200,-68,-200,-74,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-93,-200,-200,-200,-200,-200
1526462752376,-200,-93,-200,-200,-200,-68,-200,-74,-200,-200,-200,-88,-200,-90,-200,-77,-200,-200,-200,-93,-200,-200,-200,-200
1526462752495,-95,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-96,-200,-200,-92,-200,-200
1526462752581,-200,-200,-200,-200,-200,-68,-87,-200,-92,-200,-200,-200,-200,-200,-85,-200,-91,-200,-92,-200,-200,-91,-200,-200
1526462752682,-200,-200,-200,-200,-200,-68,-200,-200,-91,-90,-72,-200,-200,-200,-83,-75,-200,-94,-200,-200,-200,-91,-200,-200
1526462752858,-91,-200,-200,-200,-200,-72,-93,-82,-90,-94,-200,-200,-200,-200,-87,-200,-200,-200,-94,-200,-200,-91,-92,-200
1526462757383,-91,-200,-79,-200,-200,-72,-93,-83,-90,-94,-87,-200,-99,-200,-87,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526462757472,-91,-200,-80,-200,-200,-72,-92,-83,-89,-200,-85,-200,-97,-200,-86,-83,-200,-200,-96,-99,-200,-200,-200,-200
1526462757584,-90,-200,-200,-92,-200,-200,-200,-82,-91,-200,-86,-200,-200,-200,-88,-84,-200,-200,-200,-200,-200,-200,-99,-200
1526462757702,-91,-200,-80,-200,-200,-71,-200,-82,-91,-200,-85,-200,-200,-200,-88,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526462757792,-91,-200,-80,-200,-200,-72,-92,-84,-91,-200,-86,-200,-98,-200,-87,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526462757903,-92,-200,-80,-200,-200,-72,-93,-83,-90,-200,-200,-200,-200,-200,-88,-200,-200,-200,-96,-99,-100,-200,-200,-200
1526462762308,-200,-200,-73,-200,-200,-73,-93,-200,-88,-200,-76,-200,-200,-87,-88,-75,-88,-200,-200,-200,-200,-200,-200,-200
1526462762405,-200,-200,-74,-200,-200,-200,-95,-79,-200,-200,-75,-200,-200,-86,-88,-74,-200,-200,-92,-200,-200,-200,-200,-200
1526462762509,-200,-200,-74,-200,-200,-73,-200,-200,-88,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526462762612,-200,-200,-74,-200,-200,-200,-200,-79,-200,-200,-77,-93,-200,-86,-88,-75,-90,-200,-91,-200,-200,-200,-200,-200
1526462762717,-87,-200,-74,-200,-200,-73,-200,-79,-200,-200,-76,-93,-200,-200,-87,-75,-89,-200,-200,-90,-200,-200,-200,-200
1526462762869,-200,-200,-73,-200,-200,-73,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462767298,-200,-200,-71,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-92,-200,-200,-93,-200,-200,-200,-200
1526462767395,-200,-200,-71,-200,-200,-200,-88,-200,-200,-93,-74,-91,-200,-90,-200,-75,-200,-90,-200,-94,-200,-200,-200,-93
1526462767499,-200,-200,-200,-200,-200,-70,-200,-81,-200,-200,-200,-200,-200,-200,-84,-75,-200,-90,-200,-94,-200,-91,-200,-200
1526462767658,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-89,-84,-75,-92,-90,-200,-200,-200,-200,-200,-200
1526462767763,-200,-200,-200,-200,-200,-70,-88,-81,-94,-200,-200,-200,-200,-200,-200,-75,-200,-91,-200,-200,-200,-200,-200,-200
1526462767916,-200,-200,-200,-93,-200,-73,-200,-81,-90,-200,-85,-200,-200,-200,-200,-86,-200,-91,-200,-200,-200,-200,-98,-200
1526462772390,-89,-200,-85,-200,-200,-72,-200,-84,-88,-200,-87,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200
1526462772480,-200,-200,-90,-200,-200,-72,-93,-84,-200,-200,-85,-200,-200,-200,-85,-85,-200,-200,-200,-200,-200,-200,-97,-200
1526462772584,-90,-97,-88,-95,-200,-74,-93,-79,-90,-97,-87,-200,-200,-200,-85,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526462772703,-200,-200,-200,-94,-200,-72,-200,-80,-88,-91,-89,-200,-96,-200,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526462772815,-92,-200,-200,-94,-200,-73,-93,-84,-90,-200,-200,-200,-97,-200,-86,-80,-200,-200,-200,-200,-200,-97,-200,-200
1526462772917,-94,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-91,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
