,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1
1526443087720,-91,-200,-200,-200,-79,-96,-78,-97,-87,-200,-97,-200,-93,-200,-96,-200,-200,-200,-200
1526443087835,-91,-200,-92,-200,-78,-95,-76,-200,-89,-93,-200,-200,-200,-200,-98,-90,-200,-200,-200
1526443087997,-88,-200,-93,-86,-200,-200,-200,-200,-90,-200,-95,-200,-200,-200,-200,-88,-200,-200,-200
1526443092521,-90,-200,-82,-200,-75,-200,-77,-200,-200,-200,-92,-89,-200,-93,-200,-87,-89,-200,-200
1526443092670,-88,-84,-81,-200,-76,-200,-78,-87,-78,-89,-92,-89,-84,-96,-200,-88,-90,-200,-200
1526443092728,-200,-200,-200,-72,-78,-200,-200,-200,-200,-200,-92,-89,-200,-200,-200,-200,-200,-200,-200
1526443092855,-200,-85,-81,-72,-77,-200,-78,-88,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526443092981,-89,-84,-200,-71,-76,-200,-200,-87,-200,-88,-200,-200,-85,-200,-91,-88,-200,-200,-200
1526443093089,-89,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443097529,-200,-200,-81,-73,-76,-200,-83,-200,-200,-85,-200,-200,-200,-200,-88,-86,-200,-200,-200
1526443097675,-200,-83,-81,-72,-76,-200,-200,-200,-200,-85,-200,-200,-83,-91,-200,-86,-200,-200,-200
1526443097742,-200,-83,-79,-72,-200,-200,-200,-92,-200,-84,-200,-200,-83,-200,-88,-86,-200,-200,-200
1526443097849,-86,-83,-81,-72,-200,-200,-84,-200,-200,-85,-200,-87,-200,-200,-200,-86,-200,-200,-200
1526443098027,-86,-83,-81,-73,-200,-200,-84,-200,-200,-84,-200,-87,-200,-94,-87,-86,-200,-200,-200
1526443102530,-200,-85,-200,-88,-74,-200,-200,-200,-83,-200,-97,-200,-93,-200,-200,-200,-94,-200,-200
1526443102641,-200,-86,-86,-200,-200,-200,-200,-200,-83,-200,-97,-200,-200,-200,-200,-92,-94,-200,-200
1526443102729,-87,-86,-200,-200,-200,-200,-82,-200,-83,-200,-96,-200,-200,-200,-101,-200,-200,-200,-200
1526443102913,-200,-86,-87,-89,-200,-200,-81,-200,-83,-200,-200,-200,-93,-200,-200,-200,-93,-200,-200
1526443103014,-88,-85,-86,-200,-74,-200,-80,-200,-83,-200,-97,-200,-92,-200,-96,-93,-200,-200,-200
1526443107554,-200,-200,-81,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526443107683,-200,-200,-81,-75,-77,-200,-200,-200,-82,-200,-200,-91,-200,-200,-200,-85,-200,-200,-200
1526443107781,-88,-200,-200,-73,-200,-200,-200,-91,-82,-90,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526443107885,-200,-200,-81,-73,-200,-200,-200,-200,-83,-89,-200,-89,-200,-200,-90,-86,-200,-200,-200
1526443107986,-200,-200,-200,-74,-77,-200,-200,-200,-83,-90,-200,-200,-82,-200,-89,-200,-91,-200,-200
1526443112486,-85,-84,-81,-72,-80,-200,-200,-200,-200,-85,-96,-200,-200,-200,-200,-200,-97,-200,-200
1526443112605,-200,-83,-81,-72,-200,-200,-200,-200,-97,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443112719,-200,-84,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526443112825,-86,-200,-81,-73,-80,-200,-85,-200,-200,-86,-200,-89,-83,-200,-200,-85,-200,-200,-200
1526443117513,-200,-200,-200,-200,-74,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443117629,-200,-200,-200,-200,-74,-94,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526443117731,-90,-200,-85,-200,-75,-200,-87,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443117834,-90,-200,-200,-92,-74,-200,-87,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443117949,-89,-84,-84,-74,-74,-91,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
1526443122579,-200,-84,-200,-74,-74,-91,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526443122683,-91,-85,-82,-200,-75,-91,-75,-91,-82,-200,-200,-89,-86,-200,-90,-200,-200,-200,-200
1526443122795,-91,-85,-200,-74,-74,-92,-75,-91,-200,-200,-200,-88,-85,-200,-200,-89,-200,-200,-200
1526443122899,-91,-200,-200,-75,-74,-92,-75,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526443122997,-91,-85,-82,-74,-75,-93,-75,-92,-81,-93,-200,-89,-85,-200,-200,-200,-200,-200,-200
1526443127488,-200,-200,-200,-73,-73,-200,-80,-200,-92,-200,-200,-85,-83,-91,-200,-200,-200,-98,-200
1526443127620,-200,-85,-81,-200,-200,-200,-80,-200,-91,-200,-200,-85,-83,-200,-88,-87,-200,-200,-200
1526443127716,-200,-200,-200,-73,-73,-200,-80,-200,-92,-86,-200,-85,-200,-94,-87,-200,-94,-200,-98
1526443127820,-200,-85,-82,-200,-73,-200,-80,-200,-91,-85,-200,-86,-200,-94,-200,-200,-95,-95,-200
1526443127921,-200,-200,-200,-200,-200,-200,-77,-91,-91,-200,-200,-200,-200,-200,-89,-88,-93,-200,-200
1526443128038,-200,-200,-200,-73,-73,-200,-80,-91,-90,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526443132481,-90,-88,-83,-200,-74,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526443132589,-200,-88,-200,-86,-74,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526443132694,-200,-88,-84,-86,-75,-95,-87,-200,-87,-200,-200,-200,-200,-200,-200,-97,-97,-200,-200
1526443132791,-90,-88,-83,-85,-74,-96,-86,-200,-86,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526443132925,-200,-200,-85,-87,-74,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200
1526443133043,-88,-83,-200,-86,-73,-200,-200,-200,-78,-200,-200,-89,-85,-200,-91,-200,-90,-200,-200
1526443137609,-200,-200,-82,-73,-200,-200,-76,-92,-79,-90,-200,-89,-86,-200,-93,-200,-88,-200,-200
1526443137712,-89,-84,-81,-200,-76,-200,-78,-200,-78,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526443137839,-200,-84,-81,-72,-74,-200,-77,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443138025,-200,-200,-81,-200,-200,-92,-77,-200,-200,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526443142509,-90,-200,-79,-71,-73,-200,-80,-90,-200,-87,-200,-86,-200,-92,-86,-200,-200,-200,-200
1526443142674,-200,-84,-79,-72,-200,-200,-82,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443142817,-89,-200,-200,-71,-72,-200,-85,-200,-84,-86,-200,-200,-86,-200,-200,-200,-96,-200,-200
1526443142984,-89,-200,-79,-71,-73,-200,-81,-200,-200,-200,-200,-86,-85,-200,-200,-200,-200,-98,-200
