,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526455833314,-36,-40,-43,-69,-66,-57,-54,-74,-80,-76,-80,-73,-70,-68,-78,-61,-64,-80,-80,-64,-69,-65,-76,-75,-78,-89,-72,-80,-67,-84,-200,-81,-59,-83,-78,-74,-82,-76,-78,-84,-200,-81,-86,-85,-83,-89,-83,-200,-200,-200,-82,-91,-200,-88,-88,-88,-200,-93,-200,-200,-90,-90,-200,-89,-200,-87,-88,-86,-200
1526455836342,-36,-40,-43,-69,-68,-56,-55,-78,-74,-75,-80,-75,-71,-67,-77,-61,-64,-77,-78,-65,-70,-73,-76,-77,-77,-88,-71,-77,-67,-84,-200,-81,-58,-83,-78,-74,-82,-78,-79,-84,-200,-81,-86,-85,-83,-200,-83,-200,-200,-200,-82,-91,-200,-86,-88,-88,-200,-93,-200,-200,-90,-90,-200,-89,-90,-87,-88,-89,-200
1526455839357,-32,-39,-43,-65,-68,-56,-54,-76,-72,-75,-73,-76,-73,-69,-81,-64,-65,-77,-77,-59,-70,-61,-84,-77,-78,-88,-73,-77,-67,-82,-200,-200,-58,-83,-79,-74,-82,-78,-79,-86,-200,-83,-82,-85,-83,-200,-86,-200,-200,-200,-82,-91,-200,-86,-87,-88,-200,-93,-88,-200,-90,-90,-200,-89,-90,-86,-200,-89,-200
1526455842385,-30,-39,-45,-64,-68,-57,-55,-74,-76,-74,-73,-77,-70,-70,-81,-68,-65,-77,-78,-65,-70,-63,-80,-76,-78,-85,-72,-77,-67,-89,-84,-200,-59,-81,-78,-76,-82,-78,-79,-86,-200,-80,-82,-85,-83,-91,-86,-200,-200,-200,-78,-200,-200,-88,-89,-88,-200,-93,-88,-200,-90,-89,-200,-89,-90,-78,-200,-89,-200
1526455845415,-28,-41,-38,-65,-67,-58,-54,-73,-69,-75,-73,-76,-68,-74,-83,-68,-65,-77,-78,-61,-69,-71,-80,-76,-78,-79,-71,-75,-66,-89,-84,-200,-61,-83,-76,-78,-200,-76,-76,-84,-200,-82,-82,-85,-83,-91,-86,-200,-200,-200,-78,-200,-200,-88,-89,-200,-200,-200,-88,-200,-90,-89,-200,-200,-90,-84,-200,-89,-200
1526455848443,-30,-41,-39,-68,-65,-56,-54,-73,-72,-74,-78,-71,-70,-71,-83,-63,-62,-74,-74,-62,-70,-65,-79,-72,-76,-79,-72,-75,-66,-78,-87,-200,-60,-83,-75,-78,-83,-76,-77,-84,-200,-82,-82,-85,-88,-90,-86,-200,-94,-200,-83,-200,-200,-86,-89,-200,-200,-200,-88,-200,-90,-85,-200,-87,-200,-84,-200,-90,-200
1526455851473,-37,-41,-38,-68,-67,-58,-54,-76,-70,-74,-78,-75,-73,-74,-83,-67,-63,-74,-74,-66,-71,-64,-80,-72,-76,-80,-71,-75,-69,-78,-87,-200,-60,-82,-75,-78,-83,-76,-79,-84,-200,-82,-82,-87,-88,-90,-200,-89,-94,-200,-83,-200,-200,-86,-89,-200,-200,-89,-200,-200,-90,-85,-200,-87,-200,-85,-200,-90,-88
1526455854481,-33,-40,-35,-65,-64,-57,-52,-72,-70,-74,-74,-74,-71,-71,-73,-66,-59,-76,-68,-63,-72,-63,-82,-67,-76,-80,-70,-79,-66,-75,-87,-200,-59,-82,-75,-78,-83,-76,-77,-84,-200,-82,-82,-87,-88,-90,-83,-89,-94,-200,-71,-91,-200,-86,-200,-200,-200,-89,-89,-200,-200,-85,-200,-87,-200,-85,-200,-90,-88
1526455857497,-32,-38,-38,-67,-68,-59,-55,-71,-70,-74,-74,-72,-71,-69,-78,-65,-61,-73,-68,-66,-70,-71,-73,-72,-80,-80,-70,-79,-70,-75,-87,-81,-59,-82,-75,-200,-83,-200,-77,-200,-200,-200,-82,-87,-88,-90,-83,-89,-94,-200,-71,-91,-200,-86,-200,-200,-200,-87,-89,-200,-200,-85,-200,-87,-200,-85,-200,-90,-88
1526455860511,-32,-38,-41,-71,-66,-61,-56,-77,-80,-79,-80,-71,-70,-70,-83,-70,-66,-78,-78,-65,-70,-64,-77,-75,-77,-78,-69,-79,-68,-75,-200,-81,-58,-82,-73,-200,-81,-200,-77,-200,-200,-200,-82,-87,-85,-200,-83,-88,-200,-200,-82,-90,-200,-200,-89,-200,-200,-87,-89,-200,-89,-89,-200,-200,-200,-85,-200,-86,-84
1526455863539,-33,-39,-42,-69,-66,-58,-55,-72,-73,-74,-80,-73,-74,-69,-75,-64,-64,-78,-75,-67,-73,-71,-77,-75,-79,-86,-69,-79,-68,-77,-200,-81,-54,-200,-73,-200,-82,-200,-78,-85,-200,-80,-84,-87,-85,-200,-83,-88,-200,-200,-82,-90,-200,-200,-87,-200,-200,-90,-89,-200,-89,-89,-200,-200,-200,-200,-200,-86,-84
1526455866553,-37,-40,-42,-70,-65,-62,-56,-79,-76,-76,-80,-73,-67,-70,-75,-61,-65,-74,-82,-65,-72,-66,-77,-73,-79,-85,-73,-79,-68,-84,-200,-81,-57,-200,-76,-200,-81,-200,-78,-85,-200,-80,-84,-87,-83,-200,-200,-88,-90,-200,-82,-90,-200,-86,-89,-200,-200,-90,-200,-200,-89,-89,-200,-200,-90,-200,-200,-87,-84
