,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18
1526455904719,-40,-42,-43,-84,-54,-67,-61,-63,-80,-69,-70,-71,-74,-63,-75,-42,-80,-64,-64,-68,-79,-75,-73,-71,-87,-73,-68,-83,-83,-70,-76,-82,-200,-88,-72,-81,-79,-78,-200,-200,-81,-200,-200,-78,-85,-82,-84,-87,-200,-83,-84,-200,-200,-200,-200,-87,-200,-200,-72,-200,-90,-90,-200,-200,-87,-200,-87,-73,-90,-200,-89,-200,-200,-200
1526455907727,-40,-42,-43,-84,-54,-67,-61,-63,-80,-69,-70,-71,-74,-63,-75,-42,-80,-64,-64,-68,-79,-75,-73,-71,-87,-73,-68,-83,-83,-70,-76,-82,-200,-88,-72,-81,-79,-78,-200,-200,-81,-200,-200,-78,-85,-82,-84,-87,-200,-83,-84,-200,-200,-200,-200,-87,-200,-200,-72,-200,-90,-90,-200,-200,-87,-200,-87,-73,-90,-200,-89,-200,-200,-200
1526455910749,-42,-47,-43,-84,-45,-63,-66,-57,-75,-76,-71,-73,-74,-64,-75,-43,-80,-63,-65,-63,-73,-74,-73,-69,-87,-72,-68,-83,-83,-70,-86,-76,-200,-200,-72,-81,-74,-78,-200,-200,-75,-200,-200,-72,-84,-82,-79,-87,-200,-83,-86,-200,-200,-200,-91,-87,-200,-200,-75,-200,-90,-84,-200,-200,-200,-200,-87,-73,-90,-200,-89,-200,-200,-200
1526455913774,-38,-45,-44,-80,-48,-66,-70,-56,-75,-73,-74,-70,-74,-63,-78,-43,-80,-63,-63,-67,-71,-70,-78,-77,-87,-72,-68,-200,-83,-76,-86,-76,-200,-200,-70,-83,-74,-78,-200,-200,-75,-200,-200,-80,-84,-82,-75,-200,-200,-81,-86,-90,-86,-200,-91,-200,-200,-200,-75,-200,-200,-84,-200,-200,-200,-200,-87,-75,-90,-200,-89,-85,-87,-200
1526455916800,-40,-43,-43,-80,-47,-62,-64,-56,-74,-74,-76,-70,-73,-63,-72,-43,-75,-62,-60,-62,-71,-72,-78,-70,-75,-75,-77,-200,-78,-74,-86,-76,-200,-200,-70,-83,-74,-200,-200,-200,-75,-200,-200,-82,-86,-200,-78,-200,-200,-81,-86,-90,-86,-200,-91,-200,-200,-200,-77,-200,-200,-84,-200,-200,-200,-200,-200,-75,-90,-200,-200,-85,-87,-200
1526455919814,-39,-45,-43,-85,-48,-60,-64,-55,-72,-74,-76,-74,-72,-63,-72,-41,-57,-63,-64,-65,-71,-73,-78,-69,-78,-78,-77,-80,-78,-79,-86,-76,-200,-200,-70,-83,-77,-86,-200,-200,-80,-200,-200,-73,-85,-200,-79,-200,-200,-81,-86,-90,-86,-200,-91,-91,-200,-200,-74,-200,-86,-85,-200,-200,-200,-87,-200,-77,-90,-200,-200,-85,-87,-200
1526455922821,-42,-45,-42,-87,-48,-61,-76,-55,-77,-75,-76,-69,-76,-65,-72,-43,-57,-63,-70,-54,-75,-70,-74,-69,-81,-79,-79,-79,-78,-79,-84,-200,-200,-200,-70,-83,-77,-83,-200,-200,-80,-200,-200,-72,-86,-200,-79,-200,-200,-81,-200,-90,-86,-200,-200,-91,-200,-200,-76,-200,-86,-85,-200,-200,-200,-87,-200,-77,-90,-200,-200,-85,-87,-87
1526455925835,-39,-41,-41,-87,-46,-63,-65,-56,-70,-66,-73,-69,-78,-64,-75,-44,-57,-62,-66,-68,-67,-73,-79,-73,-81,-79,-73,-79,-79,-79,-84,-200,-80,-84,-69,-83,-77,-80,-200,-200,-80,-200,-200,-75,-86,-200,-79,-200,-200,-82,-200,-90,-89,-81,-200,-91,-200,-200,-74,-200,-86,-85,-200,-200,-200,-87,-90,-76,-90,-200,-200,-200,-200,-87
1526455928863,-40,-43,-42,-82,-50,-62,-69,-55,-84,-70,-73,-67,-72,-63,-77,-44,-71,-62,-66,-67,-73,-73,-78,-74,-76,-79,-73,-80,-82,-84,-83,-77,-80,-84,-68,-83,-75,-80,-200,-200,-78,-200,-200,-75,-86,-200,-79,-200,-200,-80,-200,-90,-89,-80,-200,-91,-200,-200,-74,-200,-91,-85,-200,-200,-200,-87,-90,-76,-90,-200,-200,-200,-200,-87
1526455931891,-40,-44,-42,-83,-46,-62,-73,-56,-84,-70,-74,-67,-75,-64,-76,-44,-73,-62,-68,-57,-75,-72,-76,-67,-76,-82,-79,-80,-82,-83,-83,-79,-80,-91,-72,-77,-78,-80,-200,-200,-78,-88,-200,-73,-86,-200,-79,-200,-200,-80,-200,-200,-91,-80,-200,-200,-200,-200,-74,-84,-91,-200,-200,-200,-89,-87,-89,-76,-90,-200,-200,-200,-200,-87
1526455934922,-40,-44,-41,-82,-55,-64,-70,-56,-71,-71,-73,-71,-73,-64,-74,-46,-74,-62,-73,-68,-75,-72,-77,-67,-76,-82,-78,-78,-78,-83,-85,-79,-80,-91,-73,-77,-77,-84,-200,-200,-82,-84,-90,-73,-86,-85,-79,-200,-200,-80,-200,-200,-89,-80,-200,-200,-200,-200,-73,-83,-91,-200,-200,-200,-89,-87,-89,-76,-90,-200,-200,-200,-200,-200
1526455937947,-42,-43,-41,-82,-54,-62,-70,-56,-71,-73,-73,-71,-73,-67,-73,-42,-74,-62,-69,-68,-74,-77,-76,-70,-76,-73,-78,-78,-78,-75,-85,-79,-200,-88,-66,-77,-75,-84,-200,-200,-82,-84,-90,-74,-86,-84,-78,-200,-200,-82,-200,-200,-89,-80,-200,-91,-200,-200,-73,-83,-87,-200,-200,-200,-87,-87,-89,-76,-90,-200,-200,-200,-200,-200
