,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526454918116,-38,-44,-27,-70,-32,-32,-200,-28,-57,-43,-54,-55,-66,-62,-200,-58,-45,-61,-63,-200,-61,-68,-30,-62,-63,-65,-91,-88,-51,-62,-81,-47,-75,-200,-82,-200,-89,-200,-76,-64,-86,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
1526454921125,-36,-42,-31,-70,-32,-29,-200,-28,-57,-40,-54,-56,-62,-61,-200,-57,-43,-61,-63,-200,-57,-65,-30,-68,-70,-65,-90,-88,-50,-61,-81,-47,-75,-200,-85,-200,-86,-76,-72,-65,-80,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
1526454924136,-36,-42,-31,-200,-32,-29,-200,-28,-200,-40,-200,-56,-62,-62,-200,-57,-43,-61,-63,-200,-57,-65,-30,-68,-70,-65,-90,-88,-50,-61,-81,-47,-75,-200,-85,-200,-86,-76,-72,-65,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454927147,-40,-42,-31,-200,-35,-33,-200,-24,-200,-42,-200,-56,-62,-61,-93,-61,-47,-65,-61,-200,-53,-65,-33,-59,-65,-65,-91,-88,-48,-61,-81,-53,-69,-200,-85,-200,-87,-76,-73,-73,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454930160,-40,-42,-31,-200,-35,-33,-200,-24,-200,-42,-200,-56,-62,-62,-93,-61,-47,-65,-61,-200,-53,-65,-33,-59,-65,-200,-91,-88,-48,-61,-81,-53,-69,-200,-85,-200,-87,-76,-73,-73,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454933185,-38,-48,-36,-200,-35,-36,-200,-30,-200,-40,-200,-58,-62,-61,-93,-59,-45,-65,-62,-200,-52,-69,-32,-57,-61,-200,-91,-89,-48,-62,-81,-53,-69,-200,-84,-200,-87,-76,-73,-69,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454936197,-38,-48,-36,-200,-35,-36,-200,-30,-200,-40,-200,-58,-62,-62,-93,-59,-45,-65,-62,-200,-52,-69,-32,-57,-61,-200,-91,-89,-48,-62,-81,-53,-69,-200,-84,-200,-87,-76,-73,-69,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454939207,-38,-44,-33,-200,-32,-36,-200,-23,-200,-39,-200,-54,-62,-64,-93,-59,-44,-65,-63,-200,-55,-72,-32,-61,-60,-200,-91,-89,-51,-65,-80,-53,-69,-200,-82,-200,-81,-76,-71,-68,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454942227,-38,-44,-33,-200,-32,-36,-200,-23,-200,-39,-200,-54,-62,-63,-93,-59,-44,-65,-63,-200,-55,-72,-32,-61,-60,-200,-91,-89,-51,-65,-80,-53,-69,-200,-82,-200,-81,-76,-71,-68,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454945249,-42,-44,-33,-200,-35,-36,-200,-23,-200,-51,-200,-57,-62,-60,-93,-68,-40,-64,-67,-200,-54,-70,-52,-59,-65,-75,-91,-89,-47,-60,-80,-51,-69,-200,-77,-200,-85,-76,-75,-67,-89,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200
1526454948260,-42,-44,-33,-200,-35,-36,-200,-23,-200,-51,-200,-57,-62,-61,-93,-68,-40,-64,-67,-200,-54,-70,-52,-59,-65,-75,-91,-89,-47,-60,-80,-51,-69,-200,-77,-200,-85,-76,-75,-67,-89,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200
1526454951270,-39,-44,-37,-200,-35,-33,-200,-28,-200,-48,-200,-58,-200,-63,-93,-56,-40,-64,-67,-200,-52,-70,-35,-60,-69,-75,-91,-89,-51,-60,-80,-46,-69,-200,-78,-200,-89,-200,-76,-67,-89,-200,-200,-200,-200,-200,-67,-200,-200,-86,-88
