,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526455134814,-28,-42,-32,-41,-33,-49,-57,-42,-49,-58,-55,-51,-38,-56,-58,-46,-46,-54,-55,-200,-200,-80,-57,-83,-73,-76,-200,-72,-77,-200,-200,-200,-75,-73,-83,-79,-200,-87,-77,-78,-200,-75,-87,-80,-83,-200,-200,-78,-85,-200,-200,-200
1526455137840,-28,-42,-32,-41,-33,-49,-57,-43,-200,-58,-55,-51,-38,-56,-58,-46,-46,-54,-55,-200,-200,-80,-57,-83,-73,-76,-200,-72,-77,-200,-200,-200,-75,-73,-83,-79,-200,-87,-77,-78,-200,-75,-200,-80,-83,-200,-200,-78,-85,-200,-200,-200
1526455140861,-26,-48,-33,-41,-33,-40,-56,-39,-200,-64,-55,-51,-38,-56,-58,-46,-45,-57,-54,-52,-200,-76,-61,-78,-73,-78,-200,-72,-79,-200,-69,-200,-75,-73,-83,-84,-86,-87,-81,-78,-200,-76,-200,-80,-85,-200,-86,-78,-86,-77,-78,-200
1526455143889,-26,-48,-33,-41,-33,-40,-56,-39,-200,-64,-55,-51,-38,-56,-58,-46,-45,-57,-54,-52,-200,-76,-61,-78,-73,-78,-200,-72,-79,-200,-69,-200,-75,-73,-83,-84,-86,-87,-81,-78,-200,-76,-200,-80,-85,-200,-86,-78,-86,-77,-78,-200
1526455146906,-25,-47,-45,-34,-30,-38,-60,-36,-200,-61,-55,-51,-39,-53,-59,-45,-47,-63,-55,-52,-200,-76,-65,-78,-72,-76,-200,-76,-81,-200,-69,-200,-79,-73,-83,-76,-88,-87,-81,-73,-200,-76,-83,-84,-85,-200,-86,-78,-86,-77,-78,-200
1526455149933,-25,-47,-45,-34,-30,-38,-60,-39,-200,-61,-55,-51,-39,-53,-59,-45,-47,-63,-55,-52,-200,-76,-65,-78,-72,-76,-200,-76,-81,-200,-69,-200,-79,-200,-83,-76,-88,-87,-81,-73,-200,-76,-83,-84,-85,-200,-86,-200,-86,-77,-78,-200
1526455152958,-23,-49,-41,-31,-29,-37,-60,-39,-48,-61,-51,-51,-39,-52,-56,-45,-47,-65,-55,-52,-200,-76,-60,-78,-73,-74,-200,-76,-80,-200,-69,-200,-79,-200,-83,-76,-88,-87,-73,-73,-200,-79,-83,-82,-86,-200,-86,-200,-86,-74,-78,-200
1526455155984,-23,-49,-41,-31,-29,-37,-60,-39,-48,-61,-51,-51,-39,-52,-56,-45,-47,-65,-55,-52,-200,-76,-60,-78,-73,-74,-200,-76,-80,-200,-69,-200,-79,-200,-83,-76,-88,-87,-73,-73,-200,-79,-83,-82,-86,-200,-86,-200,-86,-74,-78,-200
1526455159010,-29,-46,-40,-33,-33,-42,-56,-41,-45,-53,-55,-51,-44,-53,-56,-49,-51,-61,-55,-52,-200,-76,-60,-78,-69,-78,-200,-76,-75,-200,-69,-200,-79,-75,-200,-74,-88,-90,-73,-73,-200,-77,-83,-82,-86,-200,-86,-200,-86,-74,-78,-79
1526455162019,-29,-46,-40,-33,-33,-42,-56,-34,-45,-53,-55,-51,-44,-53,-56,-49,-51,-61,-55,-52,-200,-76,-60,-78,-69,-78,-200,-76,-75,-200,-69,-200,-79,-75,-200,-74,-88,-90,-73,-73,-200,-77,-83,-82,-86,-200,-86,-200,-86,-74,-78,-79
1526455165050,-25,-44,-38,-33,-33,-42,-57,-34,-44,-53,-55,-54,-44,-56,-56,-47,-51,-62,-52,-52,-200,-76,-59,-80,-69,-73,-200,-76,-75,-200,-69,-200,-77,-75,-200,-74,-88,-87,-73,-73,-200,-78,-83,-82,-86,-200,-86,-200,-86,-74,-78,-79
1526455168073,-25,-44,-38,-33,-33,-42,-57,-32,-44,-53,-55,-54,-44,-56,-56,-47,-51,-62,-52,-52,-200,-76,-59,-80,-69,-73,-200,-76,-75,-200,-69,-200,-77,-75,-200,-74,-88,-87,-73,-73,-200,-78,-83,-82,-86,-200,-86,-200,-86,-74,-78,-79
