,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443098453,-33,-26,-54,-47,-47,-46,-59,-61,-85,-57,-46,-58,-50,-61,-73,-72,-58,-66,-65,-63,-73,-71,-78,-79,-78,-81,-75,-74,-77,-76,-90,-83,-77,-78,-200,-91,-74,-86,-57,-200,-200,-92,-86,-200,-83,-87,-92,-200,-58,-69,-200,-200,-86,-87,-91,-88,-90,-200,-200,-90,-200,-78,-80,-87,-89,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443101476,-27,-25,-53,-52,-48,-46,-62,-58,-85,-57,-49,-58,-55,-61,-78,-72,-61,-200,-52,-63,-74,-69,-78,-66,-58,-200,-71,-72,-200,-200,-80,-75,-79,-84,-200,-82,-74,-200,-62,-200,-200,-92,-200,-200,-83,-200,-200,-200,-68,-69,-200,-200,-200,-200,-200,-84,-90,-200,-200,-90,-200,-200,-200,-200,-200,-88,-91,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443104483,-62,-25,-53,-47,-43,-48,-56,-63,-85,-58,-49,-59,-51,-59,-78,-72,-61,-200,-67,-78,-74,-71,-71,-47,-73,-200,-71,-68,-80,-200,-80,-83,-64,-84,-200,-82,-76,-200,-54,-200,-200,-92,-200,-200,-83,-200,-200,-200,-68,-64,-200,-200,-200,-200,-200,-84,-90,-200,-200,-90,-200,-200,-200,-200,-200,-88,-91,-82,-84,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443107487,-29,-26,-55,-48,-46,-47,-74,-63,-72,-58,-46,-64,-50,-74,-70,-200,-63,-73,-68,-58,-87,-85,-79,-78,-75,-82,-73,-66,-78,-91,-81,-81,-75,-91,-92,-200,-76,-200,-60,-200,-90,-200,-88,-200,-68,-86,-200,-200,-64,-67,-200,-200,-81,-88,-200,-87,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-89,-87,-90,-89,-89,-91,-200,-200,-200,-200,-200,-200
1526443110492,-28,-25,-54,-48,-47,-47,-86,-62,-72,-58,-47,-56,-49,-55,-78,-200,-60,-73,-67,-63,-87,-71,-75,-78,-76,-82,-72,-70,-78,-77,-81,-79,-81,-91,-92,-200,-74,-200,-89,-200,-90,-200,-88,-200,-68,-86,-200,-200,-64,-66,-200,-200,-82,-88,-82,-87,-200,-87,-200,-200,-200,-200,-200,-82,-200,-200,-200,-76,-89,-200,-200,-89,-89,-91,-200,-200,-200,-200,-200,-200
1526443113537,-27,-25,-55,-49,-45,-48,-55,-62,-83,-56,-52,-60,-72,-59,-68,-84,-62,-65,-49,-82,-87,-71,-75,-81,-74,-82,-75,-66,-78,-81,-80,-83,-80,-91,-92,-200,-74,-200,-63,-200,-84,-86,-88,-200,-72,-86,-200,-200,-64,-66,-91,-200,-83,-88,-82,-87,-200,-87,-200,-200,-200,-200,-200,-89,-200,-200,-200,-76,-89,-200,-200,-89,-89,-91,-85,-200,-200,-200,-200,-200
1526443116592,-34,-25,-53,-47,-43,-46,-58,-64,-73,-57,-52,-59,-57,-56,-68,-72,-60,-65,-69,-82,-200,-71,-71,-83,-72,-200,-74,-66,-200,-82,-80,-83,-81,-78,-200,-200,-74,-200,-63,-72,-84,-86,-85,-200,-72,-86,-200,-200,-64,-200,-91,-200,-81,-200,-200,-200,-200,-200,-200,-76,-200,-80,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-86,-88,-200,-200,-200
1526443119645,-31,-26,-57,-48,-50,-48,-60,-58,-72,-56,-48,-59,-51,-67,-69,-72,-61,-65,-68,-82,-200,-69,-71,-68,-74,-200,-74,-75,-78,-79,-76,-82,-59,-78,-200,-200,-76,-200,-62,-72,-84,-86,-85,-200,-74,-82,-200,-200,-64,-66,-91,-200,-81,-200,-200,-200,-200,-200,-200,-76,-200,-80,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-86,-88,-200,-200,-200
1526443122673,-33,-27,-58,-48,-44,-48,-70,-58,-66,-71,-51,-67,-58,-58,-69,-74,-62,-68,-66,-63,-77,-73,-89,-80,-58,-82,-200,-76,-79,-90,-78,-82,-58,-92,-90,-82,-77,-200,-63,-200,-76,-200,-200,-200,-71,-200,-90,-200,-65,-71,-80,-200,-85,-87,-84,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-88,-200,-200,-200,-88,-200,-86,-200,-200,-89,-91,-200
1526443125718,-29,-27,-62,-48,-45,-46,-56,-58,-67,-57,-51,-59,-56,-60,-68,-74,-73,-66,-66,-63,-74,-69,-74,-80,-58,-82,-200,-74,-75,-90,-78,-83,-59,-92,-90,-82,-77,-79,-56,-200,-76,-200,-200,-200,-71,-200,-90,-200,-66,-67,-80,-200,-85,-86,-84,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-88,-200,-200,-200,-88,-200,-86,-200,-200,-89,-91,-200
1526443128783,-35,-27,-72,-49,-44,-47,-58,-58,-67,-57,-52,-68,-54,-73,-80,-73,-77,-75,-49,-78,-88,-84,-89,-67,-58,-82,-83,-77,-88,-76,-83,-58,-58,-90,-90,-82,-77,-79,-79,-87,-89,-200,-200,-200,-71,-200,-90,-200,-65,-64,-84,-200,-83,-86,-84,-200,-200,-87,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-88,-200,-200,-200,-89,-200,-86,-200,-200,-85,-91,-81
1526443131837,-28,-27,-58,-50,-45,-46,-55,-58,-68,-55,-52,-59,-53,-59,-68,-73,-77,-63,-65,-63,-75,-69,-89,-66,-75,-200,-83,-75,-88,-76,-83,-83,-79,-80,-200,-200,-77,-200,-63,-87,-89,-200,-200,-200,-200,-200,-91,-200,-65,-64,-84,-200,-83,-200,-200,-200,-200,-87,-200,-200,-200,-200,-87,-200,-200,-200,-200,-75,-200,-200,-200,-200,-89,-200,-200,-200,-200,-85,-88,-81
