,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443484886,-37,-40,-47,-53,-54,-61,-65,-60,-69,-73,-64,-86,-65,-70,-68,-74,-200,-76,-77,-68,-77,-79,-70,-200,-66,-72,-61,-84,-200,-80,-200,-88,-200,-200,-65,-74,-73,-200,-200,-89,-79,-84,-83,-88,-85,-88,-200,-82,-200,-91,-200,-88,-200,-200,-200,-200,-74,-81,-200,-200,-200,-85,-90,-200,-200,-82,-84,-87,-88,-91,-92,-79,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443487894,-37,-40,-47,-53,-53,-60,-64,-59,-59,-61,-88,-69,-63,-70,-65,-74,-200,-76,-77,-68,-77,-200,-70,-200,-66,-72,-59,-85,-200,-77,-200,-88,-200,-200,-64,-74,-77,-200,-200,-77,-200,-84,-200,-88,-85,-88,-200,-80,-200,-91,-200,-88,-200,-200,-200,-200,-73,-81,-200,-200,-200,-85,-200,-200,-200,-200,-200,-85,-200,-200,-200,-79,-85,-91,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443490897,-40,-40,-46,-52,-52,-55,-53,-58,-59,-56,-65,-66,-61,-70,-65,-200,-65,-200,-77,-200,-200,-74,-71,-200,-70,-65,-71,-77,-82,-76,-200,-89,-200,-200,-69,-200,-70,-200,-200,-77,-200,-86,-200,-200,-82,-200,-200,-80,-200,-200,-200,-200,-200,-200,-91,-200,-72,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-84,-88,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443493943,-41,-41,-47,-49,-53,-58,-46,-59,-68,-56,-64,-67,-58,-71,-70,-71,-65,-78,-77,-200,-200,-77,-75,-200,-73,-89,-73,-84,-77,-58,-200,-83,-200,-81,-64,-72,-70,-86,-200,-200,-200,-86,-200,-200,-78,-200,-83,-200,-200,-87,-200,-200,-88,-200,-91,-92,-76,-83,-200,-89,-200,-200,-200,-200,-200,-200,-200,-83,-82,-200,-200,-82,-200,-82,-84,-200,-88,-88,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526443497014,-37,-38,-45,-56,-47,-57,-46,-58,-68,-56,-64,-67,-60,-66,-70,-71,-67,-82,-78,-66,-200,-73,-71,-200,-73,-89,-75,-81,-86,-79,-200,-83,-200,-81,-63,-70,-88,-86,-200,-70,-200,-89,-200,-200,-84,-200,-83,-200,-200,-87,-200,-87,-88,-200,-200,-92,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-82,-200,-200,-82,-200,-82,-84,-200,-200,-88,-88,-89,-90,-88,-200,-200,-200,-200,-200,-200
1526443500074,-41,-38,-45,-51,-52,-57,-55,-59,-68,-75,-63,-67,-57,-67,-73,-71,-67,-82,-78,-66,-200,-77,-86,-200,-81,-65,-68,-84,-81,-77,-200,-90,-81,-81,-63,-72,-82,-86,-200,-70,-77,-89,-200,-200,-90,-200,-83,-200,-200,-90,-86,-87,-88,-200,-200,-92,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-82,-200,-200,-82,-200,-90,-84,-200,-200,-88,-88,-89,-91,-88,-88,-90,-92,-200,-200,-200
1526443503078,-38,-39,-44,-46,-52,-53,-52,-60,-68,-54,-66,-64,-56,-67,-72,-72,-68,-82,-78,-66,-76,-76,-73,-200,-81,-59,-78,-84,-79,-79,-200,-78,-81,-200,-65,-72,-82,-200,-200,-70,-77,-89,-200,-200,-81,-200,-200,-78,-200,-90,-86,-85,-200,-200,-200,-200,-74,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-81,-82,-200,-200,-89,-200,-200,-200,-91,-88,-88,-90,-87,-84,-200,-200
1526443506094,-74,-41,-46,-48,-50,-55,-52,-57,-69,-69,-65,-68,-56,-74,-72,-71,-68,-200,-200,-200,-76,-79,-72,-84,-68,-60,-76,-86,-56,-56,-200,-84,-200,-83,-58,-72,-72,-200,-200,-71,-200,-200,-72,-200,-81,-86,-200,-78,-200,-200,-200,-82,-200,-200,-200,-200,-74,-75,-81,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-82,-200,-200,-89,-85,-200,-200,-200,-200,-200,-200,-87,-84,-200,-200
1526443509098,-34,-38,-60,-51,-52,-53,-50,-59,-73,-64,-62,-67,-58,-77,-72,-70,-67,-77,-200,-200,-200,-79,-74,-88,-68,-60,-77,-86,-82,-78,-200,-84,-200,-82,-76,-71,-72,-86,-200,-72,-200,-89,-72,-90,-84,-86,-200,-200,-200,-85,-200,-89,-200,-200,-91,-200,-200,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-88,-84,-79,-88
1526443512143,-35,-38,-45,-50,-49,-54,-53,-59,-71,-64,-64,-59,-62,-77,-70,-70,-66,-77,-200,-200,-200,-200,-81,-86,-66,-64,-60,-200,-85,-54,-200,-86,-200,-82,-62,-68,-74,-86,-200,-73,-200,-89,-76,-90,-84,-200,-86,-200,-81,-85,-200,-89,-77,-200,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-86,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-88,-200,-79,-88
1526443515191,-36,-39,-45,-50,-50,-55,-59,-59,-69,-64,-85,-68,-55,-67,-65,-70,-67,-77,-200,-66,-56,-76,-71,-86,-67,-67,-72,-200,-84,-79,-200,-59,-200,-84,-60,-70,-74,-86,-200,-74,-77,-89,-76,-90,-84,-200,-86,-200,-81,-85,-200,-89,-77,-200,-91,-87,-71,-80,-200,-200,-200,-200,-200,-200,-87,-200,-86,-200,-200,-200,-200,-200,-200,-91,-200,-200,-88,-87,-200,-200,-89,-200,-200,-200,-87,-81,-79,-88
1526443518247,-33,-39,-46,-52,-53,-56,-50,-58,-70,-64,-62,-67,-58,-67,-66,-200,-65,-200,-200,-66,-72,-81,-73,-86,-65,-62,-74,-200,-84,-76,-200,-85,-200,-84,-57,-69,-74,-200,-200,-74,-77,-200,-76,-200,-85,-200,-86,-200,-81,-200,-200,-82,-77,-200,-200,-87,-71,-83,-200,-200,-200,-200,-200,-200,-87,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-89,-200,-200,-200,-87,-81,-200,-200
