,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526444003345,-36,-43,-40,-52,-59,-54,-66,-60,-67,-66,-200,-59,-54,-60,-56,-200,-65,-72,-73,-66,-74,-61,-72,-79,-77,-74,-83,-77,-88,-200,-85,-78,-200,-200,-84,-200,-72,-86,-200,-86,-86,-200,-200,-200,-200,-63,-73,-76,-81,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444006350,-34,-42,-40,-52,-54,-52,-66,-62,-56,-68,-70,-62,-54,-62,-59,-70,-65,-67,-73,-65,-72,-82,-72,-80,-200,-66,-83,-78,-88,-200,-85,-78,-200,-200,-200,-200,-72,-86,-200,-78,-86,-200,-200,-200,-200,-63,-76,-76,-81,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444009354,-35,-57,-40,-57,-54,-59,-68,-61,-56,-69,-70,-62,-53,-62,-63,-70,-59,-74,-67,-65,-62,-83,-200,-79,-77,-68,-83,-76,-87,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-89,-68,-62,-75,-79,-200,-200,-80,-200,-89,-75,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-88,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444012406,-35,-41,-40,-55,-60,-57,-68,-61,-58,-69,-68,-62,-53,-66,-62,-73,-63,-72,-67,-64,-67,-75,-79,-79,-78,-67,-77,-76,-85,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-84,-86,-200,-200,-89,-68,-62,-75,-80,-79,-200,-80,-200,-89,-75,-200,-200,-200,-200,-88,-85,-200,-200,-83,-200,-88,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444015414,-37,-40,-40,-57,-60,-61,-66,-60,-62,-66,-68,-63,-57,-59,-64,-70,-68,-72,-200,-67,-79,-59,-74,-77,-77,-77,-77,-75,-79,-83,-81,-81,-200,-82,-200,-200,-75,-200,-200,-84,-86,-200,-200,-200,-200,-60,-75,-75,-79,-200,-200,-88,-200,-200,-200,-200,-200,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526444018468,-36,-40,-40,-57,-62,-76,-66,-60,-59,-74,-200,-62,-53,-61,-65,-70,-67,-78,-200,-65,-74,-76,-74,-60,-77,-66,-76,-75,-76,-93,-81,-82,-86,-82,-200,-200,-75,-200,-200,-200,-200,-200,-89,-200,-75,-57,-75,-75,-81,-200,-200,-88,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-87,-86,-86,-200,-200,-200,-200,-200,-200
1526444021508,-37,-41,-40,-58,-61,-61,-63,-60,-86,-73,-68,-62,-62,-62,-65,-70,-63,-78,-200,-65,-76,-76,-200,-78,-200,-74,-76,-76,-82,-93,-200,-82,-86,-200,-200,-200,-200,-85,-200,-200,-85,-200,-89,-200,-75,-58,-74,-75,-82,-200,-200,-200,-200,-200,-81,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-86,-86,-82,-85,-86,-88,-200,-200
1526444024576,-38,-39,-40,-58,-65,-60,-65,-60,-58,-68,-69,-71,-54,-63,-64,-200,-59,-200,-66,-200,-79,-81,-200,-76,-80,-70,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-72,-87,-200,-200,-87,-200,-200,-200,-69,-65,-74,-79,-82,-200,-200,-90,-200,-78,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-85,-86,-88,-89,-200
1526444027618,-38,-41,-40,-49,-65,-64,-62,-62,-64,-68,-80,-64,-58,-61,-63,-70,-59,-76,-70,-67,-74,-81,-75,-75,-80,-69,-200,-76,-81,-200,-200,-200,-200,-200,-200,-200,-76,-85,-200,-200,-87,-200,-200,-200,-74,-59,-74,-79,-82,-200,-200,-89,-200,-79,-82,-200,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-82,-85,-86,-88,-89,-200
1526444030628,-37,-44,-43,-52,-63,-59,-65,-63,-64,-76,-80,-64,-53,-67,-63,-69,-200,-73,-69,-61,-70,-83,-75,-63,-200,-70,-200,-77,-82,-200,-200,-200,-200,-200,-200,-200,-80,-85,-200,-200,-200,-200,-90,-200,-74,-68,-76,-200,-200,-200,-81,-89,-200,-79,-82,-200,-85,-88,-200,-200,-200,-200,-200,-79,-200,-200,-200,-86,-200,-200,-82,-200,-200,-200,-200,-200
1526444033641,-37,-42,-39,-53,-60,-59,-65,-60,-64,-66,-72,-62,-53,-60,-62,-71,-200,-73,-67,-65,-82,-61,-86,-77,-77,-76,-75,-77,-85,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-91,-200,-200,-90,-200,-200,-57,-76,-200,-200,-200,-81,-200,-200,-88,-200,-200,-90,-200,-200,-84,-200,-200,-89,-79,-200,-90,-200,-200,-200,-93,-200,-200,-200,-200,-200,-85
1526444036676,-37,-40,-39,-87,-69,-58,-65,-60,-58,-65,-68,-62,-57,-64,-68,-69,-62,-200,-54,-63,-64,-64,-75,-61,-77,-70,-75,-77,-85,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-91,-200,-200,-59,-200,-200,-81,-200,-200,-200,-200,-88,-200,-200,-90,-200,-88,-84,-200,-200,-83,-83,-200,-79,-200,-200,-200,-85,-200,-200,-200,-200,-200,-85
