,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526444080454,-36,-40,-37,-48,-53,-62,-51,-84,-69,-55,-61,-56,-60,-50,-61,-66,-57,-200,-60,-72,-200,-69,-74,-70,-79,-74,-58,-74,-74,-74,-72,-200,-200,-200,-200,-200,-200,-80,-200,-84,-200,-60,-200,-69,-200,-200,-200,-200,-200,-200,-70,-76,-200,-85,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444083507,-35,-39,-37,-47,-53,-60,-53,-72,-69,-59,-50,-56,-59,-50,-62,-64,-57,-200,-63,-200,-200,-69,-73,-70,-200,-75,-64,-60,-77,-73,-78,-200,-200,-92,-200,-90,-83,-73,-200,-200,-200,-65,-200,-83,-200,-200,-200,-93,-200,-200,-69,-76,-200,-85,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-85,-82,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526444086528,-37,-34,-34,-47,-64,-65,-55,-72,-64,-59,-62,-55,-59,-53,-63,-64,-53,-66,-59,-76,-200,-200,-73,-200,-80,-72,-66,-77,-78,-73,-78,-200,-200,-92,-200,-90,-81,-83,-83,-200,-85,-54,-200,-83,-200,-200,-200,-93,-200,-75,-70,-200,-200,-200,-74,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-82,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526444089593,-36,-41,-44,-46,-48,-52,-55,-61,-68,-56,-68,-61,-60,-55,-63,-64,-64,-64,-59,-74,-200,-200,-75,-200,-80,-72,-60,-75,-67,-76,-78,-200,-200,-92,-200,-90,-77,-81,-83,-200,-85,-65,-200,-83,-200,-200,-200,-93,-200,-74,-70,-81,-200,-200,-74,-78,-200,-200,-200,-77,-200,-200,-200,-200,-200,-85,-82,-88,-90,-92,-82,-88,-200,-200,-200,-200,-200,-200
1526444092648,-39,-36,-42,-54,-51,-56,-58,-63,-62,-57,-62,-58,-56,-50,-61,-200,-59,-64,-200,-72,-200,-72,-75,-200,-200,-74,-63,-75,-68,-72,-200,-200,-200,-200,-76,-200,-71,-86,-200,-200,-200,-55,-200,-200,-200,-200,-200,-88,-200,-74,-64,-81,-87,-200,-78,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-88,-88,-200,-200,-200,-200,-200
1526444095693,-39,-37,-44,-50,-48,-53,-60,-65,-67,-53,-62,-58,-60,-56,-61,-200,-57,-71,-72,-86,-200,-72,-76,-74,-200,-74,-62,-80,-68,-75,-200,-200,-200,-200,-76,-200,-70,-83,-200,-85,-200,-64,-200,-200,-200,-200,-200,-88,-200,-200,-67,-75,-87,-82,-78,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200
1526444098737,-40,-36,-44,-48,-50,-55,-59,-62,-64,-56,-69,-61,-62,-55,-75,-68,-57,-72,-67,-86,-75,-77,-75,-74,-200,-56,-61,-77,-85,-76,-200,-200,-200,-200,-76,-200,-71,-84,-200,-85,-200,-64,-200,-200,-200,-200,-200,-200,-200,-86,-67,-91,-200,-82,-80,-200,-200,-90,-83,-200,-200,-85,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200,-86,-80,-200,-200,-200
1526444101789,-38,-37,-41,-50,-52,-57,-58,-66,-65,-57,-63,-58,-62,-55,-59,-62,-56,-69,-67,-200,-75,-77,-73,-200,-200,-71,-64,-74,-85,-73,-74,-200,-200,-81,-75,-200,-71,-84,-200,-200,-86,-57,-200,-200,-200,-200,-200,-200,-200,-74,-68,-81,-200,-200,-80,-200,-82,-90,-84,-82,-200,-85,-200,-86,-200,-87,-200,-85,-200,-200,-84,-200,-200,-200,-80,-200,-200,-200
1526444104863,-37,-35,-43,-48,-51,-58,-59,-66,-65,-56,-63,-57,-60,-56,-61,-68,-56,-68,-68,-200,-72,-77,-75,-72,-200,-74,-64,-59,-85,-74,-74,-200,-200,-81,-75,-200,-70,-83,-200,-83,-86,-56,-200,-76,-200,-200,-200,-200,-200,-74,-68,-78,-200,-200,-80,-200,-82,-90,-84,-82,-200,-85,-200,-86,-200,-87,-200,-85,-200,-200,-84,-200,-200,-200,-80,-200,-200,-200
1526444107906,-37,-37,-40,-47,-53,-56,-54,-66,-61,-56,-67,-59,-62,-56,-62,-73,-56,-68,-66,-200,-72,-200,-71,-76,-200,-77,-64,-75,-72,-71,-74,-200,-200,-81,-75,-200,-70,-82,-200,-83,-86,-56,-200,-75,-200,-200,-200,-200,-200,-74,-68,-78,-200,-200,-200,-200,-82,-89,-82,-82,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-84,-200,-200,-200,-200,-86,-200,-200
1526444110965,-38,-35,-36,-50,-53,-52,-54,-60,-67,-55,-63,-61,-63,-54,-59,-73,-58,-200,-71,-69,-70,-200,-72,-71,-200,-52,-57,-75,-68,-74,-200,-200,-87,-200,-86,-200,-63,-83,-200,-83,-200,-66,-200,-75,-200,-200,-200,-200,-200,-200,-66,-80,-200,-200,-200,-200,-88,-89,-82,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200
1526444113988,-38,-35,-37,-49,-52,-52,-55,-59,-63,-55,-64,-61,-67,-57,-59,-64,-60,-200,-67,-73,-70,-200,-72,-86,-200,-73,-59,-77,-83,-72,-200,-200,-87,-200,-86,-200,-63,-82,-200,-83,-200,-57,-200,-78,-200,-200,-200,-200,-200,-200,-67,-80,-200,-200,-200,-200,-88,-89,-82,-200,-200,-91,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-88
