,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018
1526442753475,-35,-41,-50,-50,-53,-50,-79,-50,-56,-82,-57,-55,-65,-64,-76,-65,-68,-71,-76,-74,-59,-75,-69,-63,-71,-83,-200,-70,-200,-200,-58,-70,-81,-87,-52,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-89,-83,-200,-89,-200,-200,-90,-200,-79,-84,-200,-77,-83,-200,-87,-88,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442756479,-35,-37,-50,-64,-52,-52,-81,-53,-57,-83,-53,-54,-63,-200,-76,-58,-69,-71,-71,-69,-63,-76,-200,-61,-66,-83,-200,-66,-200,-86,-61,-73,-80,-87,-52,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-87,-200,-200,-90,-90,-79,-84,-200,-200,-83,-85,-200,-88,-200,-200,-86,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442759483,-34,-36,-50,-50,-60,-52,-79,-54,-56,-82,-58,-61,-72,-200,-76,-65,-69,-71,-69,-69,-62,-75,-200,-61,-73,-82,-200,-73,-200,-86,-57,-69,-86,-87,-65,-83,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-83,-200,-87,-80,-200,-90,-90,-76,-80,-200,-200,-83,-85,-200,-88,-200,-200,-86,-87,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442762524,-40,-41,-51,-51,-46,-53,-80,-53,-59,-75,-65,-59,-63,-65,-76,-200,-69,-75,-60,-70,-66,-77,-69,-67,-73,-92,-200,-76,-81,-200,-65,-68,-84,-200,-70,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-85,-82,-200,-51,-200,-200,-79,-200,-84,-200,-200,-200,-86,-200,-200,-86,-200,-88,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200
1526442765593,-20,-42,-52,-53,-46,-50,-80,-47,-61,-76,-66,-56,-63,-65,-72,-200,-65,-73,-60,-69,-66,-78,-69,-67,-73,-92,-200,-76,-81,-200,-85,-72,-80,-200,-70,-84,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-85,-82,-85,-80,-200,-200,-77,-200,-84,-200,-200,-200,-86,-200,-200,-86,-200,-88,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200
1526442768598,-32,-39,-51,-67,-54,-49,-78,-47,-63,-77,-66,-61,-63,-62,-71,-69,-65,-73,-59,-76,-65,-78,-69,-69,-73,-92,-200,-71,-81,-200,-62,-65,-77,-88,-78,-90,-80,-200,-200,-87,-200,-200,-200,-200,-78,-200,-79,-86,-85,-82,-85,-80,-200,-200,-77,-200,-84,-200,-200,-200,-86,-88,-200,-86,-200,-88,-200,-90,-91,-84,-89,-200,-200,-200,-200,-200
1526442771602,-33,-40,-52,-67,-45,-49,-78,-46,-64,-77,-67,-61,-62,-68,-71,-67,-61,-71,-59,-69,-66,-84,-66,-69,-200,-85,-200,-71,-200,-200,-62,-71,-77,-88,-73,-90,-80,-200,-200,-87,-200,-200,-200,-200,-78,-86,-77,-200,-200,-84,-200,-200,-200,-200,-200,-86,-82,-200,-200,-89,-200,-92,-200,-200,-200,-200,-200,-200,-88,-84,-89,-87,-89,-200,-200,-200
1526442774606,-31,-40,-50,-65,-51,-43,-80,-48,-60,-77,-66,-62,-62,-64,-68,-69,-61,-70,-60,-70,-66,-78,-72,-69,-200,-85,-82,-70,-200,-200,-86,-68,-79,-88,-72,-90,-80,-200,-200,-87,-200,-200,-200,-200,-78,-86,-75,-200,-200,-84,-200,-86,-200,-200,-200,-86,-82,-200,-200,-89,-200,-92,-200,-200,-200,-200,-200,-200,-88,-86,-89,-87,-89,-200,-200,-200
1526442777610,-35,-40,-51,-64,-48,-50,-79,-52,-61,-77,-63,-58,-64,-65,-68,-66,-64,-70,-62,-69,-62,-78,-68,-68,-68,-200,-82,-72,-200,-200,-59,-73,-82,-200,-71,-86,-200,-200,-200,-200,-89,-200,-84,-85,-200,-200,-75,-200,-200,-200,-200,-86,-200,-200,-82,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-92,-200,-200
1526442780664,-33,-40,-51,-66,-49,-45,-78,-45,-60,-76,-65,-61,-63,-63,-65,-66,-53,-66,-67,-68,-69,-84,-68,-68,-68,-200,-91,-72,-200,-200,-67,-72,-80,-200,-72,-86,-200,-88,-200,-200,-89,-200,-84,-85,-200,-200,-200,-87,-200,-200,-200,-200,-200,-81,-81,-200,-83,-87,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-92,-89,-90
1526442783706,-33,-41,-53,-66,-52,-48,-66,-46,-56,-75,-60,-62,-63,-70,-68,-200,-74,-75,-67,-70,-66,-79,-68,-70,-77,-84,-84,-74,-200,-200,-59,-68,-76,-200,-70,-88,-77,-88,-200,-85,-200,-87,-200,-84,-200,-82,-200,-87,-200,-200,-200,-200,-200,-81,-84,-88,-83,-87,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-89,-90
1526442786718,-36,-36,-51,-68,-45,-44,-80,-54,-61,-76,-60,-58,-68,-67,-66,-68,-67,-74,-69,-68,-64,-77,-67,-68,-79,-84,-84,-73,-200,-88,-58,-73,-62,-200,-64,-83,-77,-200,-200,-85,-200,-87,-200,-84,-200,-83,-200,-200,-89,-200,-200,-91,-200,-200,-84,-88,-200,-200,-200,-200,-200,-88,-90,-200,-200,-200,-200,-200,-85,-87,-200,-200,-200,-200,-200,-200
