,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A38,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461239167,-58,-57,-55,-57,-40,-62,-64,-75,-73,-200,-70,-78,-200,-49,-77,-200,-64,-200,-200,-58,-80,-200,-72,-200,-200,-200,-83,-200,-85,-200,-75,-80,-88,-62,-70,-200,-81,-81,-56,-200,-200,-55,-88,-78,-200,-200,-69,-200,-65,-88,-200,-200,-200,-66,-200,-200,-79,-200,-79,-75,-72,-84,-200,-86,-84,-81,-200,-83,-82,-88,-200,-200,-48,-78,-77,-84,-200,-82,-74,-82,-85,-200,-200,-86,-89,-91,-89,-200,-77,-84,-90,-87,-90,-89,-90,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461242178,-57,-59,-61,-57,-40,-62,-56,-75,-74,-80,-70,-75,-200,-49,-77,-77,-65,-90,-79,-57,-79,-83,-70,-200,-200,-200,-81,-200,-86,-200,-77,-81,-88,-60,-70,-200,-81,-81,-54,-200,-200,-56,-88,-77,-200,-200,-67,-200,-66,-81,-200,-200,-200,-67,-200,-200,-80,-200,-78,-75,-75,-84,-200,-86,-83,-81,-200,-83,-75,-200,-200,-200,-51,-74,-73,-83,-200,-82,-74,-82,-85,-90,-200,-85,-89,-200,-200,-88,-77,-85,-200,-87,-88,-89,-90,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461245188,-60,-56,-62,-54,-40,-61,-62,-71,-71,-80,-69,-77,-200,-48,-77,-77,-65,-90,-79,-59,-79,-82,-69,-200,-200,-200,-81,-200,-86,-200,-77,-81,-88,-60,-70,-200,-81,-83,-56,-200,-200,-58,-88,-78,-200,-200,-65,-200,-63,-81,-200,-200,-200,-65,-200,-200,-80,-200,-78,-76,-75,-83,-200,-88,-83,-75,-200,-81,-84,-200,-200,-200,-53,-74,-73,-83,-200,-83,-74,-87,-85,-90,-200,-85,-89,-200,-200,-88,-77,-85,-200,-200,-88,-89,-90,-91,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461248221,-58,-52,-61,-58,-40,-49,-55,-71,-72,-82,-68,-77,-79,-49,-200,-75,-66,-90,-76,-53,-77,-82,-70,-200,-200,-200,-81,-200,-86,-200,-77,-81,-200,-60,-66,-200,-82,-83,-60,-83,-200,-54,-88,-78,-200,-200,-67,-200,-63,-81,-200,-200,-200,-66,-200,-200,-80,-200,-78,-77,-75,-83,-200,-88,-83,-76,-86,-81,-80,-200,-200,-200,-51,-74,-73,-87,-78,-83,-74,-87,-200,-90,-200,-85,-200,-90,-200,-88,-200,-85,-200,-200,-90,-200,-200,-200,-200,-88,-89,-85,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526461251231,-53,-56,-61,-55,-39,-63,-55,-74,-73,-81,-69,-77,-79,-49,-200,-75,-64,-90,-76,-58,-77,-82,-68,-200,-200,-200,-200,-200,-85,-200,-77,-81,-86,-60,-66,-200,-82,-83,-56,-83,-200,-55,-200,-78,-200,-200,-63,-200,-66,-81,-200,-200,-200,-63,-200,-200,-200,-200,-80,-77,-72,-83,-200,-88,-83,-76,-83,-81,-81,-200,-200,-200,-48,-74,-73,-87,-78,-83,-74,-87,-200,-90,-200,-85,-200,-90,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-89,-91,-89,-85,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526461254270,-59,-56,-55,-56,-40,-58,-54,-72,-72,-81,-69,-77,-79,-50,-75,-74,-67,-200,-75,-57,-77,-82,-68,-200,-85,-200,-200,-200,-85,-200,-77,-86,-86,-62,-66,-200,-82,-83,-61,-83,-200,-58,-200,-77,-200,-200,-66,-200,-66,-82,-200,-200,-200,-63,-200,-200,-200,-200,-80,-77,-73,-83,-84,-88,-82,-75,-84,-81,-75,-200,-89,-87,-50,-74,-76,-87,-66,-81,-74,-87,-200,-200,-200,-85,-200,-90,-89,-200,-78,-200,-200,-200,-90,-200,-200,-83,-89,-88,-89,-85,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526461257282,-57,-57,-60,-57,-39,-63,-54,-81,-76,-81,-73,-200,-81,-47,-76,-76,-67,-200,-75,-57,-77,-81,-69,-200,-85,-85,-200,-200,-85,-200,-200,-86,-86,-62,-70,-200,-79,-200,-61,-83,-200,-58,-84,-78,-200,-200,-69,-200,-64,-81,-200,-200,-200,-64,-200,-200,-82,-200,-80,-71,-73,-200,-84,-200,-83,-78,-84,-200,-83,-200,-89,-87,-47,-80,-72,-85,-66,-81,-74,-200,-200,-200,-200,-200,-200,-90,-89,-86,-79,-85,-200,-200,-90,-200,-200,-83,-89,-88,-200,-85,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526461260294,-54,-59,-56,-54,-42,-64,-60,-73,-72,-200,-73,-200,-81,-51,-76,-76,-58,-200,-75,-56,-77,-81,-68,-200,-85,-85,-84,-200,-86,-200,-200,-86,-200,-60,-68,-200,-82,-83,-57,-83,-90,-54,-84,-77,-85,-200,-66,-200,-60,-77,-200,-200,-200,-65,-200,-200,-80,-200,-81,-71,-72,-85,-85,-200,-83,-74,-84,-83,-81,-200,-89,-87,-47,-81,-72,-85,-66,-81,-76,-200,-83,-89,-90,-86,-200,-200,-89,-86,-79,-85,-200,-200,-200,-200,-200,-83,-88,-88,-200,-85,-200,-90,-81,-81,-84,-86,-200,-200,-200,-200
1526461263308,-60,-56,-61,-54,-43,-64,-58,-73,-71,-200,-67,-200,-81,-49,-76,-71,-65,-200,-200,-59,-77,-83,-68,-200,-200,-81,-84,-200,-88,-200,-200,-200,-200,-62,-67,-200,-82,-83,-56,-83,-90,-53,-84,-78,-85,-200,-66,-200,-60,-78,-200,-200,-200,-64,-200,-200,-80,-200,-81,-71,-72,-85,-85,-200,-84,-74,-200,-83,-81,-200,-200,-200,-47,-80,-72,-85,-200,-70,-76,-200,-84,-89,-90,-86,-200,-92,-200,-86,-79,-84,-200,-200,-200,-200,-200,-200,-88,-93,-200,-85,-200,-90,-81,-81,-84,-86,-88,-90,-200,-200
1526461266354,-59,-56,-60,-54,-42,-52,-53,-73,-76,-82,-71,-200,-200,-48,-76,-73,-66,-200,-200,-59,-79,-83,-66,-85,-200,-81,-86,-200,-88,-200,-200,-200,-200,-62,-66,-200,-79,-83,-57,-200,-90,-51,-92,-76,-85,-200,-70,-200,-60,-77,-200,-200,-200,-65,-200,-200,-80,-200,-81,-200,-73,-83,-85,-200,-84,-72,-200,-79,-81,-200,-200,-200,-49,-74,-73,-200,-200,-70,-77,-200,-84,-89,-90,-86,-200,-92,-200,-200,-200,-84,-200,-200,-200,-200,-88,-200,-88,-93,-200,-200,-200,-200,-81,-81,-84,-86,-88,-90,-81,-89
1526461269385,-56,-58,-54,-53,-41,-54,-60,-73,-77,-82,-71,-200,-200,-50,-76,-72,-64,-200,-200,-55,-79,-81,-66,-85,-200,-81,-86,-200,-88,-200,-200,-200,-86,-69,-66,-200,-85,-78,-57,-200,-90,-51,-92,-78,-85,-200,-70,-200,-64,-77,-200,-200,-200,-66,-200,-200,-90,-200,-81,-200,-72,-83,-200,-200,-84,-74,-200,-79,-200,-200,-200,-200,-48,-74,-73,-90,-65,-70,-77,-200,-84,-200,-90,-86,-89,-92,-89,-200,-79,-84,-200,-89,-200,-200,-88,-200,-92,-93,-200,-200,-200,-200,-200,-81,-200,-200,-88,-90,-81,-89
1526461272423,-57,-52,-60,-51,-42,-57,-52,-73,-75,-82,-69,-200,-78,-50,-76,-73,-64,-83,-200,-58,-80,-81,-67,-85,-81,-81,-86,-200,-88,-200,-200,-200,-86,-62,-66,-200,-85,-78,-61,-85,-200,-49,-92,-78,-85,-200,-67,-200,-60,-79,-200,-200,-200,-67,-200,-200,-83,-200,-81,-73,-72,-83,-200,-200,-84,-74,-200,-79,-74,-200,-200,-200,-51,-72,-76,-83,-65,-70,-72,-200,-84,-200,-90,-200,-89,-92,-89,-200,-79,-84,-200,-89,-200,-200,-88,-200,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-88,-90,-81,-89
