,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526454489193,-40,-25,-33,-41,-38,-42,-56,-200,-56,-52,-48,-36,-49,-59,-50,-55,-57,-54,-200,-200,-44,-52,-54,-58,-65,-69,-72,-200,-75,-56,-68,-56,-200,-61,-74,-63,-200,-55,-200,-71,-65,-200,-70,-70,-78,-79,-200,-200,-85,-200,-76,-85,-87,-200,-200,-83,-88,-200,-200,-49,-60,-68,-76,-71,-74,-84,-89,-80,-85,-73,-64,-69,-86,-200,-200,-200
1526454492219,-40,-25,-33,-41,-38,-42,-56,-200,-56,-52,-48,-36,-49,-59,-50,-55,-57,-54,-200,-200,-44,-52,-54,-58,-65,-69,-72,-200,-75,-56,-68,-56,-200,-61,-74,-63,-200,-55,-200,-71,-65,-200,-70,-70,-78,-79,-200,-200,-85,-200,-76,-85,-87,-200,-200,-83,-88,-200,-200,-49,-60,-68,-76,-71,-74,-84,-89,-80,-85,-73,-64,-69,-86,-200,-200,-200
1526454495250,-37,-25,-35,-41,-38,-41,-56,-200,-56,-200,-49,-32,-50,-59,-54,-55,-54,-58,-200,-200,-44,-54,-54,-58,-65,-69,-72,-200,-200,-57,-70,-56,-200,-55,-74,-64,-200,-55,-200,-71,-65,-200,-70,-70,-75,-77,-200,-200,-79,-200,-76,-79,-87,-200,-200,-83,-88,-200,-200,-200,-60,-68,-81,-71,-72,-84,-200,-80,-85,-73,-64,-69,-86,-200,-200,-200
1526454498278,-37,-25,-35,-41,-38,-41,-56,-200,-56,-200,-49,-32,-50,-59,-54,-55,-54,-58,-200,-200,-44,-54,-54,-58,-65,-69,-72,-200,-200,-57,-70,-56,-200,-55,-74,-64,-200,-55,-200,-71,-65,-200,-70,-70,-75,-77,-200,-200,-79,-200,-76,-79,-87,-200,-200,-83,-88,-200,-200,-200,-60,-68,-81,-71,-72,-84,-200,-80,-85,-73,-64,-69,-86,-200,-200,-200
1526454501310,-44,-21,-37,-42,-38,-44,-53,-200,-58,-53,-49,-35,-46,-59,-51,-57,-54,-58,-200,-200,-47,-54,-54,-57,-65,-69,-72,-200,-200,-57,-73,-56,-200,-57,-74,-60,-200,-55,-200,-71,-65,-200,-70,-70,-75,-77,-200,-200,-84,-200,-76,-85,-89,-200,-200,-83,-90,-200,-200,-200,-60,-68,-80,-200,-72,-83,-200,-80,-85,-73,-64,-69,-86,-200,-200,-200
1526454504336,-44,-21,-37,-42,-38,-44,-53,-200,-58,-53,-49,-35,-46,-59,-51,-57,-54,-58,-200,-200,-47,-54,-54,-57,-65,-69,-72,-200,-200,-57,-73,-56,-200,-57,-74,-60,-200,-55,-200,-71,-65,-200,-70,-70,-75,-77,-200,-200,-84,-200,-76,-85,-89,-200,-200,-83,-90,-200,-200,-200,-60,-68,-80,-200,-72,-83,-200,-80,-85,-73,-64,-69,-86,-200,-200,-200
1526454507366,-36,-10,-34,-50,-14,-41,-56,-200,-58,-53,-48,-41,-46,-59,-55,-57,-60,-58,-200,-200,-42,-54,-55,-50,-200,-69,-72,-200,-200,-60,-73,-200,-200,-62,-65,-63,-200,-47,-200,-71,-65,-200,-69,-70,-80,-79,-200,-200,-80,-200,-76,-79,-89,-200,-200,-83,-88,-200,-89,-200,-54,-68,-77,-200,-68,-81,-89,-77,-85,-200,-64,-69,-86,-74,-200,-200
1526454510396,-36,-10,-34,-50,-14,-41,-56,-200,-58,-53,-48,-41,-46,-59,-55,-57,-60,-58,-200,-200,-42,-54,-55,-50,-200,-69,-72,-200,-200,-60,-73,-200,-200,-62,-65,-63,-200,-47,-200,-71,-65,-200,-69,-70,-80,-79,-200,-200,-80,-200,-76,-79,-89,-200,-200,-83,-88,-200,-89,-200,-54,-68,-77,-200,-68,-81,-89,-77,-85,-200,-64,-69,-86,-74,-200,-200
1526454513410,-39,-28,-46,-52,-31,-37,-55,-200,-58,-48,-53,-40,-53,-200,-55,-61,-60,-58,-200,-200,-42,-50,-59,-55,-68,-69,-72,-200,-200,-60,-73,-200,-200,-58,-65,-63,-200,-47,-200,-200,-65,-200,-68,-70,-78,-80,-200,-200,-78,-200,-76,-88,-86,-200,-200,-83,-90,-200,-89,-58,-54,-68,-77,-74,-68,-82,-89,-78,-85,-200,-64,-200,-86,-74,-61,-70
1526454516434,-39,-28,-46,-52,-31,-37,-55,-200,-58,-48,-53,-40,-53,-200,-55,-61,-60,-58,-200,-200,-42,-50,-59,-55,-68,-69,-72,-200,-200,-60,-73,-200,-200,-58,-65,-63,-200,-47,-200,-200,-65,-200,-68,-70,-78,-80,-200,-200,-78,-200,-76,-88,-86,-200,-200,-83,-90,-200,-89,-58,-54,-68,-77,-74,-68,-82,-89,-78,-85,-200,-64,-200,-86,-74,-61,-70
1526454519462,-43,-32,-46,-55,-35,-37,-55,-200,-58,-48,-53,-42,-49,-200,-55,-61,-59,-58,-61,-200,-41,-50,-59,-55,-68,-200,-74,-200,-200,-62,-77,-49,-200,-56,-65,-63,-200,-47,-200,-200,-200,-200,-70,-70,-76,-76,-200,-200,-81,-200,-76,-81,-82,-200,-200,-85,-90,-200,-85,-58,-59,-200,-77,-72,-72,-85,-89,-78,-85,-200,-200,-67,-200,-74,-61,-70
1526454522484,-43,-32,-46,-55,-35,-37,-55,-200,-58,-48,-53,-42,-49,-200,-55,-61,-59,-58,-61,-200,-41,-50,-59,-55,-68,-200,-74,-200,-200,-62,-77,-49,-200,-56,-65,-63,-200,-47,-200,-200,-200,-200,-70,-70,-76,-76,-200,-200,-81,-200,-76,-81,-82,-200,-200,-85,-90,-200,-85,-58,-59,-200,-77,-72,-72,-85,-89,-78,-85,-200,-200,-67,-200,-74,-61,-70
