,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D02A20,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526458553323,-26,-49,-43,-55,-50,-48,-46,-64,-54,-63,-53,-65,-66,-51,-56,-60,-62,-69,-80,-60,-71,-66,-67,-58,-73,-79,-74,-97,-88,-76,-78,-76,-90,-66,-71,-88,-83,-76,-88,-85,-200,-81,-200,-74,-86,-76,-74,-92,-85,-87,-80,-80,-200,-91,-90,-89,-200,-88,-89,-200,-75,-85,-89,-200,-94,-84,-88,-200,-200,-92,-200,-92,-200,-90,-200,-200,-95,-200,-79,-84,-92,-77,-79,-200,-200,-82,-200,-90,-93,-200,-81,-88,-200,-91,-200,-200,-200,-200
1526458556374,-36,-47,-42,-58,-49,-52,-46,-76,-54,-61,-53,-65,-72,-50,-55,-60,-62,-68,-75,-63,-71,-69,-68,-59,-71,-82,-78,-94,-91,-76,-78,-76,-88,-73,-71,-88,-78,-76,-86,-85,-200,-81,-200,-74,-86,-78,-70,-89,-80,-85,-80,-81,-200,-200,-92,-89,-90,-88,-89,-200,-74,-89,-86,-92,-88,-86,-90,-200,-91,-92,-200,-90,-200,-200,-200,-200,-95,-200,-79,-86,-200,-77,-83,-86,-200,-200,-200,-90,-93,-200,-81,-88,-200,-91,-200,-200,-200,-200
1526458559429,-33,-49,-42,-59,-51,-52,-44,-76,-54,-61,-57,-65,-71,-51,-54,-60,-63,-68,-84,-61,-71,-69,-65,-57,-71,-74,-76,-94,-90,-76,-58,-75,-89,-66,-67,-89,-77,-80,-85,-85,-200,-77,-200,-74,-87,-77,-72,-89,-86,-86,-82,-82,-200,-91,-90,-89,-92,-88,-83,-200,-75,-85,-87,-92,-88,-85,-89,-200,-90,-93,-200,-90,-200,-93,-200,-200,-200,-200,-80,-86,-200,-200,-83,-86,-200,-73,-200,-90,-93,-200,-81,-87,-95,-200,-200,-200,-200,-200
1526458562483,-35,-49,-43,-60,-52,-47,-46,-76,-53,-67,-56,-68,-72,-50,-59,-64,-64,-74,-82,-60,-70,-70,-66,-58,-70,-74,-79,-94,-88,-76,-77,-81,-85,-68,-73,-89,-82,-82,-85,-200,-200,-77,-200,-73,-85,-78,-77,-90,-85,-86,-82,-81,-200,-93,-90,-89,-90,-88,-86,-200,-76,-84,-88,-92,-88,-85,-93,-200,-90,-93,-200,-89,-200,-93,-200,-200,-95,-200,-80,-86,-200,-200,-83,-86,-200,-79,-200,-87,-94,-200,-200,-87,-95,-200,-200,-200,-200,-200
1526458565531,-35,-55,-41,-60,-50,-46,-46,-69,-53,-61,-53,-69,-71,-53,-53,-59,-63,-74,-84,-62,-70,-70,-70,-59,-71,-74,-72,-94,-88,-76,-77,-80,-89,-67,-71,-65,-82,-77,-88,-200,-200,-77,-200,-74,-85,-77,-84,-90,-79,-86,-81,-81,-200,-93,-84,-89,-90,-88,-86,-93,-75,-84,-87,-98,-200,-81,-93,-200,-90,-93,-200,-89,-200,-93,-200,-200,-95,-200,-80,-86,-200,-75,-83,-200,-200,-79,-200,-87,-94,-200,-200,-87,-95,-200,-96,-200,-200,-200
1526458568573,-34,-49,-43,-59,-58,-53,-48,-69,-53,-65,-54,-67,-70,-49,-55,-61,-69,-71,-78,-60,-73,-66,-70,-57,-72,-75,-72,-94,-88,-76,-75,-78,-89,-73,-71,-65,-83,-77,-88,-84,-200,-81,-200,-74,-85,-75,-84,-90,-79,-86,-81,-81,-200,-93,-84,-200,-91,-200,-86,-93,-74,-84,-87,-98,-200,-84,-87,-200,-200,-92,-87,-89,-200,-200,-200,-200,-95,-200,-200,-82,-200,-75,-82,-200,-200,-79,-200,-87,-94,-200,-200,-200,-200,-200,-96,-200,-200,-200
1526458571616,-32,-50,-36,-58,-50,-48,-46,-71,-53,-62,-50,-67,-71,-51,-55,-64,-66,-75,-78,-61,-65,-65,-70,-58,-70,-75,-79,-200,-88,-77,-74,-77,-87,-73,-72,-87,-83,-80,-88,-86,-200,-81,-200,-74,-85,-79,-81,-88,-83,-85,-82,-81,-200,-92,-84,-200,-91,-200,-92,-93,-74,-89,-86,-98,-200,-85,-89,-200,-91,-94,-88,-88,-200,-94,-200,-200,-95,-200,-200,-82,-91,-75,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-96,-96,-200,-200
1526458574663,-34,-49,-42,-58,-56,-56,-49,-67,-59,-61,-54,-68,-69,-53,-55,-62,-61,-72,-74,-62,-71,-65,-66,-64,-77,-79,-79,-200,-87,-75,-72,-77,-87,-80,-71,-87,-77,-80,-87,-83,-200,-84,-89,-74,-87,-78,-71,-89,-85,-87,-80,-81,-200,-91,-200,-93,-93,-200,-83,-200,-74,-85,-86,-200,-200,-90,-88,-200,-91,-93,-89,-88,-200,-94,-200,-200,-95,-200,-77,-92,-91,-200,-82,-90,-200,-200,-200,-89,-200,-200,-200,-88,-98,-200,-200,-96,-96,-200
1526458577715,-31,-47,-41,-56,-48,-57,-47,-67,-57,-61,-55,-66,-69,-50,-56,-62,-61,-73,-79,-61,-71,-68,-67,-64,-78,-79,-75,-200,-87,-75,-75,-76,-87,-76,-75,-87,-77,-78,-87,-83,-90,-84,-89,-74,-87,-79,-70,-89,-85,-87,-80,-81,-90,-90,-200,-93,-93,-200,-83,-200,-86,-85,-86,-200,-200,-90,-87,-200,-91,-93,-89,-93,-200,-94,-200,-200,-95,-200,-77,-92,-91,-87,-80,-94,-200,-86,-200,-89,-200,-200,-200,-87,-98,-200,-200,-96,-96,-95
1526458580770,-34,-48,-41,-61,-49,-60,-48,-82,-57,-62,-55,-66,-69,-49,-60,-62,-59,-74,-85,-61,-71,-67,-69,-63,-79,-81,-77,-200,-89,-74,-73,-75,-87,-76,-69,-200,-77,-79,-87,-84,-86,-83,-89,-75,-86,-77,-69,-89,-92,-85,-79,-82,-90,-90,-200,-93,-93,-200,-84,-200,-84,-88,-96,-89,-200,-88,-87,-200,-200,-93,-89,-93,-96,-200,-200,-200,-200,-200,-77,-92,-200,-87,-79,-94,-200,-86,-200,-88,-200,-200,-200,-89,-200,-200,-200,-96,-96,-95
1526458583816,-35,-47,-41,-56,-47,-58,-37,-78,-57,-59,-54,-64,-68,-50,-53,-64,-59,-65,-63,-61,-68,-67,-67,-63,-77,-73,-79,-200,-90,-74,-75,-75,-88,-73,-69,-200,-77,-78,-87,-83,-86,-77,-200,-73,-87,-77,-67,-88,-92,-86,-81,-81,-90,-91,-200,-92,-92,-200,-77,-200,-83,-88,-96,-89,-200,-88,-86,-200,-200,-94,-200,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-87,-82,-92,-200,-86,-200,-88,-200,-200,-200,-87,-98,-200,-200,-200,-200,-95
1526458586863,-34,-46,-44,-59,-49,-56,-47,-78,-57,-59,-55,-63,-68,-51,-55,-63,-56,-72,-82,-61,-68,-67,-64,-63,-77,-73,-77,-200,-73,-74,-73,-74,-88,-74,-69,-200,-83,-79,-87,-84,-86,-84,-200,-75,-89,-77,-70,-88,-92,-86,-80,-82,-200,-92,-200,-91,-92,-200,-83,-200,-83,-85,-96,-89,-90,-87,-87,-200,-200,-94,-89,-91,-97,-200,-200,-200,-98,-200,-200,-200,-200,-200,-82,-92,-200,-74,-200,-88,-200,-200,-200,-87,-98,-200,-200,-200,-96,-94
