,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018
1526458774831,-31,-36,-50,-46,-55,-48,-55,-57,-60,-50,-76,-39,-59,-61,-61,-62,-73,-67,-66,-88,-73,-73,-72,-56,-68,-74,-81,-72,-73,-75,-69,-76,-76,-77,-90,-93,-200,-87,-79,-87,-78,-88,-84,-82,-69,-86,-83,-75,-89,-200,-88,-200,-82,-77,-73,-83,-84,-200,-83,-92,-88,-93,-79,-83,-92,-88,-200,-84,-92,-200,-90,-200,-93,-200,-200,-80,-81,-85,-92,-97,-200,-200,-200,-200,-94,-88,-92,-200,-96,-92,-92,-200,-200,-200,-200,-200,-200
1526458777880,-30,-37,-49,-44,-52,-50,-53,-58,-61,-50,-74,-47,-56,-54,-63,-64,-74,-66,-72,-88,-80,-73,-72,-53,-61,-74,-81,-70,-80,-72,-68,-70,-74,-79,-93,-93,-200,-85,-80,-85,-78,-90,-84,-82,-69,-89,-86,-75,-89,-200,-87,-200,-82,-78,-72,-83,-84,-200,-84,-92,-88,-91,-79,-200,-91,-87,-200,-83,-92,-200,-90,-200,-93,-200,-200,-77,-200,-85,-92,-97,-200,-200,-200,-200,-94,-200,-200,-200,-96,-200,-93,-92,-95,-200,-200,-200,-200
1526458780932,-32,-37,-49,-45,-55,-50,-57,-57,-61,-52,-73,-45,-57,-59,-63,-64,-69,-65,-72,-88,-74,-72,-70,-53,-53,-69,-75,-67,-80,-77,-70,-71,-76,-81,-90,-92,-200,-85,-81,-85,-79,-88,-84,-81,-82,-88,-84,-200,-87,-96,-86,-200,-79,-90,-73,-89,-84,-200,-83,-200,-200,-95,-77,-85,-91,-87,-200,-83,-91,-200,-91,-200,-93,-200,-200,-77,-200,-85,-94,-97,-200,-200,-200,-200,-94,-200,-200,-86,-200,-200,-93,-89,-95,-200,-200,-200,-200
1526458783983,-41,-40,-53,-47,-52,-51,-52,-49,-61,-53,-80,-48,-56,-64,-69,-62,-73,-65,-64,-86,-74,-77,-70,-66,-66,-74,-75,-57,-80,-75,-70,-72,-75,-78,-90,-88,-200,-79,-82,-94,-77,-88,-96,-82,-73,-89,-87,-200,-87,-96,-86,-200,-84,-90,-58,-89,-200,-94,-84,-200,-200,-95,-79,-85,-91,-89,-200,-84,-92,-200,-91,-200,-200,-200,-200,-83,-200,-200,-91,-200,-93,-200,-200,-200,-99,-200,-91,-86,-96,-200,-93,-89,-95,-97,-200,-200,-200
1526458787034,-36,-39,-50,-44,-52,-51,-58,-60,-62,-55,-79,-39,-56,-58,-69,-72,-74,-63,-66,-86,-76,-73,-66,-58,-62,-72,-73,-63,-200,-73,-68,-73,-75,-78,-90,-88,-200,-81,-79,-94,-79,-86,-87,-82,-83,-89,-86,-76,-87,-96,-86,-200,-82,-90,-72,-83,-82,-94,-84,-93,-200,-92,-77,-85,-200,-89,-200,-83,-92,-200,-91,-200,-200,-200,-200,-79,-200,-87,-92,-200,-93,-200,-200,-200,-99,-200,-90,-86,-96,-200,-200,-89,-200,-97,-200,-200,-200
1526458790072,-36,-38,-51,-43,-52,-43,-51,-58,-60,-51,-77,-43,-56,-58,-69,-64,-70,-66,-70,-86,-75,-76,-69,-66,-72,-72,-73,-63,-200,-74,-68,-66,-75,-79,-200,-88,-200,-83,-80,-89,-77,-88,-87,-82,-83,-90,-85,-76,-200,-200,-200,-200,-84,-86,-72,-89,-82,-96,-84,-93,-200,-92,-77,-200,-200,-88,-200,-83,-89,-200,-200,-200,-95,-200,-200,-79,-200,-84,-92,-200,-93,-200,-200,-200,-99,-200,-91,-200,-96,-200,-200,-200,-200,-97,-95,-200,-200
1526458793125,-38,-44,-51,-44,-52,-49,-55,-58,-58,-52,-76,-46,-57,-56,-74,-64,-68,-72,-68,-200,-75,-77,-70,-65,-61,-73,-77,-68,-83,-76,-73,-66,-76,-79,-200,-87,-200,-83,-81,-94,-77,-85,-87,-81,-88,-90,-85,-76,-200,-200,-86,-200,-81,-86,-68,-89,-78,-96,-84,-93,-87,-92,-77,-200,-200,-96,-200,-87,-93,-200,-90,-200,-95,-200,-200,-82,-200,-84,-89,-96,-200,-200,-200,-95,-96,-94,-93,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526458796171,-41,-44,-51,-45,-51,-49,-53,-59,-60,-52,-73,-40,-60,-55,-74,-72,-68,-74,-68,-87,-76,-77,-67,-67,-56,-71,-83,-70,-76,-77,-69,-71,-76,-80,-200,-95,-200,-83,-77,-92,-77,-85,-88,-82,-89,-90,-89,-77,-87,-200,-83,-200,-82,-86,-71,-84,-78,-96,-83,-200,-87,-200,-77,-200,-200,-96,-200,-86,-95,-200,-89,-200,-95,-200,-200,-86,-200,-86,-93,-96,-200,-200,-200,-95,-96,-94,-93,-200,-96,-200,-85,-200,-200,-200,-95,-96,-200
1526458799224,-46,-40,-49,-55,-49,-47,-53,-58,-58,-52,-77,-42,-59,-55,-68,-66,-70,-66,-74,-90,-79,-79,-67,-67,-59,-75,-77,-64,-76,-75,-70,-71,-78,-80,-200,-89,-83,-80,-81,-88,-79,-86,-91,-83,-77,-90,-89,-77,-86,-200,-83,-200,-84,-88,-73,-85,-78,-200,-85,-94,-87,-93,-76,-200,-94,-96,-200,-87,-98,-200,-89,-200,-200,-200,-200,-84,-200,-87,-89,-96,-96,-200,-200,-95,-74,-94,-93,-200,-96,-200,-90,-200,-200,-200,-200,-96,-200
1526458802276,-42,-43,-52,-46,-53,-46,-55,-58,-62,-49,-82,-43,-56,-56,-72,-67,-70,-74,-75,-90,-72,-74,-67,-61,-60,-76,-77,-65,-74,-77,-70,-69,-76,-80,-200,-89,-83,-85,-78,-88,-77,-91,-91,-82,-77,-87,-87,-77,-86,-200,-83,-200,-81,-85,-65,-83,-200,-200,-85,-93,-200,-93,-81,-200,-89,-200,-200,-87,-93,-200,-89,-200,-92,-200,-200,-81,-81,-91,-89,-98,-97,-200,-200,-97,-74,-200,-200,-200,-96,-200,-92,-200,-200,-200,-200,-96,-95
1526458805324,-43,-42,-49,-52,-51,-46,-57,-57,-62,-52,-78,-42,-57,-58,-77,-71,-70,-68,-74,-90,-77,-81,-200,-56,-59,-71,-80,-65,-82,-76,-70,-77,-78,-79,-200,-87,-83,-85,-79,-90,-77,-88,-91,-81,-77,-87,-87,-76,-87,-200,-83,-200,-83,-85,-65,-83,-200,-200,-84,-93,-200,-93,-79,-200,-91,-91,-200,-85,-95,-200,-88,-200,-96,-200,-200,-83,-81,-87,-91,-98,-97,-200,-200,-97,-74,-200,-200,-71,-200,-200,-92,-200,-200,-200,-200,-200,-95
1526458808377,-44,-42,-50,-41,-52,-49,-54,-58,-60,-52,-79,-46,-56,-56,-77,-74,-68,-71,-65,-88,-76,-80,-72,-66,-57,-72,-78,-67,-74,-75,-67,-72,-77,-79,-88,-87,-200,-85,-78,-93,-77,-88,-200,-80,-89,-87,-89,-71,-91,-200,-86,-200,-81,-85,-71,-82,-200,-200,-85,-93,-200,-200,-78,-80,-91,-91,-200,-85,-95,-200,-89,-200,-96,-200,-200,-81,-81,-85,-91,-98,-97,-200,-200,-97,-95,-200,-91,-89,-97,-200,-91,-200,-200,-200,-200,-200,-95
