,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,whjx-xiaozhuyang-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018
1526443865433,-42,-36,-56,-45,-47,-56,-50,-57,-56,-68,-65,-68,-76,-73,-66,-59,-55,-85,-79,-65,-200,-86,-82,-71,-91,-75,-74,-72,-74,-71,-77,-79,-85,-200,-80,-82,-78,-85,-89,-76,-86,-89,-87,-76,-200,-90,-200,-97,-97,-200,-95,-95,-90,-95,-90,-89,-200,-82,-200,-88,-200,-88,-200,-98,-92,-200,-85,-87,-200,-95,-200,-200,-96,-200,-97,-86,-96,-96,-97,-200,-200,-200,-200,-200,-200
1526443868477,-44,-32,-52,-49,-48,-60,-50,-52,-54,-64,-60,-70,-76,-76,-68,-56,-56,-86,-79,-64,-200,-81,-75,-66,-90,-75,-74,-73,-79,-71,-75,-72,-87,-200,-76,-86,-79,-81,-200,-80,-87,-94,-88,-74,-87,-90,-200,-97,-95,-200,-93,-95,-90,-95,-92,-88,-200,-93,-200,-91,-200,-91,-200,-97,-92,-200,-85,-87,-200,-200,-200,-200,-96,-200,-97,-200,-200,-96,-97,-96,-200,-200,-200,-200,-200
1526443871520,-42,-31,-53,-48,-49,-54,-48,-59,-55,-59,-64,-60,-67,-79,-72,-54,-53,-83,-80,-66,-200,-84,-80,-65,-91,-76,-78,-77,-79,-71,-77,-84,-90,-87,-72,-84,-88,-90,-90,-80,-82,-89,-88,-77,-83,-90,-200,-97,-95,-200,-93,-94,-88,-200,-94,-90,-200,-84,-200,-91,-200,-91,-200,-97,-93,-200,-85,-87,-200,-95,-200,-200,-96,-200,-97,-200,-200,-200,-97,-96,-200,-200,-200,-200,-200
1526443874567,-41,-38,-61,-50,-48,-59,-51,-53,-57,-57,-73,-63,-69,-75,-68,-58,-53,-86,-82,-75,-200,-86,-81,-66,-89,-82,-77,-74,-84,-67,-78,-84,-90,-87,-84,-81,-88,-88,-91,-80,-85,-89,-88,-77,-83,-94,-200,-200,-95,-200,-91,-95,-88,-200,-94,-89,-200,-89,-200,-92,-200,-86,-200,-96,-93,-200,-200,-84,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-96,-200,-200,-200,-200
1526443877610,-42,-30,-61,-49,-48,-56,-47,-53,-54,-67,-71,-64,-66,-76,-70,-57,-51,-88,-82,-74,-200,-86,-82,-66,-90,-80,-78,-75,-84,-68,-78,-77,-91,-87,-81,-83,-88,-85,-91,-80,-87,-89,-88,-76,-83,-94,-88,-200,-200,-83,-90,-95,-88,-200,-91,-88,-200,-84,-200,-92,-200,-88,-200,-96,-94,-200,-90,-84,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526443880658,-45,-28,-52,-50,-50,-58,-47,-50,-52,-65,-58,-62,-63,-74,-72,-57,-53,-91,-79,-64,-200,-80,-82,-67,-89,-75,-74,-75,-80,-69,-78,-77,-90,-200,-79,-84,-79,-87,-92,-78,-87,-200,-86,-76,-84,-94,-88,-200,-93,-83,-90,-95,-200,-200,-91,-91,-200,-85,-200,-93,-200,-90,-200,-95,-94,-200,-90,-84,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-95,-96,-200,-200,-200,-200
1526443883697,-43,-35,-45,-52,-52,-57,-51,-54,-60,-67,-57,-62,-67,-77,-72,-54,-55,-82,-80,-73,-200,-81,-78,-65,-92,-75,-70,-73,-83,-68,-78,-81,-90,-200,-75,-79,-80,-88,-92,-82,-82,-200,-86,-76,-86,-200,-88,-97,-93,-83,-90,-95,-89,-84,-92,-91,-200,-86,-200,-94,-200,-90,-200,-95,-94,-200,-90,-200,-200,-200,-200,-200,-95,-200,-200,-200,-96,-200,-97,-95,-200,-200,-200,-200,-200
1526443886744,-43,-26,-47,-54,-50,-57,-52,-52,-54,-59,-65,-62,-66,-80,-65,-59,-52,-85,-77,-65,-200,-82,-76,-64,-92,-83,-72,-74,-83,-71,-79,-81,-89,-85,-75,-81,-80,-80,-85,-77,-80,-200,-86,-67,-83,-93,-86,-97,-93,-200,-200,-95,-85,-84,-92,-91,-200,-91,-95,-90,-200,-89,-88,-95,-200,-200,-80,-200,-200,-94,-200,-200,-95,-200,-200,-200,-96,-200,-97,-95,-97,-95,-95,-96,-200
1526443889785,-38,-35,-53,-51,-49,-61,-50,-57,-56,-60,-75,-64,-66,-83,-72,-63,-56,-84,-82,-66,-200,-87,-77,-61,-90,-81,-77,-70,-77,-76,-86,-82,-88,-85,-71,-82,-80,-79,-88,-80,-79,-90,-87,-67,-83,-93,-86,-95,-93,-81,-96,-95,-82,-84,-92,-88,-200,-87,-95,-90,-200,-91,-95,-200,-200,-200,-73,-200,-200,-94,-200,-200,-200,-200,-200,-200,-96,-200,-97,-200,-97,-95,-95,-96,-200
1526443892833,-41,-28,-50,-59,-52,-54,-50,-51,-52,-66,-64,-61,-62,-83,-83,-58,-60,-84,-81,-69,-200,-83,-73,-61,-92,-81,-73,-73,-77,-75,-85,-76,-83,-90,-72,-80,-80,-85,-79,-80,-82,-90,-87,-67,-86,-93,-86,-96,-93,-81,-91,-95,-83,-200,-200,-88,-200,-87,-95,-90,-200,-91,-91,-200,-200,-200,-73,-200,-200,-94,-200,-200,-200,-89,-200,-200,-200,-97,-200,-200,-97,-96,-95,-96,-200
1526443895879,-51,-27,-63,-54,-49,-61,-51,-57,-55,-59,-67,-68,-80,-77,-73,-68,-65,-85,-79,-75,-200,-90,-77,-61,-92,-80,-74,-77,-78,-79,-85,-73,-90,-90,-78,-78,-84,-87,-79,-81,-84,-91,-87,-75,-86,-90,-200,-96,-200,-85,-91,-95,-87,-97,-200,-92,-200,-91,-95,-90,-200,-90,-91,-99,-200,-200,-73,-200,-200,-200,-200,-200,-95,-88,-200,-200,-95,-97,-200,-200,-93,-96,-200,-200,-200
1526443898924,-48,-37,-65,-56,-48,-60,-54,-57,-54,-62,-64,-65,-73,-77,-73,-67,-66,-84,-81,-66,-200,-90,-77,-61,-90,-81,-81,-75,-76,-77,-81,-72,-90,-90,-76,-77,-86,-86,-82,-83,-82,-91,-200,-72,-86,-90,-200,-96,-200,-85,-94,-200,-88,-92,-200,-89,-200,-93,-95,-200,-200,-90,-91,-99,-200,-200,-200,-200,-200,-200,-94,-200,-95,-88,-200,-87,-95,-97,-200,-200,-93,-96,-200,-200,-96
