,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,DLINK_D02A10,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455232048,-39,-43,-35,-46,-57,-58,-52,-60,-60,-58,-68,-62,-63,-53,-68,-56,-52,-200,-61,-63,-65,-65,-68,-61,-58,-68,-68,-84,-72,-64,-74,-79,-74,-72,-81,-66,-68,-75,-200,-200,-200,-83,-81,-80,-82,-84,-84,-200,-66,-82,-76,-84,-86,-88,-79,-85,-200,-87,-200,-96,-79,-200,-84,-80,-86,-200,-78,-92,-88,-86,-95,-95,-93,-86,-200,-200,-200,-200,-93,-88,-92,-200,-200,-200,-95,-95,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-95,-96,-200,-200,-200,-200,-200,-79,-200,-200,-92,-96,-96,-98,-88,-94,-80,-200,-200,-200,-200
1526455235101,-45,-47,-35,-45,-51,-60,-52,-60,-73,-62,-67,-55,-66,-54,-65,-55,-53,-200,-62,-63,-64,-65,-72,-66,-52,-68,-71,-83,-71,-64,-82,-78,-74,-78,-80,-74,-73,-76,-200,-200,-200,-200,-80,-83,-82,-83,-84,-200,-67,-82,-83,-80,-87,-88,-200,-85,-200,-85,-200,-200,-79,-200,-85,-200,-87,-94,-77,-93,-88,-86,-95,-200,-93,-200,-200,-200,-200,-200,-93,-88,-91,-200,-200,-93,-93,-96,-200,-95,-200,-200,-88,-200,-200,-200,-200,-200,-95,-97,-200,-200,-200,-200,-200,-79,-200,-91,-92,-96,-200,-94,-93,-94,-80,-200,-200,-200,-200
1526455238159,-38,-42,-35,-45,-50,-59,-53,-60,-59,-57,-69,-55,-70,-52,-67,-53,-55,-200,-61,-66,-64,-200,-70,-66,-57,-66,-70,-81,-75,-63,-81,-80,-74,-73,-80,-73,-70,-76,-200,-200,-200,-88,-81,-83,-80,-83,-85,-200,-68,-82,-76,-82,-86,-91,-79,-85,-200,-85,-80,-95,-81,-92,-85,-80,-87,-94,-76,-93,-87,-86,-95,-200,-200,-87,-200,-200,-200,-200,-200,-87,-91,-200,-97,-96,-93,-96,-200,-95,-200,-200,-88,-200,-200,-200,-200,-200,-94,-97,-200,-200,-200,-200,-200,-71,-200,-91,-92,-96,-96,-94,-93,-200,-80,-200,-200,-200,-200
1526455241215,-43,-44,-35,-44,-57,-58,-51,-59,-59,-54,-68,-55,-60,-53,-66,-50,-48,-200,-57,-64,-63,-200,-69,-63,-51,-66,-69,-83,-71,-63,-78,-78,-74,-74,-81,-74,-70,-78,-200,-200,-200,-84,-80,-82,-81,-83,-85,-200,-68,-200,-76,-83,-86,-91,-79,-86,-200,-84,-80,-94,-81,-92,-85,-82,-87,-94,-78,-90,-87,-85,-95,-200,-96,-92,-200,-200,-200,-200,-92,-88,-88,-200,-97,-96,-93,-96,-92,-95,-200,-200,-92,-200,-200,-200,-200,-200,-95,-97,-200,-200,-200,-200,-200,-81,-200,-91,-200,-95,-96,-94,-93,-200,-81,-200,-200,-200,-200
1526455244262,-38,-42,-35,-45,-56,-58,-50,-61,-62,-56,-69,-55,-64,-53,-61,-51,-51,-200,-62,-64,-64,-62,-71,-54,-56,-63,-72,-84,-71,-61,-77,-80,-74,-72,-81,-74,-68,-76,-200,-200,-200,-83,-80,-80,-83,-200,-84,-200,-64,-200,-76,-83,-85,-91,-80,-86,-200,-84,-80,-94,-81,-92,-200,-82,-84,-200,-75,-90,-87,-85,-93,-200,-96,-92,-200,-200,-200,-200,-92,-88,-90,-200,-97,-96,-93,-95,-92,-200,-200,-200,-87,-200,-200,-200,-200,-200,-95,-200,-94,-200,-88,-200,-200,-81,-200,-200,-200,-95,-96,-200,-200,-96,-81,-83,-200,-200,-200
1526455247316,-45,-43,-34,-53,-51,-57,-49,-57,-49,-57,-65,-58,-66,-51,-61,-55,-53,-200,-61,-66,-63,-62,-76,-54,-51,-67,-72,-83,-72,-61,-79,-80,-74,-74,-81,-74,-72,-76,-200,-200,-200,-83,-80,-80,-83,-200,-84,-200,-69,-75,-77,-85,-85,-87,-80,-86,-200,-84,-200,-94,-81,-200,-82,-81,-86,-200,-76,-89,-86,-85,-93,-200,-93,-92,-200,-200,-200,-200,-92,-88,-94,-200,-200,-96,-93,-96,-92,-200,-200,-200,-87,-200,-200,-86,-200,-200,-95,-200,-94,-200,-88,-87,-200,-81,-200,-200,-200,-95,-200,-200,-200,-96,-81,-83,-96,-200,-200
1526455250370,-41,-47,-35,-39,-57,-61,-52,-62,-59,-57,-67,-53,-70,-53,-67,-56,-53,-200,-70,-65,-67,-64,-68,-67,-51,-64,-67,-86,-71,-60,-79,-80,-73,-73,-63,-84,-70,-76,-200,-200,-200,-83,-82,-80,-83,-200,-85,-200,-72,-75,-76,-85,-83,-90,-80,-87,-200,-85,-79,-200,-82,-200,-86,-80,-86,-200,-78,-91,-86,-200,-93,-200,-93,-88,-200,-200,-200,-200,-92,-88,-94,-200,-200,-200,-96,-96,-200,-200,-200,-200,-88,-200,-200,-86,-94,-200,-94,-97,-94,-200,-88,-87,-200,-83,-97,-200,-200,-200,-200,-200,-200,-96,-200,-83,-96,-88,-200
1526455253423,-44,-47,-36,-45,-51,-59,-56,-58,-57,-58,-68,-55,-65,-50,-66,-51,-55,-200,-59,-62,-65,-63,-69,-64,-50,-66,-67,-84,-73,-67,-77,-79,-78,-73,-78,-75,-70,-76,-200,-200,-89,-200,-80,-83,-86,-200,-85,-200,-67,-75,-76,-84,-83,-90,-83,-87,-200,-83,-79,-97,-82,-200,-85,-80,-87,-200,-76,-91,-86,-200,-200,-94,-93,-87,-200,-200,-200,-200,-90,-200,-91,-200,-200,-94,-94,-96,-200,-200,-200,-200,-88,-200,-200,-86,-94,-200,-94,-98,-200,-200,-200,-87,-200,-81,-97,-89,-200,-200,-200,-200,-90,-200,-200,-200,-96,-88,-93
1526455256475,-39,-39,-36,-45,-51,-58,-50,-61,-59,-56,-68,-55,-64,-51,-60,-49,-49,-200,-60,-65,-67,-63,-68,-67,-58,-65,-71,-82,-74,-63,-77,-78,-78,-71,-80,-75,-72,-75,-200,-200,-89,-200,-82,-83,-81,-200,-85,-200,-68,-200,-81,-84,-85,-88,-83,-84,-200,-83,-79,-97,-80,-200,-83,-79,-84,-200,-79,-91,-86,-200,-200,-94,-91,-87,-200,-200,-200,-200,-94,-200,-91,-200,-200,-94,-94,-200,-200,-200,-200,-200,-88,-200,-200,-87,-95,-200,-94,-98,-200,-200,-85,-200,-200,-81,-97,-89,-200,-82,-96,-200,-90,-94,-200,-200,-200,-88,-93
1526455259531,-46,-46,-35,-45,-51,-59,-51,-62,-60,-60,-65,-56,-69,-53,-69,-55,-53,-200,-61,-65,-68,-63,-70,-62,-56,-65,-74,-85,-73,-62,-77,-76,-74,-79,-79,-81,-72,-75,-200,-77,-84,-83,-78,-82,-80,-85,-84,-83,-68,-200,-82,-80,-85,-89,-83,-84,-88,-84,-79,-97,-80,-200,-83,-79,-86,-200,-78,-90,-200,-87,-200,-94,-91,-86,-200,-200,-200,-200,-94,-200,-91,-200,-200,-94,-94,-200,-200,-200,-200,-200,-90,-200,-200,-87,-96,-200,-97,-98,-93,-95,-91,-200,-200,-81,-200,-89,-200,-82,-96,-200,-93,-94,-200,-79,-200,-200,-93
1526455262584,-39,-46,-34,-42,-50,-60,-50,-62,-69,-57,-65,-53,-63,-55,-60,-54,-52,-200,-68,-64,-64,-62,-70,-69,-52,-68,-70,-87,-71,-65,-81,-79,-74,-73,-77,-78,-72,-76,-200,-77,-87,-83,-78,-82,-80,-83,-83,-83,-69,-200,-76,-80,-87,-89,-81,-84,-88,-84,-79,-200,-82,-200,-89,-79,-87,-200,-78,-92,-87,-89,-200,-200,-91,-86,-200,-200,-200,-200,-94,-81,-200,-200,-200,-93,-94,-200,-200,-200,-200,-200,-90,-200,-200,-87,-94,-200,-97,-200,-93,-95,-91,-200,-200,-200,-200,-87,-200,-95,-96,-200,-93,-94,-200,-85,-200,-88,-200
1526455265638,-38,-48,-35,-45,-51,-58,-50,-60,-60,-55,-67,-56,-65,-59,-67,-55,-47,-200,-60,-65,-65,-64,-63,-65,-50,-65,-70,-88,-71,-63,-81,-80,-74,-72,-77,-78,-200,-73,-200,-77,-87,-83,-78,-66,-80,-83,-85,-83,-69,-200,-76,-80,-87,-89,-81,-86,-88,-84,-200,-200,-83,-200,-86,-78,-85,-200,-79,-90,-87,-85,-200,-200,-91,-86,-200,-200,-200,-200,-200,-81,-200,-200,-200,-93,-94,-200,-200,-200,-200,-200,-88,-200,-200,-87,-98,-200,-96,-200,-93,-91,-91,-89,-93,-200,-200,-85,-90,-95,-96,-200,-93,-200,-200,-76,-200,-88,-200
