,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A28,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526454942697,-35,-32,-53,-42,-54,-67,-55,-54,-65,-57,-51,-60,-68,-200,-59,-52,-58,-61,-52,-80,-66,-200,-66,-74,-60,-68,-73,-85,-81,-200,-200,-80,-84,-60,-62,-59,-83,-74,-74,-82,-89,-83,-73,-66,-77,-82,-74,-88,-74,-73,-87,-91,-84,-92,-78,-81,-75,-85,-87,-91,-200,-88,-93,-200,-80,-88,-86,-200,-89,-90,-200,-92,-84,-86,-93,-91,-200,-200,-200,-95,-200,-92,-200,-200,-200,-90,-200,-77,-92,-78,-86,-91,-200,-94,-200,-89,-94,-79,-200,-93,-96,-96,-91,-200,-95,-200,-200,-79,-92,-200,-200,-200
1526454945751,-36,-32,-53,-52,-54,-62,-50,-54,-64,-54,-51,-60,-67,-200,-60,-50,-56,-62,-53,-81,-65,-63,-66,-74,-60,-68,-76,-85,-81,-200,-71,-78,-84,-59,-69,-61,-81,-74,-67,-81,-89,-84,-72,-67,-73,-82,-74,-84,-74,-78,-86,-79,-84,-93,-79,-81,-74,-88,-87,-91,-200,-88,-200,-200,-77,-200,-85,-87,-87,-92,-200,-95,-86,-90,-93,-95,-200,-200,-200,-95,-200,-91,-200,-98,-200,-90,-200,-79,-200,-78,-86,-200,-96,-94,-95,-92,-94,-79,-200,-93,-96,-97,-91,-200,-95,-200,-200,-79,-92,-200,-200,-200
1526454948803,-35,-32,-54,-45,-53,-64,-54,-62,-66,-58,-51,-61,-66,-74,-62,-50,-56,-63,-51,-81,-65,-63,-66,-75,-61,-69,-77,-87,-81,-200,-71,-79,-200,-63,-62,-61,-87,-74,-69,-80,-89,-81,-73,-68,-74,-82,-75,-81,-73,-78,-84,-86,-83,-93,-79,-81,-75,-88,-87,-91,-200,-88,-200,-200,-77,-200,-85,-86,-87,-92,-200,-91,-85,-87,-94,-95,-200,-96,-200,-93,-200,-91,-200,-98,-200,-90,-200,-79,-200,-80,-87,-200,-96,-94,-95,-92,-200,-79,-200,-94,-96,-95,-91,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526454951858,-34,-30,-53,-45,-54,-64,-54,-60,-62,-59,-51,-47,-70,-72,-59,-52,-55,-61,-52,-82,-63,-66,-66,-73,-59,-71,-75,-87,-200,-82,-73,-81,-83,-58,-60,-60,-87,-75,-67,-83,-89,-82,-73,-65,-73,-82,-73,-81,-77,-78,-85,-86,-83,-88,-79,-200,-75,-85,-91,-90,-200,-200,-200,-200,-79,-200,-85,-86,-87,-92,-200,-91,-84,-87,-91,-89,-200,-96,-200,-93,-200,-91,-200,-98,-200,-89,-92,-79,-200,-78,-87,-200,-96,-200,-94,-92,-93,-200,-200,-92,-200,-95,-92,-200,-95,-94,-200,-82,-94,-200,-200,-200
1526454954913,-35,-31,-50,-43,-56,-73,-56,-60,-63,-60,-52,-58,-70,-76,-60,-57,-59,-62,-51,-80,-62,-65,-67,-75,-58,-71,-80,-82,-200,-82,-65,-81,-83,-65,-63,-60,-87,-75,-75,-83,-91,-82,-72,-66,-68,-82,-75,-81,-77,-200,-84,-88,-83,-93,-79,-200,-74,-85,-91,-92,-200,-200,-200,-200,-79,-200,-85,-86,-79,-92,-200,-92,-86,-87,-91,-89,-200,-96,-200,-93,-200,-200,-200,-200,-200,-89,-92,-200,-200,-77,-86,-200,-200,-95,-94,-200,-93,-200,-200,-93,-95,-93,-92,-200,-95,-94,-200,-82,-94,-200,-200,-200
1526454957978,-38,-33,-57,-44,-56,-61,-50,-54,-66,-54,-51,-58,-69,-76,-59,-53,-56,-64,-52,-85,-62,-55,-67,-71,-58,-69,-77,-82,-200,-82,-65,-81,-83,-58,-63,-61,-89,-74,-69,-80,-91,-83,-72,-64,-73,-87,-75,-87,-79,-200,-83,-88,-200,-87,-78,-82,-76,-86,-89,-91,-200,-200,-200,-200,-77,-200,-86,-200,-79,-92,-200,-92,-83,-87,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-94,-200,-200,-80,-87,-200,-200,-95,-94,-200,-96,-200,-200,-92,-95,-93,-92,-200,-95,-91,-98,-71,-200,-200,-200,-200
1526454961038,-36,-31,-59,-46,-52,-75,-56,-64,-61,-58,-52,-43,-64,-72,-61,-52,-59,-59,-52,-79,-63,-62,-64,-74,-59,-69,-72,-200,-200,-200,-67,-82,-84,-61,-61,-60,-84,-74,-67,-78,-88,-82,-65,-69,-74,-81,-73,-83,-73,-200,-84,-90,-200,-86,-78,-81,-74,-90,-89,-89,-97,-200,-200,-200,-75,-200,-85,-88,-88,-94,-200,-89,-86,-91,-93,-86,-95,-200,-200,-200,-200,-91,-200,-200,-200,-90,-94,-200,-90,-79,-85,-200,-94,-200,-95,-94,-94,-200,-200,-92,-200,-200,-200,-200,-96,-95,-98,-71,-200,-93,-200,-200
1526454964091,-36,-33,-56,-46,-53,-75,-57,-50,-65,-58,-52,-64,-65,-73,-61,-47,-59,-64,-51,-79,-63,-62,-66,-75,-61,-70,-78,-85,-200,-200,-70,-80,-85,-61,-63,-61,-87,-73,-68,-83,-88,-80,-71,-68,-73,-87,-71,-80,-73,-200,-83,-87,-200,-86,-78,-81,-74,-90,-89,-95,-97,-200,-200,-200,-76,-87,-87,-85,-88,-90,-200,-92,-85,-88,-93,-86,-95,-200,-200,-200,-200,-94,-200,-200,-200,-90,-94,-200,-90,-80,-85,-200,-94,-200,-94,-94,-94,-200,-200,-92,-200,-200,-200,-200,-96,-95,-98,-71,-200,-93,-85,-91
1526454967147,-38,-30,-55,-47,-53,-64,-51,-54,-78,-56,-51,-77,-69,-70,-61,-54,-58,-63,-50,-83,-63,-62,-68,-73,-61,-72,-77,-85,-200,-200,-70,-80,-86,-60,-59,-65,-86,-74,-67,-81,-88,-82,-74,-65,-73,-86,-73,-79,-73,-200,-81,-88,-82,-86,-77,-81,-73,-88,-88,-89,-97,-200,-200,-200,-76,-87,-85,-85,-88,-94,-200,-92,-84,-89,-93,-86,-95,-200,-200,-200,-200,-94,-200,-200,-200,-90,-92,-200,-90,-80,-87,-200,-94,-200,-95,-94,-94,-78,-200,-92,-200,-200,-200,-200,-96,-94,-200,-200,-93,-93,-85,-91
1526454970209,-36,-32,-54,-45,-53,-64,-54,-62,-71,-58,-51,-59,-66,-74,-58,-51,-59,-63,-54,-79,-60,-64,-65,-74,-59,-70,-77,-83,-200,-77,-70,-79,-86,-60,-63,-64,-86,-72,-65,-82,-88,-83,-74,-66,-73,-82,-73,-79,-73,-200,-84,-87,-84,-200,-77,-200,-74,-83,-85,-89,-200,-88,-85,-200,-76,-91,-86,-87,-84,-94,-83,-92,-75,-86,-90,-92,-200,-200,-200,-95,-200,-94,-200,-200,-200,-90,-92,-200,-200,-78,-86,-200,-200,-200,-95,-90,-95,-78,-200,-92,-200,-96,-200,-200,-200,-95,-200,-80,-94,-200,-85,-91
1526454973265,-37,-31,-58,-45,-54,-64,-53,-66,-64,-55,-52,-59,-67,-70,-65,-51,-61,-61,-50,-80,-62,-64,-70,-81,-59,-69,-74,-86,-200,-77,-69,-82,-86,-62,-59,-58,-83,-72,-71,-81,-88,-83,-72,-66,-73,-81,-73,-79,-73,-200,-84,-85,-84,-200,-77,-200,-74,-85,-86,-92,-200,-88,-90,-200,-78,-91,-86,-91,-85,-94,-83,-96,-82,-91,-90,-92,-200,-97,-200,-95,-200,-200,-200,-200,-200,-89,-95,-200,-90,-78,-86,-200,-200,-200,-95,-90,-95,-78,-200,-92,-96,-96,-200,-200,-97,-95,-94,-80,-94,-200,-200,-200
1526454976322,-34,-30,-52,-45,-56,-68,-52,-55,-69,-58,-52,-64,-67,-71,-68,-51,-56,-61,-53,-82,-63,-64,-67,-74,-59,-71,-72,-85,-200,-77,-74,-81,-200,-68,-63,-65,-83,-78,-71,-82,-92,-79,-65,-66,-74,-84,-73,-200,-78,-200,-84,-91,-85,-200,-77,-80,-74,-85,-86,-90,-200,-92,-90,-200,-75,-91,-85,-87,-85,-200,-83,-94,-85,-91,-90,-90,-200,-97,-200,-94,-200,-200,-200,-200,-200,-89,-97,-200,-90,-77,-86,-200,-95,-95,-200,-90,-95,-200,-200,-95,-96,-96,-94,-200,-97,-95,-94,-80,-94,-95,-200,-200
