,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
1526454794579,-36,-46,-62,-42,-42,-63,-61,-57,-58,-56,-58,-57,-68,-60,-64,-54,-64,-63,-62,-74,-65,-51,-71,-69,-73,-57,-71,-200,-78,-78,-71,-69,-82,-77,-58,-72,-200,-89,-72,-75,-68,-77,-81,-81,-86,-77,-84,-88,-81,-81,-78,-84,-82,-93,-87,-84,-78,-87,-85,-87,-76,-78,-91,-82,-200,-200,-88,-95,-87,-88,-87,-200,-92,-89,-92,-95,-88,-200,-90,-93,-200,-200,-94,-93,-87,-98,-200,-66,-200,-92,-94,-88,-79,-80,-90,-200,-200,-200,-97,-94,-200,-200,-97,-89,-84,-84,-200,-200,-200,-200
1526454797633,-37,-46,-62,-43,-42,-65,-63,-53,-62,-58,-56,-57,-72,-61,-62,-59,-61,-63,-62,-75,-67,-53,-73,-200,-75,-57,-73,-200,-77,-80,-69,-69,-80,-79,-59,-71,-200,-91,-79,-75,-70,-200,-81,-81,-83,-77,-88,-89,-77,-86,-78,-83,-82,-93,-87,-80,-77,-200,-77,-89,-74,-76,-91,-80,-200,-200,-87,-200,-92,-88,-86,-200,-93,-88,-91,-95,-88,-200,-90,-93,-200,-95,-200,-93,-87,-98,-200,-66,-200,-92,-94,-88,-200,-80,-88,-200,-200,-200,-200,-94,-200,-200,-97,-200,-84,-85,-94,-95,-96,-200
1526454800682,-36,-44,-61,-42,-44,-64,-62,-55,-59,-57,-56,-57,-68,-60,-61,-58,-59,-57,-62,-70,-65,-51,-74,-66,-74,-57,-76,-200,-78,-79,-70,-69,-82,-80,-59,-71,-200,-89,-82,-76,-69,-200,-80,-81,-84,-78,-84,-89,-79,-83,-73,-86,-86,-93,-86,-82,-83,-87,-78,-88,-75,-80,-91,-81,-200,-86,-87,-200,-89,-92,-87,-93,-92,-89,-92,-200,-88,-200,-90,-93,-200,-95,-92,-93,-87,-97,-200,-76,-200,-92,-94,-87,-76,-200,-90,-200,-94,-200,-200,-94,-200,-96,-200,-200,-200,-84,-94,-95,-96,-200
1526454803734,-36,-48,-56,-42,-44,-68,-62,-55,-59,-61,-57,-58,-68,-64,-59,-60,-62,-63,-61,-71,-65,-53,-74,-66,-74,-56,-73,-200,-77,-79,-70,-68,-82,-80,-58,-71,-200,-89,-82,-75,-69,-200,-81,-82,-84,-77,-86,-84,-78,-84,-74,-83,-79,-200,-86,-81,-78,-87,-78,-89,-72,-78,-87,-83,-200,-86,-87,-200,-91,-92,-87,-93,-93,-88,-93,-200,-88,-200,-90,-93,-200,-95,-88,-93,-200,-96,-200,-76,-200,-92,-200,-87,-76,-200,-90,-200,-94,-200,-97,-94,-200,-96,-200,-200,-77,-85,-94,-95,-96,-76
1526454806798,-36,-51,-60,-41,-44,-65,-62,-55,-48,-56,-57,-57,-68,-59,-63,-60,-60,-63,-59,-69,-61,-53,-71,-66,-74,-57,-72,-200,-80,-79,-71,-69,-83,-79,-56,-71,-200,-90,-73,-75,-74,-200,-80,-80,-84,-77,-86,-88,-78,-83,-74,-83,-86,-200,-86,-81,-83,-87,-75,-89,-75,-78,-87,-83,-200,-86,-87,-200,-91,-91,-86,-93,-93,-88,-92,-94,-88,-95,-91,-200,-200,-200,-91,-200,-200,-96,-200,-76,-200,-92,-200,-87,-76,-200,-86,-200,-94,-200,-97,-200,-200,-96,-200,-200,-82,-83,-200,-200,-200,-76
1526454809862,-36,-48,-57,-41,-42,-65,-64,-54,-64,-64,-61,-58,-71,-66,-56,-59,-61,-57,-59,-71,-65,-52,-75,-64,-74,-58,-69,-200,-77,-81,-67,-69,-83,-77,-61,-71,-200,-88,-82,-75,-74,-200,-80,-81,-76,-79,-87,-88,-78,-83,-75,-87,-77,-89,-86,-80,-78,-87,-74,-88,-75,-77,-88,-82,-86,-200,-86,-200,-91,-90,-86,-200,-93,-88,-93,-94,-87,-95,-90,-200,-200,-200,-91,-200,-200,-96,-200,-200,-78,-90,-96,-87,-73,-200,-89,-200,-200,-200,-97,-200,-200,-200,-96,-200,-82,-83,-200,-96,-200,-76
1526454812918,-37,-46,-61,-42,-39,-64,-59,-53,-65,-59,-56,-56,-67,-62,-63,-63,-64,-62,-61,-72,-69,-49,-79,-63,-77,-55,-63,-200,-78,-80,-68,-68,-83,-75,-61,-73,-200,-91,-82,-75,-73,-77,-85,-81,-79,-79,-86,-88,-78,-85,-73,-81,-86,-89,-86,-80,-84,-84,-76,-87,-74,-77,-88,-85,-91,-200,-88,-94,-200,-90,-86,-200,-94,-89,-92,-94,-87,-95,-90,-200,-200,-200,-91,-200,-200,-200,-200,-80,-78,-90,-96,-87,-73,-200,-88,-200,-200,-200,-98,-200,-200,-200,-96,-200,-73,-83,-200,-96,-200,-200
1526454815979,-37,-39,-61,-42,-42,-66,-62,-54,-59,-56,-59,-56,-71,-61,-61,-55,-61,-56,-61,-72,-66,-51,-81,-63,-71,-58,-63,-200,-81,-78,-68,-68,-82,-78,-59,-72,-200,-92,-72,-74,-69,-77,-80,-82,-82,-78,-85,-87,-75,-85,-65,-86,-79,-89,-86,-77,-77,-84,-83,-88,-74,-76,-94,-80,-91,-200,-88,-94,-200,-89,-87,-200,-95,-90,-90,-200,-88,-94,-90,-200,-200,-200,-200,-200,-89,-96,-200,-80,-78,-90,-96,-200,-73,-200,-88,-200,-200,-200,-98,-200,-200,-98,-96,-200,-73,-83,-200,-96,-200,-200
1526454819026,-36,-44,-62,-43,-45,-65,-59,-54,-60,-56,-58,-56,-69,-60,-60,-59,-67,-57,-61,-72,-65,-53,-76,-67,-75,-60,-70,-200,-78,-79,-74,-76,-82,-77,-60,-72,-200,-86,-72,-75,-72,-79,-80,-82,-82,-80,-85,-89,-77,-84,-65,-88,-81,-200,-86,-80,-85,-84,-82,-88,-75,-80,-90,-82,-91,-200,-87,-94,-200,-93,-87,-200,-93,-90,-92,-92,-88,-94,-91,-200,-200,-200,-200,-200,-89,-96,-200,-80,-200,-89,-200,-200,-200,-200,-88,-200,-200,-200,-98,-200,-200,-98,-200,-200,-73,-200,-200,-94,-200,-200
1526454822076,-36,-46,-58,-43,-45,-69,-64,-52,-55,-59,-59,-55,-67,-61,-48,-59,-63,-56,-61,-78,-65,-51,-73,-67,-75,-62,-71,-200,-82,-76,-71,-76,-82,-79,-59,-72,-200,-84,-84,-74,-73,-76,-82,-83,-82,-80,-85,-85,-77,-86,-75,-88,-82,-200,-84,-80,-78,-200,-82,-88,-72,-80,-90,-80,-200,-86,-87,-200,-200,-93,-87,-200,-91,-90,-90,-92,-92,-94,-91,-93,-200,-200,-200,-200,-89,-96,-200,-200,-71,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-79,-200,-200,-94,-94,-200
1526454825134,-36,-47,-58,-42,-43,-64,-61,-51,-55,-53,-59,-56,-71,-65,-59,-59,-58,-60,-62,-69,-69,-49,-74,-67,-75,-60,-68,-200,-80,-80,-69,-77,-81,-77,-59,-72,-200,-87,-84,-76,-73,-77,-80,-80,-80,-78,-86,-87,-78,-83,-75,-88,-82,-200,-89,-84,-81,-97,-76,-88,-73,-76,-90,-80,-200,-86,-87,-93,-86,-87,-86,-200,-93,-91,-90,-91,-92,-200,-91,-94,-200,-200,-200,-200,-200,-98,-200,-200,-71,-95,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-94,-94,-200
1526454828191,-38,-46,-58,-42,-41,-68,-65,-54,-61,-57,-62,-57,-70,-64,-61,-58,-58,-62,-62,-69,-63,-54,-84,-65,-75,-60,-71,-200,-76,-80,-72,-78,-81,-77,-60,-73,-200,-87,-73,-76,-69,-77,-82,-80,-80,-79,-86,-91,-78,-83,-75,-85,-80,-91,-84,-83,-85,-97,-85,-88,-70,-79,-90,-81,-200,-86,-87,-93,-86,-87,-87,-200,-93,-90,-90,-91,-92,-200,-89,-94,-200,-200,-200,-200,-200,-98,-200,-200,-71,-95,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-89,-79,-200,-200,-94,-94,-200
