,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A58,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526455087375,-47,-28,-49,-46,-52,-67,-61,-63,-56,-45,-61,-66,-62,-54,-52,-60,-74,-60,-59,-67,-65,-70,-74,-55,-78,-60,-65,-73,-76,-70,-86,-72,-82,-70,-78,-77,-77,-70,-74,-76,-79,-77,-83,-200,-85,-83,-80,-84,-200,-82,-73,-89,-87,-82,-70,-92,-94,-89,-83,-200,-89,-84,-93,-81,-86,-200,-200,-93,-86,-87,-93,-93,-97,-90,-88,-86,-87,-200,-91,-95,-91,-84,-200,-97,-200,-80,-200,-86,-200,-200,-90,-200,-200,-95,-83,-200,-95,-200,-97,-94,-200,-96,-94,-200,-200,-71,-92,-82,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526455090435,-51,-36,-48,-44,-51,-58,-67,-64,-56,-58,-61,-67,-66,-53,-52,-60,-76,-64,-60,-67,-66,-68,-74,-61,-74,-69,-64,-73,-76,-69,-86,-72,-82,-70,-80,-81,-82,-74,-74,-75,-79,-76,-81,-200,-83,-85,-80,-84,-200,-82,-73,-89,-86,-83,-66,-92,-94,-88,-83,-200,-89,-81,-93,-80,-86,-200,-200,-94,-86,-91,-93,-93,-97,-90,-91,-89,-85,-200,-90,-95,-95,-84,-200,-96,-200,-79,-200,-88,-96,-200,-84,-200,-200,-95,-83,-200,-95,-200,-97,-94,-200,-96,-94,-200,-200,-74,-92,-82,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526455093483,-47,-36,-47,-44,-51,-68,-62,-64,-55,-59,-67,-66,-55,-56,-52,-59,-77,-65,-60,-66,-66,-68,-74,-59,-74,-71,-60,-69,-76,-72,-85,-200,-82,-72,-80,-81,-82,-75,-74,-75,-79,-76,-81,-94,-83,-85,-81,-85,-81,-82,-72,-88,-85,-83,-71,-89,-95,-88,-82,-83,-200,-81,-92,-82,-86,-200,-200,-94,-86,-91,-98,-94,-97,-91,-91,-85,-89,-200,-90,-95,-95,-84,-200,-94,-200,-78,-200,-85,-95,-200,-91,-200,-200,-96,-83,-91,-93,-200,-97,-94,-84,-96,-93,-91,-200,-70,-92,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526455096545,-48,-31,-48,-47,-50,-66,-62,-63,-56,-59,-67,-66,-67,-59,-52,-59,-73,-64,-59,-67,-66,-68,-73,-60,-74,-71,-65,-69,-76,-70,-85,-200,-83,-69,-79,-79,-76,-75,-74,-78,-79,-76,-86,-94,-84,-84,-81,-83,-80,-83,-73,-89,-85,-81,-71,-89,-95,-88,-81,-83,-200,-82,-92,-80,-84,-200,-200,-92,-87,-91,-98,-94,-96,-92,-91,-87,-89,-93,-94,-91,-94,-85,-200,-94,-200,-78,-200,-88,-95,-200,-90,-200,-200,-96,-200,-91,-94,-200,-97,-94,-84,-96,-93,-91,-200,-66,-200,-200,-200,-77,-97,-200,-200,-200,-200,-200,-200
1526455099600,-47,-37,-49,-44,-50,-72,-58,-63,-56,-57,-61,-64,-66,-56,-53,-59,-72,-62,-61,-66,-66,-68,-73,-59,-80,-71,-65,-69,-76,-70,-86,-200,-86,-70,-77,-79,-84,-75,-74,-78,-79,-200,-80,-94,-84,-84,-81,-84,-81,-81,-73,-88,-82,-85,-69,-89,-95,-90,-82,-83,-200,-82,-92,-80,-85,-200,-200,-92,-89,-200,-97,-95,-96,-92,-200,-87,-88,-93,-94,-93,-94,-84,-200,-96,-200,-79,-200,-85,-95,-200,-90,-200,-200,-96,-200,-91,-94,-200,-97,-95,-84,-96,-93,-91,-200,-65,-93,-200,-200,-61,-97,-89,-200,-200,-200,-200,-200
1526455102664,-53,-31,-47,-43,-52,-68,-62,-64,-55,-55,-60,-63,-63,-54,-52,-58,-74,-63,-57,-72,-62,-70,-69,-59,-73,-71,-65,-61,-76,-70,-84,-200,-86,-63,-79,-79,-84,-74,-74,-76,-78,-200,-80,-94,-83,-88,-83,-81,-81,-83,-72,-88,-83,-86,-69,-87,-93,-90,-83,-200,-88,-82,-90,-80,-85,-200,-200,-94,-89,-200,-97,-95,-96,-93,-200,-87,-85,-93,-92,-93,-94,-88,-200,-96,-200,-77,-200,-85,-93,-200,-91,-93,-200,-200,-84,-200,-94,-200,-96,-95,-200,-96,-94,-200,-200,-65,-93,-87,-200,-61,-97,-89,-200,-200,-200,-200,-200
1526455105731,-50,-36,-47,-44,-49,-65,-57,-63,-53,-55,-64,-66,-60,-56,-53,-59,-74,-63,-59,-70,-59,-68,-71,-60,-73,-67,-65,-61,-78,-73,-82,-200,-83,-68,-81,-200,-83,-71,-71,-76,-78,-200,-83,-94,-83,-83,-82,-81,-80,-84,-74,-88,-83,-85,-73,-91,-93,-91,-83,-83,-88,-82,-93,-81,-85,-200,-200,-93,-89,-91,-98,-95,-200,-93,-88,-81,-85,-200,-92,-91,-86,-84,-200,-96,-200,-80,-95,-85,-93,-200,-88,-93,-200,-200,-84,-200,-94,-200,-96,-95,-84,-96,-94,-93,-200,-72,-93,-87,-200,-61,-200,-89,-200,-200,-200,-200,-200
1526455108792,-49,-37,-47,-44,-53,-67,-57,-65,-58,-58,-61,-64,-61,-55,-53,-59,-76,-64,-60,-65,-63,-68,-70,-60,-73,-69,-62,-70,-77,-73,-83,-200,-84,-63,-80,-200,-78,-73,-71,-76,-78,-200,-83,-94,-83,-85,-79,-79,-83,-82,-73,-84,-82,-82,-75,-88,-93,-91,-80,-83,-88,-82,-93,-84,-200,-200,-200,-91,-89,-92,-96,-200,-200,-93,-88,-81,-88,-94,-92,-91,-86,-82,-200,-200,-200,-79,-95,-86,-93,-200,-88,-92,-200,-200,-84,-200,-94,-200,-96,-95,-84,-200,-94,-93,-200,-70,-200,-87,-200,-200,-200,-200,-74,-88,-93,-200,-200
1526455111848,-48,-32,-51,-45,-52,-64,-56,-64,-48,-58,-60,-71,-66,-55,-52,-58,-72,-62,-60,-65,-65,-68,-70,-65,-200,-69,-62,-70,-76,-72,-82,-76,-82,-69,-80,-80,-78,-74,-65,-75,-79,-200,-82,-94,-200,-85,-81,-86,-81,-82,-73,-86,-85,-82,-70,-88,-200,-90,-82,-86,-200,-84,-92,-80,-89,-200,-200,-92,-200,-91,-96,-200,-96,-200,-87,-90,-87,-94,-92,-91,-94,-81,-200,-200,-200,-80,-95,-86,-200,-94,-87,-92,-200,-200,-84,-200,-94,-200,-200,-95,-86,-96,-200,-93,-200,-70,-200,-200,-200,-80,-200,-200,-74,-88,-93,-200,-200
1526455114910,-42,-31,-49,-46,-46,-63,-55,-63,-54,-57,-57,-65,-63,-55,-52,-58,-72,-64,-58,-62,-60,-61,-72,-63,-200,-67,-60,-60,-78,-80,-86,-76,-83,-69,-73,-79,-71,-75,-65,-74,-82,-81,-79,-200,-83,-89,-81,-86,-81,-81,-73,-85,-79,-85,-70,-88,-94,-86,-85,-86,-200,-80,-90,-79,-82,-200,-200,-93,-200,-92,-96,-200,-98,-200,-91,-88,-87,-94,-89,-200,-94,-81,-200,-200,-200,-79,-200,-89,-94,-94,-91,-95,-200,-200,-84,-91,-94,-200,-200,-200,-86,-96,-92,-200,-200,-70,-200,-200,-200,-80,-200,-200,-74,-88,-93,-92,-200
1526455117973,-45,-25,-49,-40,-49,-65,-53,-59,-56,-59,-61,-65,-61,-56,-52,-59,-72,-61,-58,-62,-66,-64,-72,-60,-77,-74,-64,-60,-74,-70,-82,-76,-82,-71,-75,-79,-84,-75,-75,-75,-82,-82,-79,-200,-83,-86,-81,-82,-81,-80,-74,-88,-79,-82,-72,-200,-92,-86,-77,-84,-200,-82,-90,-79,-86,-200,-200,-93,-200,-92,-200,-92,-95,-91,-87,-91,-87,-200,-91,-93,-94,-83,-200,-200,-200,-79,-200,-88,-95,-95,-90,-95,-200,-96,-200,-91,-93,-200,-200,-95,-86,-96,-93,-200,-200,-69,-200,-94,-200,-80,-200,-200,-200,-200,-200,-92,-200
1526455121011,-47,-31,-48,-41,-50,-60,-54,-62,-55,-56,-60,-63,-63,-59,-52,-61,-73,-60,-61,-65,-58,-65,-73,-61,-77,-72,-66,-60,-73,-72,-85,-200,-81,-72,-76,-79,-84,-76,-75,-75,-77,-82,-80,-94,-83,-86,-84,-85,-82,-79,-72,-94,-83,-82,-70,-200,-92,-92,-83,-84,-200,-81,-88,-85,-86,-200,-200,-93,-200,-92,-96,-92,-95,-91,-89,-91,-200,-200,-91,-93,-94,-82,-200,-200,-200,-91,-200,-85,-95,-95,-92,-97,-200,-96,-200,-91,-94,-200,-200,-95,-85,-93,-93,-200,-200,-69,-200,-94,-200,-200,-200,-200,-200,-87,-200,-92,-98
