,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK
1526443173404,-30,-35,-38,-66,-52,-77,-44,-63,-52,-56,-77,-65,-68,-64,-75,-52,-58,-76,-73,-59,-73,-72,-62,-81,-200,-75,-78,-84,-57,-83,-87,-200,-200,-200,-200,-200,-200,-200,-89,-65,-61,-78,-80,-200,-200,-76,-80,-200,-81,-83,-200,-200,-200,-86,-83,-77,-85,-89,-91,-79,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443176408,-29,-34,-41,-62,-53,-79,-45,-59,-52,-59,-70,-58,-69,-61,-75,-62,-56,-76,-200,-57,-73,-73,-75,-200,-200,-75,-75,-84,-56,-82,-61,-76,-200,-200,-200,-200,-200,-90,-200,-65,-66,-81,-80,-86,-200,-200,-80,-200,-81,-200,-200,-200,-200,-200,-83,-79,-200,-200,-200,-76,-200,-87,-81,-88,-200,-200,-200,-200,-200,-200,-200
1526443179453,-30,-34,-43,-62,-56,-79,-44,-57,-50,-59,-67,-57,-68,-61,-73,-64,-56,-200,-200,-61,-77,-73,-75,-200,-200,-75,-59,-84,-74,-82,-83,-76,-200,-200,-200,-200,-200,-90,-200,-72,-77,-81,-200,-86,-83,-71,-77,-200,-81,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-76,-200,-200,-81,-88,-200,-200,-200,-200,-200,-200,-200
1526443182459,-29,-19,-42,-60,-52,-77,-40,-59,-52,-60,-71,-58,-82,-58,-84,-61,-61,-73,-69,-61,-71,-84,-76,-82,-200,-89,-75,-84,-62,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-76,-84,-200,-200,-80,-200,-200,-83,-200,-200,-88,-91,-74,-80,-93,-200,-200,-81,-200,-200,-86,-200,-86,-200,-200,-200,-200,-200,-200
1526443185463,-30,-35,-41,-63,-53,-77,-40,-59,-52,-60,-67,-65,-68,-63,-84,-61,-57,-71,-69,-62,-77,-84,-75,-82,-200,-79,-76,-86,-56,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-70,-66,-200,-75,-84,-200,-200,-80,-200,-80,-82,-85,-200,-88,-91,-74,-80,-93,-200,-200,-81,-200,-200,-86,-200,-86,-200,-200,-200,-200,-200,-200
1526443188515,-28,-36,-40,-63,-51,-76,-43,-59,-55,-57,-74,-64,-68,-63,-71,-61,-66,-70,-81,-62,-85,-84,-75,-82,-200,-77,-78,-57,-60,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-66,-79,-200,-80,-84,-200,-200,-80,-88,-82,-82,-85,-200,-88,-91,-74,-80,-93,-200,-200,-79,-200,-200,-86,-200,-86,-88,-90,-200,-200,-200,-200
1526443191565,-30,-37,-40,-67,-55,-61,-42,-71,-54,-57,-75,-59,-70,-62,-71,-61,-62,-68,-66,-62,-76,-71,-75,-82,-200,-74,-79,-82,-59,-200,-57,-200,-200,-200,-200,-82,-200,-200,-200,-66,-64,-200,-80,-200,-200,-200,-200,-85,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-88,-90,-200,-200,-200,-200
1526443194595,-31,-44,-42,-66,-49,-75,-44,-74,-59,-58,-75,-65,-74,-67,-200,-49,-62,-68,-66,-68,-76,-62,-80,-200,-200,-76,-79,-82,-55,-200,-57,-200,-200,-200,-200,-82,-200,-200,-86,-200,-64,-200,-200,-200,-200,-73,-200,-85,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200
1526443197644,-32,-39,-42,-65,-50,-74,-44,-79,-57,-57,-67,-67,-69,-61,-84,-62,-64,-62,-200,-62,-72,-73,-78,-200,-200,-73,-78,-86,-55,-86,-83,-200,-200,-200,-200,-82,-200,-200,-86,-66,-67,-84,-83,-200,-200,-75,-90,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-79,-87,-200,-200,-91,-86,-200,-200,-80,-200,-200,-200
1526443200696,-32,-45,-41,-64,-47,-77,-44,-67,-57,-57,-67,-70,-67,-63,-79,-63,-64,-62,-200,-59,-73,-70,-81,-200,-200,-76,-79,-84,-48,-85,-83,-87,-200,-200,-200,-82,-200,-200,-200,-62,-66,-84,-83,-200,-200,-68,-90,-200,-200,-77,-200,-200,-200,-200,-81,-200,-200,-200,-200,-79,-87,-200,-200,-91,-86,-200,-200,-200,-86,-90,-200
1526443203743,-32,-40,-44,-58,-50,-79,-46,-65,-63,-56,-81,-66,-67,-57,-79,-66,-61,-76,-200,-61,-73,-70,-79,-77,-200,-78,-80,-84,-55,-85,-83,-87,-200,-200,-200,-82,-200,-200,-200,-62,-66,-83,-83,-200,-200,-68,-90,-200,-200,-77,-200,-200,-91,-200,-81,-200,-200,-200,-200,-200,-87,-200,-200,-91,-89,-200,-200,-200,-86,-90,-84
1526443206785,-32,-79,-41,-58,-49,-76,-41,-63,-61,-57,-70,-68,-65,-65,-200,-62,-63,-63,-200,-63,-200,-70,-78,-77,-200,-73,-78,-85,-55,-200,-83,-200,-200,-200,-200,-200,-200,-200,-90,-200,-67,-83,-78,-200,-200,-200,-200,-200,-89,-77,-200,-200,-91,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-87
