,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,DLINK_D02A88,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A58,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451257453,-36,-45,-51,-51,-48,-38,-50,-44,-66,-50,-200,-60,-64,-55,-61,-72,-66,-61,-66,-200,-59,-67,-72,-74,-63,-73,-77,-65,-78,-79,-67,-76,-75,-74,-75,-72,-78,-75,-72,-83,-81,-200,-79,-200,-86,-83,-86,-83,-200,-88,-82,-84,-200,-200,-86,-200,-82,-200,-200,-91,-82,-89,-89,-200,-200,-89,-200,-200,-82,-86,-90,-91,-91,-84,-88,-88,-88,-90,-81,-89,-90,-74,-84,-86,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451257671,-36,-45,-51,-51,-48,-38,-50,-44,-66,-50,-200,-60,-64,-55,-61,-72,-66,-61,-66,-200,-59,-67,-72,-74,-63,-73,-77,-65,-78,-79,-67,-76,-75,-74,-75,-72,-78,-75,-72,-83,-81,-200,-79,-200,-86,-83,-86,-83,-200,-88,-82,-84,-200,-200,-86,-200,-82,-200,-200,-91,-82,-89,-89,-200,-200,-89,-200,-200,-82,-86,-90,-91,-91,-84,-88,-88,-88,-90,-81,-89,-90,-74,-84,-86,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451260496,-38,-50,-50,-51,-50,-54,-53,-46,-66,-52,-74,-55,-67,-68,-62,-68,-60,-63,-66,-73,-61,-72,-67,-74,-70,-70,-77,-60,-69,-76,-67,-71,-75,-74,-82,-75,-83,-79,-71,-83,-82,-200,-80,-68,-86,-83,-86,-83,-200,-88,-82,-84,-88,-86,-86,-87,-82,-89,-200,-91,-82,-89,-89,-200,-87,-89,-200,-200,-82,-86,-90,-91,-91,-84,-88,-88,-88,-90,-81,-89,-90,-78,-87,-86,-86,-91,-76,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526451260714,-38,-50,-50,-51,-50,-54,-53,-46,-66,-52,-74,-55,-67,-68,-62,-68,-60,-63,-66,-73,-61,-72,-67,-74,-70,-70,-77,-60,-69,-76,-67,-71,-75,-74,-82,-75,-83,-79,-71,-83,-82,-200,-80,-68,-86,-83,-86,-83,-200,-88,-82,-84,-88,-86,-86,-87,-82,-89,-200,-91,-82,-89,-89,-200,-87,-89,-200,-200,-82,-86,-90,-91,-91,-84,-88,-88,-88,-90,-81,-89,-90,-78,-87,-86,-86,-91,-76,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526451263536,-37,-51,-48,-54,-48,-52,-54,-44,-69,-50,-55,-53,-59,-68,-60,-68,-60,-63,-70,-73,-69,-68,-68,-73,-63,-71,-78,-60,-67,-71,-63,-79,-76,-200,-82,-73,-78,-79,-72,-84,-79,-200,-80,-70,-84,-83,-86,-200,-200,-90,-200,-84,-88,-86,-81,-89,-82,-89,-200,-91,-80,-89,-89,-200,-85,-200,-200,-200,-80,-84,-200,-200,-200,-84,-200,-200,-88,-200,-81,-89,-90,-78,-87,-86,-86,-91,-76,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526451263725,-37,-43,-47,-57,-49,-54,-51,-44,-72,-51,-56,-54,-60,-61,-60,-68,-67,-67,-67,-73,-63,-67,-68,-69,-64,-75,-76,-64,-70,-74,-68,-80,-80,-200,-82,-72,-76,-84,-71,-82,-73,-200,-80,-70,-85,-200,-86,-200,-85,-90,-84,-84,-88,-86,-81,-89,-200,-89,-200,-91,-83,-89,-200,-200,-86,-200,-200,-200,-80,-84,-200,-200,-90,-200,-200,-200,-88,-200,-200,-200,-90,-74,-87,-86,-86,-91,-76,-89,-90,-90,-200,-200,-200,-200,-200,-200
1526451266547,-36,-51,-47,-57,-46,-53,-54,-43,-72,-51,-56,-54,-65,-64,-60,-66,-70,-63,-67,-72,-69,-67,-69,-69,-64,-72,-76,-64,-68,-73,-64,-79,-80,-200,-75,-72,-76,-84,-71,-82,-79,-200,-84,-70,-85,-200,-200,-200,-85,-90,-84,-200,-88,-86,-81,-90,-79,-89,-200,-200,-83,-200,-200,-200,-86,-200,-200,-200,-81,-85,-200,-200,-90,-84,-84,-200,-90,-200,-200,-200,-200,-71,-87,-200,-200,-200,-80,-91,-90,-90,-200,-200,-200,-200,-200,-200
1526451266762,-36,-51,-47,-57,-46,-53,-54,-43,-72,-51,-56,-54,-65,-64,-60,-66,-70,-63,-67,-72,-69,-67,-69,-69,-64,-72,-76,-64,-68,-73,-64,-79,-80,-200,-75,-72,-76,-84,-71,-82,-79,-200,-84,-70,-85,-200,-200,-200,-85,-90,-84,-200,-88,-86,-81,-90,-79,-89,-200,-200,-83,-200,-200,-200,-86,-200,-200,-200,-81,-85,-200,-200,-90,-84,-84,-200,-90,-200,-200,-200,-200,-71,-87,-200,-200,-200,-80,-91,-90,-90,-200,-200,-200,-200,-200,-200
1526451269589,-37,-43,-47,-55,-46,-55,-55,-44,-72,-50,-56,-55,-65,-61,-66,-66,-66,-63,-67,-73,-66,-69,-68,-69,-64,-76,-76,-64,-69,-73,-70,-79,-80,-200,-75,-72,-76,-79,-71,-84,-70,-78,-84,-73,-85,-87,-200,-200,-85,-90,-84,-200,-88,-86,-86,-90,-79,-89,-200,-91,-83,-200,-200,-200,-86,-200,-200,-200,-81,-85,-200,-200,-90,-84,-84,-200,-90,-200,-89,-200,-200,-71,-87,-200,-200,-200,-80,-91,-90,-90,-85,-87,-200,-200,-200,-200
1526451269795,-37,-43,-47,-55,-46,-55,-55,-44,-72,-50,-56,-55,-65,-61,-66,-66,-66,-63,-67,-73,-66,-69,-68,-69,-64,-76,-76,-64,-69,-73,-70,-79,-80,-200,-75,-72,-76,-79,-71,-84,-70,-78,-84,-73,-85,-87,-200,-200,-85,-90,-84,-200,-88,-86,-86,-90,-79,-89,-200,-91,-83,-200,-200,-200,-86,-200,-200,-200,-81,-85,-200,-200,-90,-84,-84,-200,-90,-200,-89,-200,-200,-71,-87,-200,-200,-200,-80,-91,-90,-90,-85,-87,-200,-200,-200,-200
1526451272600,-37,-41,-46,-55,-44,-47,-50,-43,-69,-51,-55,-59,-67,-60,-68,-62,-63,-71,-70,-73,-64,-70,-67,-69,-66,-68,-76,-67,-69,-80,-70,-79,-80,-78,-75,-73,-81,-78,-72,-84,-75,-78,-84,-73,-84,-87,-200,-200,-85,-90,-84,-200,-88,-200,-83,-90,-79,-200,-200,-91,-84,-200,-200,-200,-86,-200,-200,-200,-81,-84,-200,-93,-90,-79,-79,-200,-90,-200,-89,-200,-200,-65,-87,-200,-200,-200,-80,-90,-200,-90,-84,-87,-80,-200,-200,-200
1526451272806,-37,-41,-46,-55,-44,-47,-50,-43,-69,-51,-55,-59,-67,-60,-68,-62,-63,-71,-70,-73,-64,-70,-67,-69,-66,-68,-76,-67,-69,-80,-70,-79,-80,-78,-75,-73,-81,-78,-72,-84,-75,-78,-84,-73,-84,-87,-200,-200,-85,-90,-84,-200,-88,-200,-83,-90,-79,-200,-200,-91,-84,-200,-200,-200,-86,-200,-200,-200,-81,-84,-200,-93,-90,-79,-79,-200,-90,-200,-89,-200,-200,-65,-87,-200,-200,-200,-80,-90,-200,-90,-84,-87,-80,-200,-200,-200
1526451275615,-38,-45,-47,-58,-53,-55,-50,-44,-72,-48,-57,-58,-66,-60,-54,-69,-66,-74,-67,-73,-66,-68,-74,-67,-65,-79,-73,-67,-73,-72,-65,-80,-70,-76,-73,-76,-80,-78,-69,-86,-80,-78,-84,-72,-84,-87,-90,-200,-87,-90,-82,-81,-88,-85,-83,-90,-84,-200,-200,-90,-82,-86,-200,-200,-86,-200,-200,-200,-81,-83,-200,-89,-200,-77,-82,-200,-90,-91,-87,-200,-92,-65,-87,-200,-86,-200,-80,-92,-200,-200,-84,-87,-80,-200,-200,-200
1526451275817,-38,-45,-47,-58,-53,-55,-50,-44,-72,-48,-57,-58,-66,-60,-54,-69,-66,-74,-67,-73,-66,-68,-74,-67,-65,-79,-73,-67,-73,-72,-65,-80,-70,-76,-73,-76,-80,-78,-69,-86,-80,-78,-84,-72,-84,-87,-90,-200,-87,-90,-82,-81,-88,-85,-83,-90,-84,-200,-200,-90,-82,-86,-200,-200,-86,-200,-200,-200,-81,-83,-200,-89,-200,-77,-82,-200,-90,-91,-87,-200,-92,-65,-87,-200,-86,-200,-80,-92,-200,-200,-84,-87,-80,-200,-200,-200
1526451278652,-39,-42,-48,-60,-49,-55,-50,-43,-72,-50,-56,-59,-65,-60,-54,-69,-68,-75,-67,-73,-64,-71,-72,-69,-66,-72,-76,-67,-69,-72,-63,-79,-79,-76,-73,-72,-81,-80,-70,-86,-78,-78,-200,-72,-84,-84,-90,-200,-87,-88,-82,-81,-88,-85,-83,-89,-80,-200,-200,-90,-85,-86,-200,-200,-200,-200,-200,-200,-200,-85,-200,-89,-200,-77,-89,-200,-90,-91,-87,-200,-92,-65,-87,-200,-86,-200,-80,-92,-200,-200,-84,-87,-80,-200,-200,-200
1526451278828,-39,-42,-48,-60,-49,-55,-50,-43,-72,-50,-56,-59,-65,-60,-54,-69,-68,-75,-67,-73,-64,-71,-72,-69,-66,-72,-76,-67,-69,-72,-63,-79,-79,-76,-73,-72,-81,-80,-70,-86,-78,-78,-200,-72,-84,-84,-90,-200,-87,-88,-82,-81,-88,-85,-83,-89,-80,-200,-200,-90,-85,-86,-200,-200,-200,-200,-200,-200,-200,-85,-200,-89,-200,-77,-89,-200,-90,-91,-87,-200,-92,-65,-87,-200,-86,-200,-80,-92,-200,-200,-84,-87,-80,-200,-200,-200
1526451281682,-38,-42,-49,-57,-49,-54,-51,-44,-70,-49,-56,-62,-49,-60,-54,-66,-67,-69,-67,-200,-63,-71,-75,-68,-70,-77,-76,-66,-69,-71,-63,-80,-79,-76,-75,-74,-80,-80,-69,-86,-79,-200,-200,-71,-86,-84,-90,-200,-87,-88,-82,-81,-200,-87,-83,-89,-80,-200,-200,-90,-86,-86,-200,-200,-89,-200,-200,-85,-84,-86,-200,-89,-200,-80,-88,-200,-90,-91,-87,-200,-92,-200,-200,-87,-86,-200,-200,-92,-200,-200,-200,-200,-81,-200,-200,-200
1526451281842,-38,-42,-49,-57,-49,-54,-51,-44,-70,-49,-56,-62,-49,-60,-54,-66,-67,-69,-67,-200,-63,-71,-75,-68,-70,-77,-76,-66,-69,-71,-63,-80,-79,-76,-75,-74,-80,-80,-69,-86,-79,-200,-200,-71,-86,-84,-90,-200,-87,-88,-82,-81,-200,-87,-83,-89,-80,-200,-200,-90,-86,-86,-200,-200,-89,-200,-200,-85,-84,-86,-200,-89,-200,-80,-88,-200,-90,-91,-87,-200,-92,-200,-200,-87,-86,-200,-200,-92,-200,-200,-200,-200,-81,-200,-200,-200
1526451284697,-39,-43,-56,-58,-47,-52,-48,-50,-68,-49,-60,-54,-69,-60,-61,-69,-74,-72,-68,-200,-59,-64,-68,-67,-74,-70,-76,-67,-70,-71,-70,-77,-78,-200,-72,-82,-80,-74,-73,-85,-85,-200,-200,-71,-80,-83,-200,-200,-200,-91,-200,-200,-200,-88,-87,-89,-81,-200,-200,-200,-83,-86,-200,-200,-84,-200,-200,-85,-84,-84,-200,-200,-200,-80,-88,-200,-200,-200,-200,-200,-200,-66,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200,-81,-90,-90,-200
1526451284854,-39,-43,-56,-58,-47,-52,-48,-50,-68,-49,-60,-54,-69,-60,-61,-69,-74,-72,-68,-200,-59,-64,-68,-67,-74,-70,-76,-67,-70,-71,-70,-77,-78,-200,-72,-82,-80,-74,-73,-85,-85,-200,-200,-71,-80,-83,-200,-200,-200,-91,-200,-200,-200,-88,-87,-89,-81,-200,-200,-200,-83,-86,-200,-200,-84,-200,-200,-85,-84,-84,-200,-200,-200,-80,-88,-200,-200,-200,-200,-200,-200,-66,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200,-81,-90,-90,-200
1526451287735,-42,-48,-57,-55,-51,-52,-56,-44,-72,-51,-57,-56,-70,-65,-62,-63,-62,-75,-68,-200,-61,-70,-57,-68,-74,-68,-78,-67,-73,-73,-70,-78,-81,-200,-78,-82,-80,-73,-77,-80,-77,-200,-83,-71,-80,-81,-200,-200,-200,-89,-84,-200,-200,-90,-87,-88,-87,-200,-200,-200,-83,-86,-200,-200,-84,-200,-200,-85,-84,-84,-200,-200,-200,-80,-88,-200,-200,-200,-200,-200,-200,-68,-200,-86,-86,-200,-85,-200,-200,-200,-200,-200,-81,-90,-90,-200
1526451287869,-42,-48,-57,-55,-51,-52,-56,-44,-72,-51,-57,-56,-70,-65,-62,-63,-62,-75,-68,-200,-61,-70,-57,-68,-74,-68,-78,-67,-73,-73,-70,-78,-81,-200,-78,-82,-80,-73,-77,-80,-77,-200,-83,-71,-80,-81,-200,-200,-200,-89,-84,-200,-200,-90,-87,-88,-87,-200,-200,-200,-83,-86,-200,-200,-84,-200,-200,-85,-84,-84,-200,-200,-200,-80,-88,-200,-200,-200,-200,-200,-200,-68,-200,-86,-86,-200,-85,-200,-200,-200,-200,-200,-81,-90,-90,-200
1526451290771,-42,-46,-59,-52,-45,-50,-57,-48,-68,-53,-59,-59,-63,-77,-60,-64,-65,-74,-68,-200,-61,-68,-70,-68,-76,-71,-78,-67,-72,-73,-70,-77,-81,-75,-78,-78,-85,-73,-72,-80,-77,-200,-83,-200,-80,-81,-200,-200,-200,-89,-84,-84,-200,-84,-87,-88,-87,-200,-200,-200,-89,-84,-200,-200,-83,-91,-200,-200,-200,-85,-200,-200,-200,-80,-90,-200,-200,-200,-200,-200,-200,-66,-88,-86,-86,-200,-82,-200,-200,-200,-200,-200,-200,-90,-90,-200
1526451290904,-42,-46,-59,-52,-45,-50,-57,-48,-68,-53,-59,-59,-63,-77,-60,-64,-65,-74,-68,-200,-61,-68,-70,-68,-76,-71,-78,-67,-72,-73,-70,-77,-81,-75,-78,-78,-85,-73,-72,-80,-77,-200,-83,-200,-80,-81,-200,-200,-200,-89,-84,-84,-200,-84,-87,-88,-87,-200,-200,-200,-89,-84,-200,-200,-83,-91,-200,-200,-200,-85,-200,-200,-200,-80,-90,-200,-200,-200,-200,-200,-200,-66,-88,-86,-86,-200,-82,-200,-200,-200,-200,-200,-200,-90,-90,-200
1526451293791,-42,-46,-56,-52,-45,-52,-55,-46,-68,-56,-58,-60,-61,-65,-58,-65,-65,-63,-200,-70,-60,-67,-71,-69,-76,-73,-74,-67,-70,-71,-70,-78,-80,-75,-78,-77,-85,-80,-71,-80,-84,-200,-83,-77,-83,-81,-200,-200,-200,-91,-83,-84,-200,-88,-87,-88,-85,-200,-200,-200,-89,-84,-200,-200,-83,-91,-200,-200,-85,-85,-88,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-69,-88,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-90,-90,-200
