,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz
1526463525702,-30,-43,-47,-50,-39,-48,-67,-62,-66,-52,-67,-53,-49,-58,-65,-60,-57,-74,-72,-63,-68,-74,-63,-53,-82,-62,-80,-73,-79,-74,-84,-89,-83,-78,-86,-76,-80,-74,-79,-78,-68,-200,-81,-74,-77,-200,-79,-61,-78,-86,-79,-86,-90,-86,-77,-82,-88,-91,-85,-200,-200,-77,-85,-200,-81,-200,-200,-89,-200,-82,-80,-89,-200,-95,-87,-86,-200,-84,-95,-90,-92,-90,-86,-96,-94,-200,-200,-200,-90,-73,-73,-78,-84,-200,-82,-92,-93,-200,-95,-85,-82,-200,-200,-93,-200,-200,-99,-88,-200,-95,-96,-90,-200,-200,-200,-200,-200
1526463528755,-21,-40,-48,-53,-43,-33,-67,-65,-66,-47,-64,-54,-45,-64,-58,-57,-63,-66,-69,-63,-68,-82,-70,-53,-82,-59,-76,-73,-78,-74,-85,-82,-83,-81,-86,-76,-82,-77,-79,-200,-65,-200,-73,-74,-64,-200,-79,-60,-78,-83,-79,-86,-91,-88,-76,-74,-88,-91,-85,-88,-200,-77,-85,-90,-81,-200,-200,-88,-200,-82,-80,-87,-200,-94,-88,-83,-95,-81,-95,-89,-91,-90,-84,-96,-97,-200,-200,-200,-90,-200,-80,-200,-84,-200,-200,-95,-93,-200,-95,-85,-82,-200,-200,-93,-200,-200,-200,-83,-200,-94,-200,-90,-200,-200,-200,-200,-200
1526463531811,-20,-40,-50,-53,-37,-62,-52,-72,-66,-45,-64,-54,-49,-61,-60,-55,-66,-63,-72,-68,-70,-77,-69,-43,-200,-51,-76,-75,-79,-82,-79,-83,-84,-80,-83,-72,-81,-72,-200,-200,-64,-200,-78,-69,-84,-200,-76,-59,-77,-84,-78,-200,-94,-90,-76,-72,-88,-200,-85,-88,-200,-77,-85,-91,-200,-200,-200,-94,-200,-81,-200,-91,-200,-86,-88,-86,-94,-77,-95,-92,-89,-90,-81,-96,-97,-200,-93,-200,-90,-200,-82,-83,-84,-200,-200,-95,-93,-200,-200,-86,-82,-200,-90,-93,-200,-200,-200,-95,-200,-94,-200,-90,-94,-95,-200,-200,-200
1526463534858,-23,-43,-52,-53,-39,-62,-52,-66,-77,-49,-74,-64,-43,-60,-69,-58,-77,-59,-70,-68,-70,-78,-67,-56,-200,-53,-76,-73,-76,-79,-78,-84,-84,-80,-83,-73,-80,-72,-84,-89,-64,-200,-79,-77,-72,-200,-80,-60,-81,-83,-78,-200,-93,-86,-80,-72,-87,-200,-200,-88,-200,-79,-84,-91,-80,-200,-200,-88,-200,-81,-86,-91,-200,-94,-88,-88,-95,-82,-92,-92,-89,-93,-84,-200,-97,-200,-93,-200,-200,-73,-82,-79,-200,-200,-200,-93,-93,-200,-92,-88,-200,-98,-90,-200,-200,-200,-200,-97,-200,-94,-200,-200,-92,-95,-88,-200,-200
1526463537911,-22,-42,-64,-50,-37,-58,-52,-63,-69,-45,-68,-57,-46,-57,-65,-53,-68,-58,-72,-74,-70,-82,-70,-53,-200,-58,-81,-72,-76,-81,-83,-89,-84,-81,-83,-78,-81,-72,-84,-89,-66,-200,-82,-76,-72,-200,-81,-57,-79,-83,-74,-79,-93,-90,-80,-74,-87,-200,-84,-200,-200,-79,-80,-92,-80,-200,-200,-88,-200,-79,-84,-91,-200,-91,-200,-84,-97,-78,-94,-88,-89,-93,-81,-200,-200,-200,-93,-200,-200,-73,-80,-78,-200,-200,-200,-93,-200,-200,-92,-81,-200,-98,-90,-200,-200,-200,-200,-97,-200,-200,-200,-200,-93,-95,-88,-94,-200
1526463540963,-32,-43,-44,-56,-34,-52,-62,-63,-69,-49,-61,-50,-52,-62,-65,-56,-63,-61,-66,-74,-68,-82,-69,-57,-200,-59,-81,-76,-80,-81,-81,-80,-79,-78,-200,-75,-82,-72,-83,-89,-64,-200,-75,-76,-76,-200,-81,-54,-83,-88,-74,-79,-90,-88,-80,-78,-89,-92,-84,-200,-200,-79,-87,-92,-80,-200,-200,-88,-200,-83,-84,-200,-200,-91,-200,-82,-97,-78,-94,-88,-91,-93,-81,-200,-200,-200,-93,-200,-200,-76,-80,-78,-200,-200,-200,-93,-94,-200,-92,-81,-200,-98,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-93,-200,-88,-94,-200
1526463544013,-21,-41,-54,-56,-38,-52,-62,-68,-69,-47,-68,-52,-50,-59,-58,-61,-64,-59,-72,-74,-68,-78,-78,-54,-82,-52,-79,-73,-79,-85,-79,-80,-79,-82,-200,-76,-85,-75,-83,-200,-63,-200,-74,-76,-76,-200,-81,-66,-80,-79,-74,-79,-92,-87,-77,-86,-89,-92,-84,-93,-200,-81,-87,-92,-200,-200,-200,-200,-200,-80,-87,-200,-200,-91,-94,-89,-97,-79,-94,-93,-91,-200,-82,-200,-95,-200,-93,-200,-200,-72,-80,-78,-200,-200,-200,-95,-91,-200,-200,-81,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-94,-95
1526463547065,-21,-44,-45,-57,-37,-52,-62,-63,-65,-50,-64,-60,-49,-59,-73,-55,-66,-62,-74,-200,-79,-78,-63,-53,-82,-52,-78,-73,-75,-85,-85,-87,-79,-84,-80,-76,-83,-73,-83,-200,-66,-200,-73,-200,-61,-200,-83,-63,-81,-82,-200,-200,-93,-88,-77,-86,-87,-92,-83,-90,-92,-81,-87,-92,-200,-200,-200,-90,-78,-81,-85,-200,-200,-91,-89,-86,-97,-79,-90,-94,-91,-200,-81,-96,-95,-200,-200,-200,-200,-72,-200,-82,-200,-200,-200,-95,-91,-200,-97,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-95
1526463550114,-21,-42,-33,-58,-36,-58,-60,-69,-65,-51,-59,-63,-52,-62,-63,-54,-71,-61,-68,-68,-72,-78,-75,-53,-81,-63,-76,-75,-82,-77,-79,-81,-75,-84,-78,-79,-82,-78,-200,-82,-64,-200,-72,-79,-60,-200,-82,-61,-80,-83,-82,-86,-94,-89,-77,-77,-88,-200,-81,-90,-92,-82,-200,-86,-200,-200,-200,-91,-78,-83,-86,-200,-200,-94,-89,-85,-92,-80,-93,-94,-200,-200,-81,-96,-95,-200,-200,-200,-200,-72,-200,-87,-200,-200,-200,-94,-91,-200,-97,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-95
1526463553164,-20,-42,-46,-58,-34,-60,-60,-66,-62,-49,-64,-58,-50,-63,-58,-60,-67,-60,-69,-67,-67,-72,-69,-40,-79,-63,-77,-74,-81,-77,-81,-83,-80,-83,-82,-79,-82,-78,-200,-84,-63,-200,-73,-83,-63,-200,-78,-62,-82,-82,-82,-81,-94,-88,-200,-81,-90,-200,-81,-90,-95,-86,-200,-86,-200,-200,-200,-85,-78,-82,-78,-200,-200,-94,-92,-90,-94,-80,-93,-94,-200,-200,-83,-97,-95,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-94,-93,-200,-96,-200,-200,-200,-91,-200,-200,-200,-200,-200,-96,-200,-200,-200,-92,-95,-200,-200,-200
1526463556226,-21,-41,-46,-51,-35,-57,-64,-64,-61,-49,-62,-61,-49,-63,-58,-57,-67,-60,-71,-59,-71,-76,-71,-49,-81,-59,-77,-74,-82,-77,-80,-83,-80,-83,-82,-80,-81,-78,-200,-84,-64,-200,-72,-83,-63,-88,-78,-61,-82,-85,-79,-81,-94,-88,-200,-81,-90,-200,-86,-200,-95,-86,-84,-86,-200,-200,-200,-88,-200,-83,-78,-82,-200,-94,-90,-90,-94,-80,-93,-91,-200,-94,-82,-97,-95,-200,-94,-200,-200,-73,-80,-87,-200,-200,-200,-94,-93,-200,-96,-200,-200,-200,-91,-94,-200,-200,-200,-200,-96,-200,-200,-200,-92,-95,-200,-200,-200
1526463559280,-22,-39,-50,-57,-41,-55,-62,-64,-64,-47,-64,-62,-44,-63,-59,-60,-64,-58,-65,-59,-71,-77,-64,-53,-81,-58,-79,-71,-79,-200,-80,-85,-80,-83,-82,-76,-83,-75,-200,-84,-68,-200,-74,-74,-63,-88,-79,-67,-76,-84,-77,-81,-94,-88,-200,-81,-90,-200,-86,-200,-95,-86,-84,-200,-200,-200,-200,-88,-77,-79,-87,-82,-200,-200,-89,-93,-94,-76,-200,-92,-200,-94,-82,-97,-96,-200,-96,-200,-93,-72,-80,-200,-200,-200,-200,-95,-93,-200,-96,-200,-200,-200,-91,-94,-200,-200,-200,-200,-96,-200,-200,-200,-92,-95,-200,-200,-200
