,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309
1526449968798,-40,-43,-47,-55,-48,-58,-60,-65,-61,-65,-74,-64,-66,-68,-70,-70,-62,-69,-67,-76,-74,-72,-91,-72,-75,-73,-73,-79,-73,-76,-79,-88,-83,-85,-85,-87,-76,-94,-80,-83,-79,-85,-85,-85,-87,-92,-85,-82,-200,-87,-86,-200,-93,-90,-200,-200,-72,-92,-200,-96,-90,-200,-200,-85,-200,-99,-94,-90,-95,-200,-97,-200,-200,-200,-97,-200,-91,-92,-96,-88,-77,-200,-200,-88,-93,-200,-97,-200,-97,-200,-200,-95,-200,-95,-200,-200,-200,-200,-200
1526449971851,-35,-43,-45,-54,-49,-57,-57,-68,-62,-64,-83,-61,-65,-65,-65,-80,-62,-72,-61,-77,-73,-72,-91,-74,-76,-75,-200,-78,-74,-77,-79,-85,-84,-84,-85,-200,-74,-93,-78,-81,-79,-85,-86,-86,-87,-92,-86,-80,-200,-88,-86,-200,-92,-89,-200,-200,-72,-91,-200,-200,-90,-200,-200,-92,-200,-99,-94,-94,-95,-200,-97,-200,-98,-200,-97,-200,-91,-93,-96,-90,-200,-200,-200,-92,-93,-200,-97,-200,-97,-200,-93,-200,-200,-95,-200,-200,-200,-200,-200
1526449974897,-36,-45,-44,-55,-50,-64,-60,-62,-66,-60,-73,-58,-62,-66,-65,-80,-59,-76,-69,-73,-75,-71,-92,-73,-78,-71,-71,-86,-77,-77,-79,-85,-81,-83,-87,-87,-80,-94,-81,-68,-82,-89,-83,-83,-88,-87,-86,-78,-200,-79,-85,-93,-97,-90,-200,-200,-71,-91,-200,-200,-90,-200,-200,-90,-200,-99,-93,-97,-93,-200,-97,-200,-98,-200,-98,-200,-200,-93,-96,-90,-200,-200,-89,-92,-93,-200,-200,-200,-97,-200,-93,-200,-200,-200,-96,-200,-200,-200,-200
1526449977947,-39,-41,-47,-54,-48,-64,-59,-70,-62,-62,-74,-60,-69,-70,-66,-68,-56,-76,-70,-76,-80,-72,-92,-79,-79,-76,-71,-79,-76,-77,-79,-83,-81,-87,-85,-87,-76,-93,-81,-82,-78,-86,-86,-86,-85,-89,-86,-81,-200,-90,-85,-93,-92,-91,-95,-200,-71,-92,-200,-96,-200,-200,-200,-93,-94,-200,-93,-92,-95,-200,-96,-200,-98,-200,-98,-200,-200,-93,-200,-90,-200,-200,-94,-92,-94,-200,-200,-200,-200,-200,-93,-200,-200,-200,-96,-200,-200,-200,-200
1526449980997,-40,-46,-47,-56,-50,-59,-56,-69,-71,-67,-78,-63,-66,-73,-67,-72,-63,-79,-73,-74,-73,-74,-90,-75,-75,-74,-74,-78,-74,-77,-82,-89,-80,-87,-92,-89,-73,-84,-85,-84,-77,-84,-92,-85,-89,-89,-86,-88,-200,-85,-86,-89,-93,-90,-95,-89,-75,-92,-200,-95,-94,-200,-200,-92,-94,-94,-96,-96,-95,-200,-96,-200,-200,-200,-200,-200,-91,-92,-200,-74,-200,-200,-87,-200,-93,-95,-200,-82,-200,-200,-74,-200,-200,-200,-200,-92,-95,-200,-200
1526449984048,-39,-45,-47,-56,-54,-59,-58,-77,-61,-63,-78,-62,-67,-73,-69,-72,-60,-77,-74,-77,-75,-75,-90,-75,-78,-75,-74,-78,-74,-77,-81,-90,-78,-89,-96,-89,-73,-93,-82,-83,-76,-91,-92,-83,-89,-89,-85,-88,-200,-85,-83,-89,-94,-91,-95,-89,-74,-93,-200,-99,-94,-200,-200,-92,-94,-94,-92,-96,-95,-200,-95,-200,-97,-200,-200,-89,-91,-93,-200,-95,-200,-200,-87,-200,-93,-95,-95,-67,-200,-200,-74,-200,-200,-200,-200,-93,-95,-200,-200
1526449987098,-38,-45,-47,-60,-49,-60,-56,-72,-62,-62,-77,-61,-65,-72,-66,-74,-54,-81,-73,-76,-75,-75,-89,-75,-77,-74,-74,-78,-75,-78,-81,-89,-78,-87,-96,-89,-69,-86,-85,-82,-75,-85,-92,-86,-89,-89,-85,-88,-200,-86,-87,-88,-93,-89,-200,-89,-70,-93,-200,-99,-94,-200,-200,-91,-200,-94,-94,-96,-200,-200,-95,-200,-97,-200,-200,-89,-91,-93,-200,-95,-200,-83,-87,-200,-93,-95,-95,-67,-200,-200,-93,-200,-200,-96,-200,-91,-95,-93,-200
1526449990148,-38,-43,-49,-59,-52,-60,-57,-72,-68,-67,-76,-65,-63,-74,-69,-77,-67,-75,-68,-77,-74,-76,-89,-75,-78,-78,-74,-79,-74,-80,-82,-88,-80,-86,-84,-200,-72,-93,-85,-78,-76,-85,-91,-85,-90,-90,-87,-84,-200,-85,-85,-88,-94,-88,-200,-200,-72,-93,-200,-97,-90,-200,-200,-91,-200,-200,-94,-94,-95,-200,-97,-200,-97,-200,-97,-89,-200,-93,-200,-95,-80,-87,-200,-200,-87,-200,-95,-67,-200,-98,-93,-200,-95,-96,-200,-91,-200,-93,-200
1526449993193,-46,-42,-49,-57,-54,-59,-61,-69,-62,-62,-76,-62,-70,-71,-67,-74,-63,-67,-74,-75,-74,-74,-91,-77,-74,-78,-74,-78,-76,-78,-83,-88,-79,-79,-84,-93,-72,-93,-88,-84,-78,-85,-91,-90,-86,-90,-86,-81,-200,-87,-84,-89,-94,-91,-200,-200,-73,-90,-200,-97,-90,-200,-200,-91,-200,-200,-94,-83,-95,-200,-96,-200,-200,-97,-97,-200,-200,-200,-200,-76,-80,-87,-200,-90,-94,-200,-200,-200,-200,-98,-93,-200,-95,-96,-200,-91,-200,-93,-95
1526449996244,-39,-45,-45,-53,-49,-59,-58,-70,-69,-65,-78,-62,-65,-69,-66,-74,-64,-67,-77,-71,-77,-76,-89,-77,-75,-78,-73,-77,-73,-79,-83,-93,-80,-86,-84,-86,-73,-93,-85,-78,-77,-86,-91,-91,-86,-88,-86,-82,-200,-84,-85,-90,-94,-91,-200,-200,-76,-90,-200,-95,-90,-200,-200,-90,-200,-200,-71,-83,-95,-200,-95,-200,-200,-97,-97,-200,-200,-200,-200,-76,-80,-87,-200,-89,-94,-200,-200,-83,-200,-98,-200,-200,-95,-200,-200,-200,-99,-200,-95
1526449999294,-38,-44,-55,-54,-51,-59,-60,-68,-60,-60,-77,-67,-67,-81,-72,-77,-68,-74,-76,-76,-73,-74,-90,-75,-75,-77,-74,-78,-75,-79,-78,-89,-84,-84,-87,-92,-72,-88,-86,-82,-79,-86,-200,-88,-87,-88,-89,-77,-200,-91,-91,-89,-92,-87,-200,-95,-69,-90,-200,-95,-92,-200,-200,-90,-200,-200,-71,-83,-95,-97,-95,-200,-96,-97,-98,-200,-200,-200,-200,-76,-78,-200,-86,-89,-94,-200,-96,-83,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-95
1526450002345,-41,-44,-47,-54,-50,-59,-58,-72,-61,-61,-74,-60,-70,-80,-73,-74,-71,-77,-73,-75,-74,-75,-92,-75,-74,-84,-72,-80,-75,-80,-81,-89,-89,-84,-87,-92,-75,-92,-86,-79,-81,-84,-91,-86,-86,-91,-88,-77,-200,-90,-90,-89,-92,-79,-200,-95,-73,-200,-200,-97,-89,-200,-200,-90,-200,-96,-93,-92,-95,-97,-95,-200,-90,-200,-98,-200,-200,-200,-200,-94,-77,-200,-87,-85,-91,-200,-96,-90,-200,-85,-200,-200,-200,-200,-200,-200,-99,-200,-97
