,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449373823,-38,-31,-55,-67,-74,-58,-50,-48,-66,-57,-58,-60,-66,-51,-57,-65,-71,-76,-77,-85,-71,-80,-57,-76,-69,-75,-74,-72,-77,-67,-66,-67,-77,-76,-77,-86,-92,-92,-70,-79,-58,-81,-91,-87,-85,-82,-83,-85,-82,-200,-97,-91,-81,-200,-84,-93,-200,-200,-96,-73,-76,-76,-83,-200,-91,-200,-94,-95,-88,-79,-85,-87,-200,-200,-90,-200,-73,-79,-200,-90,-94,-200,-200,-94,-200,-200,-200,-200,-200,-89,-200,-90,-76,-92,-200,-200,-200,-200,-200,-200
1526449376879,-34,-33,-55,-64,-72,-61,-50,-50,-66,-64,-60,-65,-63,-53,-57,-64,-77,-80,-79,-87,-73,-82,-58,-72,-68,-74,-69,-72,-77,-66,-73,-66,-80,-76,-76,-91,-91,-92,-71,-81,-56,-81,-91,-79,-200,-83,-83,-82,-85,-200,-95,-91,-93,-200,-87,-93,-200,-200,-96,-73,-79,-77,-84,-200,-91,-200,-93,-94,-88,-200,-85,-87,-90,-200,-89,-200,-82,-77,-90,-89,-94,-200,-200,-94,-95,-200,-200,-200,-200,-90,-200,-90,-76,-92,-200,-200,-200,-200,-200,-200
1526449379935,-35,-34,-54,-65,-68,-52,-50,-48,-73,-52,-59,-57,-72,-52,-58,-66,-73,-79,-77,-83,-70,-82,-62,-69,-68,-75,-74,-71,-81,-68,-69,-65,-80,-76,-73,-91,-93,-92,-69,-79,-61,-81,-93,-86,-200,-81,-85,-84,-85,-200,-95,-200,-93,-200,-85,-88,-200,-200,-96,-70,-79,-77,-85,-200,-91,-200,-92,-95,-94,-200,-84,-87,-91,-200,-93,-200,-81,-76,-91,-89,-94,-200,-200,-95,-95,-200,-200,-200,-95,-90,-200,-90,-89,-92,-85,-200,-200,-200,-200,-200
1526449382987,-42,-34,-52,-78,-64,-51,-61,-49,-73,-55,-61,-55,-66,-56,-58,-66,-74,-77,-75,-86,-72,-84,-65,-69,-68,-75,-74,-79,-84,-71,-69,-74,-83,-79,-85,-89,-89,-91,-74,-81,-65,-200,-93,-86,-200,-89,-86,-84,-84,-200,-95,-200,-93,-200,-86,-90,-200,-200,-95,-82,-79,-75,-82,-200,-91,-200,-92,-95,-94,-87,-84,-200,-91,-200,-96,-200,-81,-77,-89,-89,-200,-200,-200,-93,-95,-200,-93,-200,-98,-90,-200,-200,-91,-200,-85,-88,-93,-97,-200,-200
1526449386037,-35,-34,-50,-78,-63,-52,-51,-50,-82,-61,-63,-56,-67,-52,-58,-61,-72,-77,-80,-86,-70,-84,-62,-68,-70,-73,-76,-79,-83,-68,-69,-74,-80,-75,-74,-89,-89,-92,-74,-78,-62,-200,-93,-85,-80,-85,-85,-86,-76,-200,-97,-200,-200,-200,-81,-91,-200,-200,-95,-67,-200,-74,-82,-200,-71,-91,-92,-95,-94,-87,-86,-200,-91,-92,-96,-200,-81,-77,-89,-200,-200,-200,-200,-96,-200,-200,-93,-95,-96,-200,-200,-200,-91,-200,-85,-96,-93,-97,-97,-200
1526449389093,-36,-34,-65,-71,-66,-54,-67,-48,-72,-51,-58,-49,-77,-59,-58,-74,-77,-80,-74,-83,-71,-82,-63,-67,-71,-73,-76,-79,-82,-65,-82,-82,-82,-78,-85,-89,-93,-95,-68,-81,-62,-85,-92,-79,-80,-85,-91,-89,-85,-200,-97,-200,-200,-200,-85,-88,-200,-200,-95,-70,-200,-76,-78,-200,-93,-91,-200,-95,-94,-87,-86,-200,-93,-94,-94,-200,-85,-80,-87,-200,-200,-200,-200,-96,-200,-200,-93,-95,-96,-200,-200,-90,-92,-200,-200,-91,-91,-97,-95,-200
1526449392148,-34,-36,-53,-68,-71,-58,-52,-48,-77,-53,-59,-56,-70,-53,-61,-62,-74,-78,-80,-81,-73,-82,-57,-63,-70,-69,-75,-77,-88,-67,-72,-82,-90,-77,-77,-200,-88,-92,-68,-81,-63,-83,-90,-78,-80,-84,-89,-88,-81,-200,-97,-200,-84,-200,-83,-88,-200,-200,-97,-71,-200,-76,-82,-87,-94,-91,-96,-95,-94,-200,-89,-89,-89,-91,-94,-200,-75,-78,-87,-200,-200,-200,-200,-96,-200,-200,-200,-95,-96,-93,-200,-85,-88,-200,-200,-92,-91,-200,-95,-200
1526449395202,-34,-31,-49,-70,-69,-49,-50,-50,-80,-57,-58,-56,-59,-53,-59,-62,-74,-83,-83,-83,-68,-76,-62,-70,-64,-71,-75,-73,-82,-70,-76,-82,-84,-72,-78,-88,-92,-92,-76,-80,-60,-83,-89,-78,-80,-87,-88,-87,-81,-200,-200,-200,-84,-200,-88,-91,-200,-200,-97,-74,-200,-76,-83,-87,-95,-91,-96,-200,-94,-80,-88,-89,-91,-89,-93,-95,-76,-78,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-93,-200,-83,-91,-200,-200,-92,-91,-200,-95,-200
1526449398259,-33,-34,-51,-63,-66,-58,-53,-48,-68,-50,-62,-55,-68,-52,-58,-67,-71,-76,-81,-80,-79,-76,-62,-64,-68,-76,-75,-74,-82,-75,-80,-76,-80,-78,-77,-87,-95,-86,-64,-78,-66,-83,-87,-75,-80,-87,-91,-87,-84,-200,-200,-200,-83,-200,-86,-91,-200,-200,-97,-62,-200,-76,-83,-87,-92,-91,-95,-95,-96,-80,-82,-89,-91,-89,-94,-95,-85,-80,-86,-200,-200,-200,-96,-200,-200,-96,-200,-200,-96,-93,-200,-83,-90,-200,-200,-92,-200,-200,-200,-200
1526449401316,-33,-34,-49,-65,-68,-48,-52,-50,-67,-56,-59,-55,-68,-56,-60,-61,-76,-74,-79,-77,-79,-83,-63,-65,-71,-73,-75,-74,-86,-67,-70,-75,-82,-78,-77,-87,-95,-88,-68,-81,-57,-89,-88,-78,-200,-87,-91,-84,-82,-200,-200,-200,-83,-200,-86,-95,-200,-200,-97,-72,-79,-75,-83,-200,-92,-200,-96,-94,-96,-79,-82,-200,-92,-89,-95,-95,-85,-78,-86,-200,-200,-200,-96,-94,-200,-96,-200,-200,-96,-200,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200
1526449404368,-34,-33,-50,-65,-71,-54,-52,-49,-67,-54,-59,-55,-68,-53,-60,-59,-71,-75,-80,-77,-73,-81,-60,-65,-67,-73,-77,-75,-84,-69,-70,-75,-80,-75,-76,-87,-94,-92,-71,-82,-62,-89,-88,-79,-200,-200,-91,-85,-82,-200,-200,-200,-83,-200,-88,-89,-200,-200,-200,-69,-79,-77,-200,-200,-93,-200,-96,-95,-97,-79,-86,-200,-92,-94,-93,-95,-85,-77,-86,-200,-200,-200,-96,-94,-200,-96,-200,-200,-200,-200,-200,-90,-92,-200,-200,-91,-200,-200,-94,-92
1526449407421,-34,-36,-49,-65,-69,-53,-54,-49,-70,-61,-63,-57,-67,-54,-58,-61,-74,-76,-80,-77,-70,-78,-61,-65,-63,-73,-77,-78,-82,-74,-70,-75,-83,-74,-75,-86,-94,-90,-70,-81,-57,-89,-89,-79,-200,-85,-89,-82,-82,-200,-200,-200,-85,-200,-88,-89,-200,-200,-200,-67,-77,-74,-75,-200,-92,-200,-95,-94,-97,-80,-86,-200,-93,-94,-93,-95,-76,-79,-88,-200,-200,-200,-96,-94,-200,-200,-200,-200,-200,-200,-200,-90,-91,-200,-200,-93,-200,-200,-94,-92
