,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,whu2011314,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526462108777,-200,-61,-62,-53,-62,-200,-48,-44,-71,-37,-62,-50,-200,-200,-71,-71,-60,-200,-74,-78,-73,-200,-200,-200,-200,-200,-87,-200,-54,-200,-200,-61,-200,-200,-48,-200,-81,-200,-87,-91,-200,-80,-200,-200,-200,-200,-200,-84,-75,-25,-53,-62,-52,-63,-71,-65,-73,-69,-87,-90,-47,-51,-39,-56,-50,-81,-92,-54,-68,-74,-88,-59,-59,-67,-92,-200,-200,-200,-200
1526462111794,-200,-61,-62,-53,-62,-200,-48,-44,-71,-37,-62,-50,-200,-200,-71,-71,-60,-200,-74,-78,-73,-200,-200,-200,-200,-200,-87,-200,-54,-200,-200,-61,-200,-200,-48,-200,-81,-200,-87,-91,-200,-80,-200,-200,-200,-200,-200,-84,-75,-25,-53,-62,-52,-63,-71,-65,-73,-69,-87,-90,-47,-51,-39,-56,-50,-81,-92,-54,-68,-74,-88,-59,-59,-67,-92,-200,-200,-200,-200
1526462114825,-200,-200,-62,-55,-62,-200,-46,-44,-71,-36,-62,-50,-200,-200,-68,-71,-60,-200,-74,-78,-73,-200,-200,-200,-200,-200,-87,-200,-55,-200,-200,-61,-200,-200,-49,-200,-84,-200,-86,-91,-200,-81,-200,-200,-200,-200,-200,-87,-200,-25,-53,-60,-50,-63,-71,-66,-73,-70,-87,-86,-47,-51,-41,-54,-50,-81,-92,-54,-68,-74,-88,-59,-59,-67,-92,-200,-200,-200,-200
1526462117851,-200,-200,-62,-55,-200,-200,-46,-44,-71,-36,-200,-50,-200,-200,-68,-200,-200,-200,-74,-200,-73,-200,-200,-200,-200,-200,-87,-200,-55,-200,-200,-61,-200,-200,-49,-200,-84,-200,-86,-91,-200,-81,-200,-200,-200,-200,-200,-87,-200,-25,-53,-60,-50,-63,-71,-66,-73,-70,-200,-86,-47,-51,-41,-54,-50,-200,-200,-54,-68,-74,-88,-59,-59,-67,-92,-200,-200,-200,-200
1526462120871,-200,-200,-51,-52,-58,-200,-52,-45,-63,-36,-200,-50,-200,-200,-61,-200,-200,-200,-74,-64,-68,-200,-73,-200,-200,-200,-84,-200,-45,-200,-200,-71,-200,-200,-54,-200,-76,-200,-85,-90,-200,-79,-200,-200,-200,-200,-200,-81,-200,-29,-53,-61,-50,-59,-71,-66,-73,-74,-81,-82,-45,-51,-45,-54,-50,-200,-200,-57,-60,-74,-88,-59,-52,-67,-92,-47,-58,-200,-200
1526462123885,-200,-200,-51,-52,-58,-200,-52,-45,-63,-36,-200,-50,-200,-200,-61,-200,-200,-200,-74,-64,-68,-200,-73,-200,-200,-200,-84,-200,-45,-200,-200,-71,-200,-200,-54,-200,-76,-200,-85,-90,-200,-79,-200,-200,-200,-200,-200,-81,-200,-29,-53,-61,-50,-59,-71,-66,-73,-74,-81,-82,-45,-51,-45,-54,-50,-200,-200,-57,-60,-74,-88,-59,-52,-67,-92,-47,-58,-200,-200
1526462126898,-200,-200,-51,-53,-58,-200,-52,-43,-63,-36,-63,-51,-200,-200,-61,-76,-200,-200,-74,-64,-68,-200,-73,-200,-200,-200,-85,-200,-50,-200,-200,-62,-200,-200,-47,-200,-79,-200,-86,-90,-200,-79,-200,-200,-200,-200,-200,-80,-200,-29,-54,-61,-50,-59,-71,-64,-73,-74,-81,-83,-45,-51,-41,-54,-50,-200,-200,-57,-60,-74,-200,-59,-52,-67,-92,-51,-58,-72,-200
1526462129910,-200,-200,-51,-53,-58,-200,-52,-43,-63,-36,-63,-51,-200,-200,-61,-76,-200,-200,-74,-64,-68,-200,-73,-200,-200,-200,-85,-200,-50,-200,-200,-62,-200,-200,-47,-200,-79,-200,-86,-90,-200,-79,-200,-200,-200,-200,-200,-80,-200,-29,-54,-61,-50,-59,-71,-64,-73,-74,-81,-83,-45,-51,-41,-54,-50,-200,-200,-57,-60,-74,-200,-59,-52,-67,-92,-51,-58,-72,-200
1526462132927,-200,-200,-51,-54,-58,-200,-48,-42,-63,-36,-63,-51,-200,-200,-66,-72,-54,-200,-74,-64,-68,-200,-73,-200,-200,-200,-85,-200,-48,-200,-200,-64,-200,-200,-49,-200,-81,-200,-86,-90,-200,-79,-200,-200,-200,-200,-200,-85,-200,-29,-54,-64,-50,-59,-71,-68,-72,-78,-86,-85,-45,-52,-41,-51,-51,-200,-200,-54,-60,-74,-200,-63,-56,-200,-92,-51,-58,-72,-65
1526462135938,-200,-200,-51,-54,-58,-200,-48,-42,-63,-36,-63,-51,-200,-200,-66,-72,-54,-200,-200,-64,-68,-200,-73,-200,-200,-200,-85,-200,-48,-200,-200,-64,-200,-200,-49,-200,-81,-200,-86,-90,-200,-79,-200,-200,-200,-200,-200,-85,-200,-29,-54,-64,-50,-59,-200,-68,-72,-78,-86,-85,-45,-52,-41,-51,-51,-200,-200,-54,-60,-200,-200,-63,-56,-200,-200,-51,-58,-72,-65
1526462138970,-200,-200,-53,-53,-58,-200,-49,-41,-63,-36,-63,-51,-73,-200,-66,-71,-55,-200,-200,-64,-64,-200,-73,-61,-200,-200,-87,-200,-52,-76,-200,-60,-200,-200,-52,-200,-77,-200,-86,-90,-200,-78,-200,-200,-200,-200,-200,-83,-200,-37,-54,-66,-50,-66,-200,-70,-71,-74,-86,-81,-45,-52,-41,-51,-50,-200,-200,-54,-60,-200,-200,-63,-56,-200,-200,-51,-58,-72,-65
1526462141987,-200,-200,-53,-53,-58,-200,-49,-41,-63,-36,-63,-51,-73,-200,-66,-71,-55,-200,-200,-64,-64,-200,-73,-61,-200,-200,-87,-200,-52,-76,-200,-60,-200,-200,-52,-200,-77,-200,-86,-90,-200,-78,-200,-200,-200,-200,-200,-83,-200,-37,-54,-66,-50,-66,-200,-70,-71,-74,-86,-81,-45,-52,-41,-51,-50,-200,-200,-54,-60,-200,-200,-63,-56,-200,-200,-51,-58,-72,-65
