,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526462836033,-30,-34,-37,-46,-47,-46,-54,-48,-41,-51,-46,-200,-59,-49,-49,-200,-53,-55,-200,-65,-200,-200,-63,-61,-200,-55,-69,-59,-64,-200,-56,-200,-63,-53,-200,-200,-76,-69,-69,-68,-72,-65,-200,-71,-73,-57,-81,-83,-89,-85,-200,-84,-84,-87,-88,-200,-56,-57,-67,-85,-69,-80,-81,-87,-73,-73,-77,-200,-200,-200,-200
1526462839057,-34,-34,-37,-46,-47,-46,-54,-48,-41,-51,-46,-200,-59,-49,-49,-200,-53,-55,-200,-65,-200,-200,-63,-61,-200,-55,-69,-59,-64,-200,-56,-200,-63,-53,-200,-200,-76,-69,-69,-68,-72,-65,-200,-71,-73,-57,-81,-83,-89,-85,-200,-84,-84,-87,-88,-200,-56,-57,-67,-85,-69,-80,-81,-87,-73,-73,-77,-200,-200,-200,-200
1526462842094,-29,-34,-36,-38,-42,-44,-50,-48,-44,-52,-47,-61,-59,-50,-49,-200,-53,-54,-200,-65,-200,-64,-64,-61,-200,-61,-69,-54,-63,-200,-55,-200,-63,-56,-200,-61,-76,-69,-69,-69,-70,-66,-200,-71,-73,-55,-80,-84,-89,-77,-200,-87,-81,-87,-88,-200,-56,-57,-200,-85,-69,-80,-81,-87,-73,-73,-77,-200,-200,-200,-200
1526462845104,-30,-34,-36,-38,-42,-44,-50,-48,-44,-52,-47,-61,-59,-50,-49,-200,-53,-54,-200,-65,-200,-64,-64,-61,-200,-61,-69,-54,-63,-200,-55,-200,-63,-56,-200,-61,-76,-69,-69,-69,-70,-66,-200,-71,-73,-55,-80,-84,-89,-77,-200,-87,-81,-87,-88,-200,-56,-57,-200,-85,-69,-80,-81,-87,-73,-73,-77,-200,-200,-200,-200
1526462848130,-27,-34,-50,-37,-42,-43,-46,-49,-43,-48,-47,-61,-49,-47,-48,-200,-54,-54,-200,-65,-200,-64,-65,-62,-200,-58,-63,-57,-63,-200,-55,-200,-63,-55,-200,-61,-75,-69,-200,-70,-70,-66,-69,-71,-73,-55,-80,-84,-87,-76,-200,-86,-81,-87,-87,-200,-54,-200,-200,-85,-200,-200,-200,-200,-73,-73,-77,-77,-200,-200,-200
1526462851155,-29,-34,-50,-37,-42,-43,-46,-49,-43,-48,-47,-61,-49,-47,-48,-200,-54,-54,-200,-65,-200,-64,-65,-62,-200,-58,-63,-57,-63,-200,-55,-200,-63,-55,-200,-61,-75,-69,-200,-70,-70,-66,-69,-71,-73,-55,-80,-84,-87,-76,-200,-86,-81,-87,-87,-200,-54,-200,-200,-85,-200,-200,-200,-200,-73,-73,-77,-77,-200,-200,-200
1526462854173,-30,-34,-50,-37,-42,-43,-46,-49,-43,-48,-47,-59,-49,-47,-48,-200,-54,-54,-200,-65,-200,-64,-64,-62,-200,-57,-63,-57,-62,-200,-55,-200,-200,-55,-200,-61,-74,-200,-200,-71,-70,-66,-69,-71,-73,-55,-80,-83,-86,-75,-200,-86,-81,-200,-87,-200,-62,-200,-200,-86,-200,-200,-200,-200,-73,-73,-77,-77,-74,-200,-200
1526462857195,-28,-34,-50,-37,-42,-43,-46,-49,-43,-48,-47,-59,-49,-47,-48,-200,-54,-54,-200,-65,-200,-64,-64,-62,-200,-57,-63,-57,-62,-200,-55,-200,-200,-55,-200,-61,-74,-200,-200,-71,-70,-66,-69,-71,-73,-55,-80,-83,-86,-75,-200,-86,-81,-200,-87,-200,-62,-200,-200,-86,-200,-200,-200,-200,-73,-73,-77,-77,-74,-200,-200
1526462860228,-27,-36,-39,-34,-46,-45,-46,-45,-43,-48,-45,-59,-49,-47,-49,-62,-54,-55,-200,-62,-200,-64,-64,-55,-200,-55,-63,-57,-62,-200,-55,-200,-200,-58,-200,-61,-74,-200,-200,-71,-75,-66,-69,-69,-200,-55,-77,-83,-86,-83,-200,-85,-79,-200,-87,-91,-57,-200,-200,-85,-200,-200,-200,-200,-200,-200,-77,-77,-74,-73,-200
1526462863252,-31,-36,-39,-34,-46,-45,-46,-45,-43,-48,-45,-59,-49,-47,-49,-62,-54,-55,-200,-62,-200,-64,-64,-55,-200,-55,-63,-57,-62,-200,-55,-200,-200,-58,-200,-61,-74,-200,-200,-71,-75,-66,-69,-69,-200,-55,-77,-83,-86,-83,-200,-85,-79,-200,-87,-91,-57,-200,-200,-85,-200,-200,-200,-200,-200,-200,-77,-77,-74,-73,-200
1526462866276,-31,-38,-38,-36,-46,-46,-50,-45,-42,-48,-47,-59,-49,-54,-50,-62,-55,-55,-200,-69,-200,-64,-60,-55,-200,-55,-61,-54,-62,-200,-59,-200,-67,-52,-200,-61,-70,-200,-200,-73,-71,-73,-69,-69,-200,-55,-79,-82,-86,-82,-89,-82,-82,-200,-87,-90,-56,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-77,-74,-73,-57
1526462869308,-27,-38,-38,-36,-46,-46,-50,-45,-42,-48,-47,-59,-49,-54,-50,-62,-55,-55,-200,-69,-200,-64,-60,-55,-200,-55,-61,-54,-62,-200,-59,-200,-67,-52,-200,-61,-70,-200,-200,-73,-71,-73,-69,-69,-200,-55,-79,-82,-86,-82,-89,-82,-82,-200,-87,-90,-56,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-77,-74,-73,-57
