,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011309,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462914652,-35,-36,-41,-48,-40,-41,-42,-45,-40,-52,-45,-31,-54,-55,-200,-53,-61,-63,-43,-58,-56,-60,-64,-47,-51,-200,-59,-200,-65,-200,-58,-52,-66,-69,-57,-72,-71,-78,-63,-62,-200,-85,-76,-77,-84,-88,-85,-79,-81,-200,-92,-200,-57,-64,-58,-68,-78,-86,-89,-64,-68,-76,-89,-57,-73,-74,-200,-200,-200
1526462917677,-36,-36,-41,-48,-40,-41,-42,-45,-40,-52,-45,-31,-54,-55,-200,-53,-61,-63,-43,-58,-56,-60,-64,-47,-51,-200,-59,-200,-65,-200,-58,-52,-66,-69,-57,-72,-200,-78,-63,-62,-200,-85,-76,-77,-84,-88,-85,-79,-81,-200,-92,-200,-57,-200,-58,-68,-78,-86,-89,-64,-68,-76,-89,-57,-73,-74,-200,-200,-200
1526462920715,-36,-36,-41,-48,-40,-41,-42,-45,-40,-52,-45,-33,-54,-55,-200,-53,-61,-63,-42,-53,-56,-60,-64,-47,-51,-200,-59,-200,-65,-200,-58,-52,-66,-69,-60,-72,-200,-78,-63,-62,-200,-85,-76,-77,-84,-88,-85,-78,-82,-87,-92,-200,-57,-200,-58,-68,-78,-88,-89,-64,-68,-76,-87,-55,-71,-74,-200,-200,-200
1526462923731,-36,-36,-41,-48,-40,-41,-42,-45,-40,-52,-45,-33,-54,-55,-200,-53,-61,-63,-42,-53,-56,-60,-64,-47,-51,-200,-59,-200,-65,-200,-58,-52,-66,-69,-60,-72,-200,-78,-63,-62,-200,-85,-76,-77,-84,-88,-85,-78,-82,-87,-92,-200,-57,-200,-58,-68,-78,-88,-89,-64,-68,-76,-87,-55,-71,-74,-200,-200,-200
1526462926758,-37,-37,-41,-48,-39,-54,-42,-45,-40,-52,-45,-34,-54,-55,-200,-53,-61,-63,-42,-53,-55,-59,-64,-47,-52,-200,-59,-200,-65,-200,-58,-52,-66,-69,-59,-72,-74,-78,-63,-61,-200,-85,-76,-77,-83,-88,-85,-78,-81,-87,-92,-200,-57,-200,-58,-68,-78,-88,-89,-64,-68,-76,-87,-55,-71,-74,-77,-200,-200
1526462929775,-37,-37,-41,-48,-39,-54,-42,-45,-40,-52,-45,-34,-54,-55,-200,-53,-61,-63,-42,-53,-55,-59,-200,-47,-52,-200,-59,-200,-65,-200,-58,-52,-200,-200,-59,-72,-74,-78,-63,-61,-200,-85,-76,-77,-83,-88,-85,-78,-81,-87,-92,-200,-57,-200,-58,-200,-200,-88,-200,-64,-68,-76,-87,-55,-71,-74,-77,-200,-200
1526462932797,-36,-37,-48,-39,-39,-44,-42,-51,-40,-52,-45,-34,-53,-53,-200,-53,-61,-63,-42,-59,-56,-59,-200,-50,-52,-200,-59,-69,-65,-200,-57,-52,-200,-200,-59,-72,-74,-78,-62,-61,-200,-85,-76,-77,-83,-88,-85,-78,-82,-87,-92,-200,-58,-200,-54,-200,-200,-88,-200,-64,-68,-76,-87,-55,-71,-74,-77,-200,-200
1526462935812,-38,-37,-48,-39,-39,-44,-42,-51,-40,-52,-45,-34,-53,-53,-200,-53,-61,-63,-42,-59,-56,-59,-200,-50,-52,-200,-59,-69,-65,-200,-57,-52,-200,-200,-59,-72,-74,-78,-62,-61,-200,-85,-76,-77,-83,-88,-85,-78,-82,-87,-92,-200,-58,-200,-54,-200,-200,-88,-200,-200,-200,-200,-87,-55,-71,-74,-77,-200,-200
1526462938839,-37,-37,-42,-41,-37,-44,-41,-47,-40,-52,-45,-34,-53,-53,-200,-53,-57,-63,-45,-59,-56,-60,-200,-50,-52,-200,-59,-69,-65,-200,-60,-52,-200,-200,-59,-72,-74,-77,-62,-60,-200,-85,-76,-77,-82,-88,-85,-79,-81,-87,-92,-200,-58,-200,-54,-200,-200,-88,-200,-200,-200,-200,-87,-55,-71,-74,-77,-65,-200
1526462941853,-38,-37,-42,-41,-37,-44,-41,-47,-40,-52,-45,-34,-53,-53,-200,-53,-57,-200,-45,-59,-56,-60,-200,-50,-52,-200,-59,-69,-65,-200,-60,-52,-200,-200,-59,-200,-74,-77,-62,-60,-200,-85,-76,-77,-82,-88,-85,-79,-81,-87,-92,-200,-58,-200,-54,-200,-200,-88,-200,-200,-200,-200,-87,-55,-71,-200,-77,-65,-200
1526462944865,-38,-35,-42,-39,-40,-42,-39,-49,-52,-52,-45,-34,-52,-53,-200,-52,-57,-200,-45,-60,-56,-61,-200,-46,-52,-200,-59,-69,-65,-200,-58,-52,-200,-200,-59,-200,-74,-78,-63,-60,-200,-84,-76,-77,-82,-88,-84,-79,-82,-87,-200,-200,-58,-64,-55,-200,-200,-88,-200,-200,-200,-200,-87,-55,-71,-200,-77,-65,-63
1526462947887,-38,-35,-42,-39,-40,-42,-39,-49,-52,-52,-45,-34,-52,-53,-200,-52,-57,-200,-45,-60,-56,-61,-200,-46,-52,-200,-59,-69,-65,-200,-58,-52,-200,-200,-59,-200,-74,-78,-63,-60,-200,-84,-76,-77,-82,-88,-84,-79,-82,-87,-200,-200,-58,-64,-55,-200,-200,-88,-200,-200,-200,-200,-87,-55,-71,-200,-77,-65,-63
