,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526462445457,-33,-37,-33,-48,-56,-56,-61,-40,-50,-52,-42,-63,-49,-200,-55,-200,-61,-53,-59,-48,-52,-200,-58,-60,-56,-56,-200,-200,-64,-200,-200,-61,-62,-61,-200,-200,-67,-200,-200,-200,-200,-70,-81,-76,-200,-90,-83,-79,-80,-77,-200,-91,-88,-58,-60,-63,-76,-88,-64,-70,-92,-73,-200,-200,-200,-200,-200
1526462448485,-33,-37,-33,-48,-56,-56,-61,-40,-50,-52,-44,-63,-49,-200,-55,-200,-61,-53,-59,-48,-52,-200,-58,-60,-56,-56,-200,-200,-64,-200,-200,-61,-62,-61,-200,-200,-67,-200,-200,-200,-200,-70,-81,-76,-200,-90,-83,-79,-80,-77,-200,-91,-88,-58,-60,-63,-76,-88,-64,-70,-92,-73,-200,-200,-200,-200,-200
1526462451507,-35,-37,-33,-47,-50,-56,-56,-40,-46,-52,-45,-63,-45,-200,-50,-200,-61,-50,-61,-48,-50,-200,-58,-60,-55,-56,-200,-200,-64,-63,-200,-61,-58,-61,-200,-200,-63,-200,-200,-200,-200,-69,-84,-76,-200,-90,-80,-79,-79,-75,-200,-87,-88,-65,-59,-200,-200,-88,-64,-70,-92,-73,-68,-200,-200,-200,-200
1526462454525,-35,-37,-33,-47,-50,-56,-56,-40,-46,-52,-46,-63,-45,-200,-50,-200,-61,-50,-61,-48,-50,-200,-58,-60,-55,-56,-200,-200,-64,-63,-200,-61,-58,-61,-200,-200,-63,-200,-200,-200,-200,-69,-84,-76,-200,-90,-80,-79,-79,-75,-200,-87,-88,-65,-59,-200,-200,-88,-64,-70,-92,-73,-68,-200,-200,-200,-200
1526462457553,-30,-38,-33,-47,-53,-56,-60,-40,-45,-52,-44,-63,-45,-53,-50,-200,-61,-52,-61,-48,-50,-200,-59,-60,-56,-63,-200,-200,-65,-63,-200,-61,-57,-200,-200,-200,-63,-200,-200,-200,-200,-69,-85,-76,-200,-91,-80,-79,-79,-75,-200,-88,-200,-65,-59,-200,-200,-200,-64,-70,-92,-73,-68,-200,-200,-200,-200
1526462460582,-30,-38,-33,-47,-53,-56,-60,-40,-45,-52,-42,-63,-45,-53,-50,-200,-61,-52,-61,-48,-50,-200,-59,-60,-56,-63,-200,-200,-65,-63,-200,-61,-57,-200,-200,-200,-63,-200,-200,-200,-200,-69,-85,-76,-200,-91,-80,-79,-79,-75,-200,-88,-200,-65,-59,-200,-200,-200,-64,-70,-92,-73,-68,-200,-200,-200,-200
1526462463593,-28,-38,-32,-47,-54,-60,-60,-41,-45,-52,-45,-63,-45,-53,-51,-200,-61,-55,-61,-48,-50,-200,-59,-60,-59,-63,-200,-200,-64,-59,-200,-61,-56,-200,-200,-200,-63,-200,-200,-200,-200,-69,-86,-76,-200,-91,-80,-78,-82,-74,-200,-87,-200,-65,-59,-200,-200,-200,-200,-200,-200,-73,-68,-68,-200,-200,-200
1526462466609,-28,-38,-32,-47,-54,-60,-60,-41,-45,-52,-43,-63,-45,-53,-51,-200,-61,-55,-61,-48,-50,-200,-59,-60,-59,-63,-200,-200,-64,-59,-200,-61,-56,-200,-200,-200,-63,-200,-200,-200,-200,-69,-86,-76,-200,-91,-80,-78,-82,-74,-200,-87,-200,-65,-59,-200,-200,-200,-200,-200,-200,-73,-68,-68,-200,-200,-200
1526462469617,-26,-38,-34,-46,-52,-56,-56,-41,-49,-58,-45,-63,-44,-53,-51,-59,-55,-54,-49,-48,-51,-200,-59,-200,-56,-69,-200,-200,-56,-59,-200,-61,-56,-200,-200,-200,-63,-200,-200,-200,-200,-74,-76,-75,-71,-90,-82,-81,-81,-83,-200,-87,-200,-65,-59,-200,-200,-200,-61,-200,-200,-73,-68,-68,-81,-200,-200
1526462472646,-26,-38,-34,-46,-52,-56,-56,-41,-49,-58,-45,-63,-44,-53,-51,-59,-55,-54,-49,-48,-51,-200,-59,-200,-56,-69,-200,-200,-56,-59,-200,-61,-56,-200,-200,-200,-63,-200,-200,-200,-200,-74,-76,-75,-71,-90,-82,-81,-81,-83,-200,-87,-200,-65,-59,-200,-200,-200,-61,-200,-200,-73,-68,-68,-81,-200,-200
1526462475671,-26,-47,-32,-46,-53,-44,-53,-48,-47,-46,-44,-56,-42,-49,-51,-59,-55,-54,-49,-59,-56,-200,-60,-200,-57,-69,-200,-200,-56,-53,-200,-61,-56,-200,-200,-200,-63,-200,-200,-200,-200,-76,-78,-77,-71,-87,-86,-78,-78,-87,-200,-89,-200,-65,-62,-200,-78,-200,-61,-200,-200,-200,-68,-68,-81,-63,-76
1526462478807,-26,-47,-32,-46,-53,-44,-53,-48,-47,-46,-44,-56,-42,-49,-51,-59,-55,-54,-49,-59,-56,-200,-60,-200,-57,-69,-200,-200,-56,-53,-200,-61,-56,-200,-200,-200,-200,-200,-200,-200,-200,-76,-78,-77,-71,-87,-86,-78,-78,-87,-200,-89,-200,-65,-62,-200,-78,-200,-61,-200,-200,-200,-200,-68,-81,-63,-76
