,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526457922568,-200,-200,-72,-66,-93,-81,-92,-200,-200,-200,-200,-200
1526457927024,-83,-95,-74,-64,-200,-200,-200,-200,-200,-95,-200,-200
1526457927121,-83,-92,-74,-64,-90,-83,-200,-200,-200,-200,-200,-200
1526457927228,-83,-200,-74,-64,-200,-200,-200,-200,-200,-96,-200,-200
1526457927337,-200,-93,-74,-64,-93,-200,-200,-200,-200,-95,-200,-200
1526457927444,-200,-93,-74,-62,-200,-200,-200,-200,-200,-200,-200,-200
1526457927549,-200,-94,-74,-63,-93,-91,-200,-200,-200,-97,-200,-92
1526457932062,-200,-200,-73,-63,-200,-200,-200,-200,-200,-200,-200,-200
1526457932225,-89,-93,-74,-63,-200,-91,-91,-200,-200,-200,-200,-92
1526457932486,-91,-200,-73,-200,-200,-93,-200,-200,-200,-200,-200,-93
1526457937016,-94,-200,-72,-67,-200,-82,-91,-200,-97,-200,-200,-200
1526457937166,-200,-200,-72,-66,-94,-81,-91,-200,-200,-200,-200,-200
1526457937267,-200,-200,-74,-200,-95,-82,-91,-200,-96,-91,-200,-200
1526457937437,-200,-200,-73,-66,-92,-82,-90,-200,-200,-200,-200,-200
1526457942017,-84,-93,-75,-65,-95,-200,-200,-200,-200,-200,-200,-200
1526457942116,-200,-94,-75,-64,-200,-83,-200,-200,-200,-200,-200,-200
1526457942209,-84,-200,-75,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526457942312,-84,-200,-76,-65,-200,-83,-200,-200,-200,-200,-200,-200
1526457942414,-84,-200,-75,-65,-200,-83,-200,-200,-200,-200,-200,-200
1526457942522,-84,-93,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457947024,-91,-200,-73,-65,-200,-200,-94,-200,-200,-200,-200,-200
1526457947193,-91,-200,-74,-65,-200,-91,-92,-200,-200,-200,-200,-200
1526457947307,-90,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-92
1526457947417,-91,-200,-74,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526457947517,-91,-200,-74,-64,-200,-92,-92,-200,-200,-200,-200,-200
1526457952022,-93,-94,-72,-66,-92,-82,-91,-200,-200,-89,-200,-200
1526457952131,-92,-94,-72,-66,-200,-82,-200,-200,-200,-200,-200,-200
1526457952230,-200,-200,-72,-66,-200,-85,-92,-200,-200,-200,-200,-200
1526457952331,-200,-97,-71,-66,-91,-82,-93,-200,-200,-90,-200,-200
1526457952446,-200,-96,-71,-66,-91,-83,-92,-200,-200,-91,-200,-200
1526457952556,-200,-200,-71,-67,-91,-200,-200,-200,-200,-200,-200,-200
1526457957024,-84,-93,-75,-64,-93,-83,-200,-200,-200,-95,-200,-200
1526457957123,-84,-93,-74,-64,-92,-83,-200,-200,-200,-95,-200,-200
1526457957233,-200,-200,-72,-64,-92,-83,-200,-200,-200,-96,-200,-200
1526457957341,-84,-200,-74,-64,-94,-83,-200,-200,-200,-96,-200,-200
1526457957448,-84,-200,-75,-64,-94,-83,-200,-200,-200,-94,-200,-200
1526457957543,-84,-200,-75,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526457962085,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457962147,-89,-200,-73,-65,-200,-200,-200,-200,-200,-200,-200,-200
1526457962254,-89,-200,-73,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526457962369,-200,-200,-73,-65,-200,-200,-200,-200,-200,-200,-200,-200
1526457962514,-88,-200,-73,-200,-200,-81,-92,-200,-200,-91,-200,-200
1526457967086,-94,-200,-73,-200,-200,-81,-91,-200,-200,-200,-200,-200
1526457967191,-94,-200,-71,-200,-200,-81,-200,-200,-200,-92,-200,-200
1526457967299,-95,-95,-73,-67,-91,-82,-200,-98,-200,-92,-200,-200
1526457967421,-200,-94,-71,-67,-200,-80,-200,-200,-200,-92,-200,-200
1526457967521,-84,-94,-71,-65,-200,-82,-200,-200,-97,-200,-200,-200
1526457972034,-84,-200,-75,-200,-93,-84,-200,-200,-200,-200,-200,-200
1526457972121,-200,-200,-75,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526457972226,-200,-94,-75,-65,-200,-83,-200,-200,-200,-95,-200,-200
1526457972382,-200,-200,-75,-200,-92,-83,-200,-200,-200,-94,-200,-200
1526457972506,-84,-200,-75,-64,-200,-83,-200,-200,-200,-96,-200,-200
