,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526456907343,-77,-65,-95,-92,-200,-85,-200,-95,-200,-93
1526456907456,-77,-65,-95,-92,-200,-83,-200,-200,-200,-92
1526456907557,-77,-200,-200,-93,-200,-84,-200,-200,-200,-92
1526456912022,-200,-63,-82,-78,-200,-83,-200,-200,-200,-200
1526456912132,-72,-64,-200,-78,-200,-200,-200,-200,-200,-200
1526456912223,-72,-64,-82,-78,-200,-83,-91,-91,-200,-200
1526456912344,-72,-64,-200,-77,-200,-83,-94,-200,-200,-200
1526456912456,-72,-64,-200,-78,-200,-83,-92,-200,-200,-200
1526456912561,-200,-64,-200,-81,-94,-76,-91,-88,-200,-200
1526456917088,-78,-60,-200,-200,-89,-77,-200,-200,-200,-200
1526456917183,-200,-59,-86,-81,-89,-76,-200,-200,-200,-93
1526456917284,-200,-60,-200,-200,-88,-76,-200,-89,-200,-200
1526456917442,-78,-60,-200,-82,-200,-76,-200,-200,-200,-200
1526456917551,-78,-59,-200,-81,-87,-76,-91,-87,-200,-94
1526456922011,-78,-65,-96,-92,-93,-85,-200,-95,-200,-93
1526456922113,-78,-65,-200,-93,-92,-84,-200,-200,-200,-200
1526456922309,-77,-65,-200,-200,-94,-85,-200,-200,-200,-200
1526456922473,-200,-64,-95,-92,-200,-85,-200,-95,-200,-93
1526456922573,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200
1526456926999,-72,-64,-82,-77,-200,-83,-200,-200,-200,-200
1526456927110,-73,-63,-81,-78,-200,-84,-91,-91,-200,-200
1526456927221,-72,-63,-82,-78,-200,-200,-91,-91,-200,-200
1526456927333,-72,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526456927428,-57,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526456932030,-78,-60,-84,-200,-88,-76,-91,-200,-200,-94
1526456932140,-78,-60,-84,-200,-200,-77,-200,-88,-200,-93
1526456932247,-78,-60,-85,-83,-200,-77,-200,-87,-95,-94
1526456932367,-78,-200,-85,-83,-200,-77,-200,-200,-94,-200
1526456932464,-79,-60,-85,-84,-89,-77,-91,-87,-200,-200
1526456932557,-200,-200,-200,-200,-93,-76,-200,-87,-200,-93
1526456937040,-78,-65,-200,-92,-200,-84,-200,-200,-200,-93
1526456937151,-78,-65,-95,-200,-200,-85,-200,-200,-200,-200
1526456937302,-78,-65,-200,-94,-200,-85,-200,-200,-200,-200
1526456937410,-200,-65,-200,-200,-200,-200,-200,-95,-200,-200
1526456937528,-200,-65,-200,-200,-200,-200,-200,-200,-200,-93
1526456942006,-200,-64,-82,-78,-200,-200,-200,-200,-200,-200
1526456942110,-73,-64,-83,-79,-200,-83,-200,-200,-200,-200
1526456942213,-72,-64,-82,-78,-200,-83,-200,-92,-200,-200
1526456942325,-73,-200,-82,-78,-200,-82,-200,-200,-200,-200
1526456942435,-73,-64,-200,-200,-200,-82,-200,-92,-200,-200
1526456942550,-72,-59,-200,-84,-200,-76,-200,-90,-200,-200
1526456947068,-78,-60,-200,-200,-200,-76,-200,-200,-95,-94
1526456947170,-78,-60,-85,-200,-200,-76,-200,-88,-200,-200
1526456947277,-79,-60,-85,-84,-200,-76,-91,-200,-200,-93
1526456947412,-78,-60,-85,-83,-200,-77,-200,-200,-200,-200
1526456947519,-200,-200,-200,-84,-200,-76,-200,-200,-200,-200
