,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,whu2011314,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro
1526464078355,-45,-38,-38,-40,-42,-51,-53,-59,-51,-47,-39,-48,-48,-53,-64,-65,-61,-49,-65,-71,-58,-200,-61,-200,-63,-200,-200,-72,-60,-200,-71,-67,-73,-61,-200,-200,-57,-64,-83,-64,-200,-65,-200,-200,-200,-78,-80,-80,-81,-81,-200,-85,-70,-88,-69,-89,-91,-67,-200,-200,-200,-200,-200
1526464078663,-45,-38,-38,-40,-42,-51,-53,-59,-51,-47,-39,-48,-48,-53,-64,-65,-61,-49,-65,-71,-58,-200,-61,-200,-63,-200,-200,-72,-60,-200,-71,-67,-73,-61,-200,-200,-57,-64,-83,-64,-200,-65,-200,-200,-200,-78,-80,-80,-81,-81,-200,-85,-70,-88,-69,-89,-91,-67,-200,-200,-200,-200,-200
1526464081369,-45,-38,-38,-40,-42,-51,-53,-59,-51,-47,-39,-48,-48,-53,-64,-65,-61,-49,-65,-71,-200,-200,-61,-200,-63,-200,-200,-72,-60,-200,-71,-67,-73,-61,-200,-200,-57,-64,-83,-64,-200,-65,-200,-200,-200,-78,-80,-80,-200,-81,-200,-85,-70,-88,-69,-89,-91,-67,-200,-200,-200,-200,-200
1526464081679,-45,-38,-38,-40,-42,-51,-53,-59,-51,-47,-39,-48,-48,-53,-64,-65,-61,-49,-65,-71,-200,-200,-61,-200,-63,-200,-200,-72,-60,-200,-71,-67,-73,-61,-200,-200,-57,-64,-83,-64,-200,-65,-200,-200,-200,-78,-80,-80,-200,-81,-200,-85,-70,-88,-69,-89,-91,-67,-200,-200,-200,-200,-200
1526464084383,-44,-38,-35,-40,-46,-52,-55,-59,-51,-46,-40,-50,-48,-53,-65,-65,-61,-47,-65,-71,-200,-200,-61,-62,-63,-200,-200,-67,-60,-200,-71,-64,-73,-61,-200,-200,-57,-63,-78,-61,-200,-65,-200,-200,-200,-78,-80,-80,-67,-81,-76,-85,-70,-88,-69,-89,-91,-67,-67,-200,-200,-200,-200
1526464084698,-44,-38,-35,-40,-46,-52,-55,-59,-51,-46,-40,-50,-48,-53,-65,-65,-61,-48,-65,-71,-200,-200,-61,-62,-63,-200,-200,-67,-60,-200,-71,-64,-73,-61,-200,-200,-57,-63,-78,-61,-200,-65,-200,-200,-200,-78,-80,-80,-67,-81,-76,-85,-70,-88,-69,-89,-91,-67,-67,-200,-200,-200,-200
1526464087394,-44,-38,-35,-40,-46,-52,-55,-59,-51,-46,-40,-50,-48,-53,-65,-65,-61,-48,-65,-71,-200,-200,-61,-62,-200,-200,-200,-67,-60,-200,-71,-64,-73,-61,-200,-200,-57,-63,-78,-61,-200,-65,-200,-200,-200,-200,-200,-200,-67,-200,-76,-200,-70,-200,-69,-89,-91,-67,-67,-200,-200,-200,-200
1526464087707,-44,-38,-35,-40,-46,-52,-55,-59,-51,-46,-40,-50,-48,-53,-65,-65,-61,-48,-65,-71,-200,-200,-61,-62,-200,-200,-200,-67,-60,-200,-71,-64,-73,-61,-200,-200,-57,-63,-78,-61,-200,-65,-200,-200,-200,-200,-200,-200,-67,-200,-76,-200,-70,-200,-69,-89,-91,-67,-67,-200,-200,-200,-200
1526464090416,-46,-38,-38,-40,-42,-52,-59,-59,-48,-46,-41,-50,-44,-53,-65,-66,-64,-49,-66,-71,-200,-200,-61,-62,-200,-80,-200,-65,-56,-200,-73,-64,-73,-61,-200,-200,-57,-63,-75,-61,-200,-65,-200,-200,-200,-200,-200,-200,-67,-81,-76,-200,-70,-200,-69,-89,-91,-67,-65,-68,-200,-200,-200
1526464090726,-46,-38,-38,-40,-42,-52,-59,-59,-48,-46,-41,-50,-44,-53,-65,-66,-64,-49,-66,-71,-200,-200,-61,-62,-200,-80,-200,-65,-56,-200,-73,-64,-73,-61,-200,-200,-57,-63,-75,-61,-200,-65,-200,-200,-200,-200,-200,-200,-67,-81,-76,-200,-70,-200,-69,-89,-91,-67,-65,-68,-200,-200,-200
1526464093430,-46,-38,-38,-40,-42,-52,-59,-59,-48,-46,-41,-50,-44,-53,-65,-66,-64,-49,-66,-71,-200,-200,-61,-62,-200,-80,-200,-65,-56,-200,-73,-64,-73,-61,-200,-200,-57,-63,-75,-61,-200,-65,-200,-200,-200,-200,-200,-200,-67,-81,-76,-200,-70,-200,-69,-89,-91,-67,-65,-68,-200,-200,-200
1526464093741,-46,-38,-38,-40,-42,-52,-59,-59,-48,-46,-41,-50,-44,-53,-65,-66,-64,-49,-66,-71,-200,-200,-61,-62,-200,-80,-200,-65,-56,-200,-73,-64,-73,-61,-200,-200,-57,-63,-75,-61,-200,-65,-200,-200,-200,-200,-200,-200,-67,-81,-76,-200,-70,-200,-69,-89,-91,-67,-65,-68,-200,-200,-200
1526464096454,-46,-38,-38,-39,-43,-54,-61,-59,-48,-45,-41,-50,-44,-53,-61,-69,-64,-48,-66,-71,-200,-200,-63,-62,-200,-80,-200,-65,-60,-200,-67,-72,-73,-63,-200,-200,-57,-63,-83,-61,-200,-64,-200,-200,-200,-200,-200,-200,-66,-81,-76,-200,-69,-200,-69,-89,-91,-71,-67,-68,-200,-200,-200
1526464096764,-46,-38,-38,-39,-43,-54,-61,-59,-48,-45,-41,-50,-44,-53,-61,-69,-64,-48,-66,-71,-200,-200,-63,-62,-200,-80,-200,-65,-60,-200,-67,-72,-73,-63,-200,-200,-57,-63,-83,-61,-200,-64,-200,-200,-200,-200,-200,-200,-66,-81,-76,-200,-69,-200,-69,-89,-91,-71,-67,-68,-200,-200,-200
1526464099466,-46,-38,-38,-39,-43,-54,-61,-59,-48,-45,-41,-50,-44,-53,-61,-69,-64,-48,-66,-71,-200,-200,-63,-62,-200,-80,-200,-65,-60,-200,-67,-72,-73,-63,-200,-200,-57,-63,-83,-61,-200,-64,-200,-200,-200,-200,-200,-200,-66,-81,-76,-200,-69,-200,-200,-200,-200,-71,-67,-68,-200,-200,-200
1526464099780,-46,-38,-38,-39,-43,-54,-61,-59,-48,-45,-41,-50,-44,-53,-61,-69,-64,-48,-66,-71,-200,-200,-63,-62,-200,-80,-200,-65,-60,-200,-67,-72,-73,-63,-200,-200,-57,-63,-83,-61,-200,-64,-200,-200,-200,-200,-200,-200,-66,-81,-76,-200,-69,-200,-200,-200,-200,-71,-67,-68,-200,-200,-200
1526464102488,-42,-40,-40,-42,-45,-54,-61,-59,-48,-44,-42,-50,-53,-53,-61,-69,-64,-47,-66,-66,-200,-200,-67,-62,-200,-80,-200,-63,-61,-200,-67,-71,-73,-59,-200,-200,-57,-63,-77,-61,-200,-68,-200,-200,-200,-85,-200,-200,-66,-81,-76,-200,-65,-200,-200,-200,-200,-71,-67,-71,-200,-200,-200
1526464102803,-42,-40,-40,-42,-45,-54,-61,-59,-48,-44,-42,-50,-53,-53,-61,-69,-64,-45,-66,-66,-200,-200,-67,-62,-200,-80,-200,-63,-61,-200,-67,-71,-73,-59,-200,-200,-57,-63,-77,-61,-200,-68,-200,-200,-200,-85,-200,-200,-66,-81,-76,-200,-65,-200,-200,-200,-200,-71,-67,-71,-200,-200,-200
1526464105502,-42,-40,-40,-42,-45,-54,-61,-200,-48,-44,-42,-50,-53,-53,-61,-69,-64,-45,-66,-66,-200,-200,-67,-62,-200,-80,-200,-63,-61,-200,-67,-71,-200,-59,-200,-200,-57,-63,-77,-61,-200,-68,-200,-200,-200,-85,-200,-200,-66,-81,-76,-200,-65,-200,-200,-200,-200,-71,-67,-71,-200,-200,-200
1526464105814,-42,-40,-40,-42,-45,-54,-61,-200,-48,-44,-42,-50,-53,-53,-61,-69,-64,-45,-66,-66,-200,-200,-67,-62,-200,-80,-200,-63,-61,-200,-67,-71,-200,-59,-200,-200,-57,-63,-77,-61,-200,-68,-200,-200,-200,-85,-200,-200,-66,-81,-76,-200,-65,-200,-200,-200,-200,-71,-67,-71,-200,-200,-200
1526464108516,-43,-42,-38,-41,-40,-51,-62,-200,-47,-43,-39,-50,-50,-48,-57,-63,-64,-44,-66,-66,-200,-200,-67,-62,-200,-80,-200,-68,-63,-200,-67,-74,-66,-59,-200,-200,-65,-68,-78,-71,-200,-63,-200,-200,-62,-85,-200,-200,-66,-81,-76,-200,-61,-200,-200,-200,-200,-71,-67,-70,-200,-200,-200
1526464108834,-43,-42,-38,-41,-40,-51,-62,-200,-47,-43,-39,-50,-50,-48,-57,-63,-64,-47,-66,-66,-200,-200,-67,-62,-200,-80,-200,-68,-63,-200,-67,-74,-66,-59,-200,-200,-65,-68,-78,-71,-200,-63,-200,-200,-62,-85,-200,-200,-66,-81,-76,-200,-61,-200,-200,-200,-200,-71,-67,-70,-200,-200,-200
1526464111534,-38,-42,-38,-46,-39,-56,-58,-200,-47,-40,-42,-53,-48,-49,-57,-63,-64,-49,-62,-70,-200,-200,-66,-62,-200,-80,-200,-71,-63,-200,-67,-69,-66,-58,-200,-200,-65,-66,-80,-71,-200,-63,-200,-200,-63,-85,-200,-200,-66,-81,-200,-89,-62,-200,-200,-94,-200,-71,-68,-70,-69,-200,-200
1526464111848,-38,-42,-38,-46,-39,-56,-58,-200,-47,-40,-42,-53,-48,-49,-57,-63,-64,-49,-62,-70,-200,-200,-66,-62,-200,-80,-200,-71,-63,-200,-67,-69,-66,-58,-200,-200,-65,-66,-80,-71,-200,-63,-200,-200,-63,-85,-200,-200,-66,-81,-200,-89,-62,-200,-200,-94,-200,-71,-68,-70,-69,-200,-200
1526464114544,-38,-42,-38,-46,-39,-56,-58,-200,-47,-40,-42,-53,-48,-49,-57,-63,-64,-49,-62,-70,-200,-200,-66,-62,-200,-80,-200,-71,-63,-200,-67,-69,-66,-58,-200,-200,-65,-66,-80,-71,-200,-63,-200,-200,-63,-85,-200,-200,-66,-81,-200,-89,-62,-200,-200,-94,-200,-71,-68,-70,-69,-200,-200
1526464114864,-38,-42,-38,-46,-39,-56,-58,-200,-47,-40,-42,-53,-48,-49,-57,-63,-64,-49,-62,-70,-200,-200,-66,-62,-200,-80,-200,-71,-63,-200,-67,-69,-66,-58,-200,-200,-65,-66,-80,-71,-200,-63,-200,-200,-63,-85,-200,-200,-66,-81,-200,-89,-62,-200,-200,-94,-200,-71,-68,-70,-69,-200,-200
1526464117564,-42,-42,-37,-46,-39,-48,-56,-200,-47,-41,-42,-53,-48,-49,-57,-63,-64,-49,-62,-70,-200,-200,-66,-62,-200,-80,-200,-71,-63,-200,-67,-69,-66,-59,-200,-200,-64,-66,-80,-68,-200,-63,-200,-200,-63,-85,-200,-200,-66,-81,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-200
1526464117879,-42,-42,-37,-46,-39,-48,-56,-200,-47,-41,-42,-53,-48,-49,-57,-63,-200,-50,-62,-70,-200,-200,-66,-62,-200,-200,-200,-71,-63,-200,-200,-69,-66,-59,-200,-200,-64,-66,-80,-68,-200,-63,-200,-200,-63,-85,-200,-200,-200,-200,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-200
1526464120581,-43,-42,-37,-41,-39,-48,-58,-200,-47,-41,-42,-53,-48,-49,-57,-63,-200,-50,-62,-70,-200,-200,-66,-62,-200,-200,-200,-71,-63,-200,-200,-69,-66,-59,-200,-200,-64,-64,-80,-63,-200,-63,-200,-200,-63,-88,-200,-200,-70,-200,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-200
1526464120895,-43,-42,-37,-41,-39,-48,-58,-200,-47,-41,-42,-53,-48,-49,-57,-63,-200,-48,-62,-70,-200,-200,-66,-62,-200,-200,-200,-71,-63,-200,-200,-69,-66,-59,-200,-200,-64,-64,-80,-63,-200,-63,-200,-200,-63,-88,-200,-200,-70,-200,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-200
1526464123599,-43,-42,-37,-41,-39,-48,-58,-200,-47,-41,-42,-53,-48,-49,-57,-63,-200,-48,-62,-70,-200,-200,-66,-62,-200,-200,-200,-71,-63,-200,-200,-69,-66,-59,-200,-200,-64,-64,-80,-63,-200,-63,-200,-200,-63,-88,-200,-200,-70,-200,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-200
1526464123909,-43,-42,-37,-41,-39,-48,-58,-200,-47,-41,-42,-53,-48,-49,-57,-63,-200,-48,-62,-70,-200,-200,-66,-62,-200,-200,-200,-71,-63,-200,-200,-69,-66,-59,-200,-200,-64,-64,-80,-63,-200,-63,-200,-200,-63,-88,-200,-200,-70,-200,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-200
1526464126608,-45,-42,-37,-43,-39,-48,-61,-66,-48,-41,-42,-53,-48,-49,-57,-63,-200,-50,-62,-70,-200,-200,-66,-63,-200,-200,-200,-72,-63,-200,-200,-68,-66,-58,-200,-200,-64,-64,-80,-62,-200,-63,-200,-71,-63,-88,-200,-200,-70,-200,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-66
1526464126925,-45,-42,-37,-43,-39,-48,-61,-66,-48,-41,-42,-53,-48,-49,-57,-63,-200,-49,-62,-70,-200,-200,-66,-63,-200,-200,-200,-72,-63,-200,-200,-68,-66,-58,-200,-200,-64,-64,-80,-62,-200,-63,-200,-71,-63,-88,-200,-200,-70,-200,-200,-89,-63,-200,-200,-94,-200,-69,-68,-70,-69,-77,-66
