,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464014406,-36,-15,-55,-47,-41,-52,-37,-53,-44,-53,-200,-50,-59,-54,-55,-57,-65,-60,-51,-60,-63,-200,-66,-200,-200,-60,-72,-200,-66,-71,-200,-66,-63,-67,-200,-68,-200,-89,-73,-70,-78,-74,-75,-74,-200,-200,-200,-200,-57,-61,-70,-89,-58,-64,-64,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526464017426,-36,-15,-55,-47,-41,-50,-37,-53,-44,-53,-200,-50,-59,-54,-55,-57,-65,-60,-51,-60,-63,-200,-66,-200,-200,-60,-72,-200,-66,-71,-200,-66,-63,-67,-200,-68,-200,-89,-73,-70,-78,-74,-75,-74,-200,-200,-200,-200,-57,-61,-70,-89,-58,-64,-64,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526464020440,-35,-32,-46,-49,-37,-52,-38,-53,-46,-54,-200,-53,-59,-60,-60,-54,-65,-60,-49,-60,-63,-200,-63,-200,-75,-60,-72,-200,-67,-71,-200,-66,-200,-67,-200,-68,-200,-89,-73,-70,-78,-74,-75,-74,-200,-200,-200,-200,-55,-61,-63,-89,-58,-64,-64,-70,-72,-68,-200,-200,-200,-200,-200,-200,-200
1526464023454,-35,-32,-46,-49,-37,-52,-38,-53,-46,-54,-200,-53,-59,-60,-60,-54,-65,-60,-49,-60,-63,-200,-63,-200,-75,-60,-72,-200,-67,-71,-200,-66,-200,-67,-200,-68,-200,-89,-73,-70,-78,-74,-75,-74,-200,-200,-200,-200,-55,-61,-63,-89,-58,-64,-64,-70,-72,-68,-200,-200,-200,-200,-200,-200,-200
1526464026474,-36,-33,-46,-56,-37,-52,-36,-57,-43,-54,-200,-53,-59,-60,-60,-49,-65,-59,-49,-200,-63,-200,-63,-200,-75,-56,-72,-200,-67,-69,-200,-66,-200,-65,-200,-62,-200,-86,-80,-74,-80,-74,-75,-72,-200,-200,-200,-200,-59,-200,-68,-89,-58,-62,-64,-70,-72,-68,-71,-82,-200,-200,-200,-200,-200
1526464029483,-36,-33,-46,-56,-37,-51,-36,-57,-43,-54,-200,-53,-59,-60,-60,-49,-65,-59,-49,-200,-63,-200,-63,-200,-75,-56,-72,-200,-67,-69,-200,-66,-200,-65,-200,-62,-200,-86,-80,-74,-80,-74,-75,-72,-200,-200,-200,-200,-59,-200,-68,-89,-58,-62,-64,-70,-72,-68,-71,-82,-200,-200,-200,-200,-200
1526464032503,-35,-36,-44,-43,-37,-51,-42,-57,-50,-52,-54,-53,-57,-58,-56,-49,-65,-69,-49,-64,-63,-200,-63,-200,-75,-56,-200,-200,-67,-72,-200,-200,-200,-63,-200,-62,-200,-88,-74,-72,-82,-200,-75,-71,-200,-200,-200,-200,-59,-200,-68,-200,-58,-62,-64,-70,-72,-68,-71,-83,-73,-76,-200,-200,-200
1526464035517,-35,-36,-44,-43,-37,-57,-42,-57,-50,-52,-54,-53,-57,-58,-56,-49,-65,-69,-49,-64,-63,-200,-63,-200,-75,-56,-200,-200,-67,-72,-200,-200,-200,-63,-200,-62,-200,-88,-74,-72,-82,-200,-75,-71,-200,-200,-200,-200,-59,-200,-68,-200,-58,-62,-64,-70,-72,-68,-71,-83,-73,-76,-200,-200,-200
1526464038539,-37,-37,-44,-45,-39,-57,-42,-57,-50,-55,-57,-53,-57,-38,-55,-53,-65,-69,-57,-64,-63,-75,-63,-200,-75,-57,-200,-200,-67,-71,-63,-69,-200,-63,-200,-66,-200,-88,-73,-73,-85,-200,-73,-71,-200,-200,-200,-200,-59,-200,-68,-200,-35,-66,-65,-200,-74,-68,-71,-83,-73,-76,-71,-74,-200
1526464041553,-37,-37,-44,-45,-39,-56,-42,-57,-50,-55,-57,-53,-57,-38,-55,-53,-65,-69,-57,-64,-63,-75,-63,-200,-75,-57,-200,-200,-67,-71,-63,-69,-200,-63,-200,-66,-200,-88,-73,-73,-85,-200,-73,-71,-200,-200,-200,-200,-59,-200,-68,-200,-35,-66,-65,-200,-74,-68,-71,-83,-73,-76,-71,-74,-200
1526464044571,-35,-17,-46,-41,-37,-55,-41,-57,-53,-53,-57,-53,-57,-53,-57,-57,-200,-67,-58,-64,-200,-75,-63,-200,-75,-57,-200,-200,-67,-71,-63,-69,-61,-63,-200,-72,-200,-88,-73,-73,-86,-81,-73,-71,-85,-200,-200,-200,-59,-200,-68,-200,-35,-70,-65,-200,-74,-68,-71,-83,-73,-76,-71,-74,-58
1526464047585,-35,-17,-46,-41,-37,-57,-41,-57,-53,-53,-57,-53,-57,-53,-57,-57,-200,-67,-58,-64,-200,-75,-63,-200,-75,-57,-200,-200,-67,-71,-63,-69,-61,-63,-200,-72,-200,-88,-73,-73,-86,-81,-73,-71,-85,-200,-200,-200,-59,-200,-68,-200,-35,-70,-65,-200,-74,-68,-71,-83,-73,-76,-71,-74,-58
