,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526464411939,-33,-40,-48,-44,-43,-49,-55,-43,-51,-50,-200,-44,-52,-200,-57,-74,-70,-68,-200,-70,-81,-60,-67,-76,-200,-200,-200,-72,-60,-73,-72,-70,-200,-83,-77,-200,-91,-200,-200,-61,-79,-66,-68,-64,-52,-200
1526464414948,-33,-40,-48,-46,-43,-49,-55,-43,-51,-50,-200,-44,-52,-200,-57,-74,-70,-68,-200,-70,-200,-200,-67,-76,-200,-200,-200,-72,-60,-73,-72,-70,-200,-83,-77,-200,-91,-200,-200,-61,-200,-66,-68,-64,-52,-200
1526464417960,-32,-41,-44,-50,-44,-49,-56,-46,-50,-47,-200,-46,-51,-200,-54,-69,-70,-68,-200,-70,-200,-63,-66,-76,-200,-200,-200,-70,-60,-76,-71,-74,-200,-87,-77,-200,-91,-200,-200,-61,-200,-66,-68,-67,-48,-200
1526464420978,-32,-41,-44,-47,-44,-49,-56,-46,-50,-47,-200,-46,-51,-200,-54,-69,-70,-68,-200,-70,-200,-63,-66,-76,-200,-200,-200,-70,-60,-76,-71,-74,-200,-87,-77,-200,-91,-200,-200,-61,-200,-66,-68,-67,-48,-200
1526464423993,-32,-42,-43,-49,-46,-50,-56,-55,-50,-54,-62,-47,-50,-200,-58,-71,-73,-68,-200,-70,-200,-67,-66,-76,-200,-200,-200,-71,-61,-75,-71,-77,-200,-85,-77,-200,-91,-200,-200,-62,-200,-57,-73,-67,-48,-200
1526464427004,-32,-42,-43,-48,-46,-50,-56,-55,-50,-54,-62,-47,-50,-200,-58,-71,-73,-68,-200,-70,-200,-67,-66,-76,-200,-200,-200,-71,-61,-75,-71,-77,-200,-85,-77,-200,-91,-200,-200,-62,-200,-57,-73,-67,-48,-200
1526464430019,-32,-42,-43,-46,-46,-47,-56,-52,-50,-54,-62,-51,-49,-200,-58,-73,-70,-69,-200,-70,-200,-67,-66,-76,-200,-200,-200,-71,-61,-75,-70,-77,-200,-87,-77,-200,-91,-200,-200,-62,-200,-57,-73,-67,-48,-200
1526464433038,-32,-42,-43,-48,-46,-47,-56,-52,-50,-54,-62,-51,-49,-200,-58,-73,-70,-69,-200,-70,-200,-67,-66,-76,-200,-200,-200,-71,-61,-75,-70,-77,-200,-87,-77,-200,-91,-200,-200,-62,-200,-57,-73,-67,-48,-200
1526464436047,-36,-36,-46,-48,-54,-49,-56,-48,-50,-55,-62,-47,-50,-200,-54,-73,-70,-68,-200,-69,-200,-63,-66,-76,-200,-75,-200,-73,-61,-75,-81,-72,-200,-83,-77,-200,-91,-200,-200,-60,-200,-57,-73,-67,-48,-200
1526464439057,-36,-36,-46,-47,-54,-49,-56,-48,-50,-55,-62,-47,-50,-200,-54,-73,-70,-68,-200,-69,-200,-63,-66,-76,-200,-75,-200,-73,-61,-75,-81,-72,-200,-83,-77,-200,-91,-200,-200,-60,-200,-57,-73,-67,-48,-200
1526464442076,-32,-40,-47,-42,-47,-52,-55,-44,-49,-56,-62,-45,-50,-200,-54,-73,-70,-68,-200,-72,-200,-63,-65,-76,-200,-75,-200,-76,-61,-77,-81,-71,-200,-85,-77,-200,-91,-200,-200,-63,-76,-57,-73,-63,-48,-76
1526464445089,-32,-40,-47,-43,-47,-52,-55,-44,-49,-56,-62,-45,-50,-200,-54,-73,-70,-68,-200,-72,-200,-63,-65,-76,-200,-75,-200,-76,-61,-77,-81,-71,-200,-85,-77,-200,-91,-200,-200,-63,-76,-57,-73,-63,-48,-76
