,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A38,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464331871,-28,-43,-48,-52,-44,-50,-47,-49,-61,-200,-55,-65,-46,-55,-44,-200,-200,-62,-61,-62,-200,-65,-200,-71,-60,-200,-200,-72,-71,-64,-75,-78,-200,-200,-85,-82,-89,-61,-64,-70,-67,-76,-88,-200,-200,-200,-200,-200
1526464334885,-28,-43,-48,-52,-43,-50,-47,-49,-61,-200,-55,-65,-46,-55,-44,-200,-200,-62,-61,-62,-200,-65,-200,-71,-200,-200,-200,-72,-71,-64,-75,-78,-200,-200,-85,-82,-89,-61,-64,-200,-67,-76,-88,-200,-200,-200,-200,-200
1526464337899,-27,-43,-48,-51,-45,-49,-48,-48,-59,-200,-51,-65,-45,-55,-44,-200,-200,-62,-62,-59,-67,-63,-68,-78,-59,-200,-59,-70,-71,-64,-72,-77,-200,-200,-82,-81,-91,-61,-64,-200,-67,-76,-88,-70,-200,-200,-200,-200
1526464340931,-27,-43,-48,-51,-43,-49,-48,-48,-59,-200,-51,-65,-45,-55,-44,-200,-200,-62,-62,-59,-67,-63,-68,-78,-59,-200,-59,-70,-71,-64,-72,-77,-200,-200,-82,-81,-91,-61,-64,-200,-67,-76,-88,-70,-200,-200,-200,-200
1526464343954,-39,-43,-48,-48,-45,-53,-48,-48,-59,-200,-51,-65,-46,-57,-48,-200,-200,-61,-62,-59,-67,-62,-68,-77,-59,-200,-59,-70,-73,-62,-72,-76,-200,-200,-86,-76,-89,-200,-200,-200,-200,-200,-90,-70,-90,-200,-200,-200
1526464346970,-39,-43,-48,-48,-42,-53,-48,-48,-59,-200,-51,-65,-46,-57,-48,-200,-200,-61,-62,-59,-67,-62,-68,-77,-59,-200,-59,-70,-73,-62,-72,-76,-200,-200,-86,-76,-89,-200,-200,-200,-200,-200,-90,-70,-90,-200,-200,-200
1526464349984,-30,-43,-48,-53,-44,-49,-49,-49,-59,-53,-46,-67,-46,-53,-48,-200,-200,-65,-62,-68,-67,-66,-68,-71,-59,-200,-59,-70,-73,-60,-75,-81,-83,-200,-81,-79,-90,-66,-200,-200,-200,-200,-90,-70,-90,-88,-200,-200
1526464352995,-30,-43,-48,-53,-45,-49,-49,-49,-59,-53,-46,-67,-46,-53,-48,-200,-200,-65,-62,-68,-67,-66,-68,-71,-59,-200,-59,-70,-73,-60,-75,-81,-83,-200,-81,-79,-90,-66,-200,-200,-200,-200,-90,-70,-90,-88,-200,-200
1526464356021,-30,-43,-48,-53,-46,-53,-49,-49,-59,-53,-51,-67,-44,-53,-48,-200,-200,-64,-67,-68,-60,-66,-68,-75,-58,-200,-59,-70,-73,-67,-78,-77,-83,-200,-85,-79,-90,-66,-200,-200,-69,-200,-90,-70,-90,-88,-70,-79
1526464359037,-30,-43,-48,-53,-46,-53,-49,-49,-59,-53,-51,-67,-44,-53,-48,-200,-200,-64,-67,-68,-60,-66,-68,-75,-58,-200,-59,-70,-73,-67,-78,-77,-83,-200,-85,-79,-90,-66,-200,-200,-69,-200,-90,-70,-90,-88,-70,-79
1526464362061,-32,-43,-200,-49,-47,-51,-47,-52,-59,-53,-47,-67,-48,-53,-51,-200,-200,-64,-67,-62,-60,-63,-68,-71,-58,-200,-59,-68,-73,-67,-77,-76,-83,-200,-83,-77,-90,-66,-200,-200,-69,-200,-90,-70,-90,-88,-70,-79
1526464365079,-32,-200,-200,-49,-49,-51,-47,-52,-59,-53,-47,-67,-48,-53,-51,-200,-200,-64,-67,-62,-60,-63,-200,-71,-58,-200,-200,-68,-73,-67,-77,-76,-83,-200,-83,-77,-90,-66,-200,-200,-69,-200,-90,-70,-90,-88,-70,-79
