,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526442120418,-27,-37,-44,-47,-58,-67,-63,-63,-66,-68,-72,-200,-73,-71,-81,-81,-200,-82,-88,-86,-82,-87,-200,-88,-200,-200,-87,-84,-200,-83,-85,-89,-200
1526442123456,-27,-37,-44,-47,-58,-67,-63,-63,-66,-68,-72,-200,-73,-71,-81,-81,-200,-82,-88,-86,-82,-87,-200,-88,-200,-200,-87,-84,-200,-83,-85,-89,-200
1526442126485,-27,-37,-44,-47,-58,-67,-63,-63,-66,-68,-72,-200,-73,-71,-81,-81,-200,-82,-88,-86,-82,-87,-200,-88,-200,-200,-87,-84,-200,-83,-85,-89,-200
1526442129517,-24,-37,-42,-49,-58,-66,-63,-64,-66,-68,-70,-70,-72,-72,-80,-200,-200,-80,-84,-200,-80,-89,-87,-200,-200,-200,-88,-84,-87,-88,-200,-89,-85
1526442132556,-24,-37,-48,-48,-56,-67,-63,-58,-66,-72,-71,-71,-75,-70,-81,-200,-200,-80,-84,-200,-81,-81,-87,-92,-200,-200,-88,-84,-87,-81,-200,-89,-85
1526442135585,-24,-37,-48,-48,-56,-67,-63,-58,-66,-72,-71,-71,-75,-70,-81,-200,-200,-80,-84,-200,-81,-81,-87,-92,-200,-200,-88,-84,-87,-81,-200,-89,-85
1526442138625,-24,-37,-48,-48,-56,-67,-63,-58,-66,-72,-71,-71,-75,-70,-81,-200,-200,-80,-84,-200,-81,-81,-87,-92,-200,-200,-88,-84,-87,-81,-200,-89,-85
1526442141643,-23,-38,-47,-48,-55,-67,-59,-64,-65,-68,-75,-76,-72,-75,-81,-200,-88,-82,-200,-200,-81,-81,-200,-92,-200,-200,-88,-200,-200,-84,-200,-200,-200
1526442144681,-24,-37,-50,-47,-55,-66,-60,-64,-65,-68,-74,-74,-72,-73,-81,-200,-88,-81,-200,-200,-81,-81,-200,-92,-200,-200,-88,-84,-200,-84,-200,-200,-200
1526442147710,-24,-37,-50,-47,-55,-66,-60,-64,-65,-68,-74,-74,-72,-73,-81,-200,-88,-81,-200,-200,-81,-81,-200,-92,-200,-200,-88,-84,-200,-84,-200,-200,-200
1526442150741,-24,-37,-50,-47,-55,-66,-60,-64,-65,-68,-74,-74,-72,-73,-81,-200,-88,-81,-200,-200,-81,-81,-200,-92,-200,-200,-88,-84,-200,-84,-200,-200,-200
1526442153769,-24,-37,-51,-50,-56,-66,-60,-64,-65,-71,-74,-72,-75,-74,-200,-89,-88,-80,-200,-85,-82,-86,-200,-200,-200,-200,-200,-85,-200,-85,-200,-200,-200
