,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526442269439,-39,-39,-40,-54,-60,-56,-62,-60,-64,-72,-80,-69,-76,-72,-83,-76,-77,-79,-89,-80,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-90,-91,-200,-200,-200
1526442272471,-39,-39,-40,-54,-60,-56,-62,-60,-64,-72,-80,-69,-76,-72,-83,-76,-77,-79,-89,-80,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-90,-91,-200,-200,-200
1526442275510,-39,-39,-40,-54,-60,-56,-62,-60,-64,-72,-80,-69,-76,-72,-83,-76,-77,-79,-89,-80,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-90,-91,-200,-200,-200
1526442278546,-34,-37,-40,-51,-60,-55,-62,-60,-61,-74,-80,-71,-77,-73,-77,-78,-78,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-91,-200,-200,-200,-200
1526442281574,-34,-38,-40,-52,-60,-54,-60,-61,-63,-74,-82,-71,-72,-73,-78,-78,-77,-79,-84,-84,-200,-200,-83,-200,-200,-200,-200,-200,-86,-200,-91,-200,-90,-200,-200
1526442284608,-34,-38,-40,-52,-60,-54,-60,-61,-63,-74,-82,-71,-72,-73,-78,-78,-77,-79,-84,-84,-200,-200,-83,-200,-200,-200,-200,-200,-86,-200,-91,-200,-90,-200,-200
1526442287640,-34,-38,-40,-52,-60,-54,-60,-61,-63,-74,-82,-71,-72,-73,-78,-78,-77,-79,-84,-84,-200,-200,-83,-200,-200,-200,-200,-200,-86,-200,-91,-200,-90,-200,-200
1526442290681,-36,-44,-38,-51,-60,-55,-61,-62,-62,-74,-80,-72,-79,-76,-77,-81,-78,-82,-200,-82,-200,-91,-82,-79,-88,-200,-200,-200,-86,-200,-200,-200,-90,-93,-200
1526442293722,-38,-40,-38,-51,-60,-55,-61,-61,-62,-73,-80,-72,-76,-74,-79,-81,-78,-82,-200,-82,-200,-91,-82,-79,-88,-200,-200,-200,-86,-200,-200,-200,-90,-93,-91
1526442296757,-38,-40,-38,-51,-60,-55,-61,-61,-62,-73,-80,-72,-76,-74,-79,-81,-78,-82,-200,-82,-200,-91,-82,-79,-88,-200,-200,-200,-86,-200,-200,-200,-90,-93,-91
1526442299783,-38,-40,-38,-51,-60,-55,-61,-61,-62,-73,-80,-72,-76,-74,-79,-81,-78,-82,-200,-82,-200,-91,-82,-79,-88,-200,-200,-200,-86,-200,-200,-200,-90,-93,-91
1526442302825,-37,-38,-40,-51,-60,-55,-61,-61,-63,-71,-83,-74,-75,-74,-79,-77,-200,-200,-89,-82,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
