,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00EB8,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526456578356,-51,-37,-41,-49,-58,-64,-53,-63,-52,-62,-55,-63,-78,-46,-64,-69,-58,-57,-66,-66,-66,-54,-69,-66,-68,-92,-72,-73,-68,-74,-76,-69,-75,-79,-84,-77,-81,-81,-77,-74,-200,-79,-80,-74,-84,-80,-82,-79,-89,-78,-84,-200,-87,-89,-88,-200,-200,-91,-200,-88,-64,-72,-79,-85,-75,-200,-200,-77,-83,-84,-81,-87,-200,-200,-84,-91,-200,-200,-91,-200,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526456581368,-52,-36,-43,-49,-49,-59,-53,-67,-59,-57,-56,-64,-78,-53,-64,-66,-54,-60,-68,-73,-65,-55,-71,-68,-69,-92,-72,-73,-68,-73,-78,-73,-72,-71,-81,-73,-82,-81,-75,-76,-200,-82,-80,-74,-84,-80,-82,-79,-82,-78,-84,-200,-87,-89,-88,-200,-200,-91,-200,-88,-64,-72,-200,-85,-76,-200,-200,-77,-83,-84,-81,-87,-200,-200,-84,-91,-200,-200,-90,-200,-92,-90,-88,-89,-200,-200,-200,-200,-200,-200
1526456584409,-55,-37,-43,-48,-56,-59,-54,-67,-49,-66,-55,-63,-74,-46,-64,-68,-60,-56,-68,-64,-66,-54,-71,-67,-67,-92,-73,-68,-68,-75,-76,-71,-73,-76,-81,-73,-81,-81,-78,-76,-200,-82,-79,-74,-82,-78,-200,-77,-82,-76,-85,-87,-87,-200,-88,-92,-200,-200,-200,-88,-60,-74,-200,-85,-74,-200,-200,-78,-82,-84,-81,-87,-200,-200,-84,-91,-79,-200,-90,-200,-200,-90,-88,-89,-89,-200,-200,-200,-200,-200
1526456587452,-47,-37,-48,-51,-51,-59,-61,-64,-55,-55,-60,-63,-74,-45,-64,-62,-60,-58,-68,-63,-63,-56,-71,-70,-69,-92,-72,-75,-73,-75,-79,-69,-75,-79,-77,-67,-80,-81,-75,-74,-200,-82,-79,-74,-82,-78,-200,-77,-82,-76,-85,-87,-87,-200,-88,-92,-89,-200,-200,-88,-60,-74,-200,-85,-74,-200,-200,-78,-78,-84,-81,-88,-200,-89,-84,-91,-79,-200,-89,-200,-79,-90,-88,-91,-89,-200,-200,-200,-200,-200
1526456590495,-47,-38,-42,-50,-52,-61,-61,-67,-53,-55,-60,-63,-74,-46,-67,-63,-55,-58,-68,-67,-64,-56,-70,-70,-71,-200,-72,-75,-73,-73,-78,-69,-72,-73,-77,-70,-80,-76,-75,-74,-200,-82,-78,-200,-81,-75,-200,-77,-85,-84,-82,-87,-87,-200,-87,-92,-91,-89,-90,-200,-59,-73,-200,-200,-74,-200,-200,-78,-78,-200,-200,-88,-88,-89,-87,-200,-79,-200,-89,-200,-87,-90,-88,-91,-89,-200,-200,-200,-200,-200
1526456593537,-52,-43,-43,-50,-52,-60,-61,-67,-54,-62,-59,-63,-74,-46,-74,-66,-55,-56,-62,-64,-63,-56,-68,-65,-73,-200,-72,-73,-70,-73,-82,-69,-74,-73,-77,-70,-80,-76,-77,-74,-200,-82,-79,-76,-82,-85,-86,-86,-85,-84,-84,-87,-87,-200,-87,-92,-91,-89,-90,-87,-59,-74,-200,-90,-74,-200,-200,-74,-78,-82,-200,-88,-88,-89,-87,-200,-79,-200,-89,-200,-87,-200,-200,-91,-89,-89,-200,-200,-200,-200
1526456596552,-47,-35,-42,-51,-54,-61,-53,-67,-52,-59,-59,-63,-200,-46,-69,-64,-58,-58,-69,-67,-63,-56,-69,-65,-71,-200,-72,-72,-69,-73,-78,-70,-73,-73,-78,-70,-84,-76,-75,-74,-200,-79,-71,-76,-82,-76,-86,-86,-85,-84,-84,-200,-200,-200,-87,-200,-91,-89,-90,-87,-59,-73,-200,-90,-200,-85,-200,-74,-79,-82,-200,-88,-88,-88,-87,-200,-80,-200,-89,-200,-87,-200,-200,-91,-89,-89,-200,-200,-200,-200
1526456599596,-47,-37,-54,-51,-53,-62,-53,-67,-55,-61,-59,-64,-200,-44,-67,-64,-54,-57,-69,-65,-62,-54,-68,-69,-70,-200,-70,-72,-69,-70,-74,-66,-74,-73,-76,-69,-84,-77,-76,-200,-200,-76,-71,-76,-82,-76,-86,-86,-88,-84,-83,-200,-200,-200,-86,-200,-91,-89,-90,-87,-59,-82,-83,-90,-200,-86,-200,-74,-79,-85,-200,-200,-88,-88,-87,-200,-79,-89,-89,-200,-87,-200,-200,-200,-89,-88,-200,-200,-200,-200
1526456602610,-51,-36,-42,-52,-53,-57,-53,-69,-51,-54,-57,-64,-71,-51,-66,-64,-53,-61,-69,-63,-63,-54,-68,-68,-72,-200,-70,-78,-74,-71,-81,-69,-60,-76,-76,-69,-78,-78,-76,-200,-200,-75,-78,-76,-86,-76,-86,-83,-88,-200,-83,-88,-200,-200,-86,-90,-200,-200,-200,-87,-200,-76,-83,-90,-200,-86,-200,-74,-80,-85,-83,-200,-200,-91,-200,-200,-82,-89,-89,-200,-90,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526456605652,-48,-37,-42,-53,-50,-69,-57,-66,-50,-57,-61,-62,-71,-47,-68,-63,-65,-59,-66,-67,-65,-54,-67,-67,-73,-200,-70,-76,-62,-71,-74,-67,-76,-75,-63,-69,-80,-82,-76,-200,-84,-81,-79,-200,-83,-88,-200,-83,-88,-200,-83,-88,-200,-200,-86,-90,-200,-200,-200,-87,-200,-74,-84,-200,-200,-86,-91,-200,-77,-84,-83,-200,-88,-91,-86,-90,-82,-82,-89,-200,-90,-200,-200,-91,-200,-85,-90,-93,-200,-200
1526456608691,-48,-39,-42,-57,-50,-57,-56,-59,-52,-59,-63,-62,-73,-48,-66,-61,-62,-66,-66,-66,-65,-54,-67,-60,-74,-65,-70,-69,-73,-73,-81,-70,-79,-75,-75,-83,-80,-82,-84,-79,-84,-79,-81,-77,-89,-88,-200,-83,-92,-84,-83,-91,-200,-200,-86,-90,-200,-200,-89,-84,-61,-74,-84,-88,-78,-87,-91,-200,-77,-87,-85,-200,-88,-91,-86,-90,-82,-82,-89,-200,-88,-200,-200,-91,-90,-91,-90,-93,-92,-200
1526456611731,-48,-37,-60,-53,-50,-56,-56,-68,-55,-60,-59,-61,-72,-45,-66,-62,-63,-57,-66,-68,-63,-200,-66,-62,-74,-65,-70,-72,-73,-74,-77,-67,-75,-74,-78,-83,-78,-82,-84,-83,-84,-80,-81,-77,-89,-88,-200,-83,-92,-84,-85,-91,-200,-200,-200,-90,-200,-200,-89,-84,-61,-73,-84,-88,-78,-87,-90,-200,-76,-87,-85,-200,-88,-89,-86,-90,-82,-82,-89,-200,-88,-200,-200,-88,-90,-91,-90,-93,-92,-92
