,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A38,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526456868293,-40,-46,-56,-45,-52,-59,-52,-50,-69,-47,-63,-59,-62,-62,-58,-59,-65,-67,-56,-52,-63,-71,-67,-72,-77,-87,-78,-74,-71,-77,-75,-81,-77,-67,-75,-72,-78,-65,-85,-62,-84,-79,-79,-200,-77,-77,-75,-75,-87,-77,-88,-200,-85,-89,-85,-82,-200,-81,-88,-200,-200,-200,-90,-84,-82,-89,-83,-200,-200,-200,-80,-200,-93,-74,-200,-79,-200,-87,-90,-86,-200,-200
1526456871315,-41,-50,-49,-44,-51,-63,-53,-51,-73,-47,-63,-52,-57,-62,-64,-58,-62,-67,-54,-52,-60,-71,-63,-70,-81,-75,-79,-74,-73,-76,-78,-79,-78,-67,-72,-78,-79,-70,-82,-73,-81,-84,-200,-200,-79,-77,-75,-81,-87,-77,-88,-200,-200,-200,-84,-78,-200,-81,-82,-200,-200,-200,-90,-84,-82,-89,-88,-200,-200,-92,-80,-200,-200,-76,-200,-81,-200,-200,-90,-86,-200,-200
1526456874329,-39,-47,-57,-44,-52,-56,-53,-55,-68,-50,-65,-58,-55,-65,-57,-63,-59,-62,-50,-53,-57,-69,-65,-72,-79,-75,-76,-74,-70,-76,-72,-78,-75,-63,-71,-78,-77,-69,-82,-74,-84,-84,-73,-200,-79,-77,-76,-81,-87,-77,-88,-200,-200,-200,-88,-78,-200,-78,-82,-200,-84,-200,-90,-83,-200,-200,-88,-89,-200,-92,-80,-200,-200,-76,-200,-82,-200,-200,-200,-200,-200,-200
1526456877366,-39,-49,-59,-46,-54,-56,-55,-54,-64,-49,-62,-59,-53,-61,-64,-60,-64,-60,-50,-53,-72,-69,-65,-68,-81,-75,-76,-63,-71,-74,-74,-78,-75,-63,-71,-77,-80,-69,-87,-71,-82,-84,-72,-200,-80,-80,-76,-86,-87,-77,-88,-200,-86,-200,-84,-83,-200,-78,-78,-200,-84,-200,-90,-84,-200,-200,-88,-89,-200,-92,-200,-200,-200,-76,-200,-82,-87,-200,-200,-200,-90,-200
1526456880376,-42,-47,-53,-53,-53,-56,-51,-54,-66,-48,-61,-58,-57,-60,-63,-61,-67,-60,-56,-53,-63,-72,-64,-69,-81,-75,-76,-63,-70,-74,-75,-79,-76,-63,-73,-77,-80,-68,-87,-70,-81,-84,-74,-200,-79,-78,-77,-86,-87,-200,-200,-84,-86,-200,-84,-78,-200,-78,-78,-200,-84,-200,-90,-84,-200,-200,-88,-89,-91,-92,-82,-200,-200,-76,-200,-81,-87,-200,-200,-200,-90,-200
1526456883417,-40,-49,-51,-44,-58,-59,-51,-56,-71,-47,-59,-59,-58,-57,-57,-62,-68,-58,-54,-54,-67,-72,-65,-73,-81,-75,-76,-69,-68,-78,-75,-79,-75,-67,-74,-78,-80,-68,-87,-61,-83,-83,-74,-200,-79,-78,-77,-86,-87,-74,-200,-84,-81,-200,-84,-78,-200,-78,-78,-200,-84,-200,-90,-84,-200,-88,-83,-89,-91,-200,-82,-200,-200,-76,-89,-81,-87,-200,-200,-200,-90,-200
1526456886462,-41,-50,-51,-46,-53,-59,-51,-58,-71,-49,-59,-58,-57,-57,-61,-61,-66,-59,-51,-50,-65,-72,-67,-71,-81,-75,-74,-69,-69,-78,-75,-81,-75,-63,-73,-78,-78,-70,-80,-70,-83,-83,-76,-200,-78,-78,-77,-86,-87,-79,-87,-86,-81,-200,-84,-78,-200,-81,-78,-200,-200,-200,-90,-81,-79,-88,-83,-200,-91,-200,-82,-200,-91,-76,-89,-81,-87,-76,-200,-200,-90,-200
1526456889491,-43,-50,-55,-44,-53,-59,-52,-57,-65,-49,-58,-58,-58,-57,-64,-63,-70,-54,-54,-54,-63,-87,-63,-70,-81,-75,-74,-74,-71,-76,-75,-81,-76,-63,-73,-78,-78,-67,-80,-71,-83,-83,-76,-200,-79,-78,-77,-200,-87,-75,-85,-86,-81,-200,-200,-78,-200,-79,-200,-200,-200,-200,-200,-81,-82,-90,-83,-200,-91,-200,-82,-200,-91,-76,-89,-81,-200,-76,-200,-200,-200,-200
1526456892500,-43,-50,-55,-46,-54,-59,-52,-56,-70,-49,-60,-59,-55,-61,-61,-65,-66,-59,-54,-54,-63,-87,-67,-65,-81,-75,-75,-74,-71,-76,-74,-81,-78,-66,-73,-79,-80,-67,-80,-71,-81,-83,-76,-200,-82,-77,-77,-84,-200,-78,-86,-86,-81,-200,-85,-82,-200,-84,-81,-200,-200,-200,-200,-84,-82,-90,-82,-200,-200,-200,-200,-200,-91,-75,-89,-200,-86,-76,-200,-200,-200,-200
1526456895535,-40,-48,-59,-46,-52,-200,-52,-56,-65,-48,-61,-59,-58,-61,-59,-61,-68,-62,-55,-54,-65,-73,-68,-73,-82,-200,-75,-74,-70,-76,-74,-81,-78,-66,-74,-79,-79,-66,-80,-70,-81,-81,-76,-200,-77,-77,-76,-78,-200,-78,-86,-86,-200,-200,-85,-82,-200,-83,-77,-200,-200,-200,-200,-84,-83,-87,-82,-92,-200,-200,-200,-200,-91,-75,-200,-200,-86,-88,-200,-200,-200,-200
1526456898571,-42,-49,-68,-44,-50,-60,-50,-60,-76,-52,-66,-48,-64,-60,-59,-64,-62,-59,-53,-55,-69,-73,-73,-65,-82,-200,-75,-74,-70,-74,-74,-81,-77,-66,-74,-79,-79,-67,-85,-69,-81,-81,-76,-200,-71,-73,-76,-86,-200,-77,-85,-86,-200,-200,-86,-79,-200,-83,-82,-200,-200,-200,-200,-83,-83,-87,-82,-92,-200,-200,-200,-200,-200,-76,-200,-84,-87,-88,-200,-200,-200,-87
1526456901601,-40,-46,-48,-48,-48,-60,-50,-56,-64,-48,-64,-56,-54,-62,-61,-66,-66,-58,-57,-53,-63,-71,-64,-69,-81,-200,-75,-73,-66,-74,-73,-81,-77,-68,-78,-77,-79,-65,-73,-71,-81,-83,-79,-200,-75,-75,-76,-86,-200,-74,-85,-87,-200,-200,-86,-77,-200,-84,-82,-200,-200,-200,-200,-83,-81,-87,-82,-92,-200,-200,-75,-200,-200,-78,-200,-84,-87,-88,-200,-200,-200,-87
