,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A48,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro
1526457010701,-55,-29,-61,-50,-50,-49,-55,-59,-62,-67,-57,-46,-53,-60,-77,-62,-66,-200,-59,-78,-70,-60,-75,-74,-65,-78,-74,-83,-67,-200,-200,-64,-75,-74,-68,-200,-78,-83,-75,-76,-78,-78,-81,-87,-82,-73,-200,-80,-200,-200,-83,-200,-82,-82,-83,-200,-90,-83,-88,-90,-200,-85,-89,-200,-71,-83,-86,-89,-200,-89,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526457013730,-48,-30,-58,-49,-47,-46,-58,-56,-62,-69,-60,-50,-52,-63,-77,-62,-68,-200,-64,-78,-72,-61,-73,-74,-65,-78,-74,-83,-70,-200,-200,-76,-73,-74,-70,-80,-82,-83,-74,-77,-78,-85,-78,-87,-82,-73,-200,-80,-200,-200,-83,-200,-74,-82,-83,-200,-90,-84,-88,-90,-200,-85,-89,-200,-71,-83,-87,-89,-200,-89,-200,-86,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526457016771,-47,-29,-58,-57,-47,-49,-53,-59,-62,-64,-61,-54,-50,-60,-72,-200,-71,-61,-62,-74,-72,-60,-72,-72,-72,-78,-74,-83,-66,-67,-82,-64,-70,-76,-72,-84,-82,-77,-76,-79,-85,-85,-74,-89,-82,-73,-200,-80,-200,-200,-80,-200,-81,-82,-83,-90,-90,-84,-88,-90,-200,-85,-90,-89,-71,-88,-87,-200,-200,-92,-200,-86,-200,-89,-200,-82,-200,-200,-200,-200,-200,-200
1526457019799,-46,-25,-56,-53,-45,-55,-55,-59,-68,-70,-59,-58,-55,-58,-56,-71,-68,-61,-66,-79,-70,-61,-71,-72,-65,-81,-74,-80,-66,-67,-82,-64,-69,-79,-70,-84,-77,-82,-77,-79,-84,-76,-74,-89,-200,-83,-200,-200,-200,-200,-80,-91,-81,-200,-89,-90,-90,-84,-87,-90,-200,-200,-90,-89,-84,-86,-87,-200,-200,-92,-200,-88,-200,-89,-200,-82,-200,-200,-200,-200,-200,-200
1526457022835,-48,-28,-58,-51,-43,-48,-62,-59,-60,-68,-61,-54,-53,-59,-56,-71,-66,-61,-62,-77,-70,-61,-74,-72,-71,-80,-69,-71,-68,-67,-83,-62,-76,-75,-72,-84,-77,-78,-76,-79,-84,-43,-76,-88,-82,-83,-200,-200,-200,-74,-82,-91,-81,-87,-89,-90,-90,-84,-87,-90,-200,-200,-90,-89,-74,-86,-87,-200,-200,-92,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526457025873,-46,-29,-57,-53,-47,-48,-47,-56,-66,-69,-60,-52,-53,-58,-75,-71,-65,-63,-62,-77,-65,-61,-78,-67,-72,-79,-69,-77,-66,-69,-83,-62,-73,-76,-68,-84,-78,-78,-74,-79,-84,-80,-82,-90,-82,-83,-200,-82,-200,-74,-82,-89,-81,-87,-88,-91,-90,-85,-87,-89,-200,-200,-90,-89,-74,-86,-200,-200,-200,-87,-85,-87,-200,-80,-200,-84,-200,-200,-200,-200,-200,-200
1526457028902,-55,-22,-55,-51,-47,-49,-56,-55,-66,-63,-60,-52,-54,-56,-75,-66,-71,-63,-60,-80,-63,-62,-74,-67,-67,-77,-72,-76,-65,-69,-78,-62,-75,-76,-67,-200,-75,-78,-77,-200,-78,-77,-75,-90,-82,-83,-200,-82,-200,-74,-82,-89,-82,-87,-88,-91,-90,-85,-85,-87,-87,-200,-88,-200,-74,-82,-200,-200,-200,-87,-85,-87,-200,-80,-200,-84,-200,-89,-200,-200,-200,-200
1526457031942,-45,-28,-57,-48,-51,-50,-55,-58,-63,-70,-58,-52,-55,-64,-73,-66,-71,-60,-63,-80,-61,-61,-74,-71,-67,-77,-72,-78,-66,-67,-78,-71,-72,-76,-72,-200,-75,-81,-77,-78,-84,-75,-75,-88,-82,-200,-200,-82,-200,-74,-86,-89,-82,-83,-84,-91,-90,-85,-85,-87,-87,-200,-88,-200,-75,-87,-200,-200,-200,-87,-85,-87,-200,-80,-200,-84,-82,-89,-88,-200,-200,-200
1526457034958,-48,-32,-55,-49,-53,-51,-53,-53,-58,-62,-62,-52,-52,-69,-73,-66,-68,-56,-60,-80,-65,-60,-74,-68,-67,-77,-80,-83,-69,-68,-78,-61,-74,-76,-74,-82,-78,-81,-77,-78,-84,-76,-79,-88,-84,-77,-200,-82,-200,-200,-80,-89,-82,-83,-84,-91,-90,-86,-87,-87,-87,-200,-90,-90,-75,-87,-200,-200,-200,-91,-86,-86,-200,-200,-200,-84,-82,-89,-88,-86,-200,-200
1526457037999,-41,-30,-56,-47,-58,-57,-56,-52,-58,-62,-57,-53,-53,-68,-64,-71,-61,-56,-59,-70,-71,-60,-70,-69,-67,-76,-80,-77,-67,-68,-80,-68,-71,-79,-73,-82,-75,-83,-74,-85,-79,-76,-74,-85,-76,-77,-200,-74,-200,-200,-82,-89,-86,-77,-83,-91,-200,-86,-87,-87,-87,-200,-86,-90,-75,-87,-200,-200,-200,-91,-86,-86,-200,-200,-200,-200,-82,-89,-85,-86,-200,-200
1526457041031,-44,-34,-58,-55,-53,-49,-56,-57,-61,-64,-59,-53,-53,-59,-68,-69,-67,-57,-65,-75,-64,-60,-74,-71,-64,-81,-80,-78,-69,-74,-80,-67,-76,-75,-74,-80,-75,-77,-74,-73,-79,-76,-74,-85,-83,-78,-200,-79,-200,-200,-79,-89,-79,-77,-83,-91,-88,-86,-87,-86,-82,-200,-85,-90,-75,-87,-200,-200,-200,-86,-86,-86,-87,-86,-200,-200,-82,-200,-85,-86,-200,-200
1526457044042,-44,-39,-58,-52,-53,-55,-65,-63,-55,-64,-59,-58,-60,-64,-65,-69,-66,-55,-69,-76,-64,-65,-74,-71,-63,-81,-80,-79,-68,-74,-80,-67,-74,-73,-71,-82,-74,-80,-73,-76,-79,-75,-74,-88,-83,-84,-200,-79,-200,-89,-79,-87,-79,-77,-84,-91,-88,-86,-87,-87,-82,-200,-85,-90,-200,-200,-200,-91,-87,-86,-86,-90,-87,-86,-200,-200,-200,-200,-85,-86,-83,-89
