,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018
1526456726390,-45,-46,-53,-53,-44,-200,-58,-58,-58,-63,-55,-68,-60,-64,-62,-63,-68,-65,-76,-64,-77,-63,-72,-57,-66,-72,-82,-71,-75,-200,-200,-73,-83,-83,-81,-91,-85,-77,-70,-77,-69,-81,-84,-80,-81,-200,-80,-64,-89,-85,-83,-84,-77,-86,-72,-200,-87,-72,-200,-86,-76,-200,-200,-200,-200,-87,-88,-200,-80,-200,-200,-200,-200,-87,-86,-200,-200,-200,-88,-200,-83,-84,-93,-200,-200,-200
1526456729423,-46,-46,-57,-53,-44,-200,-56,-58,-58,-63,-63,-64,-59,-64,-60,-62,-68,-66,-76,-65,-76,-68,-70,-65,-66,-73,-82,-71,-75,-200,-200,-73,-73,-78,-77,-84,-82,-77,-69,-77,-69,-81,-84,-79,-200,-200,-81,-64,-89,-85,-84,-84,-77,-86,-74,-200,-86,-76,-79,-86,-76,-200,-200,-200,-200,-90,-90,-200,-84,-200,-200,-200,-200,-87,-86,-200,-200,-200,-88,-200,-200,-84,-93,-89,-200,-200
1526456732463,-47,-45,-52,-60,-44,-200,-57,-63,-57,-63,-61,-62,-59,-65,-64,-63,-66,-64,-77,-66,-76,-69,-68,-60,-72,-73,-80,-71,-72,-200,-200,-71,-72,-79,-64,-84,-78,-77,-71,-74,-69,-81,-83,-81,-79,-200,-81,-65,-200,-78,-84,-84,-77,-83,-74,-200,-86,-77,-79,-86,-80,-200,-200,-90,-89,-90,-90,-200,-83,-200,-200,-200,-200,-87,-86,-200,-82,-200,-88,-200,-200,-84,-93,-89,-200,-200
1526456735496,-46,-46,-53,-65,-42,-52,-59,-58,-57,-58,-59,-64,-59,-64,-61,-60,-65,-64,-77,-64,-76,-69,-69,-60,-66,-73,-80,-72,-80,-200,-200,-71,-72,-79,-69,-85,-73,-77,-68,-74,-72,-81,-81,-81,-79,-200,-81,-65,-200,-78,-81,-84,-200,-83,-74,-200,-86,-74,-82,-200,-80,-200,-200,-88,-89,-90,-90,-84,-83,-200,-200,-200,-81,-200,-200,-200,-80,-200,-88,-91,-200,-200,-93,-89,-91,-200
1526456738530,-45,-47,-52,-63,-42,-52,-53,-61,-57,-58,-60,-66,-58,-64,-62,-60,-65,-62,-77,-65,-75,-63,-67,-68,-66,-73,-78,-72,-74,-200,-200,-71,-76,-78,-69,-85,-77,-200,-68,-84,-71,-200,-81,-80,-79,-200,-81,-65,-200,-79,-81,-84,-200,-88,-73,-91,-86,-74,-82,-200,-82,-200,-200,-88,-89,-90,-90,-84,-84,-200,-81,-200,-81,-86,-87,-200,-80,-200,-200,-91,-200,-200,-200,-89,-91,-200
1526456741544,-54,-45,-53,-63,-44,-51,-58,-60,-61,-62,-67,-68,-60,-64,-60,-59,-66,-66,-75,-60,-75,-69,-72,-68,-66,-72,-78,-68,-76,-200,-200,-71,-73,-74,-72,-86,-73,-200,-67,-75,-71,-200,-81,-80,-79,-84,-200,-65,-200,-79,-81,-200,-200,-88,-73,-91,-84,-74,-82,-200,-77,-200,-200,-88,-89,-89,-90,-84,-84,-200,-81,-200,-81,-86,-87,-200,-80,-200,-200,-91,-200,-200,-200,-200,-91,-200
1526456744584,-45,-48,-51,-55,-45,-54,-58,-55,-59,-60,-60,-70,-62,-61,-62,-60,-66,-67,-75,-63,-77,-67,-74,-58,-70,-72,-78,-74,-76,-200,-83,-200,-78,-73,-78,-86,-75,-200,-69,-75,-72,-79,-85,-79,-76,-84,-200,-65,-86,-79,-85,-87,-200,-88,-73,-91,-82,-75,-82,-85,-77,-200,-200,-88,-200,-89,-78,-86,-84,-200,-81,-200,-81,-86,-87,-200,-80,-200,-200,-91,-200,-200,-200,-200,-91,-200
1526456747624,-46,-47,-53,-55,-51,-54,-56,-57,-60,-60,-61,-68,-63,-64,-66,-63,-66,-65,-75,-66,-76,-66,-71,-58,-70,-72,-81,-74,-77,-200,-83,-200,-71,-80,-77,-86,-73,-200,-69,-75,-70,-77,-85,-79,-76,-84,-200,-64,-86,-79,-85,-87,-79,-86,-73,-91,-82,-75,-200,-89,-77,-200,-200,-200,-200,-89,-78,-86,-84,-200,-81,-200,-200,-86,-87,-200,-200,-90,-200,-200,-83,-200,-200,-200,-200,-200
1526456750665,-45,-46,-53,-51,-51,-54,-56,-57,-60,-60,-61,-71,-61,-65,-64,-63,-66,-64,-75,-66,-78,-68,-72,-56,-70,-70,-81,-74,-77,-200,-83,-200,-74,-80,-77,-86,-74,-200,-69,-79,-70,-77,-85,-80,-76,-84,-81,-65,-86,-83,-85,-88,-79,-86,-73,-200,-82,-73,-77,-89,-79,-200,-200,-200,-200,-89,-78,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-90,-82,-200,-84,-200,-200,-200,-200,-200
1526456753700,-45,-47,-55,-55,-44,-53,-58,-58,-57,-60,-60,-65,-66,-65,-63,-61,-63,-65,-79,-65,-78,-70,-70,-57,-69,-72,-78,-69,-77,-200,-83,-200,-71,-80,-74,-200,-72,-200,-69,-76,-71,-81,-85,-81,-76,-200,-80,-65,-86,-83,-85,-86,-79,-88,-77,-200,-82,-71,-77,-89,-83,-200,-200,-200,-200,-200,-78,-86,-87,-200,-200,-200,-200,-200,-88,-200,-200,-90,-88,-200,-84,-200,-200,-200,-200,-200
1526456756739,-45,-46,-52,-52,-49,-53,-57,-58,-57,-58,-55,-70,-62,-64,-67,-59,-63,-60,-79,-67,-76,-69,-71,-59,-69,-69,-70,-70,-77,-81,-200,-200,-71,-76,-77,-83,-73,-200,-69,-76,-71,-79,-200,-77,-80,-85,-80,-65,-200,-83,-83,-86,-79,-88,-74,-200,-82,-71,-77,-89,-80,-200,-200,-200,-200,-89,-200,-200,-84,-200,-200,-200,-81,-200,-88,-200,-200,-90,-88,-200,-84,-200,-200,-200,-200,-93
1526456759775,-45,-47,-53,-52,-42,-51,-56,-59,-57,-58,-60,-70,-63,-66,-64,-57,-63,-60,-79,-64,-76,-68,-71,-57,-70,-69,-83,-70,-200,-76,-200,-200,-80,-80,-77,-83,-75,-200,-70,-80,-70,-81,-200,-78,-80,-85,-77,-68,-200,-80,-84,-86,-200,-88,-74,-200,-83,-81,-80,-200,-84,-91,-200,-200,-200,-89,-200,-200,-80,-200,-200,-88,-81,-200,-85,-200,-200,-200,-91,-93,-82,-200,-200,-200,-200,-93
