,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463437469,-44,-48,-50,-52,-62,-64,-57,-63,-54,-62,-68,-66,-70,-68,-200,-67,-67,-73,-200,-200,-200,-71,-200,-64,-87,-71,-68,-74,-68,-77,-200,-80,-82,-200,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-63,-77,-86,-87,-200,-200,-71,-75,-77,-78,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526463440507,-44,-48,-50,-52,-62,-64,-57,-63,-54,-62,-68,-66,-70,-68,-200,-67,-67,-73,-200,-200,-200,-71,-200,-64,-87,-71,-68,-74,-68,-77,-200,-80,-82,-200,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-63,-77,-86,-87,-200,-200,-71,-75,-77,-78,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526463443546,-44,-48,-50,-52,-62,-64,-57,-63,-54,-62,-68,-66,-70,-68,-200,-67,-67,-73,-200,-200,-200,-71,-200,-64,-87,-71,-68,-74,-68,-77,-200,-80,-82,-200,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-63,-77,-86,-87,-200,-200,-71,-75,-77,-78,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526463446590,-40,-48,-58,-53,-62,-57,-200,-62,-66,-62,-62,-70,-73,-67,-200,-64,-60,-73,-69,-200,-200,-72,-77,-68,-87,-71,-74,-200,-68,-80,-200,-81,-82,-82,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-67,-200,-86,-200,-200,-200,-200,-200,-200,-200,-90,-91,-92,-87,-91,-200,-200,-200,-200,-200,-200
1526463449629,-41,-47,-60,-49,-61,-56,-62,-62,-74,-62,-62,-69,-73,-64,-200,-64,-62,-73,-71,-200,-200,-72,-77,-68,-87,-71,-74,-200,-73,-82,-200,-80,-83,-82,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-63,-200,-89,-200,-200,-200,-200,-200,-200,-83,-90,-91,-92,-87,-88,-89,-200,-200,-200,-200,-200
1526463452665,-41,-47,-60,-49,-61,-56,-62,-62,-74,-62,-62,-69,-73,-64,-200,-64,-62,-73,-71,-200,-200,-72,-77,-68,-87,-71,-74,-200,-73,-82,-200,-80,-83,-82,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-63,-200,-89,-200,-200,-200,-200,-200,-200,-83,-90,-91,-92,-87,-88,-89,-200,-200,-200,-200,-200
1526463455700,-41,-47,-60,-49,-61,-56,-62,-62,-74,-62,-62,-69,-73,-64,-200,-64,-62,-73,-71,-200,-200,-72,-77,-68,-87,-71,-74,-200,-73,-82,-200,-80,-83,-82,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-63,-200,-89,-200,-200,-200,-200,-200,-200,-83,-90,-91,-92,-87,-88,-89,-200,-200,-200,-200,-200
1526463458756,-39,-45,-61,-49,-60,-57,-59,-62,-62,-63,-71,-70,-68,-65,-200,-64,-59,-72,-70,-89,-200,-70,-80,-68,-200,-72,-78,-200,-70,-80,-200,-80,-84,-200,-200,-200,-84,-88,-80,-200,-200,-200,-200,-200,-63,-200,-89,-200,-200,-84,-74,-200,-200,-84,-200,-200,-200,-200,-88,-89,-83,-85,-85,-91,-200
1526463461801,-39,-49,-61,-52,-61,-58,-57,-65,-63,-62,-70,-71,-69,-65,-200,-64,-59,-68,-73,-90,-200,-70,-80,-69,-84,-70,-78,-200,-73,-80,-200,-80,-83,-200,-83,-83,-84,-88,-80,-200,-200,-92,-200,-200,-65,-200,-89,-200,-200,-84,-74,-200,-200,-84,-200,-200,-200,-200,-88,-89,-83,-85,-85,-91,-200
1526463464855,-39,-49,-61,-52,-61,-58,-57,-65,-63,-62,-70,-71,-69,-65,-200,-64,-59,-68,-73,-90,-200,-70,-80,-69,-84,-70,-78,-200,-73,-80,-200,-80,-83,-200,-83,-83,-84,-88,-80,-200,-200,-92,-200,-200,-65,-200,-89,-200,-200,-84,-74,-200,-200,-84,-200,-200,-200,-200,-88,-89,-83,-85,-85,-91,-200
1526463467896,-39,-49,-61,-52,-61,-58,-57,-65,-63,-62,-70,-71,-69,-65,-200,-64,-59,-68,-73,-90,-200,-70,-80,-69,-84,-70,-78,-200,-73,-80,-200,-80,-83,-200,-83,-83,-84,-88,-80,-200,-200,-92,-200,-200,-65,-200,-89,-200,-200,-84,-74,-200,-200,-84,-200,-200,-200,-200,-88,-89,-83,-85,-85,-91,-200
1526463470934,-41,-51,-70,-50,-62,-59,-61,-65,-64,-64,-80,-73,-68,-69,-200,-65,-68,-73,-73,-90,-200,-83,-200,-69,-84,-70,-78,-75,-70,-81,-200,-82,-83,-200,-83,-83,-200,-86,-80,-200,-200,-92,-200,-200,-64,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87
