,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526459787619,-37,-30,-38,-43,-56,-49,-58,-53,-60,-53,-56,-58,-51,-200,-69,-70,-60,-68,-200,-67,-79,-74,-200,-72,-200,-85,-85,-76,-71,-86,-200,-200,-200,-74,-200,-89,-83,-200,-55,-74,-88,-91,-75,-91,-86,-80,-200,-200,-200
1526459790631,-37,-30,-38,-43,-56,-49,-58,-53,-60,-53,-56,-58,-51,-200,-69,-70,-60,-68,-200,-67,-79,-74,-200,-72,-200,-85,-85,-76,-71,-86,-200,-200,-200,-74,-200,-89,-83,-200,-55,-74,-88,-91,-75,-91,-86,-80,-200,-200,-200
1526459793655,-37,-31,-42,-47,-56,-49,-56,-52,-60,-53,-56,-58,-51,-200,-65,-70,-65,-68,-200,-67,-75,-74,-200,-73,-200,-80,-85,-76,-71,-86,-200,-200,-200,-74,-200,-89,-88,-200,-55,-58,-200,-200,-75,-91,-86,-80,-89,-200,-200
1526459796678,-37,-30,-42,-47,-56,-49,-56,-52,-60,-53,-56,-58,-51,-200,-65,-70,-65,-68,-200,-67,-75,-74,-200,-73,-200,-80,-85,-76,-71,-86,-200,-200,-200,-74,-200,-89,-88,-200,-55,-58,-200,-200,-75,-91,-86,-80,-89,-200,-200
1526459799696,-36,-28,-42,-48,-56,-54,-56,-54,-59,-51,-56,-52,-51,-200,-65,-70,-65,-74,-200,-71,-75,-74,-200,-72,-200,-83,-85,-76,-71,-86,-200,-200,-200,-74,-200,-91,-84,-200,-55,-57,-200,-200,-82,-91,-86,-80,-89,-84,-200
1526459802719,-36,-32,-42,-48,-56,-54,-56,-54,-59,-51,-56,-52,-51,-200,-65,-70,-65,-74,-200,-71,-75,-74,-200,-72,-200,-83,-85,-76,-71,-86,-200,-200,-200,-74,-200,-91,-84,-200,-55,-57,-200,-200,-82,-91,-86,-80,-89,-84,-200
1526459805737,-36,-27,-42,-50,-56,-53,-59,-54,-58,-51,-58,-56,-57,-200,-69,-71,-65,-74,-200,-73,-76,-72,-200,-72,-200,-83,-200,-80,-71,-85,-200,-200,-200,-77,-200,-91,-81,-200,-55,-55,-200,-90,-82,-200,-86,-80,-89,-84,-200
1526459808757,-36,-26,-42,-50,-56,-53,-59,-54,-58,-51,-58,-56,-57,-200,-69,-71,-65,-74,-200,-73,-76,-72,-200,-72,-200,-83,-200,-80,-71,-85,-200,-200,-200,-77,-200,-91,-81,-200,-55,-55,-200,-90,-82,-200,-86,-80,-89,-84,-200
1526459811785,-36,-27,-41,-48,-56,-52,-56,-54,-58,-50,-57,-56,-52,-62,-72,-71,-66,-74,-200,-73,-76,-76,-200,-73,-200,-82,-200,-80,-72,-85,-200,-90,-200,-77,-200,-91,-79,-200,-59,-55,-200,-90,-82,-200,-200,-80,-89,-84,-84
1526459814811,-36,-24,-41,-48,-56,-52,-56,-54,-58,-50,-57,-56,-52,-62,-72,-71,-66,-74,-200,-73,-76,-76,-200,-73,-200,-82,-200,-80,-72,-85,-200,-90,-200,-77,-200,-91,-79,-200,-59,-55,-200,-90,-82,-200,-200,-80,-89,-84,-84
1526459817837,-36,-25,-39,-47,-55,-52,-60,-52,-57,-49,-57,-56,-52,-62,-72,-71,-65,-70,-200,-73,-78,-77,-200,-73,-200,-82,-200,-77,-72,-84,-200,-90,-200,-77,-200,-91,-79,-200,-59,-55,-200,-90,-82,-200,-200,-200,-89,-84,-84
1526459820855,-36,-26,-39,-47,-55,-52,-60,-52,-57,-49,-57,-56,-52,-62,-72,-71,-65,-70,-200,-73,-78,-77,-200,-73,-200,-82,-200,-77,-72,-84,-200,-90,-200,-77,-200,-91,-79,-200,-59,-55,-200,-90,-82,-200,-200,-200,-89,-84,-84
